turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eb29a3db97d6b0008d24a1a,0.74,439.74,"Yeah. Right. Mm hmm. Yeah. Yeah. Yeah. Mhm That Mhm Okay. Oh, but yeah. Yeah. Yeah. Yeah. Yeah. My Yeah. Oh yeah. Mhm. Mhm. Yeah. Mhm Yeah. Uh huh. Okay. Well, you can't be in here when I do this thing. I have to be quiet so get out of here because it's gonna start soon. Make sure you get your stuff ready though. What is mom? Yeah, an hour, hour and a half. But I want you ready to go. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Mm. Okay. Mhm. Mhm. Yeah. Yeah. Mhm. What? Yeah. Yeah. Right. Mhm Yeah. Yeah. Mhm Yeah. Mhm Right. Yeah. Yeah. Until we get enough for everything, some, some cost, you know, they got another call. Oh, mhm. This yeah. Yeah. Okay. Mhm Yeah. Uh huh. What? Uh huh Oh, mm hmm. Yeah,",,439.0,3,False,False,143
1,5d09658d561a350001d62540,442.04,446.46,Hello mm can you hear me?,2.3000000000000114,4.419999999999959,1,True,False,6
2,5eb29a3db97d6b0008d24a1a,448.44,449.55,I can hear you. Can you hear me?,1.9800000000000182,1.1100000000000136,1,True,False,8
3,5d09658d561a350001d62540,450.44,453.24,Yes we're good. Hi,0.8899999999999864,2.8000000000000114,0,False,False,5
4,5eb29a3db97d6b0008d24a1a,453.04,453.26,Mm,-0.19999999999998863,0.21999999999997044,0,False,True,1
5,5d09658d561a350001d62540,453.24,453.42,how,-0.01999999999998181,0.18000000000000682,0,False,True,1
6,5eb29a3db97d6b0008d24a1a,453.26,454.06,hmm.,-0.160000000000025,0.8000000000000114,0,False,True,1
7,5d09658d561a350001d62540,453.42,453.86,are you?,-0.6399999999999864,0.4399999999999977,1,True,True,2
8,5eb29a3db97d6b0008d24a1a,455.24,456.26,I'm good. How are you?,1.3799999999999955,1.0199999999999818,1,True,False,6
9,5d09658d561a350001d62540,456.84,460.95,Good good. My name is Trudy. What's your name?,0.5799999999999841,4.110000000000014,1,True,False,10
10,5eb29a3db97d6b0008d24a1a,460.24,462.25,My name is Mark.,-0.7099999999999795,2.009999999999991,0,False,True,4
11,5d09658d561a350001d62540,461.84,469.46,Mark? So Mark Missing. Get mine go. Are you in the States? Where do you live?,-0.410000000000025,7.6200000000000045,3,True,True,16
