turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5dddbebeb966ded354c7ab3b,1.67,277.94,"Yeah. Mm hmm. Yeah. Mhm. Mhm. Right. Okay. Okay. Yeah. And your question. Mhm, mm hmm. Mhm. Yeah. Okay. Mhm. Mhm. Okay. What is that? Yeah. Yeah. Yeah. Mhm. Mhm. Yeah, at least thank you. Okay. Mhm. I'm gonna be doing. Mhm. Uh huh. Yeah. Yeah. No problem. Yeah. That's what it comes with the territory of the credit. Yeah. Mhm. Yeah. Mhm. Okay. Yeah. Everything. Oh. Mhm. Yeah. Thank you. Yeah. Mhm. Yeah. Mhm. Yeah. Yeah. Mhm. Uh huh. Mhm. Yeah. Yeah. Right. Okay. Yeah. Thank you. Yeah. Yeah. Yeah. Mhm. Yeah. Mhm. Yeah. Yeah. Yeah. Okay. Yeah. Yeah. From memory. Yeah. Uh huh. Mhm. Yeah. Mhm. Uh huh.",,276.27,1,False,False,113
1,5f1e9b5ffe1f70029559f24c,276.84,277.45,wow,-1.1000000000000227,0.6100000000000136,0,False,True,1
2,5dddbebeb966ded354c7ab3b,278.44,278.76,Mhm.,0.9900000000000091,0.3199999999999932,0,False,False,1
3,5f1e9b5ffe1f70029559f24c,279.04,279.85,from yonder.,0.28000000000002956,0.8100000000000023,0,False,False,2
4,5dddbebeb966ded354c7ab3b,279.54,280.56,Hello?,-0.3100000000000023,1.0199999999999818,1,True,True,1
5,5f1e9b5ffe1f70029559f24c,281.14,281.46,Right.,0.5799999999999841,0.3199999999999932,0,False,False,1
6,5dddbebeb966ded354c7ab3b,282.24,282.89,"I would, I would",0.7800000000000296,0.6499999999999773,0,False,False,4
7,5f1e9b5ffe1f70029559f24c,282.74,282.95,Right.,-0.14999999999997726,0.20999999999997954,0,False,True,1
8,5dddbebeb966ded354c7ab3b,282.89,286.05,say good afternoon. I assume it is. Unless you're in hawaii good afternoon too.,-0.060000000000002274,3.160000000000025,0,False,True,15
9,5f1e9b5ffe1f70029559f24c,285.74,287.34,"Yes, it's afternoon",-0.3100000000000023,1.599999999999966,0,False,True,4
10,5dddbebeb966ded354c7ab3b,287.04,287.36,Yeah.,-0.2999999999999545,0.3199999999999932,0,False,True,1
11,5f1e9b5ffe1f70029559f24c,287.34,288.15,here. I'm,-0.020000000000038654,0.8100000000000023,0,False,True,3
12,5dddbebeb966ded354c7ab3b,288.12,288.79,Offered,-0.029999999999972715,0.6700000000000159,0,False,True,1
13,5f1e9b5ffe1f70029559f24c,288.15,289.55,in federal time.,-0.6400000000000432,1.400000000000034,0,False,True,3
14,5dddbebeb966ded354c7ab3b,289.44,292.05,central time specific time.,-0.11000000000001364,2.6100000000000136,0,False,True,4
15,5f1e9b5ffe1f70029559f24c,291.44,293.32,"Okay, how",-0.6100000000000136,1.8799999999999955,0,False,True,2
16,5dddbebeb966ded354c7ab3b,293.04,293.49,Yeah.,-0.2799999999999727,0.44999999999998863,0,False,True,1
17,5f1e9b5ffe1f70029559f24c,293.32,294.65,are you doing?,-0.17000000000001592,1.329999999999984,1,True,True,3
18,5dddbebeb966ded354c7ab3b,294.14,299.86,"Uh well, ostensibly a little awkward. How are you?",-0.5099999999999909,5.720000000000027,1,True,True,9
19,5f1e9b5ffe1f70029559f24c,298.84,302.15,I'm fine. We'll get you through it.,-1.0200000000000387,3.3100000000000023,0,False,True,9
20,5dddbebeb966ded354c7ab3b,302.04,305.38,"Oh, yeah, What's your name, David?",-0.1099999999999568,3.339999999999975,1,True,True,7
21,5f1e9b5ffe1f70029559f24c,304.04,304.85,I'm David,-1.339999999999975,0.8100000000000023,0,False,True,3
22,5dddbebeb966ded354c7ab3b,305.39,306.15,My name is Deborah.,0.5399999999999636,0.7599999999999909,0,False,False,4
23,5f1e9b5ffe1f70029559f24c,307.04,308.06,Devry.,0.8900000000000432,1.0199999999999818,0,False,False,1
24,5dddbebeb966ded354c7ab3b,307.14,309.06,Yes.,-0.9200000000000159,1.920000000000016,0,False,True,1
25,5f1e9b5ffe1f70029559f24c,308.74,310.56,Okay.,-0.3199999999999932,1.8199999999999932,0,False,True,1
