turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e26a04f727e048d3e0b9459,5.64,68.16,"mhm. Okay. Yeah, you're right. Mhm. Mhm.",,62.519999999999996,0,False,False,8
1,5f15da27044c9b700c9b7432,89.14,89.95,Hello.,20.980000000000004,0.8100000000000023,0,False,False,1
2,5e26a04f727e048d3e0b9459,89.54,92.16,Mhm. He has gone.,-0.4099999999999966,2.6199999999999903,0,False,True,4
3,5f15da27044c9b700c9b7432,92.94,93.75,How you doing?,0.7800000000000011,0.8100000000000023,1,True,False,3
4,5e26a04f727e048d3e0b9459,94.74,95.66,Okay. How are you?,0.9899999999999949,0.9200000000000017,1,True,False,4
5,5f15da27044c9b700c9b7432,95.34,99.36,Say like that. I'm fine. Sound like the connection is not too good.,-0.3199999999999932,4.019999999999996,0,False,True,14
6,5e26a04f727e048d3e0b9459,99.94,100.38,"Yes,",0.5799999999999983,0.4399999999999977,0,False,False,1
7,5f15da27044c9b700c9b7432,100.04,100.47,How's my,-0.3399999999999892,0.4299999999999926,0,False,True,3
8,5e26a04f727e048d3e0b9459,100.39,101.02,isn't,-0.0799999999999983,0.6299999999999955,0,False,True,2
9,5f15da27044c9b700c9b7432,100.47,100.96,picture?,-0.5499999999999972,0.4899999999999949,1,True,True,1
10,5e26a04f727e048d3e0b9459,101.02,103.36,it? Yours is good house mine.,0.060000000000002274,2.3400000000000034,1,False,False,6
11,5f15da27044c9b700c9b7432,104.14,106.36,That's a little blurry. But I can see you,0.7800000000000011,2.219999999999999,0,False,False,10
12,5e26a04f727e048d3e0b9459,107.24,107.66,Okay.,0.8799999999999955,0.4200000000000017,0,False,False,1
13,5f15da27044c9b700c9b7432,107.74,109.85,yeah. Where are you from?,0.0799999999999983,2.1099999999999994,1,True,False,5
14,5e26a04f727e048d3e0b9459,110.24,112.66,"So I'm from Illinois, are you from?",0.39000000000000057,2.4200000000000017,1,True,False,8
15,5f15da27044c9b700c9b7432,112.64,115.55,Uh From California? From L. A.,-0.01999999999999602,2.9099999999999966,1,False,True,6
16,5e26a04f727e048d3e0b9459,115.84,117.65,"Oh, nice. And",0.29000000000000625,1.8100000000000023,0,False,False,3
17,5f15da27044c9b700c9b7432,117.14,119.26,Yeah.,-0.5100000000000051,2.1200000000000045,0,False,True,1
18,5e26a04f727e048d3e0b9459,118.44,119.91,I think most,-0.8200000000000074,1.4699999999999989,0,False,True,3
19,5f15da27044c9b700c9b7432,119.74,119.95,Mhm.,-0.1700000000000017,0.21000000000000796,0,False,True,1
20,5e26a04f727e048d3e0b9459,119.91,121.26,of the people at,-0.04000000000000625,1.3500000000000085,0,False,True,4
21,5f15da27044c9b700c9b7432,121.04,121.55,Okay.,-0.21999999999999886,0.5099999999999909,0,False,True,1
22,5e26a04f727e048d3e0b9459,121.35,122.06,"this before,",-0.20000000000000284,0.710000000000008,0,False,True,2
23,5f15da27044c9b700c9b7432,123.04,124.45,Mhm.,0.980000000000004,1.4099999999999966,0,False,False,1
24,5e26a04f727e048d3e0b9459,123.94,124.95,most of the people,-0.5100000000000051,1.0100000000000051,0,False,True,4
25,5f15da27044c9b700c9b7432,124.94,125.11,Uh,-0.010000000000005116,0.1700000000000017,0,False,True,1
26,5e26a04f727e048d3e0b9459,124.95,125.41,I've talked,-0.1599999999999966,0.45999999999999375,0,False,True,3
27,5f15da27044c9b700c9b7432,125.11,127.75,huh.,-0.29999999999999716,2.6400000000000006,0,False,True,1
28,5e26a04f727e048d3e0b9459,125.41,127.86,to have been from California actually.,-2.3400000000000034,2.450000000000003,0,False,True,6
29,5f15da27044c9b700c9b7432,128.24,129.12,Is,0.38000000000000966,0.8799999999999955,0,False,False,1
30,5e26a04f727e048d3e0b9459,128.94,129.14,Yeah.,-0.18000000000000682,0.19999999999998863,0,False,True,1
31,5f15da27044c9b700c9b7432,129.12,129.95,that right?,-0.01999999999998181,0.8299999999999841,1,True,True,2
32,5e26a04f727e048d3e0b9459,129.94,130.35,Yeah.,-0.009999999999990905,0.4099999999999966,0,False,True,1
33,5f15da27044c9b700c9b7432,130.54,131.32,Yeah.,0.18999999999999773,0.7800000000000011,0,False,False,1
34,5e26a04f727e048d3e0b9459,131.24,131.44,Yeah.,-0.07999999999998408,0.19999999999998863,0,False,True,1
35,5f15da27044c9b700c9b7432,131.33,132.76,So is it hot there?,-0.10999999999998522,1.4299999999999784,1,True,True,5
36,5e26a04f727e048d3e0b9459,133.44,135.75,"So it's crazy where I am,",0.6800000000000068,2.3100000000000023,0,False,False,7
37,5f15da27044c9b700c9b7432,135.54,135.75,Mhm.,-0.21000000000000796,0.21000000000000796,0,False,True,1
38,5e26a04f727e048d3e0b9459,136.24,136.56,other,0.4900000000000091,0.3199999999999932,0,False,False,1
39,5f15da27044c9b700c9b7432,136.54,136.75,Mhm.,-0.020000000000010232,0.21000000000000796,0,False,True,1
40,5e26a04f727e048d3e0b9459,136.56,138.01,kind of by Springfield.,-0.18999999999999773,1.4499999999999886,0,False,True,4
41,5f15da27044c9b700c9b7432,137.64,137.84,Yeah.,-0.37000000000000455,0.20000000000001705,0,False,True,1
42,5e26a04f727e048d3e0b9459,138.02,139.97,Um So pretty,0.18000000000000682,1.9499999999999886,0,False,False,3
43,5f15da27044c9b700c9b7432,139.84,140.16,Yeah.,-0.12999999999999545,0.3199999999999932,0,False,True,1
44,5e26a04f727e048d3e0b9459,139.97,142.75,"close to the Mississippi, so there's like a lot of humidity",-0.18999999999999773,2.780000000000001,0,False,True,12
45,5f15da27044c9b700c9b7432,143.24,143.56,Oh,0.4900000000000091,0.3199999999999932,0,False,False,1
46,5e26a04f727e048d3e0b9459,143.34,144.39,and uh,-0.21999999999999886,1.049999999999983,0,False,True,2
47,5f15da27044c9b700c9b7432,144.14,144.34,yeah.,-0.25,0.20000000000001705,0,False,True,1
48,5e26a04f727e048d3e0b9459,144.4,147.46,"normally be like 100, but",0.060000000000002274,3.0600000000000023,0,False,False,5
49,5f15da27044c9b700c9b7432,147.19,148.43,"Right, mm",-0.27000000000001023,1.240000000000009,0,False,True,2
50,5e26a04f727e048d3e0b9459,148.34,148.74,It's,-0.09000000000000341,0.4000000000000057,0,False,True,2
51,5f15da27044c9b700c9b7432,148.43,148.66,hmm.,-0.3100000000000023,0.22999999999998977,0,False,True,1
52,5e26a04f727e048d3e0b9459,148.74,151.66,been like 80s the past week for whatever reason.,0.0800000000000125,2.9199999999999875,0,False,False,9
53,5f15da27044c9b700c9b7432,152.14,153.96,Oh y'all got the good weather then.,0.47999999999998977,1.8200000000000216,0,False,False,8
54,5e26a04f727e048d3e0b9459,153.64,156.76,I know it's it's the first time in like 10 years. It's pretty rad.,-0.3200000000000216,3.1200000000000045,0,False,True,17
55,5f15da27044c9b700c9b7432,157.54,163.66,"Yeah, that's usually Ella's whether we've been hot, it's been very very hot.",0.7800000000000011,6.1200000000000045,0,False,False,17
56,5e26a04f727e048d3e0b9459,164.24,167.96,"Yeah, I've got a friend who lives up in the bay and uh",0.5800000000000125,3.719999999999999,0,False,False,14
57,5f15da27044c9b700c9b7432,167.64,167.96,Yeah.,-0.3200000000000216,0.3200000000000216,0,False,True,1
58,5e26a04f727e048d3e0b9459,168.54,169.41,"yeah, he's been saying",0.5799999999999841,0.8700000000000045,0,False,False,5
59,5f15da27044c9b700c9b7432,169.24,169.52,Uh,-0.1699999999999875,0.28000000000000114,0,False,True,1
60,5e26a04f727e048d3e0b9459,169.42,169.79,between,-0.10000000000002274,0.37000000000000455,0,False,True,1
61,5f15da27044c9b700c9b7432,169.52,170.25,huh.,-0.2699999999999818,0.7299999999999898,0,False,True,1
62,5e26a04f727e048d3e0b9459,169.79,171.07,all the fires and everything,-0.46000000000000796,1.2800000000000011,0,False,True,5
63,5f15da27044c9b700c9b7432,170.94,171.09,At the,-0.12999999999999545,0.15000000000000568,0,False,True,2
64,5e26a04f727e048d3e0b9459,171.07,171.56,that,-0.020000000000010232,0.4900000000000091,0,False,True,1
65,5f15da27044c9b700c9b7432,171.1,171.45,moment.,-0.46000000000000796,0.3499999999999943,0,False,True,1
66,5e26a04f727e048d3e0b9459,172.44,175.16,"yeah, an update.",0.9900000000000091,2.719999999999999,0,False,False,3
67,5f15da27044c9b700c9b7432,175.65,181.86,"All right. Yeah, they're going through it right now",0.4900000000000091,6.210000000000008,0,False,False,10
68,5e26a04f727e048d3e0b9459,182.24,182.45,Mm.,0.37999999999999545,0.20999999999997954,0,False,False,1
69,5f15da27044c9b700c9b7432,182.84,183.62,"and the baby,",0.3900000000000148,0.7800000000000011,0,False,False,3
70,5e26a04f727e048d3e0b9459,184.24,184.65,Yeah.,0.6200000000000045,0.4099999999999966,0,False,False,1
71,5f15da27044c9b700c9b7432,185.44,185.71,you,0.789999999999992,0.27000000000001023,0,False,False,1
72,5e26a04f727e048d3e0b9459,185.64,185.84,Yeah.,-0.0700000000000216,0.20000000000001705,0,False,True,1
73,5f15da27044c9b700c9b7432,185.71,197.32,"know, they're going through it, you know, the baby is kind of rough right now. I was just watching on the news that I currently stay in the high desert, so it's even hotter than L. A. But uh I was down there the whole weekend and it was",-0.12999999999999545,11.609999999999985,0,False,True,51
74,5e26a04f727e048d3e0b9459,196.74,197.16,World,-0.5799999999999841,0.4199999999999875,0,False,True,1
75,5f15da27044c9b700c9b7432,197.33,207.56,"it was hot. It's normally hot. Not hot like that. It was even hot at the beach. Usually the beaches, the coolest spot where other than the mountains, but the beaches was hot at the beach.",0.17000000000001592,10.22999999999999,0,False,False,37
76,5e26a04f727e048d3e0b9459,208.24,208.86,Yeah.,0.6800000000000068,0.6200000000000045,0,False,False,1
77,5f15da27044c9b700c9b7432,208.7,210.86,That was pretty much at the beach all weekend.,-0.160000000000025,2.160000000000025,0,False,True,9
78,5e26a04f727e048d3e0b9459,211.74,213.96,Yeah. I felt I couldn't do that. Like I,0.8799999999999955,2.219999999999999,0,False,False,10
79,5f15da27044c9b700c9b7432,213.94,214.14,Yeah.,-0.020000000000010232,0.19999999999998863,0,False,True,1
80,5e26a04f727e048d3e0b9459,213.97,214.74,don't do,-0.1699999999999875,0.7700000000000102,0,False,True,3
81,5f15da27044c9b700c9b7432,214.54,214.86,Yeah.,-0.20000000000001705,0.3200000000000216,0,False,True,1
82,5e26a04f727e048d3e0b9459,214.74,217.95,"well with the heat like at all. Like I like the dead of winter,",-0.12000000000000455,3.2099999999999795,0,False,True,14
83,5f15da27044c9b700c9b7432,217.81,218.82,Yeah.,-0.13999999999998636,1.009999999999991,0,False,True,1
84,5e26a04f727e048d3e0b9459,217.96,222.26,like 20° for whatever reason. And,-0.8599999999999852,4.299999999999983,0,False,True,7
85,5f15da27044c9b700c9b7432,221.44,222.56,Mhm. Good morning.,-0.8199999999999932,1.1200000000000045,0,False,True,3
86,5e26a04f727e048d3e0b9459,223.34,224.31,like Death,0.7800000000000011,0.9699999999999989,0,False,False,2
87,5f15da27044c9b700c9b7432,224.24,224.84,Report,-0.06999999999999318,0.5999999999999943,0,False,True,1
88,5e26a04f727e048d3e0b9459,224.31,225.12,Valley is,-0.5300000000000011,0.8100000000000023,0,False,True,2
89,5f15da27044c9b700c9b7432,224.85,225.05,on,-0.27000000000001023,0.20000000000001705,0,False,True,1
90,5e26a04f727e048d3e0b9459,225.12,227.15,like crazy to me.,0.06999999999999318,2.030000000000001,0,False,False,4
91,5f15da27044c9b700c9b7432,226.74,241.31,"come here. Oh, yeah. That's that's that's low desert. That's hot. Low desert is hot. But Death Valley is considered the hottest place on the planet. So that's kind of extreme. 1 30. Yes. It's pretty rough.",-0.4099999999999966,14.569999999999993,0,False,True,43
92,5e26a04f727e048d3e0b9459,240.64,241.35,Yeah.,-0.6700000000000159,0.710000000000008,0,False,True,1
93,5f15da27044c9b700c9b7432,241.32,261.05,"I could 1 30 is rough. Yeah. Yeah, But at least that, Yeah. That's crazy. You stole our weather. That's what we're seeing. Like our city switched, I think has been in the nineties though. I don't know. I know. It's just super hot. Hmm.",-0.030000000000001137,19.730000000000018,0,False,True,50
94,5e26a04f727e048d3e0b9459,256.64,266.46,"Yeah. No it's it's been a welcome change. Uh So right now I have a temp job and I'm working for the census, so I'm like walking around a lot outside. And uh",-4.410000000000025,9.819999999999993,0,False,True,37
95,5f15da27044c9b700c9b7432,266.09,266.66,Right.,-0.37000000000000455,0.57000000000005,0,False,True,1
96,5e26a04f727e048d3e0b9459,267.74,268.63,had,1.079999999999984,0.8899999999999864,0,False,False,1
97,5f15da27044c9b700c9b7432,267.94,268.14,Yeah.,-0.6899999999999977,0.19999999999998863,0,False,True,1
