turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e2de5a5ca99353d0b03b72d,6.64,7.55,Mhm. Mhm.,,0.9100000000000001,0,False,False,2
1,5e55483da19eae000c314220,7.94,8.15,Mhm.,0.39000000000000057,0.20999999999999996,0,False,False,1
2,5e2de5a5ca99353d0b03b72d,9.64,10.66,Oh,1.4900000000000002,1.0199999999999996,0,False,False,1
3,5e55483da19eae000c314220,11.24,13.16,Are you?,0.5800000000000001,1.92,1,True,False,2
4,5e2de5a5ca99353d0b03b72d,12.74,13.36,whatever,-0.41999999999999993,0.6199999999999992,0,False,True,1
5,5e55483da19eae000c314220,14.24,15.12,"Whoa,",0.8800000000000008,0.879999999999999,0,False,False,1
6,5e2de5a5ca99353d0b03b72d,17.94,18.75,I'm Rebecca,2.820000000000002,0.8099999999999987,0,False,False,3
7,5e55483da19eae000c314220,18.44,28.33,Okay. I'm bailey. Nice to meet you. Uh Are we just muscle his talk? Can presently,-0.3099999999999987,9.889999999999997,1,False,True,17
8,5e2de5a5ca99353d0b03b72d,28.14,28.92,"yeah,",-0.18999999999999773,0.7800000000000011,0,False,True,1
9,5e55483da19eae000c314220,28.34,28.86,heard it?,-0.5800000000000018,0.5199999999999996,1,True,True,2
10,5e2de5a5ca99353d0b03b72d,28.92,31.95,I thought I thought they were going to give us something to talk about.,0.060000000000002274,3.0299999999999976,0,False,False,14
11,5e55483da19eae000c314220,32.64,35.06,"Yeah, I thought there was any questions or something. Good.",0.6900000000000013,2.4200000000000017,0,False,False,10
12,5e2de5a5ca99353d0b03b72d,35.44,35.95,"Okay,",0.37999999999999545,0.5100000000000051,0,False,False,1
13,5e55483da19eae000c314220,35.44,37.36,"Well, okay,",-0.5100000000000051,1.9200000000000017,0,False,True,2
14,5e2de5a5ca99353d0b03b72d,37.24,38.05,"thank you and stuff,",-0.11999999999999744,0.8099999999999952,0,False,True,4
15,5e55483da19eae000c314220,38.24,39.16,how's your day going?,0.19000000000000483,0.9199999999999946,1,True,False,5
16,5e2de5a5ca99353d0b03b72d,39.94,42.55,"it's good, I just woke up for this, so",0.7800000000000011,2.6099999999999994,0,False,False,10
17,5e55483da19eae000c314220,42.94,43.79,"Yeah, I know.",0.39000000000000057,0.8500000000000014,0,False,False,3
18,5e2de5a5ca99353d0b03b72d,43.74,44.36,"Yeah,",-0.04999999999999716,0.6199999999999974,0,False,True,1
19,5e55483da19eae000c314220,43.79,48.55,"I just got the email problem like, okay, it's 10 30. I was like, oh, okay.",-0.5700000000000003,4.759999999999998,0,False,True,17
20,5e2de5a5ca99353d0b03b72d,48.44,48.94,"yeah,",-0.10999999999999943,0.5,0,False,True,1
21,5e55483da19eae000c314220,49.94,50.96,"Where are you from,",1.0,1.0200000000000031,0,False,False,4
22,5e2de5a5ca99353d0b03b72d,51.54,52.95,I live in Chicago.,0.5799999999999983,1.4100000000000037,0,False,False,4
23,5e55483da19eae000c314220,53.54,54.72,Chicago? Okay.,0.5899999999999963,1.1799999999999997,1,False,False,2
24,5e2de5a5ca99353d0b03b72d,54.34,54.75,"Yeah,",-0.37999999999999545,0.4099999999999966,0,False,True,1
25,5e55483da19eae000c314220,54.73,55.96,I'm from Nebraska.,-0.020000000000003126,1.230000000000004,0,False,True,4
26,5e2de5a5ca99353d0b03b72d,56.24,56.66,okay.,0.28000000000000114,0.4199999999999946,0,False,False,1
27,5e55483da19eae000c314220,57.54,60.76,"Well, is it nice there or is it kind of cold?",0.8800000000000026,3.219999999999999,1,True,False,11
28,5e2de5a5ca99353d0b03b72d,61.24,63.23,"Um It's kind of cold, it was raining",0.480000000000004,1.9899999999999949,0,False,False,9
29,5e55483da19eae000c314220,63.14,63.46,Yes.,-0.0899999999999963,0.3200000000000003,0,False,True,1
30,5e2de5a5ca99353d0b03b72d,63.23,67.97,"yesterday, apparently it might look snow in some places as",-0.23000000000000398,4.740000000000002,0,False,True,10
