turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e438573651bae2106fb0f21,3.14,454.76,"All right, Okay. Okay. Yeah. Mhm. My history. Mm. Yeah. Yeah. Right. Yeah. Yeah. Yeah. Oh yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Oh yeah. Yeah. Yeah. Yeah. Look, yeah. Right. Yeah. Okay. No. Oh yeah. Yeah. Mhm. Mhm. Yes. Oh, mm. Yes. Yeah. Okay. Yeah. Yeah. Yeah. Mhm. Yeah. Yeah, wow. Uh Mhm. Uh huh. Oh. Uh huh. Oh, yeah. So patient. Yeah. Yeah. So yeah. Mhm, mm hmm. Uh Yeah. Thank you. Oh yeah. Mhm, mm hmm. Yeah. Mhm. What like? Yeah. Yeah, wow. Yeah. Mhm. He said Okay. Mhm. Yeah. Mhm. Mhm. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Uh Oh, mm. Yeah. Mhm. Mhm. Yeah. Yeah. Thank you. Mm hmm. Yeah. Yeah. Yeah.",,451.62,1,False,False,119
1,587418895c17910001ea4e75,457.84,458.35,Hey.,3.079999999999984,0.5100000000000477,0,False,False,1
2,5e438573651bae2106fb0f21,458.64,461.96,"Hi, I'm surprised someone actually showed up.",0.2899999999999636,3.319999999999993,0,False,False,8
3,587418895c17910001ea4e75,461.64,465.26,Mhm. Have you been stood up a lot?,-0.3199999999999932,3.6200000000000045,1,True,True,8
4,5e438573651bae2106fb0f21,464.74,466.49,"Yeah, I've done this",-0.5199999999999818,1.75,0,False,True,5
5,587418895c17910001ea4e75,466.14,466.35,"Well,",-0.35000000000002274,0.21000000000003638,0,False,True,1
6,5e438573651bae2106fb0f21,466.5,473.65,"survey thing a couple of times in the past and um someone like people have not shown up in the past, so, but this is exciting.",0.14999999999997726,7.149999999999977,0,False,False,26
7,587418895c17910001ea4e75,474.04,474.31,"yeah,",0.3900000000000432,0.2699999999999818,0,False,False,1
8,5e438573651bae2106fb0f21,474.14,474.34,Yeah.,-0.17000000000001592,0.19999999999998863,0,False,True,1
9,587418895c17910001ea4e75,474.31,481.76,I think this is the this is the first time I've done it and to other people have not shown up,-0.029999999999972715,7.449999999999989,0,False,True,22
10,5e438573651bae2106fb0f21,482.04,482.25,Okay.,0.28000000000002956,0.20999999999997954,0,False,False,1
11,587418895c17910001ea4e75,482.34,484.05,so,0.08999999999997499,1.7100000000000364,0,False,False,1
12,5e438573651bae2106fb0f21,483.54,489.36,"Yeah, it's so frustrating, but well, my name is Grace. It's nice to meet you.",-0.5099999999999909,5.819999999999993,0,False,True,17
13,587418895c17910001ea4e75,489.64,491.46,"I'm Rachel, Nice to meet you too.",0.2799999999999727,1.8199999999999932,0,False,False,8
14,5e438573651bae2106fb0f21,492.04,495.98,"So how are you, Rachel? How's your day?",0.5800000000000409,3.9399999999999977,2,True,False,9
15,587418895c17910001ea4e75,495.94,506.06,"Um It's pretty nice actually. Um I slept in, it's really raining today and it's just been kind of a gloomy day and been hanging out with my cats.",-0.040000000000020464,10.120000000000005,0,False,True,32
16,5e438573651bae2106fb0f21,506.74,506.99,How,0.6800000000000068,0.25,0,False,False,1
17,587418895c17910001ea4e75,506.84,506.99,What,-0.1500000000000341,0.1500000000000341,0,False,True,1
18,5e438573651bae2106fb0f21,506.99,507.17,many,0.0,0.18000000000000682,0,False,False,1
19,587418895c17910001ea4e75,506.99,507.33,about,-0.18000000000000682,0.339999999999975,0,False,True,1
20,5e438573651bae2106fb0f21,507.17,507.55,cats,-0.15999999999996817,0.37999999999999545,0,False,True,1
21,587418895c17910001ea4e75,507.34,507.56,them?,-0.21000000000003638,0.22000000000002728,1,True,True,1
22,5e438573651bae2106fb0f21,507.55,509.35,do have? I'm sorry.,-0.009999999999990905,1.8000000000000114,1,False,True,5
23,587418895c17910001ea4e75,509.34,510.86,"Yeah,",-0.010000000000047748,1.5200000000000387,0,False,True,1
24,5e438573651bae2106fb0f21,510.24,510.56,All right.,-0.6200000000000045,0.3199999999999932,0,False,True,2
