turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e5dddabde7bcc0f4e431817,1.14,65.66,Yeah basically since I got here Actually. What? Yeah. Yeah. Yeah. Mhm. Something. Yeah. Mhm. And he's not like I know shit it's so much more slow down. No. Uh huh. Yeah. Uh huh. Mhm. My homophone aspirants? Okay. Mhm. Parents but Mexico. Mhm. Uh huh. All right. Yes.,,64.52,2,False,False,51
1,5c5ce95a92e37d00012f2d94,66.54,66.86,Cool.,0.8800000000000097,0.3199999999999932,0,False,False,1
2,5e5dddabde7bcc0f4e431817,66.7,69.35,Okay. Hello?,-0.1599999999999966,2.6499999999999915,1,True,True,2
3,5c5ce95a92e37d00012f2d94,69.14,73.04,"Hello. Hi, let me just go to the next page real",-0.20999999999999375,3.9000000000000057,0,False,True,11
4,5e5dddabde7bcc0f4e431817,72.84,73.55,Yeah.,-0.20000000000000284,0.7099999999999937,0,False,True,1
5,5c5ce95a92e37d00012f2d94,73.05,74.36,quick.,-0.5,1.3100000000000023,0,False,True,1
6,5e5dddabde7bcc0f4e431817,74.44,77.16,Oh,0.0799999999999983,2.719999999999999,0,False,False,1
7,5c5ce95a92e37d00012f2d94,76.24,77.95,"Hi, I'm Trina.",-0.9200000000000017,1.710000000000008,0,False,True,4
8,5e5dddabde7bcc0f4e431817,78.44,80.15,hi I'm cool.,0.4899999999999949,1.710000000000008,0,False,False,4
9,5c5ce95a92e37d00012f2d94,80.44,81.66,"Hi honey, where are you?",0.28999999999999204,1.2199999999999989,1,True,False,5
10,5e5dddabde7bcc0f4e431817,81.74,84.26,I'm in California.,0.0799999999999983,2.5200000000000102,0,False,False,4
11,5c5ce95a92e37d00012f2d94,84.84,86.66,Central michigan? So,0.5799999999999983,1.8199999999999932,1,False,False,3
12,5e5dddabde7bcc0f4e431817,86.24,88.16,Oh very fun.,-0.4200000000000017,1.9200000000000017,0,False,True,3
13,5c5ce95a92e37d00012f2d94,88.54,91.75,"yep, yep. So and let's see I've got",0.38000000000000966,3.2099999999999937,0,False,False,10
14,5e5dddabde7bcc0f4e431817,91.44,91.85,Uh huh.,-0.3100000000000023,0.4099999999999966,0,False,True,2
15,5c5ce95a92e37d00012f2d94,91.76,93.13,the cat next,-0.0899999999999892,1.3699999999999903,0,False,True,3
16,5e5dddabde7bcc0f4e431817,93.04,93.24,Yeah.,-0.0899999999999892,0.19999999999998863,0,False,True,1
17,5c5ce95a92e37d00012f2d94,93.13,94.56,to me over here.,-0.10999999999999943,1.4300000000000068,0,False,True,4
18,5e5dddabde7bcc0f4e431817,94.04,94.96,Oh.,-0.519999999999996,0.9199999999999875,0,False,True,1
19,5c5ce95a92e37d00012f2d94,95.24,98.04,"Yeah, Yeah",0.28000000000000114,2.8000000000000114,0,False,False,2
20,5e5dddabde7bcc0f4e431817,98.04,98.09,Uh,0.0,0.04999999999999716,0,False,False,1
21,5c5ce95a92e37d00012f2d94,98.05,98.28,and,-0.04000000000000625,0.23000000000000398,0,False,True,1
22,5e5dddabde7bcc0f4e431817,98.09,99.56,huh.,-0.18999999999999773,1.4699999999999989,0,False,True,1
23,5c5ce95a92e37d00012f2d94,98.28,100.95,then two dogs on the floor. So,-1.2800000000000011,2.6700000000000017,0,False,True,7
24,5e5dddabde7bcc0f4e431817,101.44,102.85,Very nice.,0.4899999999999949,1.4099999999999966,0,False,False,2
25,5c5ce95a92e37d00012f2d94,103.34,106.31,now are you in a dorm or just have so,0.4900000000000091,2.969999999999999,0,False,False,10
26,5e5dddabde7bcc0f4e431817,106.14,107.17,No,-0.1700000000000017,1.0300000000000011,0,False,True,1
27,5c5ce95a92e37d00012f2d94,106.31,107.26,many books?,-0.8599999999999994,0.9500000000000028,1,True,True,2
28,5e5dddabde7bcc0f4e431817,107.18,110.46,I said that's just all my sisters music books.,-0.0799999999999983,3.279999999999987,0,False,True,10
29,5c5ce95a92e37d00012f2d94,110.94,111.96,Okay.,0.480000000000004,1.019999999999996,0,False,False,1
30,5e5dddabde7bcc0f4e431817,112.24,114.06,Yeah.,0.28000000000000114,1.8200000000000074,0,False,False,1
31,5c5ce95a92e37d00012f2d94,112.34,115.34,"Gotcha. Uh huh,",-1.7199999999999989,3.0,0,False,True,3
32,5e5dddabde7bcc0f4e431817,115.44,115.86,Mhm.,0.09999999999999432,0.4200000000000017,0,False,False,1
33,5c5ce95a92e37d00012f2d94,115.94,118.82,"yep I'm in my house, I'm here for",0.0799999999999983,2.8799999999999955,0,False,False,10
34,5e5dddabde7bcc0f4e431817,118.54,119.34,Uh huh.,-0.2799999999999869,0.7999999999999972,0,False,True,2
