turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eea18fc3e537f0c21f2e9df,0.54,26.84,"Okay. Mm. Mhm. Mhm. Okay. Yeah, Good morning. Mhm. Mhm. Mhm, mhm Yeah.",,26.3,0,False,False,13
1,5e387b36caa8e1000da3f0f8,27.14,27.46,Mhm.,0.3000000000000007,0.3200000000000003,0,False,False,1
2,5eea18fc3e537f0c21f2e9df,27.34,27.66,Mhm,-0.120000000000001,0.3200000000000003,0,False,True,1
3,5e387b36caa8e1000da3f0f8,28.44,28.65,Mhm.,0.7800000000000011,0.2099999999999973,0,False,False,1
4,5eea18fc3e537f0c21f2e9df,32.24,33.05,Hello?,3.5900000000000034,0.8099999999999952,1,True,False,1
5,5e387b36caa8e1000da3f0f8,33.24,34.65,"Hi, how are you?",0.19000000000000483,1.4099999999999966,1,True,False,4
6,5eea18fc3e537f0c21f2e9df,34.14,36.66,I'm doing well. How are you today?,-0.509999999999998,2.519999999999996,1,True,True,8
7,5e387b36caa8e1000da3f0f8,36.64,38.35,I am good.,-0.01999999999999602,1.7100000000000009,0,False,True,3
8,5eea18fc3e537f0c21f2e9df,39.14,39.37,Can,0.7899999999999991,0.22999999999999687,0,False,False,1
9,5e387b36caa8e1000da3f0f8,39.34,39.85,So,-0.02999999999999403,0.509999999999998,0,False,True,1
10,5eea18fc3e537f0c21f2e9df,39.37,40.76,you hear me okay?,-0.480000000000004,1.3900000000000006,1,True,True,4
11,5e387b36caa8e1000da3f0f8,40.84,42.46,"yeah, can you hear me?",0.0800000000000054,1.6199999999999974,1,True,False,5
12,5eea18fc3e537f0c21f2e9df,42.64,43.86,"Yes, I can.",0.17999999999999972,1.2199999999999989,0,False,False,3
13,5e387b36caa8e1000da3f0f8,43.54,46.15,"Right, Okay. Good. Fabulous.",-0.3200000000000003,2.6099999999999994,0,False,True,4
14,5eea18fc3e537f0c21f2e9df,46.44,47.24,"Yeah,",0.28999999999999915,0.8000000000000043,0,False,False,1
15,5e387b36caa8e1000da3f0f8,46.74,48.66,So,-0.5,1.9199999999999946,0,False,True,1
16,5eea18fc3e537f0c21f2e9df,48.24,50.12,this is interesting. So,-0.4199999999999946,1.8799999999999955,0,False,True,4
