turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e387b36caa8e1000da3f0f8,1.44,66.16,"Yeah. Yeah. Okay. Yeah. Oh yeah. Mhm Yeah. Yeah. Oh, okay. Oh yeah. Go Mhm Yeah. Yeah. Yeah. Mhm Yeah.",,64.72,0,False,False,20
1,5f055b6ca28292863f750383,69.84,70.25,Uh huh,3.680000000000007,0.4099999999999966,0,False,False,2
2,5e387b36caa8e1000da3f0f8,70.94,71.86,Hello?,0.6899999999999977,0.9200000000000017,1,True,False,1
3,5f055b6ca28292863f750383,72.14,73.46,"Hi, how are you?",0.28000000000000114,1.3199999999999932,1,True,False,4
4,5e387b36caa8e1000da3f0f8,73.94,74.43,I can't,0.480000000000004,0.4900000000000091,0,False,False,3
5,5f055b6ca28292863f750383,74.34,74.44,You,-0.09000000000000341,0.09999999999999432,0,False,True,1
6,5e387b36caa8e1000da3f0f8,74.43,74.77,hear,-0.009999999999990905,0.3399999999999892,0,False,True,1
7,5f055b6ca28292863f750383,74.44,74.76,can,-0.3299999999999983,0.3200000000000074,0,False,True,1
8,5e387b36caa8e1000da3f0f8,74.78,75.05,you.,0.01999999999999602,0.269999999999996,0,False,False,1
9,5f055b6ca28292863f750383,75.24,76.76,Oh um,0.18999999999999773,1.5200000000000102,0,False,False,2
10,5e387b36caa8e1000da3f0f8,76.84,77.05,Mhm.,0.0799999999999983,0.20999999999999375,0,False,False,1
11,5f055b6ca28292863f750383,77.24,79.85,let me see. Can you hear me now?,0.18999999999999773,2.6099999999999994,1,True,False,8
12,5e387b36caa8e1000da3f0f8,79.94,80.75,Mhm.,0.09000000000000341,0.8100000000000023,0,False,False,1
13,5f055b6ca28292863f750383,81.24,83.86,Hello? Yeah.,0.4899999999999949,2.6200000000000045,1,False,False,2
14,5e387b36caa8e1000da3f0f8,85.14,85.76,Mhm.,1.2800000000000011,0.6200000000000045,0,False,False,1
15,5f055b6ca28292863f750383,86.64,86.85,Mhm,0.8799999999999955,0.20999999999999375,0,False,False,1
16,5e387b36caa8e1000da3f0f8,87.44,87.64,Yeah.,0.5900000000000034,0.20000000000000284,0,False,False,1
17,5f055b6ca28292863f750383,88.04,90.48,Yeah. Um,0.4000000000000057,2.4399999999999977,0,False,False,2
18,5e387b36caa8e1000da3f0f8,89.04,89.24,Yeah.,-1.4399999999999977,0.19999999999998863,0,False,True,1
19,5f055b6ca28292863f750383,90.49,92.03,It says my microphone,1.25,1.5400000000000063,0,False,False,4
20,5e387b36caa8e1000da3f0f8,91.74,91.95,Right.,-0.29000000000000625,0.21000000000000796,0,False,True,1
21,5f055b6ca28292863f750383,92.03,97.25,is on right? Um Mhm.,0.0799999999999983,5.219999999999999,1,False,False,5
22,5e387b36caa8e1000da3f0f8,98.38,98.56,Okay.,1.1299999999999955,0.18000000000000682,0,False,False,1
23,5f055b6ca28292863f750383,98.44,99.48,Okay.,-0.12000000000000455,1.0400000000000063,0,False,True,1
24,5e387b36caa8e1000da3f0f8,99.64,99.84,Yeah.,0.1599999999999966,0.20000000000000284,0,False,False,1
25,5f055b6ca28292863f750383,101.94,104.06,One sack. Um,2.0999999999999943,2.1200000000000045,0,False,False,3
26,5e387b36caa8e1000da3f0f8,104.54,104.86,What?,0.480000000000004,0.3199999999999932,1,True,False,1
27,5f055b6ca28292863f750383,104.84,107.56,Hello? No.,-0.01999999999999602,2.719999999999999,1,False,True,2
28,5e387b36caa8e1000da3f0f8,108.44,108.71,Yeah.,0.8799999999999955,0.269999999999996,0,False,False,1
29,5f055b6ca28292863f750383,109.24,110.53,Yeah. Uh,0.5300000000000011,1.2900000000000063,0,False,False,2
30,5e387b36caa8e1000da3f0f8,110.54,110.61,Uh,0.010000000000005116,0.06999999999999318,0,False,False,1
31,5f055b6ca28292863f750383,110.54,112.26,Sorry?,-0.06999999999999318,1.7199999999999989,1,True,True,1
32,5e387b36caa8e1000da3f0f8,110.61,110.95,huh.,-1.6500000000000057,0.3400000000000034,0,False,True,1
33,5f055b6ca28292863f750383,114.04,132.45,Oh. Mhm I don't know what's wrong? Uh huh. Um,3.0900000000000034,18.409999999999982,1,False,False,12
34,5e387b36caa8e1000da3f0f8,128.54,129.65,No. Mhm.,-3.9099999999999966,1.1100000000000136,0,False,True,2
35,5f055b6ca28292863f750383,133.14,133.56,Mhm,3.4899999999999807,0.4200000000000159,0,False,False,1
36,5e387b36caa8e1000da3f0f8,133.74,138.55,Mhm Oh Oh,0.18000000000000682,4.810000000000002,0,False,False,3
37,5f055b6ca28292863f750383,139.34,141.16,checking my settings.,0.789999999999992,1.8199999999999932,0,False,False,3
38,5e387b36caa8e1000da3f0f8,140.14,140.34,yeah.,-1.0200000000000102,0.20000000000001705,0,False,True,1
39,5f055b6ca28292863f750383,142.44,146.06,Yeah. Yeah.,2.0999999999999943,3.6200000000000045,0,False,False,2
40,5e387b36caa8e1000da3f0f8,144.04,155.25,Mhm Right. Mhm. Mhm Yeah. Oh,-2.0200000000000102,11.210000000000008,0,False,True,6
41,5f055b6ca28292863f750383,158.34,162.64,Camera. Mhm Yeah.,3.0900000000000034,4.299999999999983,0,False,False,3
42,5e387b36caa8e1000da3f0f8,161.54,164.94,Yeah. Yeah.,-1.0999999999999943,3.4000000000000057,0,False,True,2
43,5f055b6ca28292863f750383,165.04,165.78,I don't know what,0.09999999999999432,0.7400000000000091,0,False,False,5
44,5e387b36caa8e1000da3f0f8,165.74,165.95,Mhm.,-0.03999999999999204,0.20999999999997954,0,False,True,1
45,5f055b6ca28292863f750383,165.78,166.75,to do.,-0.1699999999999875,0.9699999999999989,0,False,True,2
46,5e387b36caa8e1000da3f0f8,172.04,172.25,Okay.,5.289999999999992,0.21000000000000796,0,False,False,1
47,5f055b6ca28292863f750383,172.04,173.86,There's like no buttons.,-0.21000000000000796,1.8200000000000216,0,False,True,5
48,5e387b36caa8e1000da3f0f8,176.04,176.36,Mhm,2.1799999999999784,0.3200000000000216,0,False,False,1
49,5f055b6ca28292863f750383,177.64,179.05,Um,1.2799999999999727,1.410000000000025,0,False,False,1
50,5e387b36caa8e1000da3f0f8,178.84,179.16,Oh,-0.21000000000000796,0.3199999999999932,0,False,True,1
51,5f055b6ca28292863f750383,179.74,179.94,Yeah.,0.5800000000000125,0.19999999999998863,0,False,False,1
52,5e387b36caa8e1000da3f0f8,180.14,180.46,yeah.,0.19999999999998863,0.3200000000000216,0,False,False,1
53,5f055b6ca28292863f750383,180.54,181.05,Have,0.07999999999998408,0.5100000000000193,0,False,False,1
54,5e387b36caa8e1000da3f0f8,181.24,185.06,"Oh, okay.",0.18999999999999773,3.819999999999993,0,False,False,2
55,5f055b6ca28292863f750383,185.04,188.66,Yeah.,-0.020000000000010232,3.6200000000000045,0,False,True,1
56,5e387b36caa8e1000da3f0f8,187.64,206.96,"Well Oh, okay. Well, no. Yeah, I'm fine with their Uh huh. Mhm",-1.0200000000000102,19.32000000000002,0,False,True,14
57,5f055b6ca28292863f750383,206.84,207.16,Yeah.,-0.12000000000000455,0.3199999999999932,0,False,True,1
58,5e387b36caa8e1000da3f0f8,208.34,209.45,Money. Mhm.,1.1800000000000068,1.1099999999999852,0,False,False,2
59,5f055b6ca28292863f750383,214.24,214.56,Okay.,4.7900000000000205,0.3199999999999932,0,False,False,1
60,5e387b36caa8e1000da3f0f8,218.64,222.14,Mhm Yeah. Yeah.,4.079999999999984,3.5,0,False,False,3
61,5f055b6ca28292863f750383,222.34,224.94,I,0.20000000000001705,2.5999999999999943,0,False,False,1
62,5e387b36caa8e1000da3f0f8,222.84,224.35,Yeah. Mhm.,-2.0999999999999943,1.509999999999991,0,False,True,2
63,5f055b6ca28292863f750383,224.95,228.25,don't know what to do. I can't find anything.,0.5999999999999943,3.3000000000000114,0,False,False,11
64,5e387b36caa8e1000da3f0f8,227.64,227.85,Okay.,-0.6100000000000136,0.21000000000000796,0,False,True,1
65,5f055b6ca28292863f750383,229.74,234.66,Um,1.8900000000000148,4.9199999999999875,0,False,False,1
66,5e387b36caa8e1000da3f0f8,232.04,233.26,Oh,-2.6200000000000045,1.2199999999999989,0,False,True,1
67,5f055b6ca28292863f750383,235.24,240.76,Oh was,1.9800000000000182,5.519999999999982,0,False,False,2
68,5e387b36caa8e1000da3f0f8,238.84,241.96,yeah. Oh. Mhm.,-1.9199999999999875,3.1200000000000045,0,False,True,3
69,5f055b6ca28292863f750383,241.64,245.06,I Have no idea.,-0.3200000000000216,3.420000000000016,0,False,True,4
70,5e387b36caa8e1000da3f0f8,245.34,245.55,Mhm,0.28000000000000114,0.21000000000000796,0,False,False,1
71,5f055b6ca28292863f750383,245.64,245.84,Yeah.,0.08999999999997499,0.20000000000001705,0,False,False,1
72,5e387b36caa8e1000da3f0f8,246.54,246.74,Yeah.,0.6999999999999886,0.20000000000001705,0,False,False,1
73,5f055b6ca28292863f750383,246.94,247.83,Did,0.19999999999998863,0.8900000000000148,0,False,False,1
74,5e387b36caa8e1000da3f0f8,248.34,253.11,"Okay. Mhm Oh, I love",0.5099999999999909,4.77000000000001,0,False,False,5
75,5f055b6ca28292863f750383,252.94,253.86,Yeah,-0.17000000000001592,0.9200000000000159,0,False,True,1
76,5e387b36caa8e1000da3f0f8,253.11,261.86,you. Okay. Okay. Mhm,-0.75,8.75,0,False,True,4
77,5f055b6ca28292863f750383,262.14,263.64,I,0.2799999999999727,1.5,0,False,False,1
78,5e387b36caa8e1000da3f0f8,265.04,265.45,Yeah.,1.400000000000034,0.40999999999996817,0,False,False,1
79,5f055b6ca28292863f750383,266.24,268.66,Yeah,0.7900000000000205,2.420000000000016,0,False,False,1
80,5e387b36caa8e1000da3f0f8,267.04,270.26,Mhm. Mhm Yeah.,-1.6200000000000045,3.2199999999999704,0,False,True,3
81,5f055b6ca28292863f750383,270.54,276.79,Yeah. Yeah,0.28000000000002956,6.25,0,False,False,2
82,5e387b36caa8e1000da3f0f8,278.14,280.84,Uh huh. Mhm Yeah.,1.349999999999966,2.6999999999999886,0,False,False,4
83,5f055b6ca28292863f750383,284.49,285.89,I've tried reloading it.,3.650000000000034,1.3999999999999773,0,False,False,5
84,5e387b36caa8e1000da3f0f8,286.24,286.44,Yeah.,0.35000000000002274,0.19999999999998863,0,False,False,1
85,5f055b6ca28292863f750383,286.54,289.45,"No, I don't know what to do.",0.10000000000002274,2.909999999999968,0,False,False,8
86,5e387b36caa8e1000da3f0f8,290.34,291.28,You want me to,0.8899999999999864,0.9399999999999977,0,False,False,4
87,5f055b6ca28292863f750383,291.24,293.04,Did,-0.03999999999996362,1.8000000000000114,0,False,True,1
88,5e387b36caa8e1000da3f0f8,291.28,293.46,try to go out?,-1.7600000000000477,2.180000000000007,1,True,True,4
89,5f055b6ca28292863f750383,293.04,294.96,you have to like push anything?,-0.4199999999999591,1.919999999999959,1,True,True,6
90,5e387b36caa8e1000da3f0f8,295.39,296.36,I can try.,0.4300000000000068,0.9700000000000273,0,False,False,3
91,5f055b6ca28292863f750383,295.94,296.75,Mhm,-0.4200000000000159,0.8100000000000023,0,False,True,1
92,5e387b36caa8e1000da3f0f8,297.24,298.55,Uh huh.,0.4900000000000091,1.3100000000000023,0,False,False,2
93,5f055b6ca28292863f750383,297.54,299.66,Yeah. You could try.,-1.009999999999991,2.1200000000000045,0,False,True,4
94,5e387b36caa8e1000da3f0f8,299.54,299.75,Mhm,-0.12000000000000455,0.20999999999997954,0,False,True,1
95,5f055b6ca28292863f750383,299.66,309.96,"I don't know. Yeah, I've tried reloading and it didn't work. Yeah. Oh yeah.",-0.08999999999997499,10.299999999999955,0,False,True,17
96,5e387b36caa8e1000da3f0f8,315.34,315.66,Yeah.,5.3799999999999955,0.32000000000005,0,False,False,1
97,5f055b6ca28292863f750383,315.44,319.06,Hello? Okay. No,-0.22000000000002728,3.6200000000000045,1,False,True,3
98,5e387b36caa8e1000da3f0f8,319.54,321.05,Yeah. Yeah.,0.4800000000000182,1.509999999999991,0,False,False,2
99,5f055b6ca28292863f750383,321.14,322.36,it's okay. Hear me?,0.08999999999997499,1.2200000000000273,1,True,False,5
100,5e387b36caa8e1000da3f0f8,322.34,322.91,In the,-0.020000000000038654,0.57000000000005,0,False,True,2
101,5f055b6ca28292863f750383,322.74,322.95,Yes.,-0.17000000000001592,0.20999999999997954,0,False,True,1
102,5e387b36caa8e1000da3f0f8,322.92,324.28,top,-0.029999999999972715,1.3599999999999568,0,False,True,1
103,5f055b6ca28292863f750383,323.64,324.26,Okay.,-0.6399999999999864,0.6200000000000045,0,False,True,1
104,5e387b36caa8e1000da3f0f8,324.29,325.32,of your screen,0.03000000000002956,1.0299999999999727,0,False,False,3
105,5f055b6ca28292863f750383,324.74,325.46,Mhm,-0.5799999999999841,0.7199999999999704,0,False,True,1
106,5e387b36caa8e1000da3f0f8,325.33,327.56,"there, a little microphone.",-0.12999999999999545,2.230000000000018,0,False,True,4
107,5f055b6ca28292863f750383,328.54,350.55,"There's a little like speaker but there's I don't know what it looks like, it, there's like that in the top but",0.9800000000000182,22.00999999999999,0,False,False,26
108,5e387b36caa8e1000da3f0f8,350.54,351.26,Okay.,-0.009999999999990905,0.7199999999999704,0,False,True,1
109,5f055b6ca28292863f750383,350.55,361.74,no microphone. Oh Oh yeah,-0.7099999999999795,11.189999999999998,0,False,True,5
110,5e387b36caa8e1000da3f0f8,381.93,382.65,Over,20.189999999999998,0.7199999999999704,0,False,False,1
111,5f055b6ca28292863f750383,382.44,383.26,there is.,-0.20999999999997954,0.8199999999999932,0,False,True,2
112,5e387b36caa8e1000da3f0f8,383.04,385.29,there's,-0.21999999999997044,2.25,0,False,True,2
113,5f055b6ca28292863f750383,383.26,385.56,But I've tried looking at and it doesn't do any.,-2.0300000000000296,2.3000000000000114,0,False,True,12
114,5e387b36caa8e1000da3f0f8,385.29,386.55,no microphone there.,-0.2699999999999818,1.259999999999991,0,False,True,3
115,5f055b6ca28292863f750383,386.44,387.39,There is,-0.11000000000001364,0.9499999999999886,0,False,True,2
116,5e387b36caa8e1000da3f0f8,386.94,387.45,Okay.,-0.44999999999998863,0.5099999999999909,0,False,True,1
117,5f055b6ca28292863f750383,387.4,389.05,but it doesn't do anything.,-0.05000000000001137,1.650000000000034,0,False,True,6
118,5e387b36caa8e1000da3f0f8,388.74,390.66,It's not doing anything. Hmm.,-0.3100000000000023,1.920000000000016,0,False,True,6
119,5f055b6ca28292863f750383,390.44,392.14,Yeah.,-0.22000000000002728,1.6999999999999886,0,False,True,1
120,5e387b36caa8e1000da3f0f8,395.54,398.35,Uh huh. Mhm,3.400000000000034,2.8100000000000023,0,False,False,3
121,5f055b6ca28292863f750383,398.44,401.35,"Hello,",0.08999999999997499,2.910000000000025,0,False,False,1
122,5e387b36caa8e1000da3f0f8,398.74,405.16,I don't know. That's so Oh,-2.6100000000000136,6.420000000000016,0,False,True,8
123,5f055b6ca28292863f750383,414.44,418.39,that backwards. I think it's,9.279999999999973,3.9499999999999886,0,False,False,6
124,5e387b36caa8e1000da3f0f8,418.34,419.45,Mhm.,-0.05000000000001137,1.1100000000000136,0,False,True,1
125,5f055b6ca28292863f750383,418.39,419.35,backwards.,-1.0600000000000023,0.9600000000000364,0,False,True,1
126,5e387b36caa8e1000da3f0f8,420.24,420.45,Mhm.,0.8899999999999864,0.20999999999997954,0,False,False,1
127,5f055b6ca28292863f750383,420.24,422.66,Uh huh,-0.20999999999997954,2.420000000000016,0,False,True,2
128,5e387b36caa8e1000da3f0f8,421.34,422.05,Yeah.,-1.32000000000005,0.7100000000000364,0,False,True,1
129,5f055b6ca28292863f750383,423.44,460.73,"uh So frustrating. Yeah. Yeah. Yeah. Mhm Yeah, we tried I'll try",1.3899999999999864,37.29000000000002,0,False,False,13
130,5e387b36caa8e1000da3f0f8,460.54,461.16,Yeah.,-0.18999999999999773,0.6200000000000045,0,False,True,1
131,5f055b6ca28292863f750383,460.73,466.05,leaving and coming back again maybe. Uh Mhm,-0.4300000000000068,5.319999999999993,0,False,True,8
132,5e387b36caa8e1000da3f0f8,470.17,479.55,Yeah. All right.,4.1200000000000045,9.379999999999995,0,False,False,3
133,5f055b6ca28292863f750383,479.84,480.35,Now.,0.2899999999999636,0.5100000000000477,0,False,False,1
134,5e387b36caa8e1000da3f0f8,479.94,482.44,Yeah. Yeah.,-0.410000000000025,2.5,0,False,True,2
135,5f055b6ca28292863f750383,482.44,482.85,Uh huh,0.0,0.410000000000025,0,False,False,2
136,5e387b36caa8e1000da3f0f8,483.24,483.86,Uh huh.,0.38999999999998636,0.6200000000000045,0,False,False,2
