turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ee53940e704230cfe9c301f,11.74,12.25,uh,,0.5099999999999998,0,False,False,1
1,5e820a4e26ed71918013d860,12.44,14.86,Hello. How you doing?,0.1899999999999995,2.42,1,True,False,4
2,5ee53940e704230cfe9c301f,14.64,15.75,"No, I'm good. How are you?",-0.21999999999999886,1.1099999999999994,1,True,True,7
3,5e820a4e26ed71918013d860,16.04,18.73,Pretty good. Pretty good. So,0.28999999999999915,2.6900000000000013,0,False,False,5
4,5ee53940e704230cfe9c301f,18.14,18.76,I,-0.5899999999999999,0.620000000000001,0,False,True,1
5,5e820a4e26ed71918013d860,18.74,24.36,uh I guess we got 25 minutes to talk about something.,-0.020000000000003126,5.620000000000001,0,False,True,11
6,5ee53940e704230cfe9c301f,24.44,25.71,Yes. 25,0.08000000000000185,1.2699999999999996,0,False,False,2
7,5e820a4e26ed71918013d860,25.34,25.66,Mhm.,-0.370000000000001,0.3200000000000003,0,False,True,1
8,5ee53940e704230cfe9c301f,25.71,26.26,minutes.,0.05000000000000071,0.5500000000000007,0,False,False,1
9,5e820a4e26ed71918013d860,26.24,26.75,Yes.,-0.020000000000003126,0.5100000000000016,0,False,True,1
10,5ee53940e704230cfe9c301f,26.27,27.75,Is this your first conversation,-0.4800000000000004,1.4800000000000004,0,False,True,5
11,5e820a4e26ed71918013d860,27.24,27.56,Yeah.,-0.5100000000000016,0.3200000000000003,0,False,True,1
12,5ee53940e704230cfe9c301f,27.75,28.25,with someone?,0.19000000000000128,0.5,1,True,False,2
13,5e820a4e26ed71918013d860,28.14,31.06,Yeah. No actually you're my third,-0.10999999999999943,2.919999999999998,0,False,True,7
14,5ee53940e704230cfe9c301f,31.24,32.56,"Oh yeah, you're my third too.",0.17999999999999972,1.3200000000000038,0,False,False,7
15,5e820a4e26ed71918013d860,32.74,34.15,ruined. Okay.,0.17999999999999972,1.4099999999999966,0,False,False,2
16,5ee53940e704230cfe9c301f,33.54,34.34,Yeah. Yeah.,-0.6099999999999994,0.8000000000000043,0,False,True,2
17,5e820a4e26ed71918013d860,34.84,35.04,Yeah,0.5,0.19999999999999574,0,False,False,1
18,5ee53940e704230cfe9c301f,34.84,35.11,I had,-0.19999999999999574,0.269999999999996,0,False,True,2
19,5e820a4e26ed71918013d860,35.04,35.58,I had,-0.07000000000000028,0.5399999999999991,0,False,True,2
20,5ee53940e704230cfe9c301f,35.11,35.76,a line like,-0.46999999999999886,0.6499999999999986,0,False,True,3
21,5e820a4e26ed71918013d860,35.59,35.95,uh,-0.1699999999999946,0.35999999999999943,0,False,True,1
22,5ee53940e704230cfe9c301f,36.24,36.47,oh,0.28999999999999915,0.22999999999999687,0,False,False,1
23,5e820a4e26ed71918013d860,36.34,36.51,I,-0.12999999999999545,0.1699999999999946,0,False,True,1
24,5ee53940e704230cfe9c301f,36.47,36.74,"sorry,",-0.03999999999999915,0.2700000000000031,0,False,True,1
25,5e820a4e26ed71918013d860,36.51,37.15,had some,-0.23000000000000398,0.6400000000000006,0,False,True,2
26,5ee53940e704230cfe9c301f,36.74,37.16,go ahead.,-0.4099999999999966,0.4199999999999946,0,False,True,2
