turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f400d4a51a8cd1011b37455,1.84,35.34,"Okay, Mark Oh, I mean Oh right, actually. Oh Mhm. Okay. Uh huh.",,33.5,0,False,False,13
1,5e01ac85617219d6da5ab31c,36.64,37.05,Yeah.,1.2999999999999972,0.4099999999999966,0,False,False,1
2,5f400d4a51a8cd1011b37455,37.64,40.36,"Yeah. Hello,",0.5900000000000034,2.719999999999999,0,False,False,2
3,5e01ac85617219d6da5ab31c,41.14,42.76,"Hi, how are you?",0.7800000000000011,1.6199999999999974,1,True,False,4
4,5f400d4a51a8cd1011b37455,42.14,46.55,"I am okay, how about yourself? My name is William.",-0.6199999999999974,4.409999999999997,1,False,True,10
5,5e01ac85617219d6da5ab31c,46.54,49.45,"I'm Carisa, nice to meet you. I'm doing well.",-0.00999999999999801,2.9100000000000037,0,False,True,11
6,5f400d4a51a8cd1011b37455,50.34,52.86,Cool. Were you talking from,0.8900000000000006,2.519999999999996,0,False,False,5
7,5e01ac85617219d6da5ab31c,53.24,57.35,Um I am in indiana. How about yourself?,0.38000000000000256,4.109999999999999,1,True,False,8
8,5f400d4a51a8cd1011b37455,56.93,59.26,"Cool, just outside of Pittsburgh?",-0.4200000000000017,2.3299999999999983,1,True,True,5
9,5e01ac85617219d6da5ab31c,59.92,60.76,Thanks.,0.6600000000000037,0.8399999999999963,0,False,False,1
10,5f400d4a51a8cd1011b37455,60.94,65.1,"I have a friend who lives in Lafayette indiana, I've never",0.17999999999999972,4.159999999999997,0,False,False,12
11,5e01ac85617219d6da5ab31c,65.09,66.06,"Uh,",-0.009999999999990905,0.9699999999999989,0,False,True,1
12,5f400d4a51a8cd1011b37455,65.1,66.34,"been, but Uh huh.",-0.960000000000008,1.240000000000009,0,False,True,4
13,5e01ac85617219d6da5ab31c,66.54,70.12,I'm not very familiar with the area. I,0.20000000000000284,3.5799999999999983,0,False,False,9
14,5f400d4a51a8cd1011b37455,70.04,70.36,Yeah.,-0.0799999999999983,0.3199999999999932,0,False,True,1
15,5e01ac85617219d6da5ab31c,70.13,73.29,moved here for school about,-0.23000000000000398,3.160000000000011,0,False,True,5
16,5f400d4a51a8cd1011b37455,72.54,73.56,"Oh, very cool,",-0.75,1.019999999999996,0,False,True,3
17,5e01ac85617219d6da5ab31c,73.29,76.95,"a year ago, so I'm originally from the East Coast.",-0.269999999999996,3.6599999999999966,0,False,True,11
18,5f400d4a51a8cd1011b37455,76.84,78.09,cool.,-0.10999999999999943,1.25,0,False,True,1
19,5e01ac85617219d6da5ab31c,77.34,77.55,Mhm.,-0.75,0.20999999999999375,0,False,True,1
20,5f400d4a51a8cd1011b37455,78.09,83.54,I spent uh spent some time in north Carolina on the East coast uh,0.5400000000000063,5.450000000000003,0,False,False,14
21,5e01ac85617219d6da5ab31c,83.04,83.76,Thanks.,-0.5,0.7199999999999989,0,False,True,1
