turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5cdcfb9de3e7c20016a4082c,19.04,20.06,mm.,,1.0199999999999996,0,False,False,1
1,5ef3e76be991b816cd499e69,34.64,45.54,"No. Yeah. Thanks. Hello, how's it going? Uh huh.",14.580000000000002,10.899999999999999,1,False,False,10
2,5cdcfb9de3e7c20016a4082c,45.64,47.29,Oh hello.,0.10000000000000142,1.6499999999999986,0,False,False,2
3,5ef3e76be991b816cd499e69,47.34,47.66,Mhm.,0.05000000000000426,0.3199999999999932,0,False,False,1
4,5cdcfb9de3e7c20016a4082c,48.54,49.1,I'm,0.8800000000000026,0.5600000000000023,0,False,False,2
5,5ef3e76be991b816cd499e69,48.64,49.55,No. Right.,-0.46000000000000085,0.9099999999999966,0,False,True,2
6,5cdcfb9de3e7c20016a4082c,49.1,49.35,doing.,-0.44999999999999574,0.25,0,False,True,1
7,5ef3e76be991b816cd499e69,49.56,49.96,"Right,",0.21000000000000085,0.3999999999999986,0,False,False,1
8,5cdcfb9de3e7c20016a4082c,49.94,50.14,Yeah.,-0.020000000000003126,0.20000000000000284,0,False,True,1
9,5ef3e76be991b816cd499e69,51.14,54.56,so this is the first time you've done this kind of uh survey before.,1.0,3.4200000000000017,0,False,False,15
10,5cdcfb9de3e7c20016a4082c,55.04,56.56,Yes sir. Yes sir. What about you?,0.4799999999999969,1.5200000000000031,1,True,False,7
11,5ef3e76be991b816cd499e69,57.34,59.16,This is my 6th time.,0.7800000000000011,1.8199999999999932,0,False,False,5
12,5cdcfb9de3e7c20016a4082c,59.84,65.83,"Your sixth time? Okay, that's pretty interesting. Um uh What all kind of stuff",0.6800000000000068,5.989999999999995,1,False,False,15
13,5ef3e76be991b816cd499e69,65.54,66.26,Oh.,-0.28999999999999204,0.7199999999999989,0,False,True,1
14,5cdcfb9de3e7c20016a4082c,65.83,69.26,have you have you talked about then? What kind of stuff do you want to talk about?,-0.4300000000000068,3.430000000000007,2,True,True,17
15,5ef3e76be991b816cd499e69,69.64,77.05,"Oh man, it's all good. Um Do you do any other survey or is it just prolific?",0.37999999999999545,7.409999999999997,1,True,False,18
16,5cdcfb9de3e7c20016a4082c,77.64,78.42,Just prolific,0.5900000000000034,0.7800000000000011,0,False,False,2
17,5ef3e76be991b816cd499e69,78.24,78.58,Yeah.,-0.18000000000000682,0.3400000000000034,0,False,True,1
18,5cdcfb9de3e7c20016a4082c,78.42,86.01,"for me? I I get a lot, like I tried a lot of Yougov and stuff like that, but it got really spammy and",-0.1599999999999966,7.590000000000003,1,False,True,24
19,5ef3e76be991b816cd499e69,85.64,86.05,Yeah.,-0.37000000000000455,0.4099999999999966,0,False,True,1
20,5cdcfb9de3e7c20016a4082c,86.01,90.66,it felt I felt like I wasn't being rewarded properly and things like that. So,-0.03999999999999204,4.6499999999999915,0,False,True,16
21,5ef3e76be991b816cd499e69,91.44,91.64,Did,0.7800000000000011,0.20000000000000284,0,False,False,1
22,5cdcfb9de3e7c20016a4082c,91.54,91.94,what,-0.09999999999999432,0.3999999999999915,0,False,True,1
23,5ef3e76be991b816cd499e69,91.64,92.12,you have to try,-0.29999999999999716,0.480000000000004,0,False,True,4
24,5cdcfb9de3e7c20016a4082c,91.94,92.15,about,-0.18000000000000682,0.21000000000000796,0,False,True,1
25,5ef3e76be991b816cd499e69,92.12,92.55,like,-0.030000000000001137,0.4299999999999926,0,False,True,1
26,5cdcfb9de3e7c20016a4082c,92.15,92.35,you?,-0.3999999999999915,0.19999999999998863,1,True,True,1
27,5ef3e76be991b816cd499e69,93.14,94.85,did you ever try like amazon mturk?,0.7900000000000063,1.7099999999999937,1,True,False,7
28,5cdcfb9de3e7c20016a4082c,96.24,98.51,"I have not, I'm going to write that down and",1.3900000000000006,2.2700000000000102,0,False,False,11
29,5ef3e76be991b816cd499e69,99.34,108.76,"Yeah, that one prolific except way less paying and a lot more work. You have to get like scripts and stuff like that like um and to kind of help you along on the site",0.8299999999999983,9.420000000000002,0,False,False,35
30,5cdcfb9de3e7c20016a4082c,109.44,109.86,Mhm.,0.6799999999999926,0.4200000000000017,0,False,False,1
31,5ef3e76be991b816cd499e69,109.84,111.36,um What you kind,-0.01999999999999602,1.519999999999996,0,False,True,4
32,5cdcfb9de3e7c20016a4082c,111.24,111.66,Okay.,-0.12000000000000455,0.4200000000000017,0,False,True,1
33,5ef3e76be991b816cd499e69,111.36,119.26,"of get the hang of it. Um It can be pretty rewarding. Um But prolific definitely. Uh like the less effort, higher pay.",-0.29999999999999716,7.900000000000006,0,False,True,23
34,5cdcfb9de3e7c20016a4082c,120.14,120.81,"Yeah,",0.8799999999999955,0.6700000000000017,0,False,False,1
35,5ef3e76be991b816cd499e69,120.54,123.44,Yeah.,-0.269999999999996,2.8999999999999915,0,False,True,1
36,5cdcfb9de3e7c20016a4082c,120.82,125.1,I liked a lot because it's also a lot of scientific research. Uh and,-2.6200000000000045,4.280000000000001,0,False,True,15
37,5ef3e76be991b816cd499e69,124.94,125.15,Big,-0.1599999999999966,0.21000000000000796,0,False,True,1
38,5cdcfb9de3e7c20016a4082c,125.1,125.2,I'm,-0.05000000000001137,0.10000000000000853,0,False,True,2
39,5ef3e76be991b816cd499e69,125.15,125.36,"man,",-0.04999999999999716,0.20999999999999375,0,False,True,1
40,5cdcfb9de3e7c20016a4082c,125.2,126.96,"really into that, so.",-0.1599999999999966,1.759999999999991,0,False,True,4
41,5ef3e76be991b816cd499e69,126.34,130.45,That's what I'd rather do to 100%. It's just it's just way better for that.,-0.6199999999999903,4.109999999999985,0,False,True,19
42,5cdcfb9de3e7c20016a4082c,131.14,138.85,Mhm. I like it a lot anyways. What do you what do you do for a living? Do you just do surveys and stuff?,0.6899999999999977,7.710000000000008,2,True,False,24
43,5ef3e76be991b816cd499e69,139.34,142.72,Oh no no I work for state government uh,0.4900000000000091,3.3799999999999955,0,False,False,9
44,5cdcfb9de3e7c20016a4082c,142.64,142.96,Ah,-0.0800000000000125,0.3200000000000216,0,False,True,1
45,5ef3e76be991b816cd499e69,142.73,145.06,"to work, work at the welfare office.",-0.2300000000000182,2.3300000000000125,0,False,True,7
46,5cdcfb9de3e7c20016a4082c,145.74,146.71,Okay. That's,0.6800000000000068,0.9699999999999989,0,False,False,3
47,5ef3e76be991b816cd499e69,146.64,147.15,Yes.,-0.0700000000000216,0.5100000000000193,0,False,True,1
48,5cdcfb9de3e7c20016a4082c,146.71,147.75,cool. That's cool.,-0.4399999999999977,1.039999999999992,0,False,True,4
49,5ef3e76be991b816cd499e69,147.54,148.27,How about how,-0.21000000000000796,0.7300000000000182,0,False,True,3
50,5cdcfb9de3e7c20016a4082c,148.14,148.65,Uh,-0.13000000000002387,0.5100000000000193,0,False,True,1
51,5ef3e76be991b816cd499e69,148.27,148.72,about yourself?,-0.37999999999999545,0.44999999999998863,1,True,True,2
52,5cdcfb9de3e7c20016a4082c,149.64,158.66,I am a senior so it's like a wine aficionado. Uh It's it's essentially like a really fancy server.,0.9199999999999875,9.02000000000001,0,False,False,22
53,5ef3e76be991b816cd499e69,158.64,160.15,Cool. Cool. Alright,-0.020000000000010232,1.5100000000000193,0,False,True,3
54,5cdcfb9de3e7c20016a4082c,159.84,160.5,Yeah.,-0.3100000000000023,0.6599999999999966,0,False,True,1
