turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5b71f50a4d08b700018a90d8,7.24,7.86,Hello.,,0.6200000000000001,0,False,False,1
1,5f563397d628840162b467dc,7.94,8.75,Hello?,0.08000000000000007,0.8099999999999996,1,True,False,1
2,5b71f50a4d08b700018a90d8,9.64,10.75,Can you already?,0.8900000000000006,1.1099999999999994,1,True,False,3
3,5f563397d628840162b467dc,10.84,11.46,"Yeah, I can hear",0.08999999999999986,0.620000000000001,0,False,False,4
4,5b71f50a4d08b700018a90d8,11.44,12.91,Sweet,-0.02000000000000135,1.4700000000000006,0,False,True,1
5,5f563397d628840162b467dc,11.46,12.96,you,-1.4499999999999993,1.5,0,False,True,1
6,5b71f50a4d08b700018a90d8,12.92,13.36,everyone.,-0.040000000000000924,0.4399999999999995,0,False,True,1
7,5f563397d628840162b467dc,13.84,14.04,yeah.,0.4800000000000004,0.1999999999999993,0,False,False,1
8,5b71f50a4d08b700018a90d8,13.94,14.58,How you doing?,-0.09999999999999964,0.6400000000000006,1,True,True,3
9,5f563397d628840162b467dc,14.44,15.96,"All right, how are you?",-0.14000000000000057,1.5200000000000014,1,True,True,5
10,5b71f50a4d08b700018a90d8,15.94,18.35,"Not too bad, no complaints.",-0.02000000000000135,2.410000000000002,0,False,True,5
11,5f563397d628840162b467dc,18.84,19.65,Cool.,0.48999999999999844,0.8099999999999987,0,False,False,1
12,5b71f50a4d08b700018a90d8,19.74,25.35,Yeah. So is there a specific set of questions we're supposed to ask her to have a regular conversation.,0.08999999999999986,5.610000000000003,0,False,False,20
13,5f563397d628840162b467dc,25.34,28.85,No they just said talk about whatever,-0.010000000000001563,3.5100000000000016,0,False,True,7
14,5b71f50a4d08b700018a90d8,29.94,32.55,Gotcha. So what's your name?,1.0899999999999999,2.609999999999996,1,True,False,6
15,5f563397d628840162b467dc,33.04,34.56,"my name is brian, how about you?",0.490000000000002,1.5200000000000031,1,True,False,7
16,5b71f50a4d08b700018a90d8,35.25,36.66,I'm john nice to meet you.,0.6899999999999977,1.4099999999999966,0,False,False,7
17,5f563397d628840162b467dc,36.74,38.56,"Yeah, you too? Yeah,",0.0800000000000054,1.8200000000000003,1,False,False,4
18,5b71f50a4d08b700018a90d8,38.34,39.36,Where you from?,-0.21999999999999886,1.019999999999996,1,True,True,3
19,5f563397d628840162b467dc,39.44,42.46,"I am from Virginia,",0.0799999999999983,3.020000000000003,0,False,False,4
20,5b71f50a4d08b700018a90d8,43.34,43.96,All right.,0.8800000000000026,0.6199999999999974,0,False,False,2
21,5f563397d628840162b467dc,44.44,45.85,where are you from?,0.4799999999999969,1.4100000000000037,1,True,False,4
22,5b71f50a4d08b700018a90d8,45.81,47.27,"I am from Kentucky,",-0.03999999999999915,1.4600000000000009,0,False,True,4
23,5f563397d628840162b467dc,47.24,47.75,"Okay,",-0.030000000000001137,0.509999999999998,0,False,True,1
24,5b71f50a4d08b700018a90d8,47.28,48.36,Central Kentucky.,-0.46999999999999886,1.0799999999999983,0,False,True,2
25,5f563397d628840162b467dc,48.74,53.34,cool. I was actually born in California so I have been all over. Yeah.,0.38000000000000256,4.600000000000001,0,False,False,14
26,5b71f50a4d08b700018a90d8,53.24,56.86,"Got you. Yeah, my, my brother used to",-0.10000000000000142,3.6199999999999974,0,False,True,8
27,5f563397d628840162b467dc,56.84,57.04,Yeah.,-0.01999999999999602,0.19999999999999574,0,False,True,1
28,5b71f50a4d08b700018a90d8,56.86,59.58,"live in Richmond, so been",-0.17999999999999972,2.719999999999999,0,False,True,5
29,5f563397d628840162b467dc,59.24,59.44,Yeah.,-0.3399999999999963,0.19999999999999574,0,False,True,1
30,5b71f50a4d08b700018a90d8,59.59,61.57,there and back a couple times to,0.15000000000000568,1.9799999999999969,0,False,False,7
31,5f563397d628840162b467dc,61.34,61.54,Yeah.,-0.22999999999999687,0.19999999999999574,0,False,True,1
32,5b71f50a4d08b700018a90d8,61.57,62.46,see him.,0.030000000000001137,0.8900000000000006,0,False,False,2
33,5f563397d628840162b467dc,62.34,64.06,"Oh yeah, that's actually where I am,",-0.11999999999999744,1.7199999999999989,0,False,True,8
34,5b71f50a4d08b700018a90d8,64.04,65.14,"Yeah,",-0.01999999999999602,1.0999999999999943,0,False,True,1
35,5f563397d628840162b467dc,64.07,65.36,is Richmond?,-1.0700000000000074,1.2900000000000063,1,True,True,2
36,5b71f50a4d08b700018a90d8,65.54,66.89,"it's a great time,",0.18000000000000682,1.3499999999999943,0,False,False,5
37,5f563397d628840162b467dc,66.34,72.95,"Yeah, it's really cool actually live directly like in the middle of the city. Um",-0.5499999999999972,6.609999999999999,0,False,True,16
38,5b71f50a4d08b700018a90d8,72.64,73.06,come on.,-0.3100000000000023,0.4200000000000017,0,False,True,2
39,5f563397d628840162b467dc,73.84,80.86,"So that was pretty cool like until Covid happened, which made that much less accessible. But",0.7800000000000011,7.019999999999996,0,False,False,16
40,5b71f50a4d08b700018a90d8,80.64,87.94,Yeah. Has Covid had a big kind of impact on your work or school or anything,-0.21999999999999886,7.299999999999997,0,False,True,16
41,5f563397d628840162b467dc,87.84,89.41,"yeah,",-0.09999999999999432,1.5699999999999932,0,False,True,1
42,5b71f50a4d08b700018a90d8,87.95,88.55,or?,-1.4599999999999937,0.5999999999999943,1,True,True,1
43,5f563397d628840162b467dc,89.42,103.61,"actually I was working in the restaurant industry so like I had a big impact on me. Um I was doing a corporate dining for a big company and since they were, they transitioned to working from home full",0.8700000000000045,14.189999999999998,0,False,False,39
44,5b71f50a4d08b700018a90d8,103.24,103.75,Mhm.,-0.37000000000000455,0.5100000000000051,0,False,True,1
45,5f563397d628840162b467dc,103.61,111.46,time. Um The cool thing was that they paid me to stay home and do nothing for like six months. So,-0.14000000000000057,7.849999999999994,0,False,True,21
46,5b71f50a4d08b700018a90d8,111.44,112.96,"Well,",-0.01999999999999602,1.519999999999996,0,False,True,1
47,5f563397d628840162b467dc,112.34,113.46,"yeah, no,",-0.6199999999999903,1.1199999999999903,0,False,True,2
48,5b71f50a4d08b700018a90d8,113.34,113.58,that's,-0.11999999999999034,0.23999999999999488,0,False,True,2
