turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f14e0f456500058ee865863,27.14,33.66,"Yeah. Okay,",,6.519999999999996,0,False,False,2
1,5e8727fb90c37002d97ca052,55.84,58.45,Hello. Right.,22.180000000000007,2.6099999999999994,0,False,False,2
2,5f14e0f456500058ee865863,59.04,60.56,bye.,0.5899999999999963,1.5200000000000031,0,False,False,1
3,5e8727fb90c37002d97ca052,60.44,61.76,Hi how are you?,-0.12000000000000455,1.3200000000000003,1,True,True,4
4,5f14e0f456500058ee865863,61.34,62.86,"I'm good, how are you?",-0.4199999999999946,1.519999999999996,1,True,True,6
5,5e8727fb90c37002d97ca052,62.84,64.08,I'm good,-0.01999999999999602,1.2399999999999949,0,False,True,3
6,5f14e0f456500058ee865863,63.94,64.56,"Good,",-0.14000000000000057,0.6200000000000045,0,False,True,1
7,5e8727fb90c37002d97ca052,64.11,64.96,I'm good,-0.45000000000000284,0.8499999999999943,0,False,True,3
8,5f14e0f456500058ee865863,66.04,66.5,this is,1.0800000000000125,0.45999999999999375,0,False,False,2
9,5e8727fb90c37002d97ca052,66.34,66.61,house,-0.1599999999999966,0.269999999999996,0,False,True,1
10,5f14e0f456500058ee865863,66.51,66.85,uh,-0.09999999999999432,0.3399999999999892,0,False,True,1
11,5e8727fb90c37002d97ca052,66.61,67.06,there,-0.23999999999999488,0.45000000000000284,0,False,True,1
12,5f14e0f456500058ee865863,67.74,68.25,"go ahead,",0.6799999999999926,0.5100000000000051,0,False,False,2
13,5e8727fb90c37002d97ca052,68.44,70.96,it's like how's everything going today for you?,0.18999999999999773,2.519999999999996,1,True,False,10
14,5f14e0f456500058ee865863,70.84,73.49,I'm doing fine. I just finished,-0.11999999999999034,2.6499999999999915,0,False,True,7
15,5e8727fb90c37002d97ca052,73.24,73.44,Yeah.,-0.25,0.20000000000000284,0,False,True,1
16,5f14e0f456500058ee865863,73.49,76.38,homeschooling with virtual schooling with my kids. So there,0.04999999999999716,2.8900000000000006,0,False,False,9
17,5e8727fb90c37002d97ca052,76.14,76.63,All,-0.23999999999999488,0.4899999999999949,0,False,True,1
18,5f14e0f456500058ee865863,76.38,76.79,are right,-0.25,0.4100000000000108,0,False,True,2
19,5e8727fb90c37002d97ca052,76.63,77.06,right,-0.1600000000000108,0.4300000000000068,0,False,True,1
20,5f14e0f456500058ee865863,76.79,78.26,and have a moment of peace. But,-0.269999999999996,1.4699999999999989,0,False,True,7
21,5e8727fb90c37002d97ca052,78.84,79.56,nice.,0.5799999999999983,0.7199999999999989,0,False,False,1
22,5f14e0f456500058ee865863,78.94,80.26,uh yes,-0.6200000000000045,1.3200000000000074,0,False,True,2
23,5e8727fb90c37002d97ca052,80.04,83.56,All right so how old are your kids or what grades are they,-0.21999999999999886,3.519999999999996,0,False,True,13
24,5f14e0f456500058ee865863,83.54,84.59,kindergarten,-0.01999999999999602,1.0499999999999972,0,False,True,1
25,5e8727fb90c37002d97ca052,83.56,83.85,in?,-1.0300000000000011,0.28999999999999204,1,True,True,1
26,5f14e0f456500058ee865863,84.59,86.01,"in second, so",0.7400000000000091,1.4200000000000017,0,False,False,3
27,5e8727fb90c37002d97ca052,85.84,86.56,Okay.,-0.1700000000000017,0.7199999999999989,0,False,True,1
28,5f14e0f456500058ee865863,86.01,89.65,this is like a nice chance to interact with another adult for a little bit.,-0.5499999999999972,3.6400000000000006,0,False,True,15
29,5e8727fb90c37002d97ca052,89.44,90.72,Right. Yeah I get,-0.21000000000000796,1.2800000000000011,0,False,True,4
30,5f14e0f456500058ee865863,90.54,90.74,Yeah.,-0.1799999999999926,0.19999999999998863,0,False,True,1
31,5e8727fb90c37002d97ca052,90.72,91.59,a break from,-0.01999999999999602,0.8700000000000045,0,False,True,3
32,5f14e0f456500058ee865863,91.24,92.05,Right.,-0.3500000000000085,0.8100000000000023,0,False,True,1
33,5e8727fb90c37002d97ca052,91.6,93.24,uh the home schooling.,-0.45000000000000284,1.6400000000000006,0,False,True,4
34,5f14e0f456500058ee865863,93.14,93.64,Yeah.,-0.09999999999999432,0.5,0,False,True,1
35,5e8727fb90c37002d97ca052,93.25,97.36,Are they like full time at home? Are they like a hybrid?,-0.39000000000000057,4.109999999999999,2,True,True,12
36,5f14e0f456500058ee865863,97.74,104.66,"Uh they're full time at home but their school just said that they could start coming back in november full time there, so this is gonna be a shift.",0.37999999999999545,6.920000000000002,0,False,False,31
37,5e8727fb90c37002d97ca052,105.24,106.26,Oh okay.,0.5799999999999983,1.0200000000000102,0,False,False,2
38,5f14e0f456500058ee865863,106.04,110.75,"Yeah, I don't know, I wasn't prepared for that. I'd kind of given up on any chance that they might be back this year. But",-0.21999999999999886,4.709999999999994,0,False,True,28
39,5e8727fb90c37002d97ca052,111.04,113.66,Yeah. How do you feel about that?,0.29000000000000625,2.6199999999999903,1,True,False,7
40,5f14e0f456500058ee865863,113.94,114.66,um,0.28000000000000114,0.7199999999999989,0,False,False,1
41,5e8727fb90c37002d97ca052,114.64,114.96,Come back?,-0.01999999999999602,0.3199999999999932,1,True,True,2
42,5f14e0f456500058ee865863,115.24,127.65,"it's weird because I feel like our little bubble is ending. We've been you know sort of enjoying this little extra time. Like I was sort of happy that I had my kindergartener here a little bit longer at home, but he",0.28000000000000114,12.41000000000001,0,False,False,44
43,5e8727fb90c37002d97ca052,127.34,127.84,Uh huh.,-0.3100000000000023,0.5,0,False,True,2
44,5f14e0f456500058ee865863,127.65,133.88,"needs it. He really needs to go and have that kindergarten experience. I mean your mom is not your kindergarten teacher, like that's",-0.18999999999999773,6.22999999999999,0,False,True,24
45,5e8727fb90c37002d97ca052,133.84,134.46,Right.,-0.03999999999999204,0.6200000000000045,0,False,True,1
46,5f14e0f456500058ee865863,133.88,135.06,not. So,-0.5800000000000125,1.1800000000000068,0,False,True,2
47,5e8727fb90c37002d97ca052,135.34,136.86,Yeah. Yeah.,0.28000000000000114,1.5200000000000102,0,False,False,2
48,5f14e0f456500058ee865863,136.94,138.07,how are you doing,0.07999999999998408,1.1299999999999955,0,False,False,4
49,5e8727fb90c37002d97ca052,137.84,138.26,So,-0.22999999999998977,0.4199999999999875,0,False,True,1
50,5f14e0f456500058ee865863,138.08,138.76,everything,-0.1799999999999784,0.6799999999999784,0,False,True,1
51,5e8727fb90c37002d97ca052,139.14,147.88,pretty. Well we have um I have we have four kids but three uh So there they've all been in school though since,0.37999999999999545,8.740000000000009,0,False,False,24
52,5f14e0f456500058ee865863,147.64,148.15,okay.,-0.2400000000000091,0.5100000000000193,0,False,True,1
53,5e8727fb90c37002d97ca052,147.88,150.61,september well on like a hybrid schedule.,-0.27000000000001023,2.730000000000018,0,False,True,7
