turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5b8e11444cd6dd0001bf07d9,4.54,175.76,"Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Mhm, mm hmm. Yeah. Yeah. Yeah. Nothing. Mm. Yeah. Mhm. This is I mean drugs, yeah. Mm hmm. Yeah. Okay. Mm. Mhm, mm. Yeah. Mhm. Yeah. Yeah. Yeah. Mhm. Mhm.",,171.22,0,False,False,36
1,5f4d953dc185c2a72d7d56ab,175.74,177.06,Hello?,-0.01999999999998181,1.3199999999999932,1,True,True,1
2,5b8e11444cd6dd0001bf07d9,177.34,180.14,Hello? I,0.28000000000000114,2.799999999999983,1,False,False,2
3,5f4d953dc185c2a72d7d56ab,179.14,179.76,Can you hear me,-1.0,0.6200000000000045,0,False,True,4
4,5b8e11444cd6dd0001bf07d9,180.15,183.66,can hear you.,0.3900000000000148,3.509999999999991,0,False,False,3
5,5f4d953dc185c2a72d7d56ab,181.24,184.95,"awesome, How are you? How's your week going?",-2.4199999999999875,3.7099999999999795,2,True,True,9
6,5b8e11444cd6dd0001bf07d9,184.04,186.65,Um It's going okay.,-0.9099999999999966,2.6100000000000136,0,False,True,5
7,5f4d953dc185c2a72d7d56ab,185.57,189.12,"Yeah, this is your first",-1.0800000000000125,3.5500000000000114,0,False,True,5
8,5b8e11444cd6dd0001bf07d9,188.94,189.15,Mhm.,-0.18000000000000682,0.21000000000000796,0,False,True,1
9,5f4d953dc185c2a72d7d56ab,189.12,190.25,time doing this?,-0.030000000000001137,1.1299999999999955,1,True,True,3
10,5b8e11444cd6dd0001bf07d9,189.74,192.56,"Uh huh. No, this is my second time.",-0.5099999999999909,2.819999999999993,0,False,True,8
11,5f4d953dc185c2a72d7d56ab,192.54,193.71,Okay. Anything,-0.020000000000010232,1.170000000000016,0,False,True,2
12,5b8e11444cd6dd0001bf07d9,193.54,194.04,Yeah.,-0.17000000000001592,0.5,0,False,True,1
13,5f4d953dc185c2a72d7d56ab,193.71,195.06,"was like my third time,",-0.3299999999999841,1.3499999999999943,0,False,True,5
14,5b8e11444cd6dd0001bf07d9,195.54,196.74,Yeah. Yeah.,0.47999999999998977,1.200000000000017,0,False,False,2
15,5f4d953dc185c2a72d7d56ab,196.34,199.31,but this was the smoothest has gone so far.,-0.4000000000000057,2.969999999999999,0,False,True,9
16,5b8e11444cd6dd0001bf07d9,199.04,199.46,That,-0.27000000000001023,0.4200000000000159,0,False,True,1
17,5f4d953dc185c2a72d7d56ab,199.31,200.27,I think last time my,-0.15000000000000568,0.960000000000008,0,False,True,5
18,5b8e11444cd6dd0001bf07d9,200.14,200.56,Mhm.,-0.13000000000002387,0.4200000000000159,0,False,True,1
19,5f4d953dc185c2a72d7d56ab,200.27,201.57,mic was not working,-0.28999999999999204,1.299999999999983,0,False,True,4
20,5b8e11444cd6dd0001bf07d9,201.54,202.26,"Mhm,",-0.030000000000001137,0.7199999999999989,0,False,True,1
21,5f4d953dc185c2a72d7d56ab,201.57,203.97,"so I was panic, panicking",-0.6899999999999977,2.4000000000000057,0,False,True,5
22,5b8e11444cd6dd0001bf07d9,203.44,203.95,mm hmm.,-0.5300000000000011,0.5099999999999909,0,False,True,2
23,5f4d953dc185c2a72d7d56ab,203.97,205.13,and trying to figure out how to,0.020000000000010232,1.1599999999999966,0,False,False,7
24,5b8e11444cd6dd0001bf07d9,205.04,205.96,Mhm.,-0.09000000000000341,0.9200000000000159,0,False,True,1
25,5f4d953dc185c2a72d7d56ab,205.14,208.46,fix my mike thankfully right now it's working.,-0.8200000000000216,3.3200000000000216,0,False,True,9
26,5b8e11444cd6dd0001bf07d9,209.14,209.36,So,0.6799999999999784,0.22000000000002728,0,False,False,1
27,5f4d953dc185c2a72d7d56ab,209.24,209.48,Where,-0.12000000000000455,0.23999999999998067,0,False,True,1
28,5b8e11444cd6dd0001bf07d9,209.36,209.53,it's,-0.11999999999997613,0.1699999999999875,0,False,True,2
29,5f4d953dc185c2a72d7d56ab,209.48,209.54,are,-0.05000000000001137,0.060000000000002274,0,False,True,1
30,5b8e11444cd6dd0001bf07d9,209.53,210.16,yearning.,-0.009999999999990905,0.6299999999999955,0,False,True,1
31,5f4d953dc185c2a72d7d56ab,209.54,210.26,you?,-0.6200000000000045,0.7199999999999989,1,True,True,1
32,5b8e11444cd6dd0001bf07d9,210.74,211.46,Um I'm in,0.4800000000000182,0.7199999999999989,0,False,False,4
33,5f4d953dc185c2a72d7d56ab,211.44,211.6,The,-0.020000000000010232,0.1599999999999966,0,False,True,1
34,5b8e11444cd6dd0001bf07d9,211.46,211.85,Houston,-0.13999999999998636,0.38999999999998636,0,False,True,1
35,5f4d953dc185c2a72d7d56ab,211.6,211.95,point?,-0.25,0.3499999999999943,1,True,True,1
36,5b8e11444cd6dd0001bf07d9,211.85,212.66,taxes.,-0.09999999999999432,0.8100000000000023,0,False,True,1
37,5f4d953dc185c2a72d7d56ab,212.84,216.1,"Okay. I'm in Austin, we're",0.18000000000000682,3.259999999999991,0,False,False,7
38,5b8e11444cd6dd0001bf07d9,215.84,217.45,Uh huh.,-0.2599999999999909,1.6099999999999852,0,False,True,2
39,5f4d953dc185c2a72d7d56ab,216.1,218.46,pretty close by. Usually people are quite,-1.3499999999999943,2.3600000000000136,0,False,True,7
40,5b8e11444cd6dd0001bf07d9,218.14,218.95,"Oh,",-0.3200000000000216,0.8100000000000023,0,False,True,1
41,5f4d953dc185c2a72d7d56ab,218.46,219.06,far.,-0.4899999999999807,0.5999999999999943,0,False,True,1
42,5b8e11444cd6dd0001bf07d9,219.64,220.36,mm,0.5799999999999841,0.7200000000000273,0,False,False,1
43,5f4d953dc185c2a72d7d56ab,219.84,220.95,I'm Zane,-0.5200000000000102,1.1099999999999852,0,False,True,3
44,5b8e11444cd6dd0001bf07d9,221.64,223.46,I'm don,0.6899999999999977,1.8200000000000216,0,False,False,3
45,5f4d953dc185c2a72d7d56ab,223.34,225.96,nice to meet you. Um,-0.12000000000000455,2.6200000000000045,0,False,True,5
46,5b8e11444cd6dd0001bf07d9,225.74,226.96,yeah.,-0.21999999999999886,1.2199999999999989,0,False,True,1
47,5f4d953dc185c2a72d7d56ab,226.84,230.86,because Houston doing with this. Covid Madness.,-0.12000000000000455,4.02000000000001,0,False,True,7
48,5b8e11444cd6dd0001bf07d9,230.94,231.94,Thanks.,0.07999999999998408,1.0,0,False,False,1
49,5f4d953dc185c2a72d7d56ab,231.34,231.55,Okay.,-0.5999999999999943,0.21000000000000796,0,False,True,1
50,5b8e11444cd6dd0001bf07d9,231.95,233.23,Um It's,0.39999999999997726,1.2800000000000011,0,False,False,3
