turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ed1e0f7ba6548028fc64722,15.64,17.6,Hello?,,1.9600000000000009,1,True,False,1
1,5f51265c4873f23082851a5c,16.74,18.15,Hello?,-0.860000000000003,1.4100000000000001,1,True,True,1
2,5ed1e0f7ba6548028fc64722,17.61,21.66,Hello. Hi there. Okay. Uh,-0.5399999999999991,4.050000000000001,0,False,True,5
3,5f51265c4873f23082851a5c,21.64,21.85,Mm,-0.019999999999999574,0.21000000000000085,0,False,True,1
4,5ed1e0f7ba6548028fc64722,22.04,23.99,Okay.,0.18999999999999773,1.9499999999999993,0,False,False,1
5,5f51265c4873f23082851a5c,23.14,23.55,"Yeah,",-0.8499999999999979,0.41000000000000014,0,False,True,1
6,5ed1e0f7ba6548028fc64722,24.0,28.66,"So um sorry, I was just checking. Yeah. 11. of course it is,",0.4499999999999993,4.66,0,False,False,13
7,5f51265c4873f23082851a5c,28.34,31.85,"yeah, you're good. No, I was just saying my watch, just the timer.",-0.3200000000000003,3.5100000000000016,0,False,True,14
8,5ed1e0f7ba6548028fc64722,31.44,34.74,"yeah. Hello, how are you?",-0.41000000000000014,3.3000000000000007,1,True,True,5
9,5f51265c4873f23082851a5c,34.64,34.86,I'm,-0.10000000000000142,0.21999999999999886,0,False,True,2
10,5ed1e0f7ba6548028fc64722,34.74,34.96,How's,-0.11999999999999744,0.21999999999999886,0,False,True,2
11,5f51265c4873f23082851a5c,34.86,35.17,good.,-0.10000000000000142,0.3100000000000023,0,False,True,1
12,5ed1e0f7ba6548028fc64722,34.96,35.5,your friend?,-0.21000000000000085,0.5399999999999991,1,True,True,2
13,5f51265c4873f23082851a5c,35.17,35.96,How are you now?,-0.3299999999999983,0.7899999999999991,1,True,True,4
14,5ed1e0f7ba6548028fc64722,36.54,37.58,"Okay, how's",0.5799999999999983,1.0399999999999991,0,False,False,3
15,5f51265c4873f23082851a5c,37.44,37.94,"Uh huh,",-0.14000000000000057,0.5,0,False,True,2
16,5ed1e0f7ba6548028fc64722,37.58,38.06,your day,-0.35999999999999943,0.480000000000004,0,False,True,2
17,5f51265c4873f23082851a5c,39.06,40.86,winding down.,1.0,1.7999999999999972,0,False,False,2
18,5ed1e0f7ba6548028fc64722,40.94,42.35,winding down? That's good.,0.0799999999999983,1.4100000000000037,1,False,False,5
19,5f51265c4873f23082851a5c,42.54,45.96,"I'm on eastern time, so it's like 11:00 PMclock",0.18999999999999773,3.4200000000000017,0,False,False,11
20,5ed1e0f7ba6548028fc64722,45.64,48.96,Yeah. Yeah.,-0.3200000000000003,3.3200000000000003,0,False,True,2
21,5f51265c4873f23082851a5c,48.44,69.03,"once, like, so, so one I just moved so it's like, I'm still like, so my brain is still kind of frazzled. I moved a week and I'm still kind of trying to get back in the swing of everything and to like, so I do aerials in my area and like, I am at a new aerial studio here. So I'm going more than I was before because I live closer now. So it's like, my body is just like for some higher than it's",-0.5200000000000031,20.590000000000003,0,False,True,92
22,5ed1e0f7ba6548028fc64722,68.84,69.95,Mhm.,-0.18999999999999773,1.1099999999999994,0,False,True,1
23,5f51265c4873f23082851a5c,69.03,70.26,been in months.,-0.9200000000000017,1.230000000000004,0,False,True,3
24,5ed1e0f7ba6548028fc64722,70.84,72.66,"Oh wait, what are aerials?",0.5799999999999983,1.8199999999999932,1,True,False,5
25,5f51265c4873f23082851a5c,72.44,74.75,"So like, it's like circus E stuff. So",-0.21999999999999886,2.3100000000000023,0,False,True,9
26,5ed1e0f7ba6548028fc64722,74.54,75.56,"Oh,",-0.20999999999999375,1.019999999999996,0,False,True,1
27,5f51265c4873f23082851a5c,74.75,74.98,what,-0.8100000000000023,0.23000000000000398,0,False,True,1
28,5ed1e0f7ba6548028fc64722,75.94,76.19,like,0.9599999999999937,0.25,0,False,False,1
29,5f51265c4873f23082851a5c,76.04,76.36,it's not.,-0.14999999999999147,0.3199999999999932,0,False,True,3
30,5ed1e0f7ba6548028fc64722,76.19,77.65,"the long, like",-0.1700000000000017,1.460000000000008,0,False,True,3
31,5f51265c4873f23082851a5c,77.84,78.71,"Yeah, so",0.18999999999999773,0.8699999999999903,0,False,False,2
32,5ed1e0f7ba6548028fc64722,78.54,79.05,one,-0.1699999999999875,0.5099999999999909,0,False,True,1
33,5f51265c4873f23082851a5c,78.71,80.51,"that's so yes, a little long fabrics",-0.3400000000000034,1.8000000000000114,0,False,True,8
34,5ed1e0f7ba6548028fc64722,80.14,80.46,and,-0.37000000000000455,0.3199999999999932,0,False,True,1
35,5f51265c4873f23082851a5c,80.51,83.26,"with silks and then there's also lira, which is like the big hoop",0.05000000000001137,2.75,0,False,False,14
36,5ed1e0f7ba6548028fc64722,83.64,84.45,"Oh,",0.37999999999999545,0.8100000000000023,0,False,False,1
37,5f51265c4873f23082851a5c,83.74,88.45,"and then now and then now that I moved, I can do rope and trapeze. So,",-0.710000000000008,4.710000000000008,0,False,True,16
38,5ed1e0f7ba6548028fc64722,88.64,89.65,"wow, that's",0.18999999999999773,1.0100000000000051,0,False,False,3
39,5f51265c4873f23082851a5c,89.54,90.13,so,-0.10999999999999943,0.5899999999999892,0,False,True,1
40,5ed1e0f7ba6548028fc64722,89.66,90.46,awesome.,-0.46999999999999886,0.7999999999999972,0,False,True,1
41,5f51265c4873f23082851a5c,90.13,110.08,"like, so like I just started their open drop these this week. And so you know, so it's like Before the shutdown, before the quarantine. I was at my studio like basically like two hours a day, six days a week. And then I and then like, because I lived half an hour away and they cut the classes to 45 minutes instead of an hour. Like it wasn't worth dragging a half an hour both ways for 45",-0.3299999999999983,19.950000000000003,0,False,True,81
42,5ed1e0f7ba6548028fc64722,109.74,110.24,Yeah.,-0.3400000000000034,0.5,0,False,True,1
43,5f51265c4873f23082851a5c,110.08,117.06,"minutes. So I was only going down like, So I was only going like, there are four classes a week. And so like now I'm back like eight. So my",-0.1599999999999966,6.980000000000004,0,False,True,31
44,5ed1e0f7ba6548028fc64722,116.94,117.86,"Mhm,",-0.12000000000000455,0.9200000000000017,0,False,True,1
45,5f51265c4873f23082851a5c,117.06,119.55,but like why are you doing this?,-0.7999999999999972,2.489999999999995,1,True,True,7
46,5ed1e0f7ba6548028fc64722,119.04,125.87,"wow. Yeah, that's super cool though, like I don't I'm not flexible enough for that, but",-0.5099999999999909,6.829999999999998,0,False,True,19
47,5f51265c4873f23082851a5c,125.74,125.98,"Well,",-0.13000000000000966,0.2400000000000091,0,False,True,1
48,5ed1e0f7ba6548028fc64722,125.87,125.99,I,-0.10999999999999943,0.11999999999999034,0,False,True,1
49,5f51265c4873f23082851a5c,125.98,126.05,I,-0.009999999999990905,0.06999999999999318,0,False,True,1
50,5ed1e0f7ba6548028fc64722,125.99,126.54,wouldn't,-0.060000000000002274,0.5500000000000114,0,False,True,2
51,5f51265c4873f23082851a5c,126.05,126.85,know I,-0.4900000000000091,0.7999999999999972,0,False,True,2
52,5ed1e0f7ba6548028fc64722,126.55,126.97,mind,-0.29999999999999716,0.4200000000000017,0,False,True,1
53,5f51265c4873f23082851a5c,126.86,127.33,have,-0.10999999999999943,0.46999999999999886,0,False,True,1
54,5ed1e0f7ba6548028fc64722,126.97,127.26,it.,-0.35999999999999943,0.29000000000000625,0,False,True,1
55,5f51265c4873f23082851a5c,127.34,131.11,I have some things that are very flexible and I have some things that are very,0.0799999999999983,3.7700000000000102,0,False,False,16
