turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ea714d0ba872d0cc55cdd79,15.54,310.95,what? Okay. Right. Yeah. Yeah. Yeah. Right. Hello.,,295.40999999999997,1,False,False,8
1,57af9cdda169b50001a434e3,311.64,313.35,"Hi, can you hear me",0.6899999999999977,1.7100000000000364,0,False,False,5
2,5ea714d0ba872d0cc55cdd79,313.74,314.75,Everyone signs,0.38999999999998636,1.009999999999991,0,False,False,2
3,57af9cdda169b50001a434e3,315.64,320.46,"okay? I, first time on the new computer and I wanted to make sure everything was set up. Okay.",0.8899999999999864,4.819999999999993,1,False,False,19
4,5ea714d0ba872d0cc55cdd79,320.94,321.18,sound,0.4800000000000182,0.2400000000000091,0,False,False,1
5,57af9cdda169b50001a434e3,321.14,321.86,I,-0.040000000000020464,0.7200000000000273,0,False,True,1
6,5ea714d0ba872d0cc55cdd79,321.18,321.56,good.,-0.6800000000000068,0.37999999999999545,0,False,True,1
7,57af9cdda169b50001a434e3,322.54,323.46,timer.,0.9800000000000182,0.9199999999999591,0,False,False,1
8,5ea714d0ba872d0cc55cdd79,325.04,325.36,Well,1.580000000000041,0.3199999999999932,0,False,False,1
9,57af9cdda169b50001a434e3,325.34,326.15,So,-0.020000000000038654,0.8100000000000023,0,False,True,1
10,5ea714d0ba872d0cc55cdd79,325.36,327.16,it's it's exactly so,-0.7899999999999636,1.8000000000000114,0,False,True,6
11,57af9cdda169b50001a434e3,328.74,329.85,it's exactly what?,1.579999999999984,1.1100000000000136,1,True,False,4
12,5ea714d0ba872d0cc55cdd79,329.94,332.96,eight oh well that's now 801,0.08999999999997499,3.019999999999982,0,False,False,7
13,57af9cdda169b50001a434e3,332.04,333.56,Oh it's in here.,-0.9199999999999591,1.5199999999999818,0,False,True,5
14,5ea714d0ba872d0cc55cdd79,333.74,334.76,Oh.,0.18000000000000682,1.0199999999999818,0,False,False,1
15,57af9cdda169b50001a434e3,334.14,334.86,Where are you at?,-0.6200000000000045,0.7200000000000273,1,True,True,4
16,5ea714d0ba872d0cc55cdd79,335.44,337.06,Oh I'm in the west coast.,0.5799999999999841,1.6200000000000045,0,False,False,7
17,57af9cdda169b50001a434e3,338.54,342.09,I used to live in southern California when,1.4800000000000182,3.5499999999999545,0,False,False,8
18,5ea714d0ba872d0cc55cdd79,341.94,342.27,Oh,-0.14999999999997726,0.3299999999999841,0,False,True,1
19,57af9cdda169b50001a434e3,342.09,342.76,I was,-0.18000000000000682,0.6700000000000159,0,False,True,2
20,5ea714d0ba872d0cc55cdd79,342.28,343.56,that's where I am.,-0.4800000000000182,1.2800000000000296,0,False,True,5
21,57af9cdda169b50001a434e3,343.14,347.66,"Yeah, I lived in Orange County near Laguna Hills.",-0.4200000000000159,4.520000000000039,0,False,True,9
22,5ea714d0ba872d0cc55cdd79,347.24,349.06,Oh wow. Pretty close.,-0.4200000000000159,1.8199999999999932,0,False,True,4
23,57af9cdda169b50001a434e3,348.74,350.45,Are you familiar with the area at all?,-0.3199999999999932,1.7099999999999795,1,True,True,8
24,5ea714d0ba872d0cc55cdd79,350.94,351.56,Um,0.4900000000000091,0.6200000000000045,0,False,False,1
25,57af9cdda169b50001a434e3,351.54,352.56,Where are you?,-0.01999999999998181,1.0199999999999818,1,True,True,3
