turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5df15bc3361a8506b94f79ed,64.94,73.65,peter. Yeah. Yeah yeah I think I know. Mhm.,,8.710000000000008,0,False,False,9
1,5d0c3381da7493001ab3a903,88.34,132.46,Mhm. Mhm. Yeah. Mhm. Yeah. Mhm. Mhm.,14.689999999999998,44.120000000000005,0,False,False,7
2,5df15bc3361a8506b94f79ed,133.24,145.59,Mhm. Okay,0.7800000000000011,12.349999999999994,0,False,False,2
3,5d0c3381da7493001ab3a903,134.94,146.16,Yeah. People. Uh huh. Hello? Mhm.,-10.650000000000006,11.219999999999999,1,False,True,6
4,5df15bc3361a8506b94f79ed,145.6,148.18,one second. Can you hear me?,-0.5600000000000023,2.5800000000000125,1,True,True,6
5,5d0c3381da7493001ab3a903,147.74,151.85,Yeah,-0.4399999999999977,4.109999999999985,0,False,True,1
6,5df15bc3361a8506b94f79ed,148.19,152.16,Okay cool. How are you?,-3.6599999999999966,3.969999999999999,1,True,True,5
7,5d0c3381da7493001ab3a903,151.86,153.56,I'm doing all right,-0.29999999999998295,1.6999999999999886,0,False,True,5
8,5df15bc3361a8506b94f79ed,152.74,154.45,Wait so we have to leave,-0.8199999999999932,1.7099999999999795,0,False,True,6
9,5d0c3381da7493001ab3a903,154.24,158.63,okay.,-0.20999999999997954,4.389999999999986,0,False,True,1
10,5df15bc3361a8506b94f79ed,154.45,159.02,this other window open. So I was reading I just loaded it up.,-4.180000000000007,4.570000000000022,0,False,True,13
11,5d0c3381da7493001ab3a903,158.64,163.56,Okay that's seen here. So,-0.3800000000000239,4.920000000000016,0,False,True,6
12,5df15bc3361a8506b94f79ed,162.28,164.27,So where are you from?,-1.2800000000000011,1.990000000000009,1,True,True,5
13,5d0c3381da7493001ab3a903,163.94,166.28,uh,-0.3300000000000125,2.3400000000000034,0,False,True,1
14,5df15bc3361a8506b94f79ed,164.27,165.36,You have an accident?,-2.009999999999991,1.0900000000000034,1,True,True,4
15,5d0c3381da7493001ab3a903,166.29,168.77,"from Louisiana,",0.9299999999999784,2.480000000000018,0,False,False,2
16,5df15bc3361a8506b94f79ed,167.64,169.27,Okay cool.,-1.1300000000000239,1.6300000000000239,0,False,True,2
17,5d0c3381da7493001ab3a903,168.78,169.6,where,-0.4900000000000091,0.8199999999999932,0,False,True,1
18,5df15bc3361a8506b94f79ed,169.28,169.9,I'm,-0.3199999999999932,0.6200000000000045,0,False,True,2
19,5d0c3381da7493001ab3a903,169.6,170.15,are you from?,-0.30000000000001137,0.5500000000000114,1,True,True,3
20,5df15bc3361a8506b94f79ed,169.9,171.56,next to you. I'm in texas.,-0.25,1.6599999999999966,0,False,True,7
21,5d0c3381da7493001ab3a903,171.24,172.72,Okay,-0.3199999999999932,1.4799999999999898,0,False,True,1
22,5df15bc3361a8506b94f79ed,171.94,172.93,Okay so,-0.7800000000000011,0.9900000000000091,0,False,True,2
23,5d0c3381da7493001ab3a903,172.73,173.06,that's,-0.20000000000001705,0.3300000000000125,0,False,True,2
24,5df15bc3361a8506b94f79ed,172.93,173.63,25,-0.12999999999999545,0.6999999999999886,0,False,True,1
25,5d0c3381da7493001ab3a903,173.06,173.63,pretty close by,-0.5699999999999932,0.5699999999999932,0,False,True,3
26,5df15bc3361a8506b94f79ed,173.63,174.27,minutes,0.0,0.6400000000000148,0,False,False,1
27,5d0c3381da7493001ab3a903,173.63,173.96,then.,-0.6400000000000148,0.3300000000000125,0,False,True,1
28,5df15bc3361a8506b94f79ed,174.28,174.77,wait.,0.3199999999999932,0.4900000000000091,0,False,False,1
29,5d0c3381da7493001ab3a903,174.64,174.85,Mhm.,-0.13000000000002387,0.21000000000000796,0,False,True,1
30,5df15bc3361a8506b94f79ed,174.77,180.96,So I have to leave this online survey software page open. Okay click here. Open new tab in your conversation.,-0.07999999999998408,6.189999999999998,0,False,True,20
31,5d0c3381da7493001ab3a903,179.84,182.05,Yeah.,-1.1200000000000045,2.210000000000008,0,False,True,1
32,5df15bc3361a8506b94f79ed,181.54,183.0,Do not move on to the next page,-0.5100000000000193,1.460000000000008,0,False,True,8
33,5d0c3381da7493001ab3a903,182.94,183.36,Mhm.,-0.060000000000002274,0.4200000000000159,0,False,True,1
34,5df15bc3361a8506b94f79ed,183.0,185.95,until you have open. So do I click next on the other page before,-0.36000000000001364,2.9499999999999886,0,False,True,14
35,5d0c3381da7493001ab3a903,185.64,193.76,Uh I'm not really sure. I mean man just has the window open so to keep the window open to the entire time of the conversation.,-0.3100000000000023,8.120000000000005,0,False,True,27
36,5df15bc3361a8506b94f79ed,194.24,194.45,You,0.4800000000000182,0.20999999999997954,0,False,False,1
37,5d0c3381da7493001ab3a903,194.44,195.96,Oh,-0.009999999999990905,1.5200000000000102,0,False,True,1
38,5df15bc3361a8506b94f79ed,194.45,202.0,can use this timer to track your remember? Okay. Yeah I think that's fine. So how are you how how is a COVID-19,-1.5100000000000193,7.550000000000011,1,False,True,24
39,5d0c3381da7493001ab3a903,201.04,203.42,no. Uh,-0.960000000000008,2.3799999999999955,0,False,True,2
40,5df15bc3361a8506b94f79ed,202.01,203.26,and quarantine going?,-1.4099999999999966,1.25,1,True,True,3
41,5d0c3381da7493001ab3a903,203.43,205.73,It's gonna okay.,0.17000000000001592,2.299999999999983,0,False,False,5
42,5df15bc3361a8506b94f79ed,204.74,205.06,Yeah,-0.9899999999999807,0.3199999999999932,0,False,True,1
43,5d0c3381da7493001ab3a903,205.74,216.36,Uh Louisiana has been pretty much locked down now for the last uh about a month and a half. Um People started kind of run around and,0.6800000000000068,10.620000000000005,0,False,False,27
44,5df15bc3361a8506b94f79ed,216.94,217.48,they,0.5799999999999841,0.539999999999992,0,False,False,1
45,5d0c3381da7493001ab3a903,217.04,217.61,yeah,-0.4399999999999977,0.5700000000000216,0,False,True,1
46,5df15bc3361a8506b94f79ed,217.49,217.83,started,-0.12000000000000455,0.3400000000000034,0,False,True,1
47,5d0c3381da7493001ab3a903,217.62,219.16,to stuff.,-0.21000000000000796,1.539999999999992,0,False,True,2
48,5df15bc3361a8506b94f79ed,217.83,220.88,opening up stuff here in texas. I'm pretty surprised,-1.329999999999984,3.049999999999983,0,False,True,10
49,5d0c3381da7493001ab3a903,220.54,222.55,Oh,-0.3400000000000034,2.0100000000000193,0,False,True,1
50,5df15bc3361a8506b94f79ed,220.88,222.74,but most almost everything is still closed.,-1.670000000000016,1.8600000000000136,0,False,True,7
51,5d0c3381da7493001ab3a903,222.94,224.76,yeah,0.19999999999998863,1.8199999999999932,0,False,False,1
52,5df15bc3361a8506b94f79ed,224.24,225.42,"But I know new Orleans,",-0.5199999999999818,1.1799999999999784,0,False,True,5
53,5d0c3381da7493001ab3a903,225.34,229.77,yeah,-0.07999999999998408,4.430000000000007,0,False,True,1
