turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5efd4df059990518c92eca95,7.94,23.36,Yeah. Chicken. Uh huh. Yeah. Mhm. Okay.,,15.419999999999998,0,False,False,7
1,5ea9c6541eb4f0121a911e1a,24.14,24.65,"Oh,",0.7800000000000011,0.509999999999998,0,False,False,1
2,5efd4df059990518c92eca95,24.24,27.09,Okay can you hear me?,-0.41000000000000014,2.8500000000000014,1,True,True,5
3,5ea9c6541eb4f0121a911e1a,28.34,29.86,I can't really hear you.,1.25,1.5199999999999996,0,False,False,6
4,5efd4df059990518c92eca95,30.74,32.26,Uh,0.879999999999999,1.5199999999999996,0,False,False,1
5,5ea9c6541eb4f0121a911e1a,32.74,33.96,Okay. I'm gonna hear you now.,0.480000000000004,1.2199999999999989,0,False,False,8
6,5efd4df059990518c92eca95,34.24,43.65,Okay that's good. Bye. Uh huh. Mhm. How's it going?,0.28000000000000114,9.409999999999997,1,True,False,12
7,5ea9c6541eb4f0121a911e1a,44.24,46.56,Mm hmm. Where you're from?,0.5900000000000034,2.3200000000000003,1,True,False,6
8,5efd4df059990518c92eca95,47.34,54.06,I'm from uh yeah like boston massachusetts.,0.7800000000000011,6.719999999999999,0,False,False,8
9,5ea9c6541eb4f0121a911e1a,55.14,56.25,"Okay,",1.0799999999999983,1.1099999999999994,0,False,False,1
10,5efd4df059990518c92eca95,55.34,55.85,How about you?,-0.9099999999999966,0.509999999999998,1,True,True,3
11,5ea9c6541eb4f0121a911e1a,56.83,57.96,California.,0.9799999999999969,1.1300000000000026,0,False,False,1
12,5efd4df059990518c92eca95,58.74,63.45,Oh cool. I've got sometimes who lived there? I've been there before to mostly san Francisco in san Diego.,0.7800000000000011,4.710000000000001,1,False,False,21
13,5ea9c6541eb4f0121a911e1a,64.54,67.86,Yeah. Are,1.0900000000000034,3.319999999999993,0,False,False,2
14,5efd4df059990518c92eca95,67.54,67.74,Yeah.,-0.3199999999999932,0.19999999999998863,0,False,True,1
15,5ea9c6541eb4f0121a911e1a,67.86,70.16,you a college student or,0.12000000000000455,2.299999999999997,0,False,False,5
16,5efd4df059990518c92eca95,70.14,77.06,Yeah I am currently studying astronomy and physics and stuff. What about you?,-0.01999999999999602,6.920000000000002,1,True,True,13
17,5ea9c6541eb4f0121a911e1a,78.14,81.95,"no, I'm in business. Where do you go?",1.0799999999999983,3.8100000000000023,1,True,False,9
18,5efd4df059990518c92eca95,82.74,85.76,Uh I go to U. Mass Amherst.,0.789999999999992,3.0200000000000102,0,False,False,7
