turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c4af67cdccaa800016b3192,10.84,196.96,"Uh huh. Uh huh. But Oh no. All right, that's it. Right. Yeah. What are you doing? Okay. It's Mhm. Transportation. Yes. Oh yeah, mm. Fuck important. Yeah. Actually, mm. Yeah, But yeah. Yeah. Mhm. It's",,186.12,1,False,False,39
1,5ddef2e6929d5de6f1050f1c,196.54,197.76,"Hey, how are you?",-0.4200000000000159,1.2199999999999989,1,True,True,4
2,5c4af67cdccaa800016b3192,198.14,199.66,good. How are you?,0.37999999999999545,1.5200000000000102,1,True,False,4
3,5ddef2e6929d5de6f1050f1c,200.14,201.25,I'm doing fine.,0.47999999999998977,1.1100000000000136,0,False,False,4
4,5c4af67cdccaa800016b3192,201.74,202.25,It's,0.4900000000000091,0.5099999999999909,0,False,False,2
5,5ddef2e6929d5de6f1050f1c,202.14,202.35,And,-0.11000000000001364,0.21000000000000796,0,False,True,1
6,5c4af67cdccaa800016b3192,202.25,209.75,good for you because I've tried to do this three times already and each time the other person has not showed up.,-0.09999999999999432,7.5,0,False,True,23
7,5ddef2e6929d5de6f1050f1c,209.64,212.96,"is this the first time you've done this and actually had success, or?",-0.11000000000001364,3.3200000000000216,1,True,True,14
8,5c4af67cdccaa800016b3192,213.04,215.98,No. Um I did a,0.07999999999998408,2.9399999999999977,0,False,False,5
9,5ddef2e6929d5de6f1050f1c,215.54,215.75,"Well,",-0.4399999999999977,0.21000000000000796,0,False,True,1
10,5c4af67cdccaa800016b3192,215.99,218.43,done it twice a,0.2400000000000091,2.4399999999999977,0,False,False,4
11,5ddef2e6929d5de6f1050f1c,217.24,217.86,okay.,-1.1899999999999977,0.6200000000000045,0,False,True,1
12,5c4af67cdccaa800016b3192,218.44,224.96,"couple of months ago, but like for this round of these, I guess this is like the first time I've actually got the other person to show up",0.5799999999999841,6.52000000000001,0,False,False,29
13,5ddef2e6929d5de6f1050f1c,225.14,225.35,"All right,",0.1799999999999784,0.21000000000000796,0,False,False,2
14,5c4af67cdccaa800016b3192,225.64,226.15,or,0.28999999999999204,0.5100000000000193,0,False,False,1
15,5ddef2e6929d5de6f1050f1c,225.74,227.6,"yeah, I can understand that. The first time",-0.4099999999999966,1.8599999999999852,0,False,True,8
16,5c4af67cdccaa800016b3192,227.44,227.65,"okay,",-0.1599999999999966,0.21000000000000796,0,False,True,1
17,5ddef2e6929d5de6f1050f1c,227.6,231.64,"I did it, it was same for me, had three strikes and finally got through",-0.05000000000001137,4.039999999999992,0,False,True,15
18,5c4af67cdccaa800016b3192,231.44,231.65,that,-0.19999999999998863,0.21000000000000796,0,False,True,1
19,5ddef2e6929d5de6f1050f1c,231.64,232.36,to somebody.,-0.010000000000019327,0.7200000000000273,0,False,True,2
20,5c4af67cdccaa800016b3192,232.64,234.1,"yeah,",0.2799999999999727,1.460000000000008,0,False,False,1
21,5ddef2e6929d5de6f1050f1c,233.14,233.55,Yeah.,-0.960000000000008,0.410000000000025,0,False,True,1
22,5c4af67cdccaa800016b3192,234.1,240.97,I emailed the researcher and they didn't really have a explanation or anything. So,0.549999999999983,6.8700000000000045,0,False,False,15
23,5ddef2e6929d5de6f1050f1c,240.54,241.16,Yeah.,-0.4300000000000068,0.6200000000000045,0,False,True,1
24,5c4af67cdccaa800016b3192,240.98,249.31,"I was gonna try it one more time if I didn't get anybody today, I just wasn't gonna mess with it anymore because I felt like an idiot sitting around for 20 minutes and",-0.18000000000000682,8.330000000000013,0,False,True,38
25,5ddef2e6929d5de6f1050f1c,249.14,249.87,Oh,-0.17000000000001592,0.7300000000000182,0,False,True,1
26,5c4af67cdccaa800016b3192,249.31,250.2,getting paid like,-0.5600000000000023,0.8899999999999864,0,False,True,3
27,5ddef2e6929d5de6f1050f1c,249.87,250.15,"yeah,",-0.3299999999999841,0.28000000000000114,0,False,True,1
28,5c4af67cdccaa800016b3192,250.21,251.65,all the way to do it.,0.060000000000002274,1.4399999999999977,0,False,False,6
29,5ddef2e6929d5de6f1050f1c,251.94,255.66,"sure when I made my name is, Jim is good to meet you.",0.28999999999999204,3.719999999999999,0,False,False,13
30,5c4af67cdccaa800016b3192,255.24,256.19,I submit,-0.4199999999999875,0.9499999999999886,0,False,True,2
31,5ddef2e6929d5de6f1050f1c,256.14,256.9,Good,-0.05000000000001137,0.7599999999999909,0,False,True,1
32,5c4af67cdccaa800016b3192,256.19,256.86,you to,-0.7099999999999795,0.6700000000000159,0,False,True,2
33,5ddef2e6929d5de6f1050f1c,256.9,257.16,night.,0.03999999999996362,0.26000000000004775,0,False,False,1
34,5c4af67cdccaa800016b3192,257.44,257.99,"family,",0.2799999999999727,0.5500000000000114,0,False,False,1
35,5ddef2e6929d5de6f1050f1c,257.54,258.63,I'm going to get,-0.44999999999998863,1.089999999999975,0,False,True,5
36,5c4af67cdccaa800016b3192,258.64,259.15,right?,0.009999999999990905,0.5099999999999909,1,True,False,1
37,5ddef2e6929d5de6f1050f1c,258.64,261.05,from your voice I guess. Are you a sudden or two?,-0.5099999999999909,2.410000000000025,1,True,True,11
38,5c4af67cdccaa800016b3192,261.34,263.65,"I am. I've got to say, where are you from?",0.2899999999999636,2.3100000000000023,1,True,False,11
39,5ddef2e6929d5de6f1050f1c,263.94,265.35,Uh north Carolina?,0.29000000000002046,1.410000000000025,1,True,False,3
40,5c4af67cdccaa800016b3192,265.84,266.56,Really?,0.48999999999995225,0.7200000000000273,1,True,False,1
41,5ddef2e6929d5de6f1050f1c,266.74,267.36,Really?,0.18000000000000682,0.6200000000000045,1,True,False,1
42,5c4af67cdccaa800016b3192,267.54,268.76,I'm from north Carolina to,0.18000000000000682,1.2199999999999704,0,False,False,6
43,5ddef2e6929d5de6f1050f1c,269.34,270.8,Really? Okay.,0.5799999999999841,1.4600000000000364,1,False,False,2
44,5c4af67cdccaa800016b3192,270.24,270.65,uh huh.,-0.5600000000000023,0.40999999999996817,0,False,True,2
45,5ddef2e6929d5de6f1050f1c,270.81,272.25,"We're north Carolina, are you from?",0.160000000000025,1.4399999999999977,1,True,False,7
46,5c4af67cdccaa800016b3192,272.44,274.08,I live in eaten. It's,0.18999999999999773,1.6399999999999864,0,False,False,6
47,5ddef2e6929d5de6f1050f1c,274.04,274.66,"Okay,",-0.03999999999996362,0.6200000000000045,0,False,True,1
48,5c4af67cdccaa800016b3192,274.09,275.95,uh north of Greensboro.,-0.57000000000005,1.8600000000000136,0,False,True,4
49,5ddef2e6929d5de6f1050f1c,276.04,277.11,Sure.,0.09000000000003183,1.0699999999999932,0,False,False,1
50,5c4af67cdccaa800016b3192,276.94,277.14,"Yeah,",-0.17000000000001592,0.19999999999998863,0,False,True,1
51,5ddef2e6929d5de6f1050f1c,277.11,280.75,One of the first capitals of the state of the colony in north Carolina.,-0.029999999999972715,3.6399999999999864,0,False,True,14
