turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5706fb93914b7100093b7925,1.84,50.06,"Mhm. Mhm. Mhm. Please. Yeah. Oh. Mhm. Hey, what's",,48.22,0,False,False,10
1,5f481e6faaf9582bdcd9697b,49.84,50.05,Oh,-0.21999999999999886,0.20999999999999375,0,False,True,1
2,5706fb93914b7100093b7925,50.06,50.36,up,0.010000000000005116,0.29999999999999716,0,False,False,1
3,5f481e6faaf9582bdcd9697b,50.54,54.06,"yeah, how's it going?",0.17999999999999972,3.520000000000003,1,True,False,5
4,5706fb93914b7100093b7925,54.54,56.85,"after that? How about you,",0.4799999999999969,2.3100000000000023,1,False,False,5
5,5f481e6faaf9582bdcd9697b,57.44,58.85,"Yeah. Sam here,",0.5899999999999963,1.4100000000000037,0,False,False,3
6,5706fb93914b7100093b7925,60.04,61.26,have you done one of these before?,1.1899999999999977,1.2199999999999989,1,True,False,7
7,5f481e6faaf9582bdcd9697b,62.34,63.26,is there? You have it?,1.0800000000000054,0.9199999999999946,2,True,False,5
8,5706fb93914b7100093b7925,64.24,65.65,I have I was asking,0.9799999999999969,1.4100000000000108,0,False,False,5
9,5f481e6faaf9582bdcd9697b,65.54,65.86,Yeah.,-0.10999999999999943,0.3199999999999932,0,False,True,1
10,5706fb93914b7100093b7925,65.66,66.46,have you?,-0.20000000000000284,0.7999999999999972,1,True,True,2
11,5f481e6faaf9582bdcd9697b,66.54,70.05,"Oh yeah, I have done one to just one. What about you?",0.0800000000000125,3.509999999999991,1,True,False,12
12,5706fb93914b7100093b7925,70.44,74.25,"Yeah I've done like a handful now, but how is the one you do?",0.39000000000000057,3.8100000000000023,1,True,False,15
13,5f481e6faaf9582bdcd9697b,73.94,78.16,"Um It was, it was interesting but it was good.",-0.3100000000000023,4.219999999999999,0,False,True,10
14,5706fb93914b7100093b7925,78.34,83.21,"I think it's a good way to put it. It's always interesting. But yeah, I haven't had any any bad ones either. Yeah.",0.18000000000000682,4.86999999999999,0,False,False,26
15,5f481e6faaf9582bdcd9697b,83.14,83.35,What?,-0.06999999999999318,0.20999999999999375,1,True,True,1
16,5706fb93914b7100093b7925,83.22,86.76,What's your name by the way? I think I usually like forget to ask.,-0.12999999999999545,3.5400000000000063,1,False,True,15
17,5f481e6faaf9582bdcd9697b,87.04,89.26,I'm kelly what?,0.28000000000000114,2.219999999999999,1,True,False,4
18,5706fb93914b7100093b7925,88.94,91.86,"I'm I'm krista,",-0.3200000000000074,2.9200000000000017,0,False,True,5
