turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f15fbdf2c61ce144ceeb357,119.64,121.56,Hi.,,1.9200000000000017,0,False,False,1
1,5f0aa896791e0236de3fbdcb,121.64,122.75,"Hi, how are you,",0.0799999999999983,1.1099999999999994,0,False,False,4
2,5f15fbdf2c61ce144ceeb357,122.74,123.96,"Okay, how are you?",-0.010000000000005116,1.2199999999999989,1,True,True,4
3,5f0aa896791e0236de3fbdcb,123.44,124.66,dad?,-0.519999999999996,1.2199999999999989,1,True,True,1
4,5f15fbdf2c61ce144ceeb357,125.04,126.68,All right? I can set a 25,0.38000000000000966,1.6400000000000006,1,False,False,7
5,5f0aa896791e0236de3fbdcb,126.44,126.65,Mhm.,-0.2400000000000091,0.21000000000000796,0,False,True,1
6,5f15fbdf2c61ce144ceeb357,126.68,127.76,minute timer.,0.030000000000001137,1.0799999999999983,0,False,False,2
7,5f0aa896791e0236de3fbdcb,128.04,128.3,"Okay,",0.2799999999999869,0.2600000000000193,0,False,False,1
8,5f15fbdf2c61ce144ceeb357,128.24,128.74,Uh huh.,-0.060000000000002274,0.5,0,False,True,2
9,5f0aa896791e0236de3fbdcb,128.3,130.35,cool. This is the first time I've ever done one of these,-0.4399999999999977,2.049999999999983,0,False,True,13
10,5f15fbdf2c61ce144ceeb357,130.44,135.06,So it is. I've done one before I was scheduled for another one but they didn't show up,0.09000000000000341,4.6200000000000045,0,False,False,20
11,5f0aa896791e0236de3fbdcb,135.14,135.86,back.,0.07999999999998408,0.7200000000000273,0,False,False,1
12,5f15fbdf2c61ce144ceeb357,135.44,136.16,so I only have,-0.4200000000000159,0.7199999999999989,0,False,True,4
13,5f0aa896791e0236de3fbdcb,136.94,142.0,Okay. That's the first time no one showed up and then this is the second one. So I almost like didn't even,0.7800000000000011,5.060000000000002,0,False,False,24
14,5f15fbdf2c61ce144ceeb357,141.84,142.56,it.,-0.1599999999999966,0.7199999999999989,0,False,True,1
15,5f0aa896791e0236de3fbdcb,142.01,143.36,flies my risk.,-0.5500000000000114,1.3500000000000227,0,False,True,3
16,5f15fbdf2c61ce144ceeb357,143.44,151.26,"Yeah. No, I know it's it's definitely weird and it like stinks when someone doesn't show up because it's like a waste of time. I don't know, it's frustrating.",0.07999999999998408,7.819999999999993,0,False,False,35
17,5f0aa896791e0236de3fbdcb,150.14,151.36,"Yeah, I do.",-1.1200000000000045,1.2200000000000273,0,False,True,3
18,5f15fbdf2c61ce144ceeb357,151.64,153.46,Um What's your name? Where are you from?,0.2799999999999727,1.8200000000000216,2,True,False,9
19,5f0aa896791e0236de3fbdcb,153.54,157.26,Um My name is Lindsay. I'm from Atlanta Georgia. What about you?,0.07999999999998408,3.719999999999999,1,True,False,13
20,5f15fbdf2c61ce144ceeb357,157.84,161.46,"Okay, I'm a list. I'm from like right outside of philadelphia pennsylvania.",0.5800000000000125,3.6200000000000045,0,False,False,14
21,5f0aa896791e0236de3fbdcb,161.64,162.86,"Oh, okay. Cool.",0.1799999999999784,1.2200000000000273,0,False,False,3
22,5f15fbdf2c61ce144ceeb357,162.84,165.26,"Yeah, we're pretty far.",-0.020000000000010232,2.4199999999999875,0,False,True,5
23,5f0aa896791e0236de3fbdcb,164.54,167.71,"Yeah, I included a school in new york though, so I like",-0.7199999999999989,3.170000000000016,0,False,True,12
24,5f15fbdf2c61ce144ceeb357,167.54,168.15,"Oh,",-0.17000000000001592,0.6100000000000136,0,False,True,1
25,5f0aa896791e0236de3fbdcb,167.71,168.26,no.,-0.4399999999999977,0.549999999999983,0,False,True,1
26,5f15fbdf2c61ce144ceeb357,168.16,169.85,where do you go in new york?,-0.09999999999999432,1.6899999999999977,1,True,True,7
27,5f0aa896791e0236de3fbdcb,170.34,173.06,Or I went to the Fashion Institute of Technology.,0.4900000000000091,2.719999999999999,0,False,False,9
28,5f15fbdf2c61ce144ceeb357,173.54,175.18,Gotcha. Super cool.,0.47999999999998977,1.6400000000000148,0,False,False,3
29,5f0aa896791e0236de3fbdcb,175.14,175.64,Yeah.,-0.040000000000020464,0.5,0,False,True,1
30,5f15fbdf2c61ce144ceeb357,175.19,181.66,"So you like kind around here? That's like, I want to say like 3, 2.5 3 hours from here. I do like day trips sometimes. But",-0.44999999999998863,6.469999999999999,1,False,True,27
31,5f0aa896791e0236de3fbdcb,181.44,182.69,"All right, that's cool.",-0.21999999999999886,1.25,0,False,True,5
32,5f15fbdf2c61ce144ceeb357,182.64,183.14,yeah.,-0.05000000000001137,0.5,0,False,True,1
33,5f0aa896791e0236de3fbdcb,182.69,184.65,Have you already been philadelphia,-0.44999999999998863,1.960000000000008,0,False,True,5
34,5f15fbdf2c61ce144ceeb357,184.84,189.66,"Um I was born in Ohio actually, which like is only like a state over, but",0.18999999999999773,4.819999999999993,0,False,False,16
35,5f0aa896791e0236de3fbdcb,189.44,190.16,welcome.,-0.21999999999999886,0.7199999999999989,0,False,True,1
36,5f15fbdf2c61ce144ceeb357,190.64,194.75,"I moved here in like third grade, so only pretty much like all I've known is here. How about you?",0.47999999999998977,4.110000000000014,1,True,False,21
37,5f0aa896791e0236de3fbdcb,194.74,197.45,I was born in California and,-0.009999999999990905,2.7099999999999795,0,False,True,6
38,5f15fbdf2c61ce144ceeb357,197.44,197.76,Oh,-0.009999999999990905,0.3199999999999932,0,False,True,1
39,5f0aa896791e0236de3fbdcb,197.45,197.77,then left,-0.3100000000000023,0.3200000000000216,0,False,True,2
40,5f15fbdf2c61ce144ceeb357,197.77,198.05,cool,0.0,0.28000000000000114,0,False,False,1
41,5f0aa896791e0236de3fbdcb,197.78,198.39,new york,-0.27000000000001023,0.6099999999999852,0,False,True,2
42,5f15fbdf2c61ce144ceeb357,198.05,198.46,mama,-0.339999999999975,0.4099999999999966,0,False,True,1
43,5f0aa896791e0236de3fbdcb,198.4,199.65,and now Georgia. So I'm all,-0.060000000000002274,1.25,0,False,True,7
44,5f15fbdf2c61ce144ceeb357,199.64,200.75,everywhere.,-0.010000000000019327,1.1100000000000136,0,False,True,1
45,5f0aa896791e0236de3fbdcb,199.65,200.16,over the,-1.0999999999999943,0.5099999999999909,0,False,True,2
46,5f15fbdf2c61ce144ceeb357,200.75,202.25,That's awesome. What's been your favorite?,0.5900000000000034,1.5,1,True,False,8
47,5f0aa896791e0236de3fbdcb,202.94,204.49,new york for sure. I,0.6899999999999977,1.5500000000000114,0,False,False,5
48,5f15fbdf2c61ce144ceeb357,204.44,204.86,Perfect.,-0.05000000000001137,0.4200000000000159,0,False,True,1
49,5f0aa896791e0236de3fbdcb,204.49,206.26,like the part. I'm like a northerner.,-0.37000000000000455,1.7699999999999818,0,False,True,8
50,5f15fbdf2c61ce144ceeb357,206.54,209.78,Yeah. That's awesome. Uh um,0.28000000000000114,3.240000000000009,0,False,False,6
51,5f0aa896791e0236de3fbdcb,209.04,209.24,Yeah.,-0.7400000000000091,0.20000000000001705,0,False,True,1
52,5f15fbdf2c61ce144ceeb357,209.79,211.46,What do you do? What's your job?,0.549999999999983,1.670000000000016,2,True,False,8
53,5f0aa896791e0236de3fbdcb,211.64,213.34,Um I'm an artist. What about,0.1799999999999784,1.700000000000017,0,False,False,7
54,5f15fbdf2c61ce144ceeb357,213.34,214.02,Well,0.0,0.6800000000000068,0,False,False,1
55,5f0aa896791e0236de3fbdcb,213.34,213.76,you?,-0.6800000000000068,0.4199999999999875,1,True,True,1
56,5f15fbdf2c61ce144ceeb357,214.02,216.86,"that makes sense with new york. I'm a teacher, so it's been crazy",0.2600000000000193,2.8400000000000034,0,False,False,15
57,5f0aa896791e0236de3fbdcb,216.84,217.64,Oh,-0.020000000000010232,0.799999999999983,0,False,True,1
58,5f15fbdf2c61ce144ceeb357,216.86,218.01,with all this coming,-0.7799999999999727,1.1499999999999773,0,False,True,4
59,5f0aa896791e0236de3fbdcb,217.65,218.3,God.,-0.3599999999999852,0.6500000000000057,0,False,True,1
60,5f15fbdf2c61ce144ceeb357,218.01,218.45,on.,-0.29000000000002046,0.4399999999999977,0,False,True,1
61,5f0aa896791e0236de3fbdcb,218.31,220.56,Yeah. Are you just all online?,-0.13999999999998636,2.25,1,True,True,6
62,5f15fbdf2c61ce144ceeb357,220.94,241.67,"Um So I actually am a pre k teacher, so I am um I worked for at risk kids, it's like a program through the state, so we're actually technically essential. So this year I'm doing hybrid, so I have some kids whose parents are like working at grocery stores and things like that, so I'll definitely be in school for some of my kids. It's gonna be a lot different than like I only have probably up to like five or six in person and",0.37999999999999545,20.72999999999999,0,False,False,92
63,5f0aa896791e0236de3fbdcb,241.54,241.98,Five,-0.12999999999999545,0.4399999999999977,0,False,True,1
64,5f15fbdf2c61ce144ceeb357,241.67,242.24,then there,-0.3100000000000023,0.5700000000000216,0,False,True,2
65,5f0aa896791e0236de3fbdcb,242.04,242.56,reasons.,-0.20000000000001705,0.5200000000000102,0,False,True,1
66,5f15fbdf2c61ce144ceeb357,242.24,245.06,"are some doing virtual too, so it's definitely gonna be weird.",-0.3199999999999932,2.819999999999993,0,False,True,13
67,5f0aa896791e0236de3fbdcb,245.14,245.81,Yeah.,0.07999999999998408,0.6700000000000159,0,False,False,1
68,5f15fbdf2c61ce144ceeb357,245.44,245.65,Um,-0.37000000000000455,0.21000000000000796,0,False,True,1
69,5f0aa896791e0236de3fbdcb,245.82,247.36,That is going to be weird.,0.1699999999999875,1.5400000000000205,0,False,False,6
70,5f15fbdf2c61ce144ceeb357,247.54,250.65,"We'll see how that goes. But yeah,",0.1799999999999784,3.1100000000000136,0,False,False,8
71,5f0aa896791e0236de3fbdcb,249.94,253.56,You know you on this? I gotten covid like,-0.710000000000008,3.6200000000000045,1,False,True,9
72,5f15fbdf2c61ce144ceeb357,253.14,257.56,"I'm only like through the grapevine, I've heard of like friends of friends but no like",-0.4200000000000159,4.420000000000016,0,False,True,18
73,5f0aa896791e0236de3fbdcb,257.54,257.72,Uh,-0.01999999999998181,0.18000000000000682,0,False,True,1
74,5f15fbdf2c61ce144ceeb357,257.56,258.11,family,-0.160000000000025,0.5500000000000114,0,False,True,1
75,5f0aa896791e0236de3fbdcb,257.72,257.95,huh.,-0.38999999999998636,0.22999999999996135,0,False,True,1
76,5f15fbdf2c61ce144ceeb357,258.11,261.26,or one um super close or anything like that. What about you?,0.160000000000025,3.1499999999999773,1,True,False,12
77,5f0aa896791e0236de3fbdcb,261.44,265.76,Same. That like in Georgia is like on the news every day for,0.18000000000000682,4.319999999999993,0,False,False,13
78,5f15fbdf2c61ce144ceeb357,265.54,265.74,Yeah.,-0.21999999999997044,0.19999999999998863,0,False,True,1
79,5f0aa896791e0236de3fbdcb,265.77,267.84,her governor has not been like,0.029999999999972715,2.069999999999993,0,False,False,6
80,5f15fbdf2c61ce144ceeb357,267.64,267.96,Mhm,-0.19999999999998863,0.3199999999999932,0,False,True,1
81,5f0aa896791e0236de3fbdcb,267.84,270.39,"to provide very seriously, but I actually",-0.12000000000000455,2.5500000000000114,0,False,True,7
82,5f15fbdf2c61ce144ceeb357,270.24,270.64,Yeah.,-0.14999999999997726,0.39999999999997726,0,False,True,1
83,5f0aa896791e0236de3fbdcb,270.39,271.14,don't know only one.,-0.25,0.75,0,False,True,5
84,5f15fbdf2c61ce144ceeb357,271.04,271.36,Yeah,-0.0999999999999659,0.3199999999999932,0,False,True,1
85,5f0aa896791e0236de3fbdcb,271.14,272.45,That's that much.,-0.22000000000002728,1.3100000000000023,0,False,True,4
86,5f15fbdf2c61ce144ceeb357,272.54,280.85,"my grandfather lives there um I know like around Atlanta Georgia, I don't know where exactly like what area, but I remember you guys are like the first one that opened right?",0.09000000000003183,8.310000000000002,1,True,False,33
87,5f0aa896791e0236de3fbdcb,280.74,281.96,"Yeah, yeah,",-0.11000000000001364,1.2199999999999704,0,False,True,2
88,5f15fbdf2c61ce144ceeb357,281.44,284.95,I'm just saying like hair salons and everything like we're open really early.,-0.5199999999999818,3.509999999999991,0,False,True,15
89,5f0aa896791e0236de3fbdcb,284.94,291.06,"yeah. Hair salons, tattoo parlors. It was like everyone in Georgia was like embarrassed.",-0.009999999999990905,6.1200000000000045,0,False,True,14
90,5f15fbdf2c61ce144ceeb357,290.74,291.9,Crazy.,-0.3199999999999932,1.1599999999999682,0,False,True,1
91,5f0aa896791e0236de3fbdcb,291.64,291.85,Mhm,-0.2599999999999909,0.21000000000003638,0,False,True,1
92,5f15fbdf2c61ce144ceeb357,291.9,292.7,Did you um,0.049999999999954525,0.8000000000000114,0,False,False,3
