turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eba7dd788044a040e7d8d60,10.54,404.06,Mhm. Well I started okay I'll let you know when it's over mm. Yeah.,,393.52,0,False,False,16
1,5d30a875ad3457001743fbc9,404.24,404.86,leaving,0.18000000000000682,0.6200000000000045,0,False,False,1
2,5eba7dd788044a040e7d8d60,404.94,406.16,Hello?,0.07999999999998408,1.2200000000000273,1,True,False,1
3,5d30a875ad3457001743fbc9,406.54,407.16,there?,0.37999999999999545,0.6200000000000045,1,True,False,1
4,5eba7dd788044a040e7d8d60,407.84,409.06,Can you hear me?,0.67999999999995,1.2200000000000273,1,True,False,4
5,5d30a875ad3457001743fbc9,409.14,410.55,I can hear you can hear me,0.07999999999998408,1.410000000000025,0,False,False,7
6,5eba7dd788044a040e7d8d60,410.64,411.86,Yep you sound good?,0.08999999999997499,1.2200000000000273,1,True,False,4
7,5d30a875ad3457001743fbc9,411.94,412.66,"Great,",0.07999999999998408,0.7200000000000273,0,False,False,1
8,5eba7dd788044a040e7d8d60,412.94,413.26,Mhm,0.2799999999999727,0.3199999999999932,0,False,False,1
9,5d30a875ad3457001743fbc9,413.04,415.46,welcome.,-0.21999999999997044,2.419999999999959,0,False,True,1
10,5eba7dd788044a040e7d8d60,414.34,414.55,Mhm,-1.1200000000000045,0.21000000000003638,0,False,True,1
11,5d30a875ad3457001743fbc9,416.34,417.86,Uh so where are you located,1.7899999999999636,1.5200000000000387,0,False,False,6
12,5eba7dd788044a040e7d8d60,418.14,419.06,texas,0.2799999999999727,0.9200000000000159,0,False,False,1
13,5d30a875ad3457001743fbc9,419.44,422.17,texas? I am in Delaware Rome,0.37999999999999545,2.730000000000018,1,False,False,6
14,5eba7dd788044a040e7d8d60,421.94,422.36,Oh,-0.2300000000000182,0.4200000000000159,0,False,True,1
15,5d30a875ad3457001743fbc9,422.17,422.95,East Coast.,-0.18999999999999773,0.7799999999999727,0,False,True,2
16,5eba7dd788044a040e7d8d60,423.14,425.1,I'm from pennsylvania.,0.18999999999999773,1.9600000000000364,0,False,False,4
17,5d30a875ad3457001743fbc9,425.04,425.36,So,-0.060000000000002274,0.3199999999999932,0,False,True,1
18,5eba7dd788044a040e7d8d60,425.11,425.47,I've only,-0.25,0.36000000000001364,0,False,True,3
19,5d30a875ad3457001743fbc9,425.36,425.52,what,-0.11000000000001364,0.15999999999996817,0,False,True,1
20,5eba7dd788044a040e7d8d60,425.47,426.27,lived,-0.049999999999954525,0.7999999999999545,0,False,True,1
21,5d30a875ad3457001743fbc9,425.52,426.45,court?,-0.75,0.9300000000000068,1,True,True,1
22,5eba7dd788044a040e7d8d60,426.28,428.56,um you know where Williamsport is?,-0.17000000000001592,2.2800000000000296,1,True,True,6
23,5d30a875ad3457001743fbc9,428.44,429.36,Yeah,-0.12000000000000455,0.9200000000000159,0,False,True,1
24,5eba7dd788044a040e7d8d60,429.24,430.12,Ah yeah I lived,-0.12000000000000455,0.8799999999999955,0,False,True,4
25,5d30a875ad3457001743fbc9,429.94,430.13,and,-0.18000000000000682,0.18999999999999773,0,False,True,1
26,5eba7dd788044a040e7d8d60,430.12,430.3,"there,",-0.009999999999990905,0.18000000000000682,0,False,True,1
27,5d30a875ad3457001743fbc9,430.13,430.41,then,-0.17000000000001592,0.28000000000002956,0,False,True,1
28,5eba7dd788044a040e7d8d60,430.31,432.15,I just moved down to texas two years ago.,-0.10000000000002274,1.839999999999975,0,False,True,9
29,5d30a875ad3457001743fbc9,432.54,433.88,Okay.,0.3900000000000432,1.339999999999975,0,False,False,1
30,5eba7dd788044a040e7d8d60,433.34,434.06,Oh,-0.5400000000000205,0.7200000000000273,0,False,True,1
31,5d30a875ad3457001743fbc9,433.89,445.16,"Um yeah we friends of mine had a cabin up northwest of Williamsport, Little Pine State Park. We go up there twice a year.",-0.17000000000001592,11.270000000000039,0,False,True,24
32,5eba7dd788044a040e7d8d60,445.64,446.19,that's not yeah,0.47999999999996135,0.5500000000000114,0,False,False,4
33,5d30a875ad3457001743fbc9,446.04,446.66,Mhm,-0.14999999999997726,0.6200000000000045,0,False,True,1
34,5eba7dd788044a040e7d8d60,446.2,447.64,that sounds familiar. Yeah.,-0.4600000000000364,1.4399999999999977,0,False,True,4
35,5d30a875ad3457001743fbc9,447.34,448.22,very,-0.30000000000001137,0.8800000000000523,0,False,True,1
36,5eba7dd788044a040e7d8d60,448.14,448.76,Uh,-0.08000000000004093,0.6200000000000045,0,False,True,1
37,5d30a875ad3457001743fbc9,448.22,455.46,"interesting. You guys texas, you're all over the news with a lot of these covid cases taken off?",-0.5399999999999636,7.239999999999952,1,True,True,19
38,5eba7dd788044a040e7d8d60,455.54,457.75,Yeah yeah,0.08000000000004093,2.2099999999999795,0,False,False,2
39,5d30a875ad3457001743fbc9,456.84,458.06,Yeah.,-0.910000000000025,1.2200000000000273,0,False,True,1
40,5eba7dd788044a040e7d8d60,459.04,462.16,yeah they we opened up a bit too early,0.9800000000000182,3.1200000000000045,0,False,False,9
41,5d30a875ad3457001743fbc9,462.54,477.54,"Yeah. Yeah, I think everybody has and trying to adjust and adapt. So I've actually been quarantining myself since Wednesday because I was with someone in the vehicle Tuesday",0.37999999999999545,15.0,0,False,False,30
42,5eba7dd788044a040e7d8d60,477.34,477.55,mm.,-0.20000000000004547,0.21000000000003638,0,False,True,1
43,5d30a875ad3457001743fbc9,477.54,480.73,evening who Wednesday tested positive.,-0.009999999999990905,3.1899999999999977,0,False,True,5
44,5eba7dd788044a040e7d8d60,480.74,481.46,Oh,0.009999999999990905,0.7199999999999704,0,False,False,1
45,5d30a875ad3457001743fbc9,480.74,482.0,So I've,-0.7199999999999704,1.259999999999991,0,False,True,3
46,5eba7dd788044a040e7d8d60,481.84,482.46,yeah,-0.160000000000025,0.6200000000000045,0,False,True,1
47,5d30a875ad3457001743fbc9,482.0,487.06,been hearing clear until I either get symptoms or get a negative test. So,-0.45999999999997954,5.060000000000002,0,False,True,14
48,5eba7dd788044a040e7d8d60,486.94,487.2,yeah,-0.12000000000000455,0.2599999999999909,0,False,True,1
49,5d30a875ad3457001743fbc9,487.07,487.72,a,-0.12999999999999545,0.6500000000000341,0,False,True,1
50,5eba7dd788044a040e7d8d60,487.21,487.77,hopefully a,-0.5100000000000477,0.5600000000000023,0,False,True,2
51,5d30a875ad3457001743fbc9,487.73,487.93,little,-0.03999999999996362,0.19999999999998863,0,False,True,1
52,5eba7dd788044a040e7d8d60,487.77,488.14,negative,-0.160000000000025,0.37000000000000455,0,False,True,1
53,5d30a875ad3457001743fbc9,487.93,488.16,"chicken,",-0.20999999999997954,0.2300000000000182,0,False,True,1
