turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ebabe2f4d32da02ed3a6915,13.74,16.66,"bingo. Hello,",,2.92,0,False,False,2
1,5eb35e715308a1157ae3b853,16.34,16.96,Hello.,-0.3200000000000003,0.620000000000001,0,False,True,1
2,5ebabe2f4d32da02ed3a6915,17.44,18.96,how are you?,0.4800000000000004,1.5199999999999996,1,True,False,3
3,5eb35e715308a1157ae3b853,18.64,19.45,Good. Good.,-0.3200000000000003,0.8099999999999987,0,False,True,2
4,5ebabe2f4d32da02ed3a6915,19.84,21.02,Good.,0.39000000000000057,1.1799999999999997,0,False,False,1
5,5eb35e715308a1157ae3b853,20.04,20.85,How about yourself?,-0.9800000000000004,0.8100000000000023,1,True,True,3
6,5ebabe2f4d32da02ed3a6915,21.03,25.66,I'm ok. Oh dang. What is this thing,0.17999999999999972,4.629999999999999,0,False,False,9
7,5eb35e715308a1157ae3b853,26.14,28.15,"Oh this thing, this is my headset.",0.4800000000000004,2.009999999999998,0,False,False,7
8,5ebabe2f4d32da02ed3a6915,28.54,29.86,you play games?,0.39000000000000057,1.3200000000000003,1,True,False,3
9,5eb35e715308a1157ae3b853,30.04,30.58,Yeah.,0.17999999999999972,0.5399999999999991,0,False,False,1
10,5ebabe2f4d32da02ed3a6915,30.24,30.45,Oh,-0.33999999999999986,0.21000000000000085,0,False,True,1
11,5eb35e715308a1157ae3b853,30.59,31.26,"Yeah, I do.",0.14000000000000057,0.6700000000000017,0,False,False,3
12,5ebabe2f4d32da02ed3a6915,30.94,32.07,what do you,-0.3200000000000003,1.129999999999999,0,False,True,3
13,5eb35e715308a1157ae3b853,32.04,32.45,Yeah.,-0.030000000000001137,0.4100000000000037,0,False,True,1
14,5ebabe2f4d32da02ed3a6915,32.07,33.25,play?,-0.38000000000000256,1.1799999999999997,1,True,True,1
15,5eb35e715308a1157ae3b853,33.14,35.76,Oh um Well,-0.10999999999999943,2.6199999999999974,0,False,True,3
16,5ebabe2f4d32da02ed3a6915,35.54,35.96,Okay.,-0.21999999999999886,0.4200000000000017,0,False,True,1
17,5eb35e715308a1157ae3b853,35.76,38.55,recently I've been playing an MMO called Black Desert,-0.20000000000000284,2.789999999999999,0,False,True,10
18,5ebabe2f4d32da02ed3a6915,38.94,39.11,Uh,0.39000000000000057,0.1700000000000017,0,False,False,1
19,5eb35e715308a1157ae3b853,39.04,39.45,and,-0.07000000000000028,0.4100000000000037,0,False,True,1
20,5ebabe2f4d32da02ed3a6915,39.11,39.56,huh,-0.3400000000000034,0.45000000000000284,0,False,True,1
21,5eb35e715308a1157ae3b853,39.46,51.35,"uh it's like a game that you don't really play. It's really hard to explain the appeal to anyone. It's like, well you go and then you farm and then you come back and it's really weird game.",-0.10000000000000142,11.89,0,False,True,43
22,5ebabe2f4d32da02ed3a6915,51.74,53.46,"huh, interesting, what",0.39000000000000057,1.7199999999999989,0,False,False,3
23,5eb35e715308a1157ae3b853,53.44,53.94,Yeah.,-0.020000000000003126,0.5,0,False,True,1
24,5ebabe2f4d32da02ed3a6915,53.46,53.96,is it called,-0.4799999999999969,0.5,0,False,True,3
25,5eb35e715308a1157ae3b853,54.74,55.96,Called Black Desert.,0.7800000000000011,1.2199999999999989,0,False,False,3
26,5ebabe2f4d32da02ed3a6915,56.44,75.83,"like? Does it interesting? Oh I see. Mm Sandbox, that's cool. Those are good. I've been playing Red Dead Redemption two because I finally got a Playstation four and",0.4799999999999969,19.39,2,False,False,31
27,5eb35e715308a1157ae3b853,75.34,76.26,Oh yeah.,-0.4899999999999949,0.9200000000000017,0,False,True,2
28,5ebabe2f4d32da02ed3a6915,75.84,77.26,have you played that yet?,-0.4200000000000017,1.4200000000000017,1,True,True,5
29,5eb35e715308a1157ae3b853,77.74,79.56,Yeah. I have. It's a,0.47999999999998977,1.8200000000000074,0,False,False,6
30,5ebabe2f4d32da02ed3a6915,79.44,80.46,Mm,-0.12000000000000455,1.019999999999996,0,False,True,1
31,5eb35e715308a1157ae3b853,79.94,81.86,it's a really intense game,-0.519999999999996,1.9200000000000017,0,False,True,6
32,5ebabe2f4d32da02ed3a6915,82.24,82.98,"Dude,",0.37999999999999545,0.7400000000000091,0,False,False,1
33,5eb35e715308a1157ae3b853,82.44,83.36,that. Ah,-0.5400000000000063,0.9200000000000017,0,False,True,2
34,5ebabe2f4d32da02ed3a6915,82.98,84.8,I I love,-0.37999999999999545,1.8199999999999932,0,False,True,3
35,5eb35e715308a1157ae3b853,84.34,84.66,okay.,-0.45999999999999375,0.3199999999999932,0,False,True,1
36,5ebabe2f4d32da02ed3a6915,84.8,91.16,that they let you pet your horse now and that's almost completely all that I do.,0.14000000000000057,6.359999999999999,0,False,False,17
37,5eb35e715308a1157ae3b853,90.14,92.1,Yeah. I know. I I found,-1.019999999999996,1.9599999999999937,0,False,True,6
38,5ebabe2f4d32da02ed3a6915,91.74,92.36,Uh huh,-0.35999999999999943,0.6200000000000045,0,False,True,2
39,5eb35e715308a1157ae3b853,92.1,94.63,myself doing this loop where,-0.2600000000000051,2.530000000000001,0,False,True,5
40,5ebabe2f4d32da02ed3a6915,94.54,95.12,Yeah.,-0.0899999999999892,0.5799999999999983,0,False,True,1
41,5eb35e715308a1157ae3b853,94.63,96.25,like as soon as I was set free because I was,-0.4900000000000091,1.6200000000000045,0,False,True,11
42,5ebabe2f4d32da02ed3a6915,96.14,96.46,Mhm,-0.10999999999999943,0.3199999999999932,0,False,True,1
43,5eb35e715308a1157ae3b853,96.25,98.92,"like whenever you're in an open world game for me, I like to just",-0.20999999999999375,2.6700000000000017,0,False,True,15
44,5ebabe2f4d32da02ed3a6915,98.84,99.16,Oh,-0.0799999999999983,0.3199999999999932,0,False,True,1
45,5eb35e715308a1157ae3b853,98.92,100.35,go out and explore.,-0.23999999999999488,1.4299999999999926,0,False,True,4
46,5ebabe2f4d32da02ed3a6915,99.84,100.47,mm hmm.,-0.5099999999999909,0.6299999999999955,0,False,True,2
47,5eb35e715308a1157ae3b853,100.36,101.33,As soon as they set you,-0.10999999999999943,0.9699999999999989,0,False,True,6
48,5ebabe2f4d32da02ed3a6915,101.24,101.79,Yeah.,-0.09000000000000341,0.5500000000000114,0,False,True,1
49,5eb35e715308a1157ae3b853,101.33,103.23,"free, you had your camp and stuff. I was like I'm gonna",-0.46000000000000796,1.9000000000000057,0,False,True,14
50,5ebabe2f4d32da02ed3a6915,103.14,103.64,Thank,-0.09000000000000341,0.5,0,False,True,1
51,5eb35e715308a1157ae3b853,103.23,103.85,go to the,-0.4099999999999966,0.6199999999999903,0,False,True,3
52,5ebabe2f4d32da02ed3a6915,103.64,103.95,you.,-0.20999999999999375,0.3100000000000023,0,False,True,1
53,5eb35e715308a1157ae3b853,103.85,106.09,town and then along the way to the town,-0.10000000000000853,2.240000000000009,0,False,True,9
54,5ebabe2f4d32da02ed3a6915,105.94,107.65,What?,-0.15000000000000568,1.710000000000008,1,True,True,1
55,5eb35e715308a1157ae3b853,106.09,111.68,"I saw something like, you know, buzzer. Just something I was like I'll shoot and hunt those. and I just found myself honey animals go",-1.5600000000000023,5.590000000000003,0,False,True,26
56,5ebabe2f4d32da02ed3a6915,111.64,111.85,Mhm,-0.04000000000000625,0.20999999999999375,0,False,True,1
57,5eb35e715308a1157ae3b853,111.68,116.37,into the town and like betting my horse and then I'm like going back and doing little loops. I'm like,-0.1699999999999875,4.689999999999998,0,False,True,22
58,5ebabe2f4d32da02ed3a6915,116.24,116.56,wow.,-0.13000000000000966,0.3200000000000074,0,False,True,1
59,5eb35e715308a1157ae3b853,116.37,117.75,not doing anything important to the,-0.18999999999999773,1.3799999999999955,0,False,True,6
60,5ebabe2f4d32da02ed3a6915,117.74,117.83,Uh,-0.010000000000005116,0.09000000000000341,0,False,True,1
61,5eb35e715308a1157ae3b853,117.75,118.08,story.,-0.0799999999999983,0.3299999999999983,0,False,True,1
62,5ebabe2f4d32da02ed3a6915,117.83,118.06,huh,-0.25,0.23000000000000398,0,False,True,1
63,5eb35e715308a1157ae3b853,118.08,122.43,"I'm just like, it's great and the character's name is Arthur, right?",0.01999999999999602,4.3500000000000085,1,True,False,15
64,5ebabe2f4d32da02ed3a6915,122.14,122.94,Yeah,-0.29000000000000625,0.7999999999999972,0,False,True,1
65,5eb35e715308a1157ae3b853,122.43,124.53,So my name is Arthur. So I just,-0.5099999999999909,2.0999999999999943,0,False,True,8
66,5ebabe2f4d32da02ed3a6915,124.44,125.16,woman.,-0.09000000000000341,0.7199999999999989,0,False,True,1
67,5eb35e715308a1157ae3b853,124.53,127.02,"felt like they're, they're like complained to me all the time whenever",-0.6299999999999955,2.489999999999995,0,False,True,14
68,5ebabe2f4d32da02ed3a6915,126.84,127.04,Yeah.,-0.1799999999999926,0.20000000000000284,0,False,True,1
69,5eb35e715308a1157ae3b853,127.02,130.59,"I wasn't doing anything like Arthur is like, I know, I know, I'm just,",-0.020000000000010232,3.5700000000000074,0,False,True,16
70,5ebabe2f4d32da02ed3a6915,130.44,131.86,You,-0.15000000000000568,1.420000000000016,0,False,True,1
71,5eb35e715308a1157ae3b853,130.59,130.96,"you know,",-1.2700000000000102,0.37000000000000455,0,False,True,2
72,5ebabe2f4d32da02ed3a6915,131.86,131.98,know,0.9000000000000057,0.11999999999997613,0,False,False,1
73,5eb35e715308a1157ae3b853,131.94,132.14,"Yeah,",-0.03999999999999204,0.19999999999998863,0,False,True,1
74,5ebabe2f4d32da02ed3a6915,131.98,153.15,honestly I've been feeling a little stressed out by the new Red Dead I think because of the camp and because I just literally started it and I'm also in graduate school but like um at the camp they'll be like dude we're really hungry and apparently you're the only one who,-0.1599999999999966,21.170000000000016,0,False,True,57
75,5eb35e715308a1157ae3b853,153.04,153.28,"yeah,",-0.11000000000001364,0.2400000000000091,0,False,True,1
76,5ebabe2f4d32da02ed3a6915,153.15,156.33,gives them money and brings food back and everybody,-0.12999999999999545,3.180000000000007,0,False,True,9
77,5eb35e715308a1157ae3b853,155.54,156.55,"yeah,",-0.7900000000000205,1.0100000000000193,0,False,True,1
