turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ed2fa0793788128b41df2cd,7.24,91.66,"Mhm. Just and we'll hear anything you say. Uh Yeah, something happened",,84.42,0,False,False,13
1,5ee2aa08fb2efb7bf0d0f60c,97.44,97.86,I'm,5.780000000000001,0.4200000000000017,0,False,False,2
2,5ed2fa0793788128b41df2cd,99.12,101.25,hey. Mhm.,1.2600000000000051,2.1299999999999955,0,False,False,2
3,5ee2aa08fb2efb7bf0d0f60c,102.04,103.57,"my name's Alyssa,",0.7900000000000063,1.529999999999987,0,False,False,4
4,5ed2fa0793788128b41df2cd,103.04,105.13,I'm,-0.5299999999999869,2.089999999999989,0,False,True,2
5,5ee2aa08fb2efb7bf0d0f60c,103.58,104.26,what's your name?,-1.5499999999999972,0.6800000000000068,1,True,True,4
6,5ed2fa0793788128b41df2cd,105.13,106.66,Kenny.,0.8699999999999903,1.5300000000000011,0,False,False,1
7,5ee2aa08fb2efb7bf0d0f60c,106.54,107.27,It's nice to meet,-0.11999999999999034,0.7299999999999898,0,False,True,5
8,5ed2fa0793788128b41df2cd,107.14,107.34,"Yeah,",-0.12999999999999545,0.20000000000000284,0,False,True,1
9,5ee2aa08fb2efb7bf0d0f60c,107.27,107.65,you.,-0.07000000000000739,0.38000000000000966,0,False,True,1
10,5ed2fa0793788128b41df2cd,108.04,108.66,same.,0.39000000000000057,0.6199999999999903,0,False,False,1
11,5ee2aa08fb2efb7bf0d0f60c,108.14,110.56,Um,-0.519999999999996,2.4200000000000017,0,False,True,1
12,5ed2fa0793788128b41df2cd,109.34,113.23,I'm trying to get this swim camp somewhere,-1.2199999999999989,3.8900000000000006,0,False,True,9
13,5ee2aa08fb2efb7bf0d0f60c,112.74,113.46,You're good.,-0.4900000000000091,0.7199999999999989,0,False,True,3
14,5ed2fa0793788128b41df2cd,113.24,117.26,"that works,",-0.21999999999999886,4.02000000000001,0,False,True,2
15,5ee2aa08fb2efb7bf0d0f60c,116.04,118.76,Um So I'm not 100% sure to talk,-1.2199999999999989,2.719999999999999,0,False,True,9
16,5ed2fa0793788128b41df2cd,118.74,119.01,right?,-0.020000000000010232,0.27000000000001023,1,True,True,1
17,5ee2aa08fb2efb7bf0d0f60c,118.76,122.46,"about since this is more random, kind of like doing whatever you",-0.25,3.6999999999999886,0,False,True,12
18,5ed2fa0793788128b41df2cd,121.84,123.16,Mhm.,-0.6199999999999903,1.3199999999999932,0,False,True,1
19,5ee2aa08fb2efb7bf0d0f60c,122.46,124.65,"want to do, like talk about whatever,",-0.7000000000000028,2.190000000000012,0,False,True,7
20,5ed2fa0793788128b41df2cd,124.74,126.23,Uh,0.0899999999999892,1.490000000000009,0,False,False,1
21,5ee2aa08fb2efb7bf0d0f60c,125.04,125.96,but,-1.1899999999999977,0.9199999999999875,0,False,True,1
22,5ed2fa0793788128b41df2cd,126.24,126.84,I've,0.28000000000000114,0.6000000000000085,0,False,False,2
23,5ee2aa08fb2efb7bf0d0f60c,126.34,126.54,yeah.,-0.5,0.20000000000000284,0,False,True,1
24,5ed2fa0793788128b41df2cd,126.85,130.99,"done this before. Last time. It was somebody in New York,",0.30999999999998806,4.140000000000015,0,False,False,11
25,5ee2aa08fb2efb7bf0d0f60c,130.74,131.16,"Off,",-0.25,0.4199999999999875,0,False,True,1
26,5ed2fa0793788128b41df2cd,131.0,133.15,but it has to,-0.1599999999999966,2.1500000000000057,0,False,True,4
27,5ee2aa08fb2efb7bf0d0f60c,133.14,133.46,right,-0.010000000000019327,0.3200000000000216,0,False,True,1
28,5ed2fa0793788128b41df2cd,133.15,135.28,last like at least 25,-0.3100000000000023,2.1299999999999955,0,False,True,5
29,5ee2aa08fb2efb7bf0d0f60c,134.54,134.74,yeah,-0.7400000000000091,0.20000000000001705,0,False,True,1
30,5ed2fa0793788128b41df2cd,135.28,136.4,"minutes though,",0.539999999999992,1.1200000000000045,0,False,False,2
31,5ee2aa08fb2efb7bf0d0f60c,136.04,136.55,mm,-0.36000000000001364,0.5100000000000193,0,False,True,1
32,5ed2fa0793788128b41df2cd,136.41,138.83,so like,-0.14000000000001478,2.420000000000016,0,False,True,2
33,5ee2aa08fb2efb7bf0d0f60c,137.94,138.33,"well,",-0.8900000000000148,0.3900000000000148,0,False,True,1
34,5ed2fa0793788128b41df2cd,138.83,140.46,7:30 basically.,0.5,1.6299999999999955,0,False,False,2
35,5ee2aa08fb2efb7bf0d0f60c,140.84,143.66,yep. Um where are you from?,0.37999999999999545,2.819999999999993,1,True,False,6
36,5ed2fa0793788128b41df2cd,143.64,144.74,I'm from Tulsa,-0.020000000000010232,1.1000000000000227,0,False,True,4
37,5ee2aa08fb2efb7bf0d0f60c,144.24,147.76,Nice.,-0.5,3.519999999999982,0,False,True,1
38,5ed2fa0793788128b41df2cd,144.74,146.89,"Oklahoma, but I live in Dallas in",-3.019999999999982,2.1499999999999773,0,False,True,7
39,5ee2aa08fb2efb7bf0d0f60c,147.76,150.74,I love texas. Uh huh.,0.8700000000000045,2.980000000000018,0,False,False,5
