turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f60371e80ea02132146968e,0.84,94.36,Yeah. Okay wow. Um Mhm. Yeah. Yeah. Mhm. Mhm. Sure. Okay. Yeah. Yeah. Oh yeah. Mhm wow. Okay. Mhm. Hi.,,93.52,0,False,False,20
1,5f0f74f79ae45313d4652776,94.44,95.72,morning. Good,0.0799999999999983,1.2800000000000011,0,False,False,2
2,5f60371e80ea02132146968e,95.34,95.66,Okay.,-0.37999999999999545,0.3199999999999932,0,False,True,1
3,5f0f74f79ae45313d4652776,95.72,97.56,"afternoon, I'm not sure.",0.060000000000002274,1.8400000000000034,0,False,False,5
4,5f60371e80ea02132146968e,96.94,100.66,Mhm. Afternoon just turned afternoon here.,-0.6200000000000045,3.719999999999999,0,False,True,6
5,5f0f74f79ae45313d4652776,100.44,103.76,Oh yeah I'm on the West Coast so it's still fairly early,-0.21999999999999886,3.3200000000000074,0,False,True,14
6,5f60371e80ea02132146968e,103.84,107.06,"Gosh. Nice. So,",0.0799999999999983,3.219999999999999,0,False,False,3
7,5f0f74f79ae45313d4652776,106.64,107.75,"so you're,",-0.4200000000000017,1.1099999999999994,0,False,True,3
8,5f60371e80ea02132146968e,107.64,108.56,oh yeah.,-0.10999999999999943,0.9200000000000017,0,False,True,2
9,5f0f74f79ae45313d4652776,108.44,109.66,sorry please go ahead.,-0.12000000000000455,1.2199999999999989,0,False,True,4
10,5f60371e80ea02132146968e,109.84,111.69,Oh no I'm just gonna ask like how many,0.18000000000000682,1.8499999999999943,0,False,False,11
11,5f0f74f79ae45313d4652776,111.44,111.64,Yeah,-0.25,0.20000000000000284,0,False,True,1
12,5f60371e80ea02132146968e,111.69,114.36,interviews or conversations you've had so far.,0.04999999999999716,2.6700000000000017,0,False,False,8
13,5f0f74f79ae45313d4652776,114.84,116.62,"this is my third one, have",0.480000000000004,1.7800000000000011,0,False,False,6
14,5f60371e80ea02132146968e,116.34,116.85,All right.,-0.28000000000000114,0.5099999999999909,0,False,True,2
15,5f0f74f79ae45313d4652776,116.62,117.96,you? You've done it before then?,-0.22999999999998977,1.3399999999999892,2,True,True,7
16,5f60371e80ea02132146968e,118.24,119.5,Yeah I think you're,0.28000000000000114,1.2600000000000051,0,False,False,5
