turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e862e27f569ad0c21028e09,12.04,12.36,Okay.,,0.3200000000000003,0,False,False,1
1,5b67735c05753f00016b54ab,84.74,85.55,Hello?,72.38,0.8100000000000023,1,True,False,1
2,5e862e27f569ad0c21028e09,85.84,86.94,Uh huh.,0.29000000000000625,1.0999999999999943,0,False,False,2
3,5b67735c05753f00016b54ab,86.64,88.46,"What's up, man? How's it going?",-0.29999999999999716,1.8199999999999932,2,True,True,8
4,5e862e27f569ad0c21028e09,88.44,90.15,What's up?,-0.01999999999999602,1.710000000000008,1,True,True,3
5,5b67735c05753f00016b54ab,89.44,92.95,You're just doing this this for like a side hustle type shit.,-0.710000000000008,3.510000000000005,0,False,True,13
6,5e862e27f569ad0c21028e09,92.74,93.54,Yeah.,-0.21000000000000796,0.8000000000000114,0,False,True,1
7,5b67735c05753f00016b54ab,93.54,98.51,I feel I feel it respect it. So what do you have to do? We just talk?,0.0,4.969999999999999,2,True,False,17
8,5e862e27f569ad0c21028e09,97.64,99.26,Who just talked?,-0.8700000000000045,1.6200000000000045,1,True,True,3
9,5b67735c05753f00016b54ab,98.52,100.98,"All right. I mean,",-0.7400000000000091,2.460000000000008,0,False,True,4
10,5e862e27f569ad0c21028e09,100.94,101.14,Yeah.,-0.04000000000000625,0.20000000000000284,0,False,True,1
11,5b67735c05753f00016b54ab,100.99,103.05,I just got back from work so,-0.15000000000000568,2.0600000000000023,0,False,True,7
12,5e862e27f569ad0c21028e09,102.84,103.56,All,-0.20999999999999375,0.7199999999999989,0,False,True,1
13,5b67735c05753f00016b54ab,103.06,103.85,"I'm fucking,",-0.5,0.789999999999992,0,False,True,3
14,5e862e27f569ad0c21028e09,103.56,104.55,right.,-0.28999999999999204,0.9899999999999949,0,False,True,1
15,5b67735c05753f00016b54ab,103.85,105.76,"you know, I'm fucking",-0.7000000000000028,1.9100000000000108,0,False,True,5
16,5e862e27f569ad0c21028e09,105.54,106.04,Yeah,-0.21999999999999886,0.5,0,False,True,1
17,5b67735c05753f00016b54ab,105.76,106.76,just killing around.,-0.28000000000000114,1.0,0,False,True,3
18,5e862e27f569ad0c21028e09,106.74,107.66,for sure bro.,-0.020000000000010232,0.9200000000000017,0,False,True,3
19,5b67735c05753f00016b54ab,107.74,108.36,"Uh,",0.0799999999999983,0.6200000000000045,0,False,False,1
20,5e862e27f569ad0c21028e09,108.04,109.39,I'm,-0.3199999999999932,1.3499999999999943,0,False,True,2
21,5b67735c05753f00016b54ab,108.37,109.15,what's your name?,-1.019999999999996,0.7800000000000011,1,True,True,4
22,5e862e27f569ad0c21028e09,109.39,110.3,Dennis.,0.23999999999999488,0.9099999999999966,0,False,False,1
23,5b67735c05753f00016b54ab,110.04,111.21,Dennis? I'm kevin.,-0.2599999999999909,1.1699999999999875,1,False,True,4
24,5e862e27f569ad0c21028e09,111.14,112.51,Um,-0.06999999999999318,1.3700000000000045,0,False,True,1
25,5b67735c05753f00016b54ab,111.22,111.96,Where you from?,-1.2900000000000063,0.7399999999999949,1,True,True,3
26,5e862e27f569ad0c21028e09,112.51,115.4,Right now in philadelphia.,0.5500000000000114,2.8900000000000006,0,False,False,4
27,5b67735c05753f00016b54ab,113.94,116.85,Okay. Okay. I'm not too far away. I'm in Cleveland.,-1.460000000000008,2.9099999999999966,0,False,True,12
28,5e862e27f569ad0c21028e09,116.09,117.89,Oh shit okay,-0.7599999999999909,1.7999999999999972,0,False,True,3
29,5b67735c05753f00016b54ab,117.54,118.47,I'm,-0.3499999999999943,0.9299999999999926,0,False,True,2
30,5e862e27f569ad0c21028e09,117.9,120.55,way.,-0.5699999999999932,2.6499999999999915,0,False,True,1
31,5b67735c05753f00016b54ab,118.47,120.45,"originally from California though, so",-2.0799999999999983,1.980000000000004,0,False,True,5
32,5e862e27f569ad0c21028e09,120.55,121.76,Which part?,0.09999999999999432,1.210000000000008,1,True,False,2
33,5b67735c05753f00016b54ab,121.54,122.68,san Jose,-0.21999999999999886,1.1400000000000006,0,False,True,2
34,5e862e27f569ad0c21028e09,122.14,122.8,Oh,-0.5400000000000063,0.6599999999999966,0,False,True,1
35,5b67735c05753f00016b54ab,122.69,122.85,in the,-0.10999999999999943,0.1599999999999966,0,False,True,2
36,5e862e27f569ad0c21028e09,122.8,123.29,yeah,-0.04999999999999716,0.4900000000000091,0,False,True,1
37,5b67735c05753f00016b54ab,122.85,123.46,bay.,-0.44000000000001194,0.6099999999999994,0,False,True,1
