turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f6b69d064b69d05a7c7c621,9.84,47.25,what? Okay. Mhm.,,37.41,1,False,False,3
1,5f2850a9d9a5f01279e1bd16,55.44,55.76,well look.,8.189999999999998,0.3200000000000003,0,False,False,2
2,5f6b69d064b69d05a7c7c621,55.74,57.75,"Hey,",-0.01999999999999602,2.009999999999998,0,False,True,1
3,5f2850a9d9a5f01279e1bd16,56.14,56.82,Uh huh.,-1.6099999999999994,0.6799999999999997,0,False,True,2
4,5f6b69d064b69d05a7c7c621,58.14,58.86,how's it going?,1.3200000000000003,0.7199999999999989,1,True,False,4
5,5f2850a9d9a5f01279e1bd16,58.84,61.26,Uh huh. It's going good. How you doing?,-0.01999999999999602,2.4199999999999946,1,True,True,9
6,5f6b69d064b69d05a7c7c621,61.04,62.96,Good. I'm anna,-0.21999999999999886,1.9200000000000017,0,False,True,4
7,5f2850a9d9a5f01279e1bd16,64.04,65.26,I am kira,1.0800000000000054,1.2199999999999989,0,False,False,3
8,5f6b69d064b69d05a7c7c621,65.24,65.86,kira,-0.020000000000010232,0.6200000000000045,0,False,True,1
9,5f2850a9d9a5f01279e1bd16,66.24,67.26,"yes,",0.37999999999999545,1.0200000000000102,0,False,False,1
10,5f6b69d064b69d05a7c7c621,66.94,67.36,cool.,-0.3200000000000074,0.4200000000000017,0,False,True,1
11,5f2850a9d9a5f01279e1bd16,67.84,69.55,so how you doing tonight?,0.480000000000004,1.7099999999999937,1,True,False,5
12,5f6b69d064b69d05a7c7c621,69.84,77.14,Doing pretty good. Kind of laying in low which is nice. Uh,0.29000000000000625,7.299999999999997,0,False,False,12
13,5f2850a9d9a5f01279e1bd16,76.64,77.56,Mhm,-0.5,0.9200000000000017,0,False,True,1
14,5f6b69d064b69d05a7c7c621,77.15,81.53,just having a little baby cocktail good,-0.4099999999999966,4.3799999999999955,0,False,True,7
15,5f2850a9d9a5f01279e1bd16,81.44,81.76,Uh huh,-0.09000000000000341,0.3200000000000074,0,False,True,2
16,5f6b69d064b69d05a7c7c621,81.53,82.86,"thursday, you know?",-0.23000000000000398,1.3299999999999983,1,True,True,3
17,5f2850a9d9a5f01279e1bd16,82.59,84.37,Uh huh. Yeah,-0.269999999999996,1.7800000000000011,0,False,True,3
