turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e6d6545993427329a35b800,0.54,91.85,Okay. Yeah. Yeah. Mhm. Let me christian. Uh huh. Mhm. Right now. Yeah. Okay. Yeah. Uh huh. Mhm. You can read more and more. Shut up. Yeah. Yeah. Uh huh. Anything. Okay. Yeah. Go,,91.30999999999999,0,False,False,34
1,5eb10e1b6e2f921d6d6567dd,92.04,93.05,Oh yeah.,0.19000000000001194,1.009999999999991,0,False,False,2
2,5e6d6545993427329a35b800,93.24,94.26,good morning.,0.18999999999999773,1.0200000000000102,0,False,False,2
3,5eb10e1b6e2f921d6d6567dd,94.44,95.16,You hear me?,0.1799999999999926,0.7199999999999989,1,True,False,3
4,5e6d6545993427329a35b800,95.54,96.65,Yes. Can you hear me?,0.38000000000000966,1.1099999999999994,1,True,False,5
5,5eb10e1b6e2f921d6d6567dd,97.04,98.06,"Yes, yes,",0.39000000000000057,1.019999999999996,0,False,False,2
6,5e6d6545993427329a35b800,97.94,98.96,Perfect.,-0.12000000000000455,1.019999999999996,0,False,True,1
7,5eb10e1b6e2f921d6d6567dd,99.54,99.95,sorry.,0.5800000000000125,0.4099999999999966,0,False,False,1
8,5e6d6545993427329a35b800,99.74,99.94,Yeah.,-0.21000000000000796,0.20000000000000284,0,False,True,1
9,5eb10e1b6e2f921d6d6567dd,99.95,102.06,And I'm kind of in shock that,0.010000000000005116,2.1099999999999994,0,False,False,8
10,5e6d6545993427329a35b800,102.14,102.46,What,0.0799999999999983,0.3199999999999932,0,False,False,1
11,5eb10e1b6e2f921d6d6567dd,103.64,104.86,someone is here.,1.1800000000000068,1.2199999999999989,0,False,False,3
12,5e6d6545993427329a35b800,104.74,105.76,ruth?,-0.12000000000000455,1.0200000000000102,1,True,True,1
13,5eb10e1b6e2f921d6d6567dd,105.34,113.16,Uh I don't know if it's your is this your first attempt to speak with someone?,-0.4200000000000017,7.819999999999993,1,True,True,18
14,5e6d6545993427329a35b800,112.84,116.35,"No, I did it last time and me and the guy talked for like 45 minutes.",-0.3199999999999932,3.509999999999991,0,False,True,16
15,5eb10e1b6e2f921d6d6567dd,116.84,129.4,"I just mean like because I didn't lost him also, but it took Like three or 4 times to actually connect with",0.4900000000000091,12.560000000000002,0,False,False,23
16,5e6d6545993427329a35b800,129.12,130.66,That's great.,-0.28000000000000114,1.539999999999992,0,False,True,3
17,5eb10e1b6e2f921d6d6567dd,130.34,133.25,um last time and this time. So it's like,-0.3199999999999932,2.9099999999999966,0,False,True,10
18,5e6d6545993427329a35b800,133.34,134.85,Oh earth,0.09000000000000341,1.509999999999991,0,False,False,2
19,5eb10e1b6e2f921d6d6567dd,134.34,137.04,Yeah.,-0.5099999999999909,2.6999999999999886,0,False,True,1
20,5e6d6545993427329a35b800,135.84,136.46,wonderful.,-1.1999999999999886,0.6200000000000045,0,False,True,1
21,5eb10e1b6e2f921d6d6567dd,137.05,137.85,Anyways.,0.5900000000000034,0.799999999999983,0,False,False,1
22,5e6d6545993427329a35b800,137.74,137.95,Mhm.,-0.10999999999998522,0.20999999999997954,0,False,True,1
23,5eb10e1b6e2f921d6d6567dd,138.44,138.86,Mhm.,0.4900000000000091,0.4200000000000159,0,False,False,1
24,5e6d6545993427329a35b800,138.64,139.96,"Well, I'm glad it works.",-0.22000000000002728,1.3200000000000216,0,False,True,6
25,5eb10e1b6e2f921d6d6567dd,140.24,144.26,"Yeah, how's it going?",0.28000000000000114,4.019999999999982,1,True,False,5
26,5e6d6545993427329a35b800,144.94,149.86,This is a little early for me. So I actually just rolled out of bed.,0.6800000000000068,4.920000000000016,0,False,False,15
27,5eb10e1b6e2f921d6d6567dd,149.64,151.16,"Yeah, me too.",-0.22000000000002728,1.5200000000000102,0,False,True,3
28,5e6d6545993427329a35b800,150.74,154.46,What? Mm.,-0.4199999999999875,3.719999999999999,1,False,True,2
29,5eb10e1b6e2f921d6d6567dd,152.54,154.16,"Yeah, mm hmm.",-1.920000000000016,1.6200000000000045,0,False,True,3
30,5e6d6545993427329a35b800,154.84,155.16,Mhm.,0.6800000000000068,0.3199999999999932,0,False,False,1
31,5eb10e1b6e2f921d6d6567dd,154.84,156.16,Where,-0.3199999999999932,1.3199999999999932,0,False,True,1
32,5e6d6545993427329a35b800,156.14,156.94,Mhm. Yeah.,-0.020000000000010232,0.8000000000000114,0,False,True,2
33,5eb10e1b6e2f921d6d6567dd,157.14,159.48,are you in the US? Because,0.19999999999998863,2.3400000000000034,1,False,False,6
34,5e6d6545993427329a35b800,159.34,159.99,Or,-0.13999999999998636,0.6500000000000057,0,False,True,1
35,5eb10e1b6e2f921d6d6567dd,159.49,160.02,I think,-0.5,0.5300000000000011,0,False,True,2
36,5e6d6545993427329a35b800,160.0,160.49,all,-0.020000000000010232,0.4900000000000091,0,False,True,1
37,5eb10e1b6e2f921d6d6567dd,160.03,160.76,"okay, okay.",-0.46000000000000796,0.7299999999999898,0,False,True,2
38,5e6d6545993427329a35b800,160.5,162.36,the stuff Carolina. What about you?,-0.2599999999999909,1.8600000000000136,1,True,True,6
39,5eb10e1b6e2f921d6d6567dd,163.04,163.96,You know when?,0.6799999999999784,0.9200000000000159,1,True,False,3
40,5e6d6545993427329a35b800,164.04,164.96,South Carolina?,0.07999999999998408,0.9200000000000159,1,True,False,2
41,5eb10e1b6e2f921d6d6567dd,165.34,169.72,"Okay, oh, I'm in California, so it's a",0.37999999999999545,4.3799999999999955,0,False,False,10
42,5e6d6545993427329a35b800,169.04,169.96,Oh wow,-0.6800000000000068,0.9200000000000159,0,False,True,2
43,5eb10e1b6e2f921d6d6567dd,169.73,171.46,little earlier.,-0.2300000000000182,1.7300000000000182,0,False,True,2
