turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f4d4ad0fdcc2b1371ceec98,2.54,8.26,Okay. What? Oh yeah oh,,5.72,1,False,False,5
1,5f00cc127086ce2029ae6541,13.14,13.86,Hello.,4.880000000000001,0.7199999999999989,0,False,False,1
2,5f4d4ad0fdcc2b1371ceec98,14.24,14.86,hello,0.3800000000000008,0.6199999999999992,0,False,False,1
3,5f00cc127086ce2029ae6541,14.54,16.56,"Okay, how are you?",-0.3200000000000003,2.0199999999999996,1,True,True,4
4,5f4d4ad0fdcc2b1371ceec98,16.84,18.55,I'm doing well how are you?,0.28000000000000114,1.7100000000000009,1,True,False,7
5,5f00cc127086ce2029ae6541,19.04,24.56,I'm good. I'm good. I'm a little more um informal because I'm sick,0.48999999999999844,5.52,0,False,False,17
6,5f4d4ad0fdcc2b1371ceec98,24.14,24.35,Mm,-0.41999999999999815,0.21000000000000085,0,False,True,1
7,5f00cc127086ce2029ae6541,24.94,27.85,than I normally am for these. But,0.5899999999999999,2.91,0,False,False,7
8,5f4d4ad0fdcc2b1371ceec98,27.54,33.66,that's fine I'm just sitting here at the kitchen table which is my office and,-0.3100000000000023,6.119999999999997,0,False,True,17
9,5f00cc127086ce2029ae6541,33.64,33.83,well,-0.01999999999999602,0.18999999999999773,0,False,True,1
10,5f4d4ad0fdcc2b1371ceec98,33.66,34.17,everything,-0.1700000000000017,0.5100000000000051,0,False,True,1
11,5f00cc127086ce2029ae6541,33.83,34.06,that's,-0.3400000000000034,0.23000000000000398,0,False,True,2
12,5f4d4ad0fdcc2b1371ceec98,34.17,34.95,these days.,0.10999999999999943,0.7800000000000011,0,False,False,2
13,5f00cc127086ce2029ae6541,35.34,39.22,nice. My couch is my everything. Which,0.39000000000000057,3.8799999999999955,0,False,False,7
14,5f4d4ad0fdcc2b1371ceec98,39.14,39.64,Yeah.,-0.0799999999999983,0.5,0,False,True,1
15,5f00cc127086ce2029ae6541,39.22,42.16,is where right now.,-0.4200000000000017,2.9399999999999977,0,False,True,4
16,5f4d4ad0fdcc2b1371ceec98,41.74,43.26,Yeah,-0.4199999999999946,1.519999999999996,0,False,True,1
17,5f00cc127086ce2029ae6541,44.24,45.35,Where are you?,0.980000000000004,1.1099999999999994,1,True,False,3
