turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e68dfbe9918b20349f76035,24.04,309.34,"Yeah. Okay. Yeah. Yeah. Yeah. Yeah. Yeah, I'm yeah. Thank you. Mhm. Yeah. Mhm. Okay. Yeah, mm, mm. Yeah. All right, thank you. Yeah. Yeah. Okay. Uh huh. Mhm. Okay. Thank you. Yeah. No. Mhm. Yeah. Yeah. Yeah. Yeah. Yeah. Mhm. Mhm. Mhm. Okay. Mhm, expected coming party? Yeah. Just a minute. Mhm. Thank you. Okay. Yeah. What? Um Okay. Yeah. Yes, it's interesting. Yeah. Yeah. Okay. Come on. All right. Yeah. Yeah.",,285.29999999999995,2,False,False,75
1,5e7cf03fea45cb369b402703,309.14,309.56,Mhm.,-0.19999999999998863,0.4200000000000159,0,False,True,1
2,5e68dfbe9918b20349f76035,310.14,311.54,Uh huh.,0.5799999999999841,1.400000000000034,0,False,False,2
3,5e7cf03fea45cb369b402703,312.14,313.54,Yeah.,0.5999999999999659,1.400000000000034,0,False,False,1
4,5e68dfbe9918b20349f76035,312.34,314.95,"Oh,",-1.2000000000000455,2.6100000000000136,0,False,True,1
5,5e7cf03fea45cb369b402703,313.94,314.96,Hello.,-1.009999999999991,1.0199999999999818,0,False,True,1
6,5e68dfbe9918b20349f76035,315.44,316.36,hello.,0.4800000000000182,0.9200000000000159,0,False,False,1
7,5e7cf03fea45cb369b402703,316.64,318.84,"Bye. Yeah,",0.2799999999999727,2.1999999999999886,0,False,False,2
8,5e68dfbe9918b20349f76035,319.14,319.35,Mhm.,0.30000000000001137,0.21000000000003638,0,False,False,1
9,5e7cf03fea45cb369b402703,319.34,320.86,my name is Amanda,-0.010000000000047748,1.5200000000000387,0,False,True,4
10,5e68dfbe9918b20349f76035,320.94,322.95,Hi Amanda. I'm Emily.,0.07999999999998408,2.009999999999991,0,False,False,5
11,5e7cf03fea45cb369b402703,323.34,323.81,"Emily,",0.38999999999998636,0.4700000000000273,0,False,False,1
12,5e68dfbe9918b20349f76035,323.64,323.84,Yeah.,-0.17000000000001592,0.19999999999998863,0,False,True,1
13,5e7cf03fea45cb369b402703,323.81,325.05,Nice to meet you.,-0.029999999999972715,1.240000000000009,0,False,True,4
14,5e68dfbe9918b20349f76035,325.44,327.15,Nice to meet you too.,0.38999999999998636,1.7099999999999795,0,False,False,5
15,5e7cf03fea45cb369b402703,327.24,331.95,"Okay. Um, I forgot like is there something specific we're supposed to talk about?",0.09000000000003183,4.7099999999999795,1,True,False,15
16,5e68dfbe9918b20349f76035,332.54,336.65,Just 25 minutes of hanging out.,0.5900000000000318,4.109999999999957,0,False,False,6
17,5e7cf03fea45cb369b402703,335.84,339.86,"All right. Okay. Well, I have a little drink drink with me. I hope you don't mind.",-0.8100000000000023,4.020000000000039,0,False,True,18
18,5e68dfbe9918b20349f76035,340.04,347.26,"That is totally fine. I have a not alcohol, but I have both tea and ginger beer. So",0.18000000000000682,7.21999999999997,0,False,False,18
19,5e7cf03fea45cb369b402703,346.14,352.56,"I don't know. Yeah. No, I felt like I deserved a little drink cause I finished my work for the day, so I was like, I can have one.",-1.1200000000000045,6.420000000000016,0,False,True,30
20,5e68dfbe9918b20349f76035,352.64,355.06,"nice congrats, Are you working from home?",0.07999999999998408,2.420000000000016,1,True,False,7
21,5e7cf03fea45cb369b402703,355.14,356.36,"Yeah, I'm a teacher.",0.07999999999998408,1.2200000000000273,0,False,False,5
22,5e68dfbe9918b20349f76035,357.04,359.56,"Mm. What kind of teacher,",0.6800000000000068,2.519999999999982,0,False,False,5
23,5e7cf03fea45cb369b402703,359.74,361.06,"I teach japanese,",0.18000000000000682,1.3199999999999932,0,False,False,3
24,5e68dfbe9918b20349f76035,361.84,365.25,"wow, cool. To",0.7799999999999727,3.410000000000025,0,False,False,3
25,5e7cf03fea45cb369b402703,364.54,364.75,right?,-0.7099999999999795,0.20999999999997954,1,True,True,1
26,5e68dfbe9918b20349f76035,365.26,366.06,"whom,",0.5099999999999909,0.8000000000000114,0,False,False,1
27,5e7cf03fea45cb369b402703,366.24,373.95,"High school students. So I have grades not, I had grades nine through 12, but my seniors are done as of last Friday.",0.18000000000000682,7.7099999999999795,0,False,False,23
