turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ed98dc98d52355330659711,307.04,307.36,"Right,",,0.3199999999999932,0,False,False,1
1,5c0017c8f4fb890001d68650,307.94,309.46,Hey good morning how are you?,0.5799999999999841,1.5199999999999818,1,True,False,6
2,5ed98dc98d52355330659711,309.54,311.25,"good morning, how are you?",0.08000000000004093,1.7099999999999795,1,True,False,5
3,5c0017c8f4fb890001d68650,311.54,313.76,I'm good I'm good.,0.29000000000002046,2.2199999999999704,0,False,False,6
4,5ed98dc98d52355330659711,313.74,314.25,Mhm.,-0.01999999999998181,0.5099999999999909,0,False,True,1
5,5c0017c8f4fb890001d68650,314.64,315.24,I had,0.38999999999998636,0.6000000000000227,0,False,False,2
6,5ed98dc98d52355330659711,315.24,315.44,Yeah.,0.0,0.19999999999998863,0,False,False,1
7,5c0017c8f4fb890001d68650,315.25,316.5,made to make sure I had,-0.18999999999999773,1.25,0,False,True,6
8,5ed98dc98d52355330659711,316.44,316.65,Right.,-0.060000000000002274,0.20999999999997954,0,False,True,1
9,5c0017c8f4fb890001d68650,316.5,318.74,enough like hate where they put my,-0.14999999999997726,2.240000000000009,0,False,True,7
10,5ed98dc98d52355330659711,318.44,318.64,"Yeah,",-0.30000000000001137,0.19999999999998863,0,False,True,1
11,5c0017c8f4fb890001d68650,318.75,321.26,my face but that's okay.,0.11000000000001364,2.509999999999991,0,False,False,6
12,5ed98dc98d52355330659711,321.04,322.66,you had enough light. I uh,-0.21999999999997044,1.6200000000000045,0,False,True,6
13,5c0017c8f4fb890001d68650,322.54,323.85,Yeah.,-0.12000000000000455,1.3100000000000023,0,False,True,1
14,5ed98dc98d52355330659711,323.24,326.26,it's very um,-0.6100000000000136,3.019999999999982,0,False,True,4
15,5c0017c8f4fb890001d68650,325.94,326.85,Uh huh.,-0.3199999999999932,0.910000000000025,0,False,True,2
16,5ed98dc98d52355330659711,327.54,328.83,gray here.,0.6899999999999977,1.2899999999999636,0,False,False,2
17,5c0017c8f4fb890001d68650,328.44,331.02,Yeah,-0.38999999999998636,2.579999999999984,0,False,True,1
18,5ed98dc98d52355330659711,328.88,331.04,It's very cool. I,-2.1399999999999864,2.160000000000025,0,False,True,5
19,5c0017c8f4fb890001d68650,331.03,331.34,it's,-0.010000000000047748,0.3100000000000023,0,False,True,2
20,5ed98dc98d52355330659711,331.04,331.51,almost didn't,-0.2999999999999545,0.46999999999997044,0,False,True,3
21,5c0017c8f4fb890001d68650,331.35,334.75,old.,-0.15999999999996817,3.3999999999999773,0,False,True,1
22,5ed98dc98d52355330659711,331.51,334.83,want to get. It's very cool. I'm in texas. Where are,-3.240000000000009,3.319999999999993,0,False,True,13
23,5c0017c8f4fb890001d68650,334.76,336.08,Oh,-0.06999999999999318,1.3199999999999932,0,False,True,1
24,5ed98dc98d52355330659711,334.83,335.16,you?,-1.25,0.3300000000000409,1,True,True,1
25,5c0017c8f4fb890001d68650,336.08,339.33,"I'm in Virginia, it's cold in texas I didn't know whatever got cold",0.9199999999999591,3.25,0,False,False,16
26,5ed98dc98d52355330659711,339.04,339.25,The,-0.2899999999999636,0.20999999999997954,0,False,True,1
27,5c0017c8f4fb890001d68650,339.33,340.35,in texas,0.07999999999998408,1.0200000000000387,0,False,False,2
28,5ed98dc98d52355330659711,340.54,346.08,"it never it never does and not even bragged out. But yeah, it is called my windows",0.18999999999999773,5.539999999999964,0,False,False,17
29,5c0017c8f4fb890001d68650,345.74,351.29,wow,-0.339999999999975,5.550000000000011,0,False,True,1
30,5ed98dc98d52355330659711,346.08,351.33,are money. It is. I have no idea why,-5.210000000000036,5.25,0,False,True,9
31,5c0017c8f4fb890001d68650,351.3,354.27,wow,-0.029999999999972715,2.9699999999999704,0,False,True,1
32,5ed98dc98d52355330659711,351.39,352.55,"that's one where it's better,",-2.8799999999999955,1.160000000000025,0,False,True,7
