turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ed5ac56ee608714bb21075d,1.44,98.36,"mm, mm hmm. Yeah. Yeah. The property, yeah. Okay. Yeah. Okay. Okay. Mhm. Yeah. Yeah. Mhm. Yeah. Uh huh, mm mm. Mhm. Mhm. I don't want any Okay. Yeah. Mhm. Mhm. Mhm, wow. Sure. Mhm. Yeah. Yeah. Yeah, yeah, mm. All right. Oh,",,96.92,0,False,False,44
1,5e432b707546fb1cfcd9e0b1,102.21,102.66,mm.,3.8499999999999943,0.45000000000000284,0,False,False,1
2,5ed5ac56ee608714bb21075d,102.94,103.53,"hello,",0.28000000000000114,0.5900000000000034,0,False,False,1
3,5e432b707546fb1cfcd9e0b1,103.04,103.24,"Yeah,",-0.4899999999999949,0.19999999999998863,0,False,True,1
4,5ed5ac56ee608714bb21075d,103.53,104.26,how are you?,0.29000000000000625,0.730000000000004,1,True,False,3
5,5e432b707546fb1cfcd9e0b1,104.44,105.36,I'm doing more.,0.1799999999999926,0.9200000000000017,0,False,False,4
6,5ed5ac56ee608714bb21075d,105.74,109.25,Oh let me turn my volume up. I can't hear you very well.,0.37999999999999545,3.510000000000005,0,False,False,14
7,5e432b707546fb1cfcd9e0b1,109.44,110.85,"Yeah, I mumble.",0.18999999999999773,1.4099999999999966,0,False,False,3
8,5ed5ac56ee608714bb21075d,111.54,116.85,"No, that's okay. I have my volume down. I was on a work call earlier that was really loud,",0.6900000000000119,5.309999999999988,0,False,False,20
9,5e432b707546fb1cfcd9e0b1,116.54,119.85,Yeah. Yeah.,-0.30999999999998806,3.309999999999988,0,False,True,2
10,5ed5ac56ee608714bb21075d,118.94,119.66,so,-0.9099999999999966,0.7199999999999989,0,False,True,1
11,5e432b707546fb1cfcd9e0b1,119.86,122.15,Are you? What's your name?,0.20000000000000284,2.2900000000000063,2,True,False,6
12,5ed5ac56ee608714bb21075d,121.74,123.17,my name is Maria and,-0.4100000000000108,1.4300000000000068,0,False,True,5
13,5e432b707546fb1cfcd9e0b1,123.14,124.25,I'm,-0.030000000000001137,1.1099999999999994,0,False,True,2
14,5ed5ac56ee608714bb21075d,123.17,123.66,"richards,",-1.0799999999999983,0.4899999999999949,0,False,True,1
15,5e432b707546fb1cfcd9e0b1,124.25,124.96,"Kyle,",0.5900000000000034,0.7099999999999937,0,False,False,1
16,5ed5ac56ee608714bb21075d,125.14,126.46,"Kara, nice to meet you.",0.18000000000000682,1.3199999999999932,0,False,False,5
17,5e432b707546fb1cfcd9e0b1,126.34,129.16,mm. My God. For him.,-0.11999999999999034,2.819999999999993,0,False,True,5
18,5ed5ac56ee608714bb21075d,128.74,130.75,"Are you gonna say, do I see a pop in the background?",-0.4199999999999875,2.009999999999991,1,True,True,13
19,5e432b707546fb1cfcd9e0b1,131.21,132.06,Mm.,0.46000000000000796,0.8499999999999943,0,False,False,1
20,5ed5ac56ee608714bb21075d,131.54,132.46,Uh huh.,-0.5200000000000102,0.9200000000000159,0,False,True,2
21,5e432b707546fb1cfcd9e0b1,132.54,134.36,Is it sweetie?,0.07999999999998408,1.8200000000000216,1,True,False,3
22,5ed5ac56ee608714bb21075d,133.64,134.95,What kind of dog?,-0.7200000000000273,1.3100000000000023,1,True,True,4
23,5e432b707546fb1cfcd9e0b1,135.54,139.36,He's all hounds. He's really dark sometimes.,0.5900000000000034,3.8200000000000216,0,False,False,9
24,5ed5ac56ee608714bb21075d,141.44,142.16,"Well,",2.079999999999984,0.7199999999999989,0,False,False,1
25,5e432b707546fb1cfcd9e0b1,141.74,142.76,All these pictures.,-0.4199999999999875,1.0199999999999818,0,False,True,3
26,5ed5ac56ee608714bb21075d,143.74,144.66,oh I'm so,0.9800000000000182,0.9199999999999875,0,False,False,4
27,5e432b707546fb1cfcd9e0b1,144.24,145.05,"Mhm,",-0.4199999999999875,0.8100000000000023,0,False,True,1
28,5ed5ac56ee608714bb21075d,144.66,145.66,"jealous,",-0.3900000000000148,1.0,0,False,True,1
29,5e432b707546fb1cfcd9e0b1,145.94,147.04,german.,0.28000000000000114,1.0999999999999943,0,False,False,1
30,5ed5ac56ee608714bb21075d,146.34,149.36,I had a video but I had to put her asleep last year and,-0.6999999999999886,3.0200000000000102,0,False,True,14
31,5e432b707546fb1cfcd9e0b1,149.44,150.36,Oh,0.07999999999998408,0.9200000000000159,0,False,False,1
32,5ed5ac56ee608714bb21075d,150.04,152.04,I'm dying to get another dog.,-0.3200000000000216,2.0,0,False,True,7
33,5e432b707546fb1cfcd9e0b1,152.34,152.96,yeah.,0.30000000000001137,0.6200000000000045,0,False,False,1
34,5ed5ac56ee608714bb21075d,153.34,155.05,So I borrow my,0.37999999999999545,1.710000000000008,0,False,False,4
35,5e432b707546fb1cfcd9e0b1,154.84,155.26,Mhm.,-0.21000000000000796,0.4199999999999875,0,False,True,1
36,5ed5ac56ee608714bb21075d,155.44,156.32,my son and,0.18000000000000682,0.8799999999999955,0,False,False,3
37,5e432b707546fb1cfcd9e0b1,156.24,156.66,Okay.,-0.07999999999998408,0.4199999999999875,0,False,True,1
38,5ed5ac56ee608714bb21075d,156.32,160.44,"my ex husband's all the time. He's a six month old pop in, you",-0.3400000000000034,4.1200000000000045,0,False,True,16
39,5e432b707546fb1cfcd9e0b1,160.34,161.06,Mhm.,-0.09999999999999432,0.7199999999999989,0,False,True,1
40,5ed5ac56ee608714bb21075d,160.44,162.8,know? It's crazy.,-0.6200000000000045,2.3600000000000136,1,False,True,4
41,5e432b707546fb1cfcd9e0b1,162.34,162.55,Mhm.,-0.46000000000000796,0.21000000000000796,0,False,True,1
42,5ed5ac56ee608714bb21075d,162.81,163.08,They're,0.2599999999999909,0.27000000000001023,0,False,False,2
43,5e432b707546fb1cfcd9e0b1,162.94,163.44,Thanks.,-0.14000000000001478,0.5,0,False,True,1
44,5ed5ac56ee608714bb21075d,163.08,164.05,full of energy.,-0.3599999999999852,0.9699999999999989,0,False,True,3
45,5e432b707546fb1cfcd9e0b1,164.54,165.95,Yeah. That's funny.,0.4899999999999807,1.4099999999999966,0,False,False,4
46,5ed5ac56ee608714bb21075d,166.24,166.96,Uh,0.29000000000002046,0.7199999999999989,0,False,False,1
47,5e432b707546fb1cfcd9e0b1,167.04,167.46,Mhm.,0.07999999999998408,0.4200000000000159,0,False,False,1
48,5ed5ac56ee608714bb21075d,167.64,168.75,How old is your guy?,0.1799999999999784,1.1100000000000136,1,True,False,5
49,5e432b707546fb1cfcd9e0b1,169.74,171.66,He is.,0.9900000000000091,1.9199999999999875,0,False,False,2
50,5ed5ac56ee608714bb21075d,173.04,173.25,Mhm.,1.3799999999999955,0.21000000000000796,0,False,False,1
51,5e432b707546fb1cfcd9e0b1,174.04,175.44,I guess he's a urine home.,0.789999999999992,1.4000000000000057,0,False,False,7
52,5ed5ac56ee608714bb21075d,176.34,177.44,Oh,0.9000000000000057,1.0999999999999943,0,False,False,1
53,5e432b707546fb1cfcd9e0b1,176.44,176.76,Mhm.,-1.0,0.3199999999999932,0,False,True,1
54,5ed5ac56ee608714bb21075d,177.45,181.71,"wow, he's pretty calm. Oh my goodness A 2nd.",0.6899999999999977,4.260000000000019,0,False,False,10
55,5e432b707546fb1cfcd9e0b1,181.54,182.05,Mhm.,-0.17000000000001592,0.5100000000000193,0,False,True,1
56,5ed5ac56ee608714bb21075d,181.71,182.56,He was older.,-0.3400000000000034,0.8499999999999943,0,False,True,3
57,5e432b707546fb1cfcd9e0b1,182.94,186.2,Not all regions. Mm,0.37999999999999545,3.259999999999991,0,False,False,4
58,5ed5ac56ee608714bb21075d,185.94,186.75,Oh.,-0.2599999999999909,0.8100000000000023,0,False,True,1
59,5e432b707546fb1cfcd9e0b1,186.2,186.53,hmm.,-0.5500000000000114,0.3300000000000125,0,False,True,1
60,5ed5ac56ee608714bb21075d,187.74,189.36,Oh what a sweetie!,1.210000000000008,1.6200000000000045,0,False,False,4
61,5e432b707546fb1cfcd9e0b1,189.04,190.96,Yeah. Yeah.,-0.3200000000000216,1.920000000000016,0,False,True,2
62,5ed5ac56ee608714bb21075d,191.94,193.46,Uh,0.9799999999999898,1.5200000000000102,0,False,False,1
63,5e432b707546fb1cfcd9e0b1,192.04,194.56,He's had a few people on my computer.,-1.420000000000016,2.5200000000000102,0,False,True,9
64,5ed5ac56ee608714bb21075d,195.44,196.85,Oh and he gives,0.8799999999999955,1.4099999999999966,0,False,False,4
65,5e432b707546fb1cfcd9e0b1,196.74,197.06,Yeah.,-0.10999999999998522,0.3199999999999932,0,False,True,1
66,5ed5ac56ee608714bb21075d,196.85,197.8,"kisses, that's",-0.21000000000000796,0.950000000000017,0,False,True,3
67,5e432b707546fb1cfcd9e0b1,197.54,198.25,Yeah.,-0.2600000000000193,0.710000000000008,0,False,True,1
68,5ed5ac56ee608714bb21075d,197.8,199.16,the bad,-0.44999999999998863,1.3599999999999852,0,False,True,2
69,5e432b707546fb1cfcd9e0b1,198.74,199.85,He's sweet.,-0.4199999999999875,1.1099999999999852,0,False,True,3
70,5ed5ac56ee608714bb21075d,200.34,202.08,"my dog's name was her, She because",0.4900000000000091,1.740000000000009,0,False,False,8
71,5e432b707546fb1cfcd9e0b1,201.94,202.14,Yeah.,-0.14000000000001478,0.19999999999998863,0,False,True,1
72,5ed5ac56ee608714bb21075d,202.08,203.25,she gave so many kisses.,-0.05999999999997385,1.1699999999999875,0,False,True,5
73,5e432b707546fb1cfcd9e0b1,203.44,205.36,Uh Three.,0.18999999999999773,1.920000000000016,0,False,False,2
74,5ed5ac56ee608714bb21075d,205.54,207.06,"Yeah,",0.1799999999999784,1.5200000000000102,0,False,False,1
75,5e432b707546fb1cfcd9e0b1,208.54,208.82,And,1.4799999999999898,0.28000000000000114,0,False,False,1
76,5ed5ac56ee608714bb21075d,208.64,208.9,he,-0.18000000000000682,0.2600000000000193,0,False,True,1
77,5e432b707546fb1cfcd9e0b1,208.82,209.84,I've been outside,-0.0800000000000125,1.0200000000000102,0,False,True,4
78,5ed5ac56ee608714bb21075d,209.18,209.75,will.,-0.6599999999999966,0.5699999999999932,0,False,True,1
79,5e432b707546fb1cfcd9e0b1,209.85,212.35,soon. Full smells. Me.,0.09999999999999432,2.5,0,False,False,4
80,5ed5ac56ee608714bb21075d,213.04,213.18,Uh,0.6899999999999977,0.14000000000001478,0,False,False,1
81,5e432b707546fb1cfcd9e0b1,213.14,214.54,Yeah.,-0.040000000000020464,1.4000000000000057,0,False,True,1
82,5ed5ac56ee608714bb21075d,213.18,215.84,"huh. Just have the one dog,",-1.3599999999999852,2.6599999999999966,0,False,True,6
83,5e432b707546fb1cfcd9e0b1,216.34,217.35,Yeah.,0.5,1.009999999999991,0,False,False,1
84,5ed5ac56ee608714bb21075d,217.04,223.36,"Yes, wow, I always wanted to have two so they could keep each other company when I wasn't home, but",-0.3100000000000023,6.320000000000022,0,False,True,21
85,5e432b707546fb1cfcd9e0b1,223.14,230.96,"Yeah. Yeah. We my wife's more that she grew up with dogs,",-0.22000000000002728,7.820000000000022,0,False,True,13
86,5ed5ac56ee608714bb21075d,231.34,232.26,"okay,",0.37999999999999545,0.9199999999999875,0,False,False,1
87,5e432b707546fb1cfcd9e0b1,231.34,240.0,so she probably one another one. I do too. But renting So what on those? Great.,-0.9199999999999875,8.659999999999997,1,False,True,16
88,5ed5ac56ee608714bb21075d,239.64,241.29,"I wasn't gonna play, that makes it hard,",-0.36000000000001364,1.6500000000000057,0,False,True,10
89,5e432b707546fb1cfcd9e0b1,240.94,241.26,Mhm.,-0.3499999999999943,0.3199999999999932,0,False,True,1
90,5ed5ac56ee608714bb21075d,241.29,244.65,"I'm I'm renting a house and yeah, I",0.030000000000001137,3.3600000000000136,0,False,False,10
91,5e432b707546fb1cfcd9e0b1,245.04,245.66,Okay.,0.38999999999998636,0.6200000000000045,0,False,False,1
92,5ed5ac56ee608714bb21075d,245.63,250.46,"I don't think I could get my landlord to sign up for a dog,",-0.030000000000001137,4.8300000000000125,0,False,True,15
93,5e432b707546fb1cfcd9e0b1,249.84,252.26,Mhm. Yeah. Okay.,-0.6200000000000045,2.4199999999999875,0,False,True,3
94,5ed5ac56ee608714bb21075d,252.04,258.26,"so, and the space is hard to what is sweetie? Oh my gosh, I was so jealous,",-0.21999999999999886,6.219999999999999,1,False,True,17
95,5e432b707546fb1cfcd9e0b1,257.74,258.75,Yeah.,-0.5199999999999818,1.009999999999991,0,False,True,1
96,5ed5ac56ee608714bb21075d,258.84,260.46,especially,0.08999999999997499,1.6200000000000045,0,False,False,1
97,5e432b707546fb1cfcd9e0b1,259.14,260.76,Uh huh. Yeah.,-1.3199999999999932,1.6200000000000045,0,False,True,3
98,5ed5ac56ee608714bb21075d,260.46,266.93,because I had my son's dog for a week when they were traveling and I just gave him back on Wednesday and I'm kind of having,-0.30000000000001137,6.470000000000027,0,False,True,28
99,5e432b707546fb1cfcd9e0b1,266.44,267.22,Oh,-0.4900000000000091,0.7800000000000296,0,False,True,1
100,5ed5ac56ee608714bb21075d,266.94,268.56,withdrawal.,-0.28000000000002956,1.6200000000000045,0,False,True,1
101,5e432b707546fb1cfcd9e0b1,268.44,273.71,"yeah. Yeah. We looked at, we launched someone's dog last weekend.",-0.12000000000000455,5.269999999999982,0,False,True,12
102,5ed5ac56ee608714bb21075d,273.84,276.76,Mhm. Oh,0.12999999999999545,2.920000000000016,0,False,False,2
103,5e432b707546fb1cfcd9e0b1,276.24,278.46,We don't accept to,-0.5199999999999818,2.2199999999999704,0,False,True,5
104,5ed5ac56ee608714bb21075d,278.44,283.66,"yeah, well when you have more than one, it's it can get a little crazy.",-0.01999999999998181,5.220000000000027,0,False,True,16
105,5e432b707546fb1cfcd9e0b1,283.24,283.86,Yeah.,-0.4200000000000159,0.6200000000000045,0,False,True,1
106,5ed5ac56ee608714bb21075d,284.64,286.56,"Oh, too funny.",0.7799999999999727,1.920000000000016,0,False,False,3
107,5e432b707546fb1cfcd9e0b1,286.31,287.18,He's just,-0.25,0.8700000000000045,0,False,True,3
108,5ed5ac56ee608714bb21075d,287.14,287.34,Yeah.,-0.040000000000020464,0.19999999999998863,0,False,True,1
109,5e432b707546fb1cfcd9e0b1,287.7,288.46,he's,0.36000000000001364,0.7599999999999909,0,False,False,2
110,5ed5ac56ee608714bb21075d,287.74,288.06,Okay.,-0.7199999999999704,0.3199999999999932,0,False,True,1
111,5e432b707546fb1cfcd9e0b1,288.46,289.18,trying to,0.39999999999997726,0.7200000000000273,0,False,False,2
112,5ed5ac56ee608714bb21075d,289.14,289.35,Mhm.,-0.040000000000020464,0.21000000000003638,0,False,True,1
113,5e432b707546fb1cfcd9e0b1,289.19,290.76,look my ears.,-0.160000000000025,1.5699999999999932,0,False,True,3
114,5ed5ac56ee608714bb21075d,291.14,292.46,Mhm.,0.37999999999999545,1.3199999999999932,0,False,False,1
115,5e432b707546fb1cfcd9e0b1,292.54,294.06,"No, He's just lying.",0.08000000000004093,1.5199999999999818,0,False,False,5
116,5ed5ac56ee608714bb21075d,295.14,296.39,"Yeah, it's",1.079999999999984,1.25,0,False,False,3
117,5e432b707546fb1cfcd9e0b1,296.34,296.92,Yeah.,-0.05000000000001137,0.5800000000000409,0,False,True,1
