turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c43c90d5aca820001f73f6f,26.64,40.96,Yeah. Yeah. Here. Mhm. Uh huh. Right. Yeah. Thank you. Okay.,,14.32,0,False,False,11
1,5f15e493d2423e70aa0aa3a2,44.44,47.52,"Mhm. Hi, can you hear me?",3.479999999999997,3.0800000000000054,1,True,False,6
2,5c43c90d5aca820001f73f6f,46.84,48.79,Oh yes.,-0.6799999999999997,1.9499999999999957,0,False,True,2
3,5f15e493d2423e70aa0aa3a2,48.54,49.55,"Yeah,",-0.25,1.009999999999998,0,False,True,1
4,5c43c90d5aca820001f73f6f,48.8,50.35,"Yeah, I mean. Uh huh",-0.75,1.5500000000000043,0,False,True,5
5,5f15e493d2423e70aa0aa3a2,50.04,51.56,I'm login. And you,-0.3100000000000023,1.5200000000000031,0,False,True,5
6,5c43c90d5aca820001f73f6f,51.94,53.86,Nathan.,0.37999999999999545,1.9200000000000017,0,False,False,1
7,5f15e493d2423e70aa0aa3a2,53.24,54.26,Nathan? Cool. Where,-0.6199999999999974,1.019999999999996,1,False,True,3
8,5c43c90d5aca820001f73f6f,54.24,54.45,Okay.,-0.01999999999999602,0.21000000000000085,0,False,True,1
9,5f15e493d2423e70aa0aa3a2,54.26,55.25,are you from?,-0.19000000000000483,0.990000000000002,1,True,True,3
10,5c43c90d5aca820001f73f6f,55.24,57.46,"Uh, midwest us.",-0.00999999999999801,2.219999999999999,0,False,True,3
11,5f15e493d2423e70aa0aa3a2,57.34,58.26,The same?,-0.11999999999999744,0.9199999999999946,1,True,True,2
12,5c43c90d5aca820001f73f6f,57.94,61.54,Oh please. So,-0.3200000000000003,3.6000000000000014,0,False,True,3
13,5f15e493d2423e70aa0aa3a2,61.04,61.55,And,-0.5,0.509999999999998,0,False,True,1
14,5c43c90d5aca820001f73f6f,61.55,62.89,uh,0.0,1.3400000000000034,0,False,False,1
15,5f15e493d2423e70aa0aa3a2,62.14,63.45,yeah.,-0.75,1.3100000000000023,0,False,True,1
16,5c43c90d5aca820001f73f6f,62.9,64.06,nod.,-0.5500000000000043,1.1600000000000037,0,False,True,1
17,5f15e493d2423e70aa0aa3a2,63.84,69.86,You know what? This brings me back to those old me golding's Have we done? Have you been on a legal?,-0.21999999999999886,6.019999999999996,3,True,True,22
18,5c43c90d5aca820001f73f6f,69.34,73.75,"Yeah, I heard about it, but never actually did that. Um",-0.519999999999996,4.409999999999997,0,False,True,11
19,5f15e493d2423e70aa0aa3a2,73.34,73.96,Mm hmm.,-0.4099999999999966,0.6199999999999903,0,False,True,2
20,5c43c90d5aca820001f73f6f,74.14,74.76,my space,0.18000000000000682,0.6200000000000045,0,False,False,2
21,5f15e493d2423e70aa0aa3a2,74.44,74.8,We're,-0.3200000000000074,0.35999999999999943,0,False,True,2
22,5c43c90d5aca820001f73f6f,74.76,74.9,was,-0.03999999999999204,0.14000000000000057,0,False,True,1
23,5f15e493d2423e70aa0aa3a2,74.8,75.23,probably,-0.10000000000000853,0.4300000000000068,0,False,True,1
24,5c43c90d5aca820001f73f6f,74.9,75.26,a thing,-0.3299999999999983,0.35999999999999943,0,False,True,2
25,5f15e493d2423e70aa0aa3a2,75.23,75.4,not,-0.030000000000001137,0.1700000000000017,0,False,True,1
26,5c43c90d5aca820001f73f6f,75.26,75.66,now.,-0.14000000000000057,0.3999999999999915,0,False,True,1
27,5f15e493d2423e70aa0aa3a2,75.4,82.39,going to make Uh huh. But you don't look old. You're probably just five or 10 years,-0.2599999999999909,6.989999999999995,0,False,True,19
28,5c43c90d5aca820001f73f6f,82.24,84.37,I,-0.15000000000000568,2.1300000000000097,0,False,True,1
29,5f15e493d2423e70aa0aa3a2,82.39,83.26,older than me.,-1.980000000000004,0.8700000000000045,0,False,True,3
30,5c43c90d5aca820001f73f6f,84.38,86.6,don't know. I'm in my 30s. Uh,1.1199999999999903,2.219999999999999,0,False,False,9
31,5f15e493d2423e70aa0aa3a2,86.44,87.3,Okay.,-0.1599999999999966,0.8599999999999994,0,False,True,1
32,5c43c90d5aca820001f73f6f,86.6,86.85,huh.,-0.7000000000000028,0.25,0,False,True,1
33,5f15e493d2423e70aa0aa3a2,87.31,87.44,I'm,0.46000000000000796,0.12999999999999545,0,False,False,2
34,5c43c90d5aca820001f73f6f,87.44,87.65,It,0.0,0.21000000000000796,0,False,False,1
35,5f15e493d2423e70aa0aa3a2,87.44,88.07,about to turn,-0.21000000000000796,0.6299999999999955,0,False,True,3
36,5c43c90d5aca820001f73f6f,88.04,88.28,it,-0.029999999999986926,0.23999999999999488,0,False,True,1
37,5f15e493d2423e70aa0aa3a2,88.07,88.86,25.,-0.21000000000000796,0.7900000000000063,0,False,True,1
38,5c43c90d5aca820001f73f6f,88.29,92.88,becomes. Oh yeah. Then seven is probably years,-0.5699999999999932,4.589999999999989,0,False,True,8
39,5f15e493d2423e70aa0aa3a2,92.64,93.15,Mhm.,-0.23999999999999488,0.5100000000000051,0,False,True,1
40,5c43c90d5aca820001f73f6f,92.88,93.36,"older,",-0.27000000000001023,0.480000000000004,0,False,True,1
41,5f15e493d2423e70aa0aa3a2,94.04,98.25,Okay. How is Covid going for you in your life?,0.6800000000000068,4.209999999999994,1,True,False,10
42,5c43c90d5aca820001f73f6f,98.14,103.06,"Right? I don't know. But if you ask corona, there'd be more like an alcoholic beverage.",-0.10999999999999943,4.920000000000002,1,False,True,18
43,5f15e493d2423e70aa0aa3a2,103.44,105.54,Are you quarantined,0.37999999999999545,2.1000000000000085,0,False,False,3
44,5c43c90d5aca820001f73f6f,105.13,105.36,"Yeah,",-0.4100000000000108,0.23000000000000398,0,False,True,1
45,5f15e493d2423e70aa0aa3a2,105.54,107.54,at home like from work or do you leave for,0.18000000000000682,2.0,0,False,False,10
46,5c43c90d5aca820001f73f6f,107.44,107.95,bob.,-0.10000000000000853,0.5100000000000051,0,False,True,1
47,5f15e493d2423e70aa0aa3a2,107.54,108.45,work every day,-0.4099999999999966,0.9099999999999966,0,False,True,3
48,5c43c90d5aca820001f73f6f,108.97,112.15,I just do things from home. And,0.519999999999996,3.180000000000007,0,False,False,7
49,5f15e493d2423e70aa0aa3a2,111.84,112.56,"up, man?",-0.3100000000000023,0.7199999999999989,1,True,True,2
50,5c43c90d5aca820001f73f6f,112.15,116.1,my state's been one that really hasn't put any restrictions in. They're,-0.4099999999999966,3.9499999999999886,0,False,True,15
51,5f15e493d2423e70aa0aa3a2,115.94,116.35,Yeah.,-0.1599999999999966,0.4099999999999966,0,False,True,1
52,5c43c90d5aca820001f73f6f,116.1,118.55,not most intelligent I guess on that.,-0.25,2.450000000000003,0,False,True,7
53,5f15e493d2423e70aa0aa3a2,119.04,119.66,Yeah.,0.4900000000000091,0.6199999999999903,0,False,False,1
54,5c43c90d5aca820001f73f6f,119.94,122.36,Hell the county fair is going to be kicking off here in about a week.,0.28000000000000114,2.4200000000000017,0,False,False,15
55,5f15e493d2423e70aa0aa3a2,123.44,125.15,"Well, wait in Minnesota.",1.0799999999999983,1.710000000000008,0,False,False,4
56,5c43c90d5aca820001f73f6f,125.64,126.15,No.,0.4899999999999949,0.5100000000000051,0,False,False,1
57,5f15e493d2423e70aa0aa3a2,126.64,127.12,"No,",0.4899999999999949,0.480000000000004,0,False,False,1
58,5c43c90d5aca820001f73f6f,126.94,127.44,Yeah.,-0.18000000000000682,0.5,0,False,True,1
59,5f15e493d2423e70aa0aa3a2,127.13,128.99,not that county there. Okay. For,-0.3100000000000023,1.8600000000000136,0,False,True,6
60,5c43c90d5aca820001f73f6f,128.94,129.79,It's,-0.05000000000001137,0.8499999999999943,0,False,True,2
61,5f15e493d2423e70aa0aa3a2,128.99,130.26,mine.,-0.799999999999983,1.2699999999999818,0,False,True,1
62,5c43c90d5aca820001f73f6f,129.79,132.88,"stupid though because they shouldn't be having it during this, but it was",-0.46999999999999886,3.0900000000000034,0,False,True,14
63,5f15e493d2423e70aa0aa3a2,132.74,133.75,"Yeah,",-0.13999999999998636,1.009999999999991,0,False,True,1
64,5c43c90d5aca820001f73f6f,132.89,134.46,"escalating cases, but",-0.8600000000000136,1.5700000000000216,0,False,True,3
65,5f15e493d2423e70aa0aa3a2,135.04,135.76,we're bad.,0.5799999999999841,0.7199999999999989,0,False,False,3
66,5c43c90d5aca820001f73f6f,136.54,136.99,Right.,0.7800000000000011,0.45000000000001705,0,False,False,1
67,5f15e493d2423e70aa0aa3a2,136.94,143.41,"Yeah, I've been working every day. I actually went to work because I'm Covid because",-0.05000000000001137,6.469999999999999,0,False,True,17
68,5c43c90d5aca820001f73f6f,143.14,143.46,Right.,-0.27000000000001023,0.3200000000000216,0,False,True,1
69,5f15e493d2423e70aa0aa3a2,143.41,149.9,"I was student teaching and then I got it ended early because of the pandemic and I'm like, well",-0.05000000000001137,6.490000000000009,0,False,True,20
70,5c43c90d5aca820001f73f6f,149.84,150.04,Yeah.,-0.060000000000002274,0.19999999999998863,0,False,True,1
71,5f15e493d2423e70aa0aa3a2,149.9,156.46,"I'm bored, I want to do something, I want to make money so I decided to go to work. Wow.",-0.13999999999998636,6.560000000000002,0,False,True,21
72,5c43c90d5aca820001f73f6f,155.94,158.36,Alright. You working from home now then or?,-0.5200000000000102,2.420000000000016,1,True,True,8
73,5f15e493d2423e70aa0aa3a2,158.14,160.71,"No, I work in a restaurant,",-0.22000000000002728,2.5700000000000216,0,False,True,6
74,5c43c90d5aca820001f73f6f,160.24,160.44,Yeah.,-0.46999999999999886,0.19999999999998863,0,False,True,1
75,5f15e493d2423e70aa0aa3a2,160.72,161.86,I'm a manager.,0.28000000000000114,1.1400000000000148,0,False,False,4
76,5c43c90d5aca820001f73f6f,161.14,164.76,Uh that's elaborate from a teacher to that.,-0.7200000000000273,3.6200000000000045,0,False,True,9
77,5f15e493d2423e70aa0aa3a2,164.14,166.72,Well I know O. C. We could have a whole,-0.6200000000000045,2.5800000000000125,0,False,True,10
