turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5edfa08db0711a2891ebd61f,22.64,23.66,Oh,,1.0199999999999996,0,False,False,1
1,5eea596158a5a50f8e29547b,53.74,55.76,Yeah. Okay.,30.080000000000002,2.019999999999996,0,False,False,2
2,5edfa08db0711a2891ebd61f,56.34,56.96,hello,0.5800000000000054,0.6199999999999974,0,False,False,1
3,5eea596158a5a50f8e29547b,56.74,57.78,What? How,-0.21999999999999886,1.0399999999999991,1,False,True,2
4,5edfa08db0711a2891ebd61f,57.54,57.75,thanks.,-0.240000000000002,0.21000000000000085,0,False,True,1
5,5eea596158a5a50f8e29547b,57.78,58.91,are you? What's,0.030000000000001137,1.1299999999999955,1,False,False,4
6,5edfa08db0711a2891ebd61f,58.74,58.95,Okay,-0.1699999999999946,0.21000000000000085,0,False,True,1
7,5eea596158a5a50f8e29547b,58.91,60.65,your name? My name is Carlos,-0.04000000000000625,1.740000000000002,1,False,True,6
8,5edfa08db0711a2891ebd61f,60.84,61.86,I'm Sean,0.19000000000000483,1.019999999999996,0,False,False,3
9,5eea596158a5a50f8e29547b,62.44,63.16,Sean.,0.5799999999999983,0.7199999999999989,0,False,False,1
10,5edfa08db0711a2891ebd61f,63.34,63.96,yeah,0.18000000000000682,0.6199999999999974,0,False,False,1
11,5eea596158a5a50f8e29547b,64.44,65.96,Where are you located?,0.4799999999999969,1.519999999999996,1,True,False,4
12,5edfa08db0711a2891ebd61f,66.34,68.46,I'm in north Carolina right now,0.38000000000000966,2.1199999999999903,0,False,False,7
13,5eea596158a5a50f8e29547b,68.54,70.16,A nice. In which city,0.0800000000000125,1.6199999999999903,0,False,False,5
14,5edfa08db0711a2891ebd61f,70.64,74.55,and uh and rockingham.,0.480000000000004,3.9099999999999966,0,False,False,4
15,5eea596158a5a50f8e29547b,74.24,76.46,broken ham. You don't live there?,-0.3100000000000023,2.219999999999999,1,True,True,7
16,5edfa08db0711a2891ebd61f,77.24,78.56,No.,0.7800000000000011,1.3200000000000074,0,False,False,1
17,5eea596158a5a50f8e29547b,78.34,80.4,I'm,-0.21999999999999886,2.0600000000000023,0,False,True,2
18,5edfa08db0711a2891ebd61f,79.04,79.36,Mhm.,-1.3599999999999994,0.3199999999999932,0,False,True,1
19,5eea596158a5a50f8e29547b,80.4,83.26,in santa Monica. In California.,1.0400000000000063,2.8599999999999994,0,False,False,5
20,5edfa08db0711a2891ebd61f,82.94,85.12,Oh wow. Do,-0.3200000000000074,2.180000000000007,0,False,True,3
21,5eea596158a5a50f8e29547b,85.04,85.46,What?,-0.0799999999999983,0.4199999999999875,1,True,True,1
22,5edfa08db0711a2891ebd61f,85.12,86.06,you like it there?,-0.3399999999999892,0.9399999999999977,1,True,True,4
23,5eea596158a5a50f8e29547b,86.24,93.56,Oh yeah. I mean the weather is nice. It's a nice city. We live close to the ocean. Give me just one second. I'm gonna,0.1799999999999926,7.320000000000007,0,False,False,28
24,5edfa08db0711a2891ebd61f,95.44,96.15,Yeah.,1.8799999999999955,0.710000000000008,0,False,False,1
25,5eea596158a5a50f8e29547b,95.83,98.66,water to make some tea. So,-0.3200000000000074,2.8299999999999983,0,False,True,6
26,5edfa08db0711a2891ebd61f,98.54,98.85,All,-0.11999999999999034,0.30999999999998806,0,False,True,1
27,5eea596158a5a50f8e29547b,98.66,98.87,how do,-0.18999999999999773,0.21000000000000796,0,False,True,2
28,5edfa08db0711a2891ebd61f,98.85,99.16,right.,-0.020000000000010232,0.3100000000000023,0,False,True,1
29,5eea596158a5a50f8e29547b,98.87,101.26,"you, I was a report of your life going?",-0.28999999999999204,2.3900000000000006,1,True,True,9
30,5edfa08db0711a2891ebd61f,101.84,103.52,Um It's going all right.,0.5799999999999983,1.6799999999999926,0,False,False,6
31,5eea596158a5a50f8e29547b,103.24,103.86,Mhm.,-0.28000000000000114,0.6200000000000045,0,False,True,1
32,5edfa08db0711a2891ebd61f,103.53,105.35,I have the day off work today.,-0.3299999999999983,1.8199999999999932,0,False,True,7
33,5eea596158a5a50f8e29547b,104.84,106.34,Capital? Yeah.,-0.5099999999999909,1.5,1,False,True,2
