turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5cc020d5159f790017bee28b,2.34,2.54,Yeah.,,0.20000000000000018,0,False,False,1
1,5ed2fa0793788128b41df2cd,2.84,4.85,"Hey,",0.2999999999999998,2.01,0,False,False,1
2,5cc020d5159f790017bee28b,3.34,5.95,Hey.,-1.5099999999999998,2.6100000000000003,0,False,True,1
3,5ed2fa0793788128b41df2cd,6.14,7.6,how's,0.1899999999999995,1.46,0,False,False,2
4,5cc020d5159f790017bee28b,7.24,7.56,Mhm.,-0.35999999999999943,0.3199999999999994,0,False,True,1
5,5ed2fa0793788128b41df2cd,7.6,8.56,it going?,0.040000000000000036,0.9600000000000009,1,True,False,2
6,5cc020d5159f790017bee28b,8.64,9.96,Good. Can you hear me?,0.08000000000000007,1.3200000000000003,1,True,False,5
7,5ed2fa0793788128b41df2cd,10.14,12.36,"Yeah, I hear you. Can you hear me? Well,",0.17999999999999972,2.219999999999999,1,False,False,9
8,5cc020d5159f790017bee28b,12.04,13.51,I am. Yes.,-0.3200000000000003,1.4700000000000006,0,False,True,3
9,5ed2fa0793788128b41df2cd,13.94,16.37,I accidentally clicked the next arrow even,0.4299999999999997,2.4300000000000015,0,False,False,7
10,5cc020d5159f790017bee28b,16.24,16.86,Yeah.,-0.13000000000000256,0.620000000000001,0,False,True,1
11,5ed2fa0793788128b41df2cd,16.37,18.79,though it says not to and,-0.48999999999999844,2.419999999999998,0,False,True,6
12,5cc020d5159f790017bee28b,18.34,19.66,So,-0.4499999999999993,1.3200000000000003,0,False,True,1
13,5ed2fa0793788128b41df2cd,18.8,21.83,"uh, I was like panicking and then I found the link on",-0.8599999999999994,3.0299999999999976,0,False,True,12
14,5cc020d5159f790017bee28b,21.74,21.95,Mhm.,-0.08999999999999986,0.21000000000000085,0,False,True,1
15,5ed2fa0793788128b41df2cd,21.83,22.82,the message,-0.120000000000001,0.990000000000002,0,False,True,2
16,5cc020d5159f790017bee28b,22.74,22.94,"Yeah,",-0.08000000000000185,0.20000000000000284,0,False,True,1
17,5ed2fa0793788128b41df2cd,22.82,25.06,"at the prolific,",-0.120000000000001,2.2399999999999984,0,False,True,3
18,5cc020d5159f790017bee28b,24.24,38.06,"and you know, most of it's kind of bullshit anyway, because I, the first one of these I did, I we got disconnected and I just went back and it was all fine. So I don't know",-0.8200000000000003,13.820000000000004,0,False,True,39
19,5ed2fa0793788128b41df2cd,36.94,39.25,"I'm Kenny by the way. Uh,",-1.1200000000000045,2.3100000000000023,0,False,True,7
20,5cc020d5159f790017bee28b,38.93,40.55,anyone. I'm alan,-0.3200000000000003,1.6199999999999974,0,False,True,4
21,5ed2fa0793788128b41df2cd,41.04,42.86,"Alan, nice to meet you. So,",0.490000000000002,1.8200000000000003,0,False,False,6
22,5cc020d5159f790017bee28b,42.64,42.94,I'm,-0.21999999999999886,0.29999999999999716,0,False,True,2
23,5ed2fa0793788128b41df2cd,42.86,42.99,where,-0.0799999999999983,0.13000000000000256,0,False,True,1
24,5cc020d5159f790017bee28b,42.94,43.17,kind,-0.05000000000000426,0.23000000000000398,0,False,True,1
25,5ed2fa0793788128b41df2cd,42.99,43.21,are you,-0.17999999999999972,0.21999999999999886,0,False,True,2
26,5cc020d5159f790017bee28b,43.17,43.45,of,-0.03999999999999915,0.28000000000000114,0,False,True,1
27,5ed2fa0793788128b41df2cd,43.21,43.65,from?,-0.240000000000002,0.4399999999999977,1,True,True,1
28,5cc020d5159f790017bee28b,44.34,48.56,"I am from Chicago or I'm living in Chicago. What about you,",0.6900000000000048,4.219999999999999,0,False,False,13
29,5ed2fa0793788128b41df2cd,49.34,50.96,I'm living in Dallas.,0.7800000000000011,1.6199999999999974,0,False,False,5
30,5cc020d5159f790017bee28b,51.14,53.06,Dallas? Excellent.,0.17999999999999972,1.9200000000000017,1,False,False,2
31,5ed2fa0793788128b41df2cd,52.24,59.07,"uh,",-0.8200000000000003,6.829999999999998,0,False,True,1
32,5cc020d5159f790017bee28b,53.84,58.83,It's warmer there probably even than it is here. Is that right? You guys in the middle of?,-5.229999999999997,4.989999999999995,2,True,True,19
33,5ed2fa0793788128b41df2cd,59.08,62.66,"it's a 94 today, I think.",0.25,3.5799999999999983,0,False,False,7
34,5cc020d5159f790017bee28b,61.44,62.85,"Yeah,",-1.2199999999999989,1.4100000000000037,0,False,True,1
35,5ed2fa0793788128b41df2cd,62.67,69.46,"Uh,",-0.17999999999999972,6.789999999999992,0,False,True,1
36,5cc020d5159f790017bee28b,62.86,69.68,"that we were um I'm just gonna set the timer so that I remember both, so we remember both",-6.599999999999994,6.820000000000007,0,False,True,21
37,5ed2fa0793788128b41df2cd,69.64,75.43,Okay.,-0.04000000000000625,5.790000000000006,0,False,True,1
38,5cc020d5159f790017bee28b,69.68,75.26,"to stop the conversation and to make sure it doesn't end too quickly. It's 25 minutes. Right,",-5.75,5.579999999999998,0,False,True,19
39,5ed2fa0793788128b41df2cd,75.44,82.86,Yeah. 25.,0.1799999999999926,7.420000000000002,0,False,False,2
40,5cc020d5159f790017bee28b,77.24,83.45,awesome. Um So are you,-5.6200000000000045,6.210000000000008,0,False,True,5
41,5ed2fa0793788128b41df2cd,83.24,85.9,"No,",-0.21000000000000796,2.660000000000011,0,False,True,1
42,5cc020d5159f790017bee28b,83.45,84.96,"born and raised in Dallas, or?",-2.450000000000003,1.509999999999991,1,True,True,6
43,5ed2fa0793788128b41df2cd,85.9,86.06,I'm,0.9400000000000119,0.1599999999999966,0,False,False,2
44,5cc020d5159f790017bee28b,86.04,86.25,Mhm.,-0.01999999999999602,0.20999999999999375,0,False,True,1
45,5ed2fa0793788128b41df2cd,86.06,92.75,"from a coal, so Oklahoma",-0.18999999999999773,6.689999999999998,0,False,True,5
46,5cc020d5159f790017bee28b,88.14,93.65,"Okay. And you just, the wind blew south or how did you",-4.609999999999999,5.510000000000005,0,False,True,12
47,5ed2fa0793788128b41df2cd,93.44,94.06,and,-0.21000000000000796,0.6200000000000045,0,False,True,1
48,5cc020d5159f790017bee28b,93.66,94.86,uh enough analysis?,-0.4000000000000057,1.2000000000000028,1,True,True,3
49,5ed2fa0793788128b41df2cd,94.44,97.11,"all right, So it's actually",-0.4200000000000017,2.6700000000000017,0,False,True,6
50,5cc020d5159f790017bee28b,96.94,98.76,Yeah.,-0.1700000000000017,1.8200000000000074,0,False,True,1
51,5ed2fa0793788128b41df2cd,97.11,99.85,"kind of a funny story. Um,",-1.6500000000000057,2.739999999999995,0,False,True,6
52,5cc020d5159f790017bee28b,99.34,99.55,Okay.,-0.5099999999999909,0.20999999999999375,0,False,True,1
53,5ed2fa0793788128b41df2cd,99.86,100.68,so,0.3100000000000023,0.8200000000000074,0,False,False,1
54,5cc020d5159f790017bee28b,100.34,100.96,Yeah.,-0.3400000000000034,0.6199999999999903,0,False,True,1
55,5ed2fa0793788128b41df2cd,100.68,106.62,"I lived in Tulsa and the two suburbs on either side of it, like all the way up until",-0.2799999999999869,5.939999999999998,0,False,True,19
56,5cc020d5159f790017bee28b,106.54,106.75,Mhm.,-0.0799999999999983,0.20999999999999375,0,False,True,1
57,5ed2fa0793788128b41df2cd,106.62,108.81,I was 18,-0.12999999999999545,2.1899999999999977,0,False,True,3
58,5cc020d5159f790017bee28b,108.54,108.74,"Yeah,",-0.269999999999996,0.19999999999998863,0,False,True,1
