turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5dd28beafce6062a4f5221b3,0.34,36.76,"nobody's here. Big Shocker. No 1's here, Yeah, mhm, Right, Yeah, yeah, yeah, wow, love you. Oh, the mayor, Thank you too.",,36.419999999999995,0,False,False,24
1,5f935494c542c2119a47e3c4,37.14,37.34,"Yeah,",0.38000000000000256,0.20000000000000284,0,False,False,1
2,5dd28beafce6062a4f5221b3,37.84,41.06,"Uh huh. Oh, good morning.",0.5,3.219999999999999,0,False,False,5
3,5f935494c542c2119a47e3c4,41.34,44.0,"good morning, Hi, how",0.28000000000000114,2.6599999999999966,0,False,False,4
4,5dd28beafce6062a4f5221b3,43.94,44.15,"Mm,",-0.060000000000002274,0.21000000000000085,0,False,True,1
5,5f935494c542c2119a47e3c4,44.0,44.56,are you?,-0.14999999999999858,0.5600000000000023,1,True,True,2
6,5dd28beafce6062a4f5221b3,44.64,45.22,good. How,0.0799999999999983,0.5799999999999983,0,False,False,2
7,5f935494c542c2119a47e3c4,45.14,45.35,"Well,",-0.0799999999999983,0.21000000000000085,0,False,True,1
8,5dd28beafce6062a4f5221b3,45.22,46.35,are you?,-0.13000000000000256,1.1300000000000026,1,True,True,2
9,5f935494c542c2119a47e3c4,46.14,48.92,"I'm doing pretty pretty alright, just woke up,",-0.21000000000000085,2.780000000000001,0,False,True,9
10,5dd28beafce6062a4f5221b3,48.64,48.84,"Yeah,",-0.28000000000000114,0.20000000000000284,0,False,True,1
11,5f935494c542c2119a47e3c4,48.92,49.76,so.,0.0799999999999983,0.8399999999999963,0,False,False,1
12,5dd28beafce6062a4f5221b3,49.64,52.65,"you just woke up, Yeah, Okay.",-0.11999999999999744,3.009999999999998,0,False,True,6
13,5f935494c542c2119a47e3c4,52.44,53.51,"Yes,",-0.21000000000000085,1.0700000000000003,0,False,True,1
14,5dd28beafce6062a4f5221b3,53.04,53.66,"Yeah,",-0.46999999999999886,0.6199999999999974,0,False,True,1
15,5f935494c542c2119a47e3c4,53.52,54.21,it's,-0.13999999999999346,0.6899999999999977,0,False,True,2
