turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f4c9e74da9c148b0d42ecbd,78.54,78.96,blow,,0.4199999999999875,0,False,False,1
1,5efbdfe2d66b1418c2ba858a,79.74,82.05,"well right,",0.7800000000000011,2.3100000000000023,0,False,False,2
2,5f4c9e74da9c148b0d42ecbd,82.14,82.65,hi,0.09000000000000341,0.5100000000000051,0,False,False,1
3,5efbdfe2d66b1418c2ba858a,82.94,83.45,how are you?,0.28999999999999204,0.5100000000000051,1,True,False,3
4,5f4c9e74da9c148b0d42ecbd,83.74,84.55,get diarrhea.,0.28999999999999204,0.8100000000000023,0,False,False,2
5,5efbdfe2d66b1418c2ba858a,84.34,85.06,Just using?,-0.20999999999999375,0.7199999999999989,1,True,True,2
6,5f4c9e74da9c148b0d42ecbd,85.24,85.45,Mhm.,0.1799999999999926,0.21000000000000796,0,False,False,1
7,5efbdfe2d66b1418c2ba858a,85.94,87.44,Good.,0.4899999999999949,1.5,0,False,False,1
8,5f4c9e74da9c148b0d42ecbd,87.14,87.55,Uh huh.,-0.29999999999999716,0.4099999999999966,0,False,True,2
9,5efbdfe2d66b1418c2ba858a,87.45,88.69,Uh you hear me,-0.09999999999999432,1.2399999999999949,0,False,True,4
10,5f4c9e74da9c148b0d42ecbd,88.64,89.12,Yeah.,-0.04999999999999716,0.480000000000004,0,False,True,1
11,5efbdfe2d66b1418c2ba858a,88.69,89.15,okay?,-0.4300000000000068,0.46000000000000796,1,True,True,1
12,5f4c9e74da9c148b0d42ecbd,90.64,91.66,Yes.,1.4899999999999949,1.019999999999996,0,False,False,1
13,5efbdfe2d66b1418c2ba858a,92.24,92.57,"Yeah,",0.5799999999999983,0.3299999999999983,0,False,False,1
14,5f4c9e74da9c148b0d42ecbd,92.24,92.76,Very,-0.3299999999999983,0.5200000000000102,0,False,True,1
15,5efbdfe2d66b1418c2ba858a,92.58,92.87,"okay,",-0.18000000000000682,0.29000000000000625,0,False,True,1
16,5f4c9e74da9c148b0d42ecbd,92.76,92.96,good.,-0.10999999999999943,0.19999999999998863,0,False,True,1
17,5efbdfe2d66b1418c2ba858a,92.87,93.26,good,-0.0899999999999892,0.39000000000000057,0,False,True,1
18,5f4c9e74da9c148b0d42ecbd,93.34,93.85,Get get,0.0799999999999983,0.5099999999999909,0,False,False,2
19,5efbdfe2d66b1418c2ba858a,93.84,94.56,um,-0.009999999999990905,0.7199999999999989,0,False,True,1
20,5f4c9e74da9c148b0d42ecbd,93.85,94.09,get,-0.710000000000008,0.2400000000000091,0,False,True,1
21,5efbdfe2d66b1418c2ba858a,94.94,95.96,what's your name?,0.8499999999999943,1.019999999999996,1,True,False,4
22,5f4c9e74da9c148b0d42ecbd,95.64,98.66,uh Justin Justin that,-0.3199999999999932,3.019999999999996,0,False,True,4
23,5efbdfe2d66b1418c2ba858a,98.54,98.96,"Nothing,",-0.11999999999999034,0.4199999999999875,0,False,True,1
24,5f4c9e74da9c148b0d42ecbd,99.24,99.95,Yeah.,0.28000000000000114,0.710000000000008,0,False,False,1
25,5efbdfe2d66b1418c2ba858a,99.74,100.42,"I'm Gabby,",-0.21000000000000796,0.6800000000000068,0,False,True,3
26,5f4c9e74da9c148b0d42ecbd,100.34,100.54,Yeah,-0.0799999999999983,0.20000000000000284,0,False,True,1
27,5efbdfe2d66b1418c2ba858a,100.42,102.86,nice to meet you. So,-0.12000000000000455,2.4399999999999977,0,False,True,5
28,5f4c9e74da9c148b0d42ecbd,101.82,102.65,as a manager to,-1.0400000000000063,0.8300000000000125,0,False,True,4
29,5efbdfe2d66b1418c2ba858a,102.86,104.05,where are you,0.20999999999999375,1.1899999999999977,0,False,False,3
30,5f4c9e74da9c148b0d42ecbd,104.04,104.25,right,-0.009999999999990905,0.20999999999999375,0,False,True,1
