turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e51dfe3618c57215938d7b7,1.94,221.75,"Oh my God, my room's a mass. Yeah. Okay. Uh huh wound from us do my room's month. Okay. Yeah. Yeah. I experience. Mhm. Yeah. Yeah. Right. Oh yeah, thank you. Yeah. Yeah. Uh Mhm. Yeah. Yeah. Yeah. Mhm. Right. Okay. Okay. It crashed. Mhm. Okay. Right. Okay. Yeah. Yeah. This time. Okay. Right. Yeah, dead but Mhm. It's Mhm. Uh huh.",,219.81,0,False,False,65
1,5b997597caaef400011da16d,222.44,224.15,"Hey, how's it going?",0.6899999999999977,1.710000000000008,1,True,False,5
2,5e51dfe3618c57215938d7b7,224.24,225.95,"Hey, can you be",0.09000000000000341,1.7099999999999795,0,False,False,4
3,5b997597caaef400011da16d,226.54,228.76,"Yeah, I can. Perfect.",0.5900000000000034,2.219999999999999,0,False,False,4
4,5e51dfe3618c57215938d7b7,228.14,228.86,what's good?,-0.6200000000000045,0.7200000000000273,1,True,True,3
5,5b997597caaef400011da16d,229.54,229.75,Mhm.,0.6799999999999784,0.21000000000000796,0,False,False,1
6,5e51dfe3618c57215938d7b7,229.94,231.76,How are you doing today?,0.18999999999999773,1.8199999999999932,1,True,False,5
7,5b997597caaef400011da16d,231.44,236.45,I'm sorry. I'm scrambling with my power cord.,-0.3199999999999932,5.009999999999991,0,False,True,10
8,5e51dfe3618c57215938d7b7,235.94,236.66,Okay. Okay.,-0.5099999999999909,0.7199999999999989,0,False,True,2
9,5b997597caaef400011da16d,237.04,238.64,Yeah.,0.37999999999999545,1.5999999999999943,0,False,False,1
10,5e51dfe3618c57215938d7b7,238.24,238.86,Uh huh.,-0.39999999999997726,0.6200000000000045,0,False,True,2
11,5b997597caaef400011da16d,239.24,242.75,Yeah. I'm doing all right. I'm hanging in there. Um,0.37999999999999545,3.509999999999991,0,False,False,12
12,5e51dfe3618c57215938d7b7,242.34,244.93,"That's good. Um Hi,",-0.4099999999999966,2.5900000000000034,0,False,True,5
13,5b997597caaef400011da16d,244.54,245.04,Uh huh.,-0.3900000000000148,0.5,0,False,True,2
14,5e51dfe3618c57215938d7b7,244.94,247.26,my name is an um what's your name?,-0.09999999999999432,2.319999999999993,1,True,True,9
15,5b997597caaef400011da16d,247.64,248.75,My name is lou.,0.37999999999999545,1.1100000000000136,0,False,False,4
16,5e51dfe3618c57215938d7b7,249.04,250.66,"Hello? Okay, nice to meet you lou",0.28999999999999204,1.6200000000000045,1,False,False,7
17,5b997597caaef400011da16d,251.14,253.75,"Nice to meet you too. You said dan, Is that right?",0.47999999999998977,2.6100000000000136,1,True,False,11
18,5e51dfe3618c57215938d7b7,253.34,254.56,Yeah. Yeah stan,-0.4099999999999966,1.2199999999999989,0,False,True,3
19,5b997597caaef400011da16d,255.74,256.32,Yeah.,1.1800000000000068,0.5799999999999841,0,False,False,1
20,5e51dfe3618c57215938d7b7,256.04,256.45,Yeah.,-0.2799999999999727,0.40999999999996817,0,False,True,1
21,5b997597caaef400011da16d,256.94,258.15,Uh,0.4900000000000091,1.2099999999999795,0,False,False,1
22,5e51dfe3618c57215938d7b7,258.14,258.46,Yeah.,-0.009999999999990905,0.3199999999999932,0,False,True,1
23,5b997597caaef400011da16d,258.16,260.06,What side of the country are you on?,-0.2999999999999545,1.8999999999999773,1,True,True,8
24,5e51dfe3618c57215938d7b7,260.14,262.66,Uh Midwest. Midwest.,0.07999999999998408,2.5200000000000387,0,False,False,3
