turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ea3310bf9c4f828f0c909c5,2.34,23.06,Thank you. Yeah. Mhm. Yeah.,,20.72,0,False,False,5
1,5c7a4ca80b94ca00164122a1,27.54,28.76,Hello.,4.48,1.2200000000000024,0,False,False,1
2,5ea3310bf9c4f828f0c909c5,28.64,29.5,"Hi, how are",-0.120000000000001,0.8599999999999994,0,False,True,3
3,5c7a4ca80b94ca00164122a1,29.44,31.42,You're,-0.05999999999999872,1.9800000000000004,0,False,True,2
4,5ea3310bf9c4f828f0c909c5,29.5,30.56,e?,-1.9200000000000017,1.0599999999999987,1,True,True,1
5,5c7a4ca80b94ca00164122a1,31.42,36.89,the first person that actually worked on. I've done this like three times and it's always been no one. So,0.860000000000003,5.469999999999999,0,False,False,22
6,5ea3310bf9c4f828f0c909c5,36.84,37.13,You,-0.04999999999999716,0.28999999999999915,0,False,True,1
7,5c7a4ca80b94ca00164122a1,36.89,37.86,it's so,-0.240000000000002,0.9699999999999989,0,False,True,3
8,5ea3310bf9c4f828f0c909c5,37.13,40.96,"need, well I'm glad it finally worked.",-0.7299999999999969,3.8299999999999983,0,False,True,8
9,5c7a4ca80b94ca00164122a1,41.04,42.45,I am too,0.0799999999999983,1.4100000000000037,0,False,False,3
10,5ea3310bf9c4f828f0c909c5,42.44,43.45,What's your name? My name,-0.010000000000005116,1.0100000000000051,1,False,True,6
11,5c7a4ca80b94ca00164122a1,43.44,43.65,right.,-0.010000000000005116,0.21000000000000085,0,False,True,1
12,5ea3310bf9c4f828f0c909c5,43.45,44.26,is Bacon.,-0.19999999999999574,0.8099999999999952,0,False,True,2
13,5c7a4ca80b94ca00164122a1,44.34,45.15,Reagan.,0.0800000000000054,0.8099999999999952,0,False,False,1
14,5ea3310bf9c4f828f0c909c5,45.44,45.86,"Yes,",0.28999999999999915,0.4200000000000017,0,False,False,1
15,5c7a4ca80b94ca00164122a1,45.64,49.06,I'm Sean nice to meet you.,-0.21999999999999886,3.4200000000000017,0,False,True,7
16,5ea3310bf9c4f828f0c909c5,48.54,51.15,I need to shot. How's your day bed?,-0.5200000000000031,2.6099999999999994,1,True,True,9
17,5c7a4ca80b94ca00164122a1,51.64,53.6,It's been uh,0.490000000000002,1.9600000000000009,0,False,False,4
18,5ea3310bf9c4f828f0c909c5,53.04,53.25,Mhm.,-0.5600000000000023,0.21000000000000085,0,False,True,1
19,5c7a4ca80b94ca00164122a1,53.61,55.06,not uncommonly kind of,0.35999999999999943,1.4500000000000028,0,False,False,4
20,5ea3310bf9c4f828f0c909c5,55.04,55.32,What?,-0.020000000000003126,0.28000000000000114,1,True,True,1
21,5c7a4ca80b94ca00164122a1,55.06,63.53,"a day. Yeah, I'm skimming all these pictures for my younger brother of my mom passed about a year ago and",-0.259999999999998,8.469999999999999,0,False,True,22
22,5ea3310bf9c4f828f0c909c5,63.14,63.46,Mm,-0.39000000000000057,0.3200000000000003,0,False,True,1
23,5c7a4ca80b94ca00164122a1,63.53,67.07,I found out that I inherited her trailer. So,0.07000000000000028,3.539999999999992,0,False,False,9
24,5ea3310bf9c4f828f0c909c5,66.64,67.26,wow.,-0.4299999999999926,0.6200000000000045,0,False,True,1
25,5c7a4ca80b94ca00164122a1,67.07,79.82,I so my husband and I went down there saturday to look at it and we uh found a lot of teachers and stuff. So my brother lives in Wisconsin. I'm in Chicago and,-0.19000000000001194,12.75,0,False,True,35
26,5ea3310bf9c4f828f0c909c5,79.54,80.26,Mhm.,-0.2799999999999869,0.7199999999999989,0,False,True,1
27,5c7a4ca80b94ca00164122a1,79.82,89.66,"I thought I would just stand something for him and it's she was such a hoarder, it was so weird to all this stuff and and now I'm trying to go through it and",-0.44000000000001194,9.840000000000003,0,False,True,36
28,5ea3310bf9c4f828f0c909c5,89.24,89.86,Yeah.,-0.4200000000000017,0.6200000000000045,0,False,True,1
29,5c7a4ca80b94ca00164122a1,90.24,93.63,trying to deal with what I want to do with everything which,0.37999999999999545,3.3900000000000006,0,False,False,12
30,5ea3310bf9c4f828f0c909c5,93.54,93.76,Oh,-0.0899999999999892,0.21999999999999886,0,False,True,1
31,5c7a4ca80b94ca00164122a1,93.63,93.96,is,-0.13000000000000966,0.3299999999999983,0,False,True,1
32,5ea3310bf9c4f828f0c909c5,93.76,100.05,"yeah, I'm sure that's a lot to have to deal with. Like it's her stuff so you want to take care of it? I totally understand.",-0.19999999999998863,6.289999999999992,1,False,True,29
33,5c7a4ca80b94ca00164122a1,100.44,103.98,well you know what it's hurt stuff but it's uh she,0.39000000000000057,3.5400000000000063,0,False,False,13
34,5ea3310bf9c4f828f0c909c5,103.74,103.95,Oh,-0.2400000000000091,0.21000000000000796,0,False,True,1
35,5c7a4ca80b94ca00164122a1,103.98,110.43,"was a hoarder so it's like a lot, you know it's none of that stuff seemed to be like a any value",0.030000000000001137,6.450000000000003,0,False,False,24
36,5ea3310bf9c4f828f0c909c5,110.44,110.85,yeah.,0.009999999999990905,0.4099999999999966,0,False,False,1
37,5c7a4ca80b94ca00164122a1,110.44,112.56,but you know but to her I think,-0.4099999999999966,2.1200000000000045,0,False,True,8
38,5ea3310bf9c4f828f0c909c5,112.54,113.85,Yeah. Yeah.,-0.01999999999999602,1.309999999999988,0,False,True,2
39,5c7a4ca80b94ca00164122a1,113.34,117.26,just throw away most of it or donate whatever is good.,-0.5099999999999909,3.9200000000000017,0,False,True,11
40,5ea3310bf9c4f828f0c909c5,117.34,122.16,"Yeah, that makes sense. Well I hope that you get all that worked out. It sounds like it might take a while.",0.0799999999999983,4.819999999999993,0,False,False,22
41,5c7a4ca80b94ca00164122a1,122.44,134.05,Oh yeah. Um Yeah it will and I just wanna I can't believe that you know living in a trailer park. I I I never visited her there because her and I were restrained,0.28000000000000114,11.610000000000014,0,False,False,35
42,5ea3310bf9c4f828f0c909c5,134.24,134.74,Uh huh,0.18999999999999773,0.5,0,False,False,2
43,5c7a4ca80b94ca00164122a1,134.44,143.76,"but uh but it's so expensive, you pay for your trailer and then you're paying almost $1000 a month for the land that you're on.",-0.30000000000001137,9.319999999999993,0,False,True,29
44,5ea3310bf9c4f828f0c909c5,143.74,144.88,wow. Really? I didn't,-0.01999999999998181,1.1399999999999864,1,False,True,5
45,5c7a4ca80b94ca00164122a1,144.74,145.43,Yeah,-0.13999999999998636,0.6899999999999977,0,False,True,1
46,5ea3310bf9c4f828f0c909c5,144.88,145.75,know.,-0.5500000000000114,0.8700000000000045,0,False,True,1
47,5c7a4ca80b94ca00164122a1,145.44,148.46,affordable but it's so not,-0.3100000000000023,3.0200000000000102,0,False,True,6
48,5ea3310bf9c4f828f0c909c5,148.64,157.36,"Yeah. Yeah. I mean I thought that if I didn't even know that it was like that expensive, I thought that it was more affordable. I guess it seems like it would be.",0.1799999999999784,8.720000000000027,0,False,False,34
49,5c7a4ca80b94ca00164122a1,157.64,162.01,"no it's uh it's creepy, it's really creepy. I",0.2799999999999727,4.3700000000000045,0,False,False,12
50,5ea3310bf9c4f828f0c909c5,161.84,162.16,Yeah.,-0.1699999999999875,0.3199999999999932,0,False,True,1
51,5c7a4ca80b94ca00164122a1,162.01,169.66,I I felt like it was like everyone was watching us going to the park and it was like oh we're strangers here,-0.15000000000000568,7.650000000000006,0,False,True,24
52,5ea3310bf9c4f828f0c909c5,169.24,169.74,Yeah.,-0.4199999999999875,0.5,0,False,True,1
53,5c7a4ca80b94ca00164122a1,170.14,171.46,but.,0.39999999999997726,1.3200000000000216,0,False,False,1
54,5ea3310bf9c4f828f0c909c5,170.24,172.68,"Has it, have you gotten more comfortable",-1.2199999999999989,2.4399999999999977,0,False,True,7
55,5c7a4ca80b94ca00164122a1,172.24,172.75,Mhm.,-0.4399999999999977,0.5099999999999909,0,False,True,1
56,5ea3310bf9c4f828f0c909c5,172.68,174.26,like the longer you live there?,-0.06999999999999318,1.579999999999984,1,True,True,6
57,5c7a4ca80b94ca00164122a1,174.84,178.58,I've only been there once that this past saturday. So,0.5800000000000125,3.740000000000009,0,False,False,11
58,5ea3310bf9c4f828f0c909c5,178.24,178.56,Mhm.,-0.3400000000000034,0.3199999999999932,0,False,True,1
59,5c7a4ca80b94ca00164122a1,178.59,182.55,I am. I don't know. Maybe I will.,0.030000000000001137,3.960000000000008,0,False,False,9
60,5ea3310bf9c4f828f0c909c5,182.24,183.63,Yeah. Maybe,-0.3100000000000023,1.3899999999999864,0,False,True,2
61,5c7a4ca80b94ca00164122a1,183.44,183.65,Well,-0.18999999999999773,0.21000000000000796,0,False,True,1
62,5ea3310bf9c4f828f0c909c5,183.63,184.09,just give us,-0.020000000000010232,0.46000000000000796,0,False,True,3
63,5c7a4ca80b94ca00164122a1,184.04,184.25,it's,-0.05000000000001137,0.21000000000000796,0,False,True,2
64,5ea3310bf9c4f828f0c909c5,184.09,185.26,some time.,-0.1599999999999966,1.1699999999999875,0,False,True,2
65,5c7a4ca80b94ca00164122a1,185.34,186.86,"yeah, where do you live?",0.0800000000000125,1.5200000000000102,1,True,False,5
66,5ea3310bf9c4f828f0c909c5,186.84,188.35,I am currently,-0.020000000000010232,1.509999999999991,0,False,True,3
67,5c7a4ca80b94ca00164122a1,188.04,188.25,Mhm.,-0.3100000000000023,0.21000000000000796,0,False,True,1
68,5ea3310bf9c4f828f0c909c5,188.35,195.46,"in college, so I go to college at Swansea University, it's in Tennessee, but I'm originally from Little Rock Arkansas Signal.",0.09999999999999432,7.110000000000014,0,False,False,23
69,5c7a4ca80b94ca00164122a1,195.04,196.12,I,-0.4200000000000159,1.0800000000000125,0,False,True,1
70,5ea3310bf9c4f828f0c909c5,195.94,196.15,Mm,-0.18000000000000682,0.21000000000000796,0,False,True,1
71,5c7a4ca80b94ca00164122a1,196.13,200.76,"love Little Rock. I have done, I used to work at Arkansas rep.",-0.020000000000010232,4.6299999999999955,0,False,True,13
