turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f15da27044c9b700c9b7432,72.24,394.25,"Mhm. Oh yeah. Yeah. Mhm. Mhm ate them super fast. It's called the low hanging system. And I've just written a new book to show you how to do it too. As you'll see this is completely unique and different to everything you've seen before. Hi, my name is Rachel Rough and I'm a professional aecom seller who sold tens of thousands of products online and I'm also a best selling author and mentor to thousands in my new book. You'll discover real examples of products that you can start selling now. How to create a new e commerce products in less than 10 minutes. You'll see me demo it the secret of how to pay $0 for product inventory until someone buys it from you. Plus much more. This book will sell for 29 95 on Amazon Kindle, but you can get it for a big discount at the launch of special, but you need to act now jump on it. The 4th season having sex Oscar blockbusters with a career spanning 50 years party be celebrated her. Mhm.",,322.01,0,False,False,189
1,5f5fdc58bf88350b1c455de4,397.34,397.76,Okay,3.089999999999975,0.4200000000000159,0,False,False,1
2,5f15da27044c9b700c9b7432,398.84,400.15,Mhm. Hello?,1.079999999999984,1.3100000000000023,1,True,False,2
3,5f5fdc58bf88350b1c455de4,400.84,401.26,and then,0.6899999999999977,0.4200000000000159,0,False,False,2
4,5f15da27044c9b700c9b7432,401.84,403.78,All,0.5799999999999841,1.9399999999999977,0,False,False,1
5,5f5fdc58bf88350b1c455de4,401.84,406.73,hi uh,-1.9399999999999977,4.890000000000043,0,False,True,2
6,5f15da27044c9b700c9b7432,403.78,405.46,"right, I can't see you.",-2.9500000000000455,1.6800000000000068,0,False,True,6
7,5f5fdc58bf88350b1c455de4,406.74,415.96,there was something problem with my work camp. Uh Only mind that,1.2800000000000296,9.21999999999997,0,False,False,12
8,5f15da27044c9b700c9b7432,412.24,416.76,"Mhm. Okay. So where are you located,",-3.7199999999999704,4.519999999999982,0,False,True,7
9,5f5fdc58bf88350b1c455de4,416.54,421.06,yeah I'm located in florida. What are in from,-0.21999999999997044,4.519999999999982,0,False,True,10
10,5f15da27044c9b700c9b7432,421.54,423.36,California?,0.4800000000000182,1.8199999999999932,1,True,False,1
11,5f5fdc58bf88350b1c455de4,421.64,424.35,California?,-1.7200000000000273,2.7100000000000364,1,True,True,1
12,5f15da27044c9b700c9b7432,423.74,423.94,Yeah.,-0.6100000000000136,0.19999999999998863,0,False,True,1
13,5f5fdc58bf88350b1c455de4,424.36,424.84,Nice,0.4200000000000159,0.47999999999996135,0,False,False,1
14,5f15da27044c9b700c9b7432,424.54,424.75,Okay.,-0.2999999999999545,0.20999999999997954,0,False,True,1
15,5f5fdc58bf88350b1c455de4,424.84,427.46,place.,0.08999999999997499,2.6200000000000045,0,False,False,1
16,5f15da27044c9b700c9b7432,425.34,427.64,Yeah. Uh you've been?,-2.1200000000000045,2.3000000000000114,1,True,True,5
17,5f5fdc58bf88350b1c455de4,428.94,430.33,Uh So yeah,1.3000000000000114,1.3899999999999864,0,False,False,3
18,5f15da27044c9b700c9b7432,430.24,430.45,Mhm.,-0.08999999999997499,0.20999999999997954,0,False,True,1
19,5f5fdc58bf88350b1c455de4,430.33,432.86,I didn't get bit,-0.12000000000000455,2.5300000000000296,0,False,True,5
20,5f15da27044c9b700c9b7432,431.44,433.06,I said you've been to California.,-1.420000000000016,1.6200000000000045,0,False,True,7
21,5f5fdc58bf88350b1c455de4,433.64,437.72,uh no I didn't ever been to California but I do,0.5799999999999841,4.080000000000041,0,False,False,12
22,5f15da27044c9b700c9b7432,437.54,437.85,Yeah.,-0.18000000000000682,0.3100000000000023,0,False,True,1
23,5f5fdc58bf88350b1c455de4,437.72,439.06,will to do that,-0.12999999999999545,1.339999999999975,0,False,True,4
24,5f15da27044c9b700c9b7432,439.54,440.04,Right.,0.4800000000000182,0.5,0,False,False,1
25,5f5fdc58bf88350b1c455de4,439.83,440.89,I hope,-0.21000000000003638,1.0600000000000023,0,False,True,2
26,5f15da27044c9b700c9b7432,440.04,440.46,Right.,-0.8499999999999659,0.4199999999999591,0,False,True,1
27,5f5fdc58bf88350b1c455de4,440.91,442.36,in the next few months,0.4500000000000455,1.4499999999999886,0,False,False,5
28,5f15da27044c9b700c9b7432,442.24,442.88,Study.,-0.12000000000000455,0.6399999999999864,0,False,True,1
29,5f5fdc58bf88350b1c455de4,443.64,443.83,No.,0.7599999999999909,0.18999999999999773,0,False,False,1
30,5f15da27044c9b700c9b7432,443.94,446.66,"Right, so that's nice. I've never been to florida myself.",0.11000000000001364,2.7200000000000273,0,False,False,12
31,5f5fdc58bf88350b1c455de4,446.44,447.24,Yeah.,-0.22000000000002728,0.8000000000000114,0,False,True,1
32,5f15da27044c9b700c9b7432,447.14,451.96,"One of my my youngest brother, he had a church in I think Fort Lauderdale.",-0.10000000000002274,4.819999999999993,0,False,True,15
33,5f5fdc58bf88350b1c455de4,452.24,456.31,"Mhm. Oh that's great, florida",0.28000000000002956,4.069999999999993,0,False,False,6
34,5f15da27044c9b700c9b7432,455.74,456.36,Yes.,-0.5699999999999932,0.6200000000000045,0,False,True,1
35,5f5fdc58bf88350b1c455de4,456.31,458.34,is a nice place. You should,-0.05000000000001137,2.0299999999999727,0,False,True,6
36,5f15da27044c9b700c9b7432,458.14,458.55,Yeah.,-0.19999999999998863,0.410000000000025,0,False,True,1
