turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e9dfd0b5484b719c94cff0b,32.64,121.84,"Yeah. Yeah. Yeah. Yeah, yeah, I can tell you. Oh okay. Yeah. Okay. Yeah. Yeah. What was the name? Yeah.",,89.2,1,False,False,20
1,5e2de5a5ca99353d0b03b72d,224.6,228.35,Kay.,102.75999999999999,3.75,0,False,False,1
2,5e9dfd0b5484b719c94cff0b,225.46,227.96,"Hi there. Okay,",-2.8899999999999864,2.5,0,False,True,3
3,5e2de5a5ca99353d0b03b72d,228.74,229.06,Yes.,0.7800000000000011,0.3199999999999932,0,False,False,1
4,5e9dfd0b5484b719c94cff0b,228.79,229.76,I can hear you. Yeah.,-0.27000000000001023,0.9699999999999989,0,False,True,5
5,5e2de5a5ca99353d0b03b72d,229.84,230.51,"Okay,",0.0800000000000125,0.6699999999999875,0,False,False,1
6,5e9dfd0b5484b719c94cff0b,230.34,230.66,Yeah.,-0.1699999999999875,0.3199999999999932,0,False,True,1
7,5e2de5a5ca99353d0b03b72d,230.51,233.86,so it's having some problems.,-0.15000000000000568,3.3500000000000227,0,False,True,6
8,5e9dfd0b5484b719c94cff0b,232.14,234.35,Mhm. No sweat.,-1.7200000000000273,2.210000000000008,0,False,True,3
9,5e2de5a5ca99353d0b03b72d,234.34,234.91,Yeah.,-0.009999999999990905,0.5699999999999932,0,False,True,1
10,5e9dfd0b5484b719c94cff0b,235.04,237.86,"So yeah, we're supposed to talk for 25 minutes, right?",0.12999999999999545,2.8200000000000216,1,True,False,11
11,5e2de5a5ca99353d0b03b72d,238.04,239.75,"Yeah,",0.1799999999999784,1.710000000000008,0,False,False,1
12,5e9dfd0b5484b719c94cff0b,239.64,240.95,Yeah.,-0.11000000000001364,1.3100000000000023,0,False,True,1
13,5e2de5a5ca99353d0b03b72d,239.76,243.14,I hit next. Did it say we were supposed to talk,-1.1899999999999977,3.3799999999999955,0,False,True,11
14,5e9dfd0b5484b719c94cff0b,243.14,243.34,Yeah.,0.0,0.20000000000001705,0,False,False,1
15,5e2de5a5ca99353d0b03b72d,243.14,244.53,about something specific,-0.20000000000001705,1.3900000000000148,0,False,True,3
16,5e9dfd0b5484b719c94cff0b,244.04,244.24,Yeah.,-0.4900000000000091,0.20000000000001705,0,False,True,1
17,5e2de5a5ca99353d0b03b72d,244.53,245.52,or,0.28999999999999204,0.9900000000000091,0,False,False,1
18,5e9dfd0b5484b719c94cff0b,245.34,245.54,Yeah.,-0.18000000000000682,0.19999999999998863,0,False,True,1
19,5e2de5a5ca99353d0b03b72d,245.53,246.56,just,-0.009999999999990905,1.0300000000000011,0,False,True,1
20,5e9dfd0b5484b719c94cff0b,246.14,246.95,Uh,-0.4200000000000159,0.8100000000000023,0,False,True,1
21,5e2de5a5ca99353d0b03b72d,247.04,247.96,"Yeah,",0.09000000000000341,0.9200000000000159,0,False,False,1
22,5e9dfd0b5484b719c94cff0b,247.54,252.68,"I think just whatever we want. Um But yeah, I did say you need to keep that survey page",-0.4200000000000159,5.140000000000015,0,False,True,19
23,5e2de5a5ca99353d0b03b72d,252.44,260.49,uh,-0.2400000000000091,8.050000000000011,0,False,True,1
24,5e9dfd0b5484b719c94cff0b,252.68,258.86,open. Oh no. Yeah. What is it what do you think the chances that I'm a robot?,-7.810000000000002,6.180000000000007,1,True,True,18
