turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5dd28beafce6062a4f5221b3,1.64,310.54,"Okay. Okay. Yeah. Good. Yeah. Uh huh I like it. Uh huh Yeah. Uh huh. Thank you sweet girl, you know? Yeah. Okay. Uh huh. Right. Good. Yeah. Okay. Okay. Uh huh. Yeah. Yeah. Yeah. Yeah. Okay. Okay. Okay. Yeah. Uh huh. Okay. Uh huh. Mhm. Oh okay. Come on, come. Okay. Oh okay. Mhm. Yeah. Okay. I do. I don't know. Oh yeah. Okay. Okay. Uh huh. Yeah. Oh. Uh huh. But mhm. Yeah.",,308.90000000000003,1,False,False,76
1,5aa61dd36475f90001a05dcf,311.44,314.56,Hello? Yeah hello,0.8999999999999773,3.1200000000000045,1,False,False,3
2,5dd28beafce6062a4f5221b3,314.54,315.56,Well,-0.01999999999998181,1.0199999999999818,0,False,True,1
3,5aa61dd36475f90001a05dcf,315.72,316.76,can you hear me?,0.160000000000025,1.0399999999999636,1,True,False,4
4,5dd28beafce6062a4f5221b3,317.04,317.76,"yeah, I'm here.",0.28000000000002956,0.7199999999999704,0,False,False,4
5,5aa61dd36475f90001a05dcf,317.54,319.49,What? Hello? Hello,-0.21999999999997044,1.9499999999999886,2,False,True,3
6,5dd28beafce6062a4f5221b3,319.24,319.45,Oh,-0.25,0.20999999999997954,0,False,True,1
7,5aa61dd36475f90001a05dcf,319.49,320.46,how are you,0.040000000000020464,0.9699999999999704,0,False,False,3
8,5dd28beafce6062a4f5221b3,320.24,321.03,good. How are,-0.21999999999997044,0.7899999999999636,0,False,True,3
9,5aa61dd36475f90001a05dcf,320.94,321.24,started?,-0.08999999999997499,0.30000000000001137,1,True,True,1
10,5dd28beafce6062a4f5221b3,321.03,321.76,you?,-0.21000000000003638,0.7300000000000182,1,True,True,1
11,5aa61dd36475f90001a05dcf,321.74,325.26,Yeah mm Weird weird,-0.01999999999998181,3.519999999999982,0,False,True,4
12,5dd28beafce6062a4f5221b3,325.64,326.26,Yeah.,0.37999999999999545,0.6200000000000045,0,False,False,1
13,5aa61dd36475f90001a05dcf,325.93,326.9,stuff in my mind.,-0.3299999999999841,0.9699999999999704,0,False,True,4
14,5dd28beafce6062a4f5221b3,326.84,327.05,Right.,-0.060000000000002274,0.21000000000003638,0,False,True,1
15,5aa61dd36475f90001a05dcf,326.9,329.75,Such you know what's,-0.1500000000000341,2.8500000000000227,0,False,True,5
16,5dd28beafce6062a4f5221b3,328.44,330.86,What's the matter?,-1.3100000000000023,2.420000000000016,1,True,True,4
17,5aa61dd36475f90001a05dcf,329.75,332.76,the matter? Uh,-1.1100000000000136,3.009999999999991,1,False,True,3
18,5dd28beafce6062a4f5221b3,331.44,331.65,Okay.,-1.3199999999999932,0.20999999999997954,0,False,True,1
19,5aa61dd36475f90001a05dcf,333.34,335.78,The impending elections really on my mind,1.6899999999999977,2.4399999999999977,0,False,False,7
20,5dd28beafce6062a4f5221b3,335.74,335.86,Uh,-0.03999999999996362,0.12000000000000455,0,False,True,1
21,5aa61dd36475f90001a05dcf,335.79,336.09,filling,-0.06999999999999318,0.2999999999999545,0,False,True,1
22,5dd28beafce6062a4f5221b3,335.86,336.06,huh.,-0.22999999999996135,0.19999999999998863,0,False,True,1
23,5aa61dd36475f90001a05dcf,336.09,340.07,me with worry and I've got some programming things,0.029999999999972715,3.980000000000018,0,False,False,10
24,5dd28beafce6062a4f5221b3,339.74,339.95,Right.,-0.3299999999999841,0.20999999999997954,0,False,True,1
25,5aa61dd36475f90001a05dcf,340.07,340.53,I'm working,0.12000000000000455,0.45999999999997954,0,False,False,3
26,5dd28beafce6062a4f5221b3,340.44,340.65,Okay.,-0.08999999999997499,0.20999999999997954,0,False,True,1
27,5aa61dd36475f90001a05dcf,340.53,342.8,on that I've been slacking off on. Wouldn't need,-0.12000000000000455,2.2700000000000387,0,False,True,11
28,5dd28beafce6062a4f5221b3,342.64,342.84,Uh huh.,-0.160000000000025,0.19999999999998863,0,False,True,2
29,5aa61dd36475f90001a05dcf,342.8,343.63,to put some time,-0.03999999999996362,0.8299999999999841,0,False,True,4
30,5dd28beafce6062a4f5221b3,343.44,343.76,Uh huh.,-0.18999999999999773,0.3199999999999932,0,False,True,2
31,5aa61dd36475f90001a05dcf,343.63,344.26,into.,-0.12999999999999545,0.6299999999999955,0,False,True,1
32,5dd28beafce6062a4f5221b3,344.34,344.76,Mhm.,0.07999999999998408,0.4200000000000159,0,False,False,1
33,5aa61dd36475f90001a05dcf,345.34,351.35,Yeah I've got this terrible paying and all the diodes down my left hand side. No,0.5799999999999841,6.010000000000048,0,False,False,17
34,5dd28beafce6062a4f5221b3,351.24,351.95,Uh huh.,-0.11000000000001364,0.7099999999999795,0,False,True,2
35,5aa61dd36475f90001a05dcf,351.74,361.26,no no. Uh But yeah it's been a weird it's been a weird year.,-0.20999999999997954,9.519999999999982,0,False,True,16
36,5dd28beafce6062a4f5221b3,361.34,362.07,Oh,0.07999999999998408,0.7300000000000182,0,False,False,1
37,5aa61dd36475f90001a05dcf,361.84,365.56,Mhm,-0.2300000000000182,3.7200000000000273,0,False,True,1
38,5dd28beafce6062a4f5221b3,362.08,366.76,yeah. Right. It has.,-3.480000000000018,4.680000000000007,0,False,True,4
39,5aa61dd36475f90001a05dcf,366.24,367.95,yep. Any case,-0.5199999999999818,1.7099999999999795,0,False,True,3
40,5dd28beafce6062a4f5221b3,367.84,369.05,Right. Yeah.,-0.11000000000001364,1.2100000000000364,0,False,True,2
41,5aa61dd36475f90001a05dcf,368.94,378.46,like the second uh some colossal air there? All right all right all right. Um Well you know I'm john,-0.11000000000001364,9.519999999999982,1,False,True,21
42,5dd28beafce6062a4f5221b3,379.34,380.06,Uh,0.8799999999999955,0.7200000000000273,0,False,False,1
43,5aa61dd36475f90001a05dcf,379.84,380.29,yeah,-0.22000000000002728,0.4500000000000455,0,False,True,1
44,5dd28beafce6062a4f5221b3,380.06,380.95,huh.,-0.2300000000000182,0.8899999999999864,0,False,True,1
45,5aa61dd36475f90001a05dcf,380.29,383.77,I'm just curious myself you know you don't have to introduce yourself,-0.6599999999999682,3.4799999999999613,0,False,True,14
46,5dd28beafce6062a4f5221b3,383.64,384.68,"No,",-0.12999999999999545,1.0400000000000205,0,False,True,1
47,5aa61dd36475f90001a05dcf,383.78,385.62,but,-0.9000000000000341,1.8400000000000318,0,False,True,1
48,5dd28beafce6062a4f5221b3,384.69,385.65,my name is,-0.9300000000000068,0.9599999999999795,0,False,True,3
49,5aa61dd36475f90001a05dcf,385.63,385.91,my,-0.01999999999998181,0.28000000000002956,0,False,True,1
50,5dd28beafce6062a4f5221b3,385.65,387.15,"Ashley,",-0.26000000000004775,1.5,0,False,True,1
51,5aa61dd36475f90001a05dcf,385.91,388.42,name is Ashley. It's nice to,-1.2399999999999523,2.509999999999991,0,False,True,7
52,5dd28beafce6062a4f5221b3,388.34,389.26,nice,-0.08000000000004093,0.9200000000000159,0,False,True,1
53,5aa61dd36475f90001a05dcf,388.42,388.86,meet you,-0.839999999999975,0.4399999999999977,0,False,True,2
54,5dd28beafce6062a4f5221b3,389.26,391.06,to meet you too. Where are you from?,0.39999999999997726,1.8000000000000114,1,True,False,8
55,5aa61dd36475f90001a05dcf,391.74,393.45,Brunswick Georgia.,0.6800000000000068,1.7099999999999795,0,False,False,2
56,5dd28beafce6062a4f5221b3,393.54,398.06,What? Oh wow. You're really far down south. Huh.,0.09000000000003183,4.519999999999982,1,False,False,10
57,5aa61dd36475f90001a05dcf,398.74,399.54,Yeah,0.6800000000000068,0.8000000000000114,0,False,False,1
58,5dd28beafce6062a4f5221b3,399.41,399.96,Right.,-0.12999999999999545,0.5499999999999545,0,False,True,1
59,5aa61dd36475f90001a05dcf,401.14,402.19,30 south,1.1800000000000068,1.0500000000000114,0,False,False,2
60,5dd28beafce6062a4f5221b3,401.64,402.11,Crazy.,-0.5500000000000114,0.4700000000000273,0,False,True,1
61,5aa61dd36475f90001a05dcf,402.19,402.36,of the,0.07999999999998408,0.17000000000001592,0,False,False,2
62,5dd28beafce6062a4f5221b3,402.34,403.16,I,-0.020000000000038654,0.82000000000005,0,False,True,1
63,5aa61dd36475f90001a05dcf,402.36,405.26,United States you know he's doing the normal northern hemisphere.,-0.8000000000000114,2.8999999999999773,0,False,True,11
64,5dd28beafce6062a4f5221b3,405.54,406.25,Yeah.,0.28000000000002956,0.7099999999999795,0,False,False,1
65,5aa61dd36475f90001a05dcf,407.14,413.66,Yeah any case. Yeah I would tell you more about the town but there's not much to say.,0.8899999999999864,6.520000000000039,0,False,False,19
66,5dd28beafce6062a4f5221b3,414.04,414.96,Really?,0.37999999999999545,0.9199999999999591,1,True,False,1
67,5aa61dd36475f90001a05dcf,415.44,420.06,Yeah we have is a privately good pinball arcade. That's about all I can say.,0.4800000000000182,4.6200000000000045,0,False,False,16
68,5dd28beafce6062a4f5221b3,420.24,421.75,Mhm. Yeah.,0.18000000000000682,1.509999999999991,0,False,False,2
69,5aa61dd36475f90001a05dcf,421.64,429.16,Yeah I I did not expect it to be in this town but they've got like 4050 good tables you know.,-0.11000000000001364,7.520000000000039,0,False,True,22
70,5dd28beafce6062a4f5221b3,429.14,430.06,Oh wow.,-0.020000000000038654,0.9200000000000159,0,False,True,2
71,5aa61dd36475f90001a05dcf,430.24,436.27,Yeah wide a wide range of many different decades,0.18000000000000682,6.029999999999973,0,False,False,9
72,5dd28beafce6062a4f5221b3,436.24,436.96,Mhm.,-0.029999999999972715,0.7199999999999704,0,False,True,1
73,5aa61dd36475f90001a05dcf,436.31,440.55,all the mechanicals to new releases. It's pretty awesome.,-0.6499999999999773,4.240000000000009,0,False,True,10
74,5dd28beafce6062a4f5221b3,440.94,441.44,Uh huh,0.38999999999998636,0.5,0,False,False,2
75,5aa61dd36475f90001a05dcf,441.14,441.46,Yeah.,-0.30000000000001137,0.3199999999999932,0,False,True,1
76,5dd28beafce6062a4f5221b3,442.24,442.75,wow.,0.7800000000000296,0.5099999999999909,0,False,False,1
77,5aa61dd36475f90001a05dcf,443.04,450.45,Yeah. Anyway Now comes the issue of finding something to talk about for 23 more minutes.,0.29000000000002046,7.409999999999968,0,False,False,16
78,5dd28beafce6062a4f5221b3,451.04,452.96,Yeah. Have you ever done this before?,0.5900000000000318,1.919999999999959,1,True,False,7
79,5aa61dd36475f90001a05dcf,453.54,460.06,Yeah watch yeah I've done it before.,0.5800000000000409,6.519999999999982,0,False,False,8
80,5dd28beafce6062a4f5221b3,460.64,464.7,Yeah. This will be my third conversation with somebody um actually,0.5799999999999841,4.060000000000002,0,False,False,11
81,5aa61dd36475f90001a05dcf,464.44,464.76,Mhm.,-0.2599999999999909,0.3199999999999932,0,False,True,1
82,5dd28beafce6062a4f5221b3,464.7,471.46,"kind of find them interesting, a lot more different than just um your regular surveys and stuff,",-0.060000000000002274,6.759999999999991,0,False,True,17
83,5aa61dd36475f90001a05dcf,472.04,472.35,Yeah.,0.5800000000000409,0.3100000000000023,0,False,False,1
84,5dd28beafce6062a4f5221b3,472.34,473.79,Yeah.,-0.010000000000047748,1.4500000000000455,0,False,True,1
85,5aa61dd36475f90001a05dcf,472.35,474.57,Yeah they are very interested. It can be,-1.4399999999999977,2.2199999999999704,0,False,True,8
86,5dd28beafce6062a4f5221b3,474.54,474.74,Yeah.,-0.029999999999972715,0.19999999999998863,0,False,True,1
87,5aa61dd36475f90001a05dcf,474.58,478.06,if you can find a condition to talk about which is often my problem.,-0.160000000000025,3.480000000000018,0,False,True,14
88,5dd28beafce6062a4f5221b3,478.24,479.26,"Oh, really?",0.18000000000000682,1.0199999999999818,1,True,False,2
89,5aa61dd36475f90001a05dcf,479.94,487.96,Yeah. Well here it's something it isn't something very strange. Okay have you heard of black baseball?,0.6800000000000068,8.019999999999982,1,True,False,19
90,5dd28beafce6062a4f5221b3,489.54,490.86,"No, I have not.",1.580000000000041,1.3199999999999932,0,False,False,4
91,5aa61dd36475f90001a05dcf,491.44,493.01,Yeah if you've if,0.5799999999999841,1.5699999999999932,0,False,False,5
92,5dd28beafce6062a4f5221b3,492.94,493.14,Yeah.,-0.06999999999999318,0.19999999999998863,0,False,True,1
93,5aa61dd36475f90001a05dcf,493.01,493.89,you've been riding,-0.12999999999999545,0.8799999999999955,0,False,True,4
94,5dd28beafce6062a4f5221b3,493.64,493.96,Mhm.,-0.25,0.3199999999999932,0,False,True,1
95,5aa61dd36475f90001a05dcf,493.89,494.86,around the,-0.06999999999999318,0.9700000000000273,0,False,True,2
96,5dd28beafce6062a4f5221b3,494.94,495.66,Okay.,0.07999999999998408,0.7200000000000273,0,False,False,1
97,5aa61dd36475f90001a05dcf,495.24,500.16,were the corners of the internet there are a lot of people have been talking about Blaze ball lately.,-0.4200000000000159,4.920000000000016,0,False,True,19
98,5dd28beafce6062a4f5221b3,500.34,500.95,I've,0.17999999999994998,0.6100000000000136,0,False,False,2
99,5aa61dd36475f90001a05dcf,500.54,501.86,Not baseball,-0.40999999999996817,1.3199999999999932,0,False,True,2
100,5dd28beafce6062a4f5221b3,500.96,501.75,never heard of it.,-0.9000000000000341,0.7900000000000205,0,False,True,4
101,5aa61dd36475f90001a05dcf,502.44,503.0,blace,0.6899999999999977,0.5600000000000023,0,False,False,1
102,5dd28beafce6062a4f5221b3,502.94,503.26,Great.,-0.060000000000002274,0.3199999999999932,0,False,True,1
103,5aa61dd36475f90001a05dcf,503.0,504.15,ball with an L.,-0.2599999999999909,1.1499999999999773,0,False,True,4
104,5dd28beafce6062a4f5221b3,504.34,504.96,"Hm,",0.18999999999999773,0.6200000000000045,0,False,False,1
105,5aa61dd36475f90001a05dcf,505.44,508.16,It is incredibly strange.,0.4800000000000182,2.7200000000000273,0,False,False,4
106,5dd28beafce6062a4f5221b3,508.44,508.86,mm hmm.,0.2799999999999727,0.4200000000000159,0,False,False,2
107,5aa61dd36475f90001a05dcf,509.24,513.65,"It is um you know there are sports video games, right?",0.37999999999999545,4.409999999999968,1,True,False,11
108,5dd28beafce6062a4f5221b3,514.14,514.64,Yeah.,0.4900000000000091,0.5,0,False,False,1
109,5aa61dd36475f90001a05dcf,514.44,523.35,Uh This is one of like that. Except you don't actually play it. The whole thing is just a computer generated simulation.,-0.1999999999999318,8.909999999999968,0,False,True,23
110,5dd28beafce6062a4f5221b3,524.04,524.24,Yeah.,0.6899999999999409,0.20000000000004547,0,False,False,1
111,5aa61dd36475f90001a05dcf,524.74,525.13,It,0.5,0.38999999999998636,0,False,False,1
112,5dd28beafce6062a4f5221b3,524.94,525.3,All,-0.18999999999994088,0.35999999999989996,0,False,True,1
113,5aa61dd36475f90001a05dcf,525.13,525.66,happens,-0.16999999999995907,0.5299999999999727,0,False,True,1
114,5dd28beafce6062a4f5221b3,525.3,526.05,right.,-0.36000000000001364,0.75,0,False,True,1
115,5aa61dd36475f90001a05dcf,525.66,527.25,on this website. Place,-0.38999999999998636,1.5900000000000318,0,False,True,4
116,5dd28beafce6062a4f5221b3,527.04,527.24,Yeah.,-0.21000000000003638,0.20000000000004547,0,False,True,1
117,5aa61dd36475f90001a05dcf,527.25,528.46,ball dot com.,0.009999999999990905,1.2100000000000364,0,False,False,3
118,5dd28beafce6062a4f5221b3,528.74,529.36,Mhm.,0.2799999999999727,0.6200000000000045,0,False,False,1
119,5aa61dd36475f90001a05dcf,529.14,531.29,Yeah. It's a call,-0.22000000000002728,2.1499999999999773,0,False,True,5
120,5dd28beafce6062a4f5221b3,530.94,531.15,Right.,-0.34999999999990905,0.2099999999999227,0,False,True,1
121,5aa61dd36475f90001a05dcf,531.29,532.03,a fan,0.13999999999998636,0.7400000000000091,0,False,False,2
122,5dd28beafce6062a4f5221b3,531.84,532.16,Yeah.,-0.18999999999994088,0.31999999999993634,0,False,True,1
123,5aa61dd36475f90001a05dcf,532.03,538.65,stimulation that is. They have made up teams like the Los Angeles Tacos,-0.12999999999999545,6.6200000000000045,0,False,True,13
124,5dd28beafce6062a4f5221b3,538.74,539.25,Hm.,0.09000000000003183,0.5099999999999909,0,False,False,1
125,5aa61dd36475f90001a05dcf,539.04,541.3,I guess. They really Kansas city breath mints,-0.21000000000003638,2.259999999999991,0,False,True,8
126,5dd28beafce6062a4f5221b3,541.44,541.76,Uh huh.,0.14000000000010004,0.31999999999993634,0,False,False,2
127,5aa61dd36475f90001a05dcf,541.74,551.96,the that and they play a weird mutant version of baseball. It's not something you watch except you watch the reports coming in as,-0.01999999999998181,10.220000000000027,0,False,True,25
128,5dd28beafce6062a4f5221b3,551.64,552.26,Mhm.,-0.32000000000005,0.6200000000000045,0,False,True,1
