turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f00cc127086ce2029ae6541,1.74,34.34,Mhm. Uh huh. Yeah. Yeah. Yeah. Mhm. Yeah. Yeah. Uh huh. Yeah.,,32.6,0,False,False,12
1,5f1e9b5ffe1f70029559f24c,35.74,36.55,lou,1.3999999999999986,0.8099999999999952,0,False,False,1
2,5f00cc127086ce2029ae6541,36.14,39.06,Yeah. Yeah. Hi.,-0.4099999999999966,2.9200000000000017,0,False,True,3
3,5f1e9b5ffe1f70029559f24c,38.44,39.16,of the kind.,-0.6200000000000045,0.7199999999999989,0,False,True,3
4,5f00cc127086ce2029ae6541,40.54,41.08,Good.,1.3800000000000026,0.5399999999999991,0,False,False,1
5,5f1e9b5ffe1f70029559f24c,40.94,41.12,Not,-0.14000000000000057,0.17999999999999972,0,False,True,1
6,5f00cc127086ce2029ae6541,41.08,41.2,How,-0.03999999999999915,0.12000000000000455,0,False,True,1
7,5f1e9b5ffe1f70029559f24c,41.12,41.23,too,-0.0800000000000054,0.10999999999999943,0,False,True,1
8,5f00cc127086ce2029ae6541,41.2,41.4,about,-0.02999999999999403,0.19999999999999574,0,False,True,1
9,5f1e9b5ffe1f70029559f24c,41.23,42.56,bad.,-0.1700000000000017,1.3300000000000054,0,False,True,1
10,5f00cc127086ce2029ae6541,41.4,44.31,you? Cool. I like your,-1.1600000000000037,2.9100000000000037,1,False,True,5
11,5f1e9b5ffe1f70029559f24c,44.24,44.36,Oh,-0.07000000000000028,0.11999999999999744,0,False,True,1
12,5f00cc127086ce2029ae6541,44.31,44.76,shirt.,-0.04999999999999716,0.44999999999999574,0,False,True,1
13,5f1e9b5ffe1f70029559f24c,44.36,46.55,"yeah, Thank you.",-0.3999999999999986,2.1899999999999977,0,False,True,3
14,5f00cc127086ce2029ae6541,46.44,47.85,Cool.,-0.10999999999999943,1.4100000000000037,0,False,True,1
15,5f1e9b5ffe1f70029559f24c,47.34,48.4,So have,-0.509999999999998,1.0599999999999952,0,False,True,2
16,5f00cc127086ce2029ae6541,48.34,48.66,"Yes,",-0.05999999999999517,0.3199999999999932,0,False,True,1
17,5f1e9b5ffe1f70029559f24c,48.4,50.74,you done that before? Yeah.,-0.259999999999998,2.3400000000000034,1,False,True,5
18,5f00cc127086ce2029ae6541,51.34,56.6,I have. I've talked to one person and three people didn't,0.6000000000000014,5.259999999999998,0,False,False,13
19,5f1e9b5ffe1f70029559f24c,56.34,56.96,Oh,-0.259999999999998,0.6199999999999974,0,False,True,1
20,5f00cc127086ce2029ae6541,56.6,58.49,show up. So you're my second,-0.35999999999999943,1.8900000000000006,0,False,True,7
21,5f1e9b5ffe1f70029559f24c,58.44,59.21,"yeah,",-0.05000000000000426,0.7700000000000031,0,False,True,1
22,5f00cc127086ce2029ae6541,58.49,59.26,I've talked to,-0.7199999999999989,0.769999999999996,0,False,True,4
23,5f1e9b5ffe1f70029559f24c,59.21,59.55,I can.,-0.04999999999999716,0.3399999999999963,0,False,True,2
24,5f00cc127086ce2029ae6541,59.64,60.96,and I'm excited.,0.09000000000000341,1.3200000000000003,0,False,False,4
25,5f1e9b5ffe1f70029559f24c,60.14,61.33,You're my second as well.,-0.8200000000000003,1.1899999999999977,0,False,True,6
26,5f00cc127086ce2029ae6541,61.34,61.54,Yeah.,0.010000000000005116,0.19999999999999574,0,False,False,1
27,5f1e9b5ffe1f70029559f24c,61.34,63.0,I did,-0.19999999999999574,1.6599999999999966,0,False,True,2
28,5f00cc127086ce2029ae6541,62.84,63.86,Cool.,-0.1599999999999966,1.019999999999996,0,False,True,1
29,5f1e9b5ffe1f70029559f24c,63.0,64.78,"one and then the last two I tried, people",-0.8599999999999994,1.7800000000000011,0,False,True,9
30,5f00cc127086ce2029ae6541,64.74,65.16,Okay.,-0.04000000000000625,0.4200000000000017,0,False,True,1
31,5f1e9b5ffe1f70029559f24c,64.78,65.45,didn't show,-0.37999999999999545,0.6700000000000017,0,False,True,3
32,5f00cc127086ce2029ae6541,66.34,67.9,Yeah.,0.8900000000000006,1.5600000000000023,0,False,False,1
33,5f1e9b5ffe1f70029559f24c,67.14,68.25,so pretty similar.,-0.7600000000000051,1.1099999999999994,0,False,True,3
34,5f00cc127086ce2029ae6541,67.91,71.46,Yeah. Yeah. I like them.,-0.3400000000000034,3.549999999999997,0,False,True,5
35,5f1e9b5ffe1f70029559f24c,71.24,74.71,"Yeah, it's not too bad. Uh",-0.21999999999999886,3.469999999999999,0,False,True,7
36,5f00cc127086ce2029ae6541,73.54,73.86,Yeah.,-1.1699999999999875,0.3199999999999932,0,False,True,1
37,5f1e9b5ffe1f70029559f24c,74.72,74.86,your,0.8599999999999994,0.14000000000000057,0,False,False,1
38,5f00cc127086ce2029ae6541,74.84,75.16,Uh,-0.01999999999999602,0.3199999999999932,0,False,True,1
39,5f1e9b5ffe1f70029559f24c,74.86,75.46,summer going?,-0.29999999999999716,0.5999999999999943,1,True,True,2
40,5f00cc127086ce2029ae6541,75.16,87.11,"huh. Well, um I'm immuno compromised so my summers consisted of seeing the inside of my house",-0.29999999999999716,11.950000000000003,0,False,True,18
41,5f1e9b5ffe1f70029559f24c,86.54,86.86,Yeah.,-0.5699999999999932,0.3199999999999932,0,False,True,1
42,5f00cc127086ce2029ae6541,87.11,88.76,exclusively.,0.25,1.6500000000000057,0,False,False,1
43,5f1e9b5ffe1f70029559f24c,87.74,90.39,Right. Uh,-1.0200000000000102,2.6500000000000057,0,False,True,2
44,5f00cc127086ce2029ae6541,90.14,90.57,How about,-0.25,0.4299999999999926,0,False,True,2
45,5f1e9b5ffe1f70029559f24c,90.4,90.68,pretty,-0.1699999999999875,0.28000000000000114,0,False,True,1
46,5f00cc127086ce2029ae6541,90.57,90.95,you?,-0.11000000000001364,0.38000000000000966,1,True,True,1
47,5f1e9b5ffe1f70029559f24c,90.68,91.8,similar. I,-0.269999999999996,1.1199999999999903,0,False,True,2
48,5f00cc127086ce2029ae6541,91.64,92.56,Uh huh.,-0.1599999999999966,0.9200000000000017,0,False,True,2
49,5f1e9b5ffe1f70029559f24c,91.81,94.48,"mean I'm not in my house anymore, but I will help it in place",-0.75,2.6700000000000017,0,False,True,15
50,5f00cc127086ce2029ae6541,94.24,95.02,Yeah.,-0.2400000000000091,0.7800000000000011,0,False,True,1
51,5f1e9b5ffe1f70029559f24c,94.48,98.41,for about three months or so just,-0.539999999999992,3.9299999999999926,0,False,True,7
52,5f00cc127086ce2029ae6541,98.34,98.62,"Oh,",-0.06999999999999318,0.28000000000000114,0,False,True,1
53,5f1e9b5ffe1f70029559f24c,98.41,98.69,going,-0.21000000000000796,0.28000000000000114,0,False,True,1
54,5f00cc127086ce2029ae6541,98.62,99.05,yeah.,-0.06999999999999318,0.4299999999999926,0,False,True,1
55,5f1e9b5ffe1f70029559f24c,98.69,99.44,out to the grocery store,-0.35999999999999943,0.75,0,False,True,5
56,5f00cc127086ce2029ae6541,99.44,99.65,Right.,0.0,0.21000000000000796,0,False,False,1
57,5f1e9b5ffe1f70029559f24c,99.44,102.03,remotely occasionally,-0.21000000000000796,2.5900000000000034,0,False,True,2
58,5f00cc127086ce2029ae6541,101.54,102.04,Yeah.,-0.4899999999999949,0.5,0,False,True,1
59,5f1e9b5ffe1f70029559f24c,102.03,103.56,picking things up from restaurants.,-0.010000000000005116,1.5300000000000011,0,False,True,5
60,5f00cc127086ce2029ae6541,103.74,103.94,Yeah.,0.1799999999999926,0.20000000000000284,0,False,False,1
61,5f1e9b5ffe1f70029559f24c,104.74,105.36,Yeah.,0.7999999999999972,0.6200000000000045,0,False,False,1
