turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d6807f9778de5001a120d9a,173.14,198.15,uh huh. Your witness? Yeah. Yeah. Yeah. Okay.,,25.01000000000002,1,False,False,8
1,5e11882114ae638303c715d9,191.44,197.65,Hello. Yeah I guess for a couple of minutes earlier I'm in Iraq if you are.,-6.710000000000008,6.210000000000008,0,False,True,17
2,5d6807f9778de5001a120d9a,198.16,199.75,I'm ready. I'm just,0.5099999999999909,1.5900000000000034,0,False,False,6
3,5e11882114ae638303c715d9,199.74,200.06,Oh,-0.009999999999990905,0.3199999999999932,0,False,True,1
4,5d6807f9778de5001a120d9a,199.75,201.22,glad you showed up. I've had,-0.3100000000000023,1.4699999999999989,0,False,True,7
5,5e11882114ae638303c715d9,201.14,201.86,okay.,-0.0800000000000125,0.7200000000000273,0,False,True,1
6,5d6807f9778de5001a120d9a,201.22,203.3,like three noses. Yeah. I like,-0.6400000000000148,2.0800000000000125,0,False,True,6
7,5e11882114ae638303c715d9,203.14,203.76,Oh,-0.160000000000025,0.6200000000000045,0,False,True,1
8,5d6807f9778de5001a120d9a,203.3,205.05,three notes on this thing.,-0.45999999999997954,1.75,0,False,True,5
9,5e11882114ae638303c715d9,206.04,208.37,yeah the first time I tried to,0.9899999999999807,2.3300000000000125,0,False,False,7
10,5d6807f9778de5001a120d9a,208.34,208.41,Uh,-0.030000000000001137,0.06999999999999318,0,False,True,1
11,5e11882114ae638303c715d9,208.37,208.54,do,-0.03999999999999204,0.1699999999999875,0,False,True,1
12,5d6807f9778de5001a120d9a,208.41,208.54,huh.,-0.12999999999999545,0.12999999999999545,0,False,True,1
13,5e11882114ae638303c715d9,208.54,211.38,this I didn't have a show up either so,0.0,2.8400000000000034,0,False,False,10
14,5d6807f9778de5001a120d9a,211.24,211.96,Right.,-0.13999999999998636,0.7199999999999989,0,False,True,1
15,5e11882114ae638303c715d9,211.39,213.31,uh yeah I was actually,-0.5700000000000216,1.920000000000016,0,False,True,5
16,5d6807f9778de5001a120d9a,213.24,213.45,Okay.,-0.06999999999999318,0.20999999999997954,0,False,True,1
17,5e11882114ae638303c715d9,213.31,216.71,kind of worried I thought I might be a no show and uh I had something come,-0.13999999999998636,3.4000000000000057,0,False,True,17
18,5d6807f9778de5001a120d9a,216.54,216.75,But,-0.17000000000001592,0.21000000000000796,0,False,True,1
19,5e11882114ae638303c715d9,216.71,222.67,up at the last minute but I got here and as you can see I've got here a couple of minutes early so that's always a good thing. So um,-0.03999999999999204,5.9599999999999795,0,False,True,32
20,5d6807f9778de5001a120d9a,222.44,225.25,yeah.,-0.22999999999998977,2.8100000000000023,0,False,True,1
21,5e11882114ae638303c715d9,222.68,240.33,yeah kind of the issue like this is you got to different people and unfortunately you know just because you are available at that particular time doesn't necessarily mean uh you're going to be available then. But it would be nice if they like send a message along and that way they can let you know but I mean the plus side at least is,-2.569999999999993,17.650000000000006,0,False,True,67
22,5d6807f9778de5001a120d9a,240.2,240.76,Uh,-0.13000000000002387,0.5600000000000023,0,False,True,1
23,5e11882114ae638303c715d9,240.33,240.83,I don't,-0.4299999999999784,0.5,0,False,True,3
24,5d6807f9778de5001a120d9a,240.76,241.24,huh.,-0.0700000000000216,0.4800000000000182,0,False,True,1
25,5e11882114ae638303c715d9,240.83,246.42,know if you consider that as part of the four overall that you can participate in but If not then,-0.4099999999999966,5.589999999999975,0,False,True,20
26,5d6807f9778de5001a120d9a,246.34,246.94,Uh,-0.07999999999998408,0.5999999999999943,0,False,True,1
27,5e11882114ae638303c715d9,246.43,247.47,uh certainly,-0.5099999999999909,1.039999999999992,0,False,True,2
28,5d6807f9778de5001a120d9a,246.94,248.94,huh.,-0.5300000000000011,2.0,0,False,True,1
29,5e11882114ae638303c715d9,247.47,249.49,you're getting a buck 50.,-1.4699999999999989,2.0200000000000102,0,False,True,6
30,5d6807f9778de5001a120d9a,249.44,250.59,Right.,-0.05000000000001137,1.1500000000000057,0,False,True,1
31,5e11882114ae638303c715d9,249.94,251.76,Right.,-0.6500000000000057,1.8199999999999932,0,False,True,1
32,5d6807f9778de5001a120d9a,250.6,253.26,"I think you have, I",-1.1599999999999966,2.6599999999999966,0,False,True,5
33,5e11882114ae638303c715d9,252.74,252.95,Help.,-0.5199999999999818,0.20999999999997954,0,False,True,1
34,5d6807f9778de5001a120d9a,253.27,262.18,"think you have to complete the whole conversation. I don't, they shouldn't do the no shows that I did two of these like earlier in the year. So if the no",0.3200000000000216,8.909999999999997,0,False,False,33
35,5e11882114ae638303c715d9,262.04,262.36,Oh.,-0.13999999999998636,0.3199999999999932,0,False,True,1
