turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ec81134ac7d6b2b9ac51453,1.54,331.98,"you know you? No. Yeah, what, What it is, but that's one of the first things. Yeah. Hey, what's up?",,330.44,2,True,False,22
1,5ed74a20ac241e1c4dfeb045,331.74,332.74,Hello? Hey,-0.2400000000000091,1.0,1,False,True,2
2,5ec81134ac7d6b2b9ac51453,332.74,333.33,Yeah.,0.0,0.589999999999975,0,False,False,1
3,5ed74a20ac241e1c4dfeb045,332.75,333.15,what's up?,-0.5799999999999841,0.39999999999997726,1,True,True,3
4,5ec81134ac7d6b2b9ac51453,333.34,334.0,Cool.,0.18999999999999773,0.660000000000025,0,False,False,1
5,5ed74a20ac241e1c4dfeb045,333.74,334.48,So,-0.2599999999999909,0.7400000000000091,0,False,True,1
6,5ec81134ac7d6b2b9ac51453,334.01,339.5,"Yeah,",-0.4700000000000273,5.490000000000009,0,False,True,1
7,5ed74a20ac241e1c4dfeb045,334.49,339.26,so I have no idea what we're supposed to be doing. They just want us to talk for 25 minutes.,-5.009999999999991,4.769999999999982,0,False,True,21
8,5ec81134ac7d6b2b9ac51453,339.5,341.44,"this is the first time doing it, right?",0.2400000000000091,1.9399999999999977,1,True,False,8
9,5ed74a20ac241e1c4dfeb045,341.24,342.16,Yeah.,-0.19999999999998863,0.9200000000000159,0,False,True,1
10,5ec81134ac7d6b2b9ac51453,341.45,342.65,"Yeah, that's",-0.7100000000000364,1.1999999999999886,0,False,True,3
11,5ed74a20ac241e1c4dfeb045,342.54,343.05,So,-0.1099999999999568,0.5099999999999909,0,False,True,1
12,5ec81134ac7d6b2b9ac51453,342.65,345.5,"cool. It's, it's super chill. Yeah, this",-0.4000000000000341,2.8500000000000227,0,False,True,9
13,5ed74a20ac241e1c4dfeb045,345.44,345.95,really?,-0.060000000000002274,0.5099999999999909,1,True,True,1
14,5ec81134ac7d6b2b9ac51453,345.5,350.65,is uh my third one.,-0.44999999999998863,5.149999999999977,0,False,True,5
15,5ed74a20ac241e1c4dfeb045,348.14,351.46,So they've been doing this on weight? Is it all in prolific,-2.509999999999991,3.319999999999993,1,False,True,13
16,5ec81134ac7d6b2b9ac51453,351.14,352.61,Yeah.,-0.3199999999999932,1.4700000000000273,0,False,True,1
17,5ed74a20ac241e1c4dfeb045,351.46,353.36,or?,-1.150000000000034,1.900000000000034,1,True,True,1
18,5ec81134ac7d6b2b9ac51453,352.62,354.44,Like they started in october,-0.7400000000000091,1.8199999999999932,0,False,True,5
19,5ed74a20ac241e1c4dfeb045,354.44,354.65,Right.,0.0,0.20999999999997954,0,False,False,1
20,5ec81134ac7d6b2b9ac51453,354.45,356.02,and then I just started,-0.19999999999998863,1.5699999999999932,0,False,True,5
21,5ed74a20ac241e1c4dfeb045,355.46,356.03,All right,-0.5600000000000023,0.5699999999999932,0,False,True,2
22,5ec81134ac7d6b2b9ac51453,356.03,357.06,doing it,0.0,1.0300000000000296,0,False,False,2
23,5ed74a20ac241e1c4dfeb045,356.94,357.16,I want,-0.12000000000000455,0.22000000000002728,0,False,True,2
24,5ec81134ac7d6b2b9ac51453,357.07,358.46,probably,-0.09000000000003183,1.3899999999999864,0,False,True,1
25,5ed74a20ac241e1c4dfeb045,357.16,357.26,to,-1.2999999999999545,0.0999999999999659,0,False,True,1
26,5ec81134ac7d6b2b9ac51453,358.47,359.99,"um,",1.2100000000000364,1.5199999999999818,0,False,False,1
27,5ed74a20ac241e1c4dfeb045,359.14,359.35,Oh,-0.8500000000000227,0.21000000000003638,0,False,True,1
28,5ec81134ac7d6b2b9ac51453,360.0,361.24,two,0.6499999999999773,1.240000000000009,0,False,False,1
29,5ed74a20ac241e1c4dfeb045,361.04,361.25,and,-0.19999999999998863,0.20999999999997954,0,False,True,1
30,5ec81134ac7d6b2b9ac51453,361.24,361.83,or three weeks,-0.009999999999990905,0.589999999999975,0,False,True,3
31,5ed74a20ac241e1c4dfeb045,361.74,362.16,breathing.,-0.08999999999997499,0.4200000000000159,0,False,True,1
32,5ec81134ac7d6b2b9ac51453,361.83,363.34,ago. Like,-0.3300000000000409,1.509999999999991,0,False,True,2
33,5ed74a20ac241e1c4dfeb045,362.64,363.56,Oh,-0.6999999999999886,0.9200000000000159,0,False,True,1
34,5ec81134ac7d6b2b9ac51453,363.35,364.19,"I saw it,",-0.20999999999997954,0.839999999999975,0,False,True,3
35,5ed74a20ac241e1c4dfeb045,364.14,364.65,I gotta,-0.05000000000001137,0.5099999999999909,0,False,True,3
36,5ec81134ac7d6b2b9ac51453,364.2,364.95,"I saw it,",-0.44999999999998863,0.75,0,False,True,3
