turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f55b2de5c3cb118507479f5,12.14,12.34,Yeah.,,0.1999999999999993,0,False,False,1
1,5f469dcf5fcb5d0355771013,13.74,14.46,Hello.,1.4000000000000004,0.7200000000000006,0,False,False,1
2,5f55b2de5c3cb118507479f5,15.14,21.7,"Hi, sorry, might give me a sec. My windows. How much light? Oh, now to a little like",0.6799999999999997,6.559999999999999,1,False,False,18
3,5f469dcf5fcb5d0355771013,21.14,21.45,It is.,-0.5599999999999987,0.3099999999999987,0,False,True,2
4,5f55b2de5c3cb118507479f5,24.34,24.79,very,2.8900000000000006,0.4499999999999993,0,False,False,1
5,5f469dcf5fcb5d0355771013,26.84,27.65,How are you?,2.0500000000000007,0.8099999999999987,1,True,False,3
6,5f55b2de5c3cb118507479f5,27.44,34.26,"ah I'm doing I've had better days, but I'm doing as best as I can I guess at the moment.",-0.2099999999999973,6.819999999999997,0,False,True,23
7,5f469dcf5fcb5d0355771013,34.84,42.06,I think I could enter exactly the same way. I've had better days but I'm doing all right. Mhm,0.5800000000000054,7.219999999999999,0,False,False,21
8,5f55b2de5c3cb118507479f5,42.04,42.46,Mm,-0.020000000000003126,0.4200000000000017,0,False,True,1
9,5f469dcf5fcb5d0355771013,42.54,47.26,mm My name is Evan and I go by E. J.,0.0799999999999983,4.719999999999999,0,False,False,11
10,5f55b2de5c3cb118507479f5,48.34,48.85,Okay.,1.0800000000000054,0.509999999999998,0,False,False,1
11,5f469dcf5fcb5d0355771013,48.84,49.16,Oh,-0.00999999999999801,0.3199999999999932,0,False,True,1
12,5f55b2de5c3cb118507479f5,49.44,51.86,My name is uh Andrew and I go by a j,0.28000000000000114,2.4200000000000017,0,False,False,11
13,5f469dcf5fcb5d0355771013,52.34,57.85,all right awesome. Hey JJ. Cool.,0.480000000000004,5.509999999999998,0,False,False,6
14,5f55b2de5c3cb118507479f5,58.94,59.26,mm.,1.0899999999999963,0.3200000000000003,0,False,False,1
15,5f469dcf5fcb5d0355771013,59.34,64.46,So today sunday so are you a big football watcher?,0.0800000000000054,5.11999999999999,1,True,False,10
16,5f55b2de5c3cb118507479f5,65.14,73.66,"Um Get up to some extent, you know, I'm I'm from Illinois, so I'm, my my whole family are bears fans, so they already played on thursday,",0.6800000000000068,8.519999999999996,0,False,False,30
17,5f469dcf5fcb5d0355771013,74.04,75.27,Okay.,0.38000000000000966,1.2299999999999898,0,False,False,1
18,5f55b2de5c3cb118507479f5,74.54,75.16,you know?,-0.7299999999999898,0.6199999999999903,1,True,True,2
19,5f469dcf5fcb5d0355771013,75.27,75.65,Yeah.,0.10999999999999943,0.38000000000000966,0,False,False,1
20,5f55b2de5c3cb118507479f5,75.54,75.86,Right?,-0.10999999999999943,0.3199999999999932,1,True,True,1
21,5f469dcf5fcb5d0355771013,75.66,77.25,Yeah see where that goes.,-0.20000000000000284,1.5900000000000034,0,False,True,5
22,5f55b2de5c3cb118507479f5,77.64,88.75,"But I I watched some to like there's a the end of the Las Vegas Chiefs game, you know, it's probably, I think it's pretty good right now, but you know, I'm doing this thing, I don't",0.39000000000000057,11.11,0,False,False,42
23,5f469dcf5fcb5d0355771013,88.74,88.94,Yeah,-0.010000000000005116,0.20000000000000284,0,False,True,1
24,5f55b2de5c3cb118507479f5,88.75,89.5,want to do like focus,-0.18999999999999773,0.75,0,False,True,5
25,5f469dcf5fcb5d0355771013,89.34,89.66,you know.,-0.1599999999999966,0.3199999999999932,0,False,True,2
26,5f55b2de5c3cb118507479f5,89.5,91.25,on things in the background or anything.,-0.1599999999999966,1.75,0,False,True,7
27,5f469dcf5fcb5d0355771013,91.34,96.16,Yeah. Yeah. So how long have you been on prolific,0.09000000000000341,4.819999999999993,0,False,False,10
28,5f55b2de5c3cb118507479f5,96.84,97.83,"Um Yeah,",0.6800000000000068,0.9899999999999949,0,False,False,2
29,5f469dcf5fcb5d0355771013,97.56,98.81,grateful.,-0.269999999999996,1.25,0,False,True,1
30,5f55b2de5c3cb118507479f5,97.84,101.96,"probably just like, you know, less than a month honestly, you know.",-0.9699999999999989,4.11999999999999,0,False,True,12
31,5f469dcf5fcb5d0355771013,101.94,111.16,Me. Me too. I'm brand new at it. So this is uh this is very interesting. Um I've made some good money at it,-0.01999999999999602,9.219999999999999,0,False,True,26
32,5f55b2de5c3cb118507479f5,111.74,112.25,Mhm.,0.5799999999999983,0.5100000000000051,0,False,False,1
33,5f469dcf5fcb5d0355771013,111.84,116.25,but but I haven't been doing it very wrong.,-0.4099999999999966,4.409999999999997,0,False,True,10
34,5f55b2de5c3cb118507479f5,117.14,117.35,"Yeah,",0.8900000000000006,0.20999999999999375,0,False,False,1
35,5f469dcf5fcb5d0355771013,117.24,120.45,Sure,-0.10999999999999943,3.210000000000008,0,False,True,1
36,5f55b2de5c3cb118507479f5,117.35,138.56,"I've done this is my second time with this survey, but you know, I made I made I I did it because I have a work from home job, but it's sometimes varies as to how many hours I can get. So I've been using this as sort of a thing to fill in when things are good. It's a bonus when things are bad, it fills in a little bit of, you know, the other job I have,",-3.1000000000000085,21.210000000000008,0,False,True,83
37,5f469dcf5fcb5d0355771013,139.24,162.97,I hope so. All right awesome. Yeah. So I was figuring uh I was figuring we could go back and forth maybe ask each other some questions. Um I have no I have no predefined questions. It's just whatever. But yeah I'm you,0.6800000000000068,23.72999999999999,0,False,False,45
38,5f55b2de5c3cb118507479f5,162.24,163.95,I don't have any beautifying questions,-0.7299999999999898,1.7099999999999795,0,False,True,7
39,5f469dcf5fcb5d0355771013,163.74,163.95,oh,-0.20999999999997954,0.20999999999997954,0,False,True,1
40,5f55b2de5c3cb118507479f5,163.95,164.66,either.,0.0,0.710000000000008,0,False,False,1
41,5f469dcf5fcb5d0355771013,164.94,167.85,you mentioned you were a bears fan,0.28000000000000114,2.9099999999999966,0,False,False,7
42,5f55b2de5c3cb118507479f5,168.24,168.66,Mm.,0.3900000000000148,0.4199999999999875,0,False,False,1
43,5f469dcf5fcb5d0355771013,168.64,171.85,and I'm an Arizona cardinals fan.,-0.020000000000010232,3.210000000000008,0,False,True,7
44,5f55b2de5c3cb118507479f5,172.64,172.96,Mm,0.789999999999992,0.3200000000000216,0,False,False,1
45,5f469dcf5fcb5d0355771013,172.74,193.26,"I lived in phoenix for Like four years and I didn't used to like the NFL actually I had a friend that got me into the NFL it was more of a college football kind of guy, but now it's interesting because the",-0.21999999999999886,20.519999999999982,0,False,True,45
46,5f55b2de5c3cb118507479f5,193.34,193.66,Right.,0.0800000000000125,0.3199999999999932,0,False,False,1
47,5f469dcf5fcb5d0355771013,194.24,194.96,tables,0.5800000000000125,0.7199999999999989,0,False,False,1
48,5f55b2de5c3cb118507479f5,194.44,194.64,Yeah.,-0.5200000000000102,0.19999999999998863,0,False,True,1
49,5f469dcf5fcb5d0355771013,195.34,200.95,"have kind of turned, I don't watch college football as much and I really like the NFL so",0.700000000000017,5.609999999999985,0,False,False,19
50,5f55b2de5c3cb118507479f5,201.44,202.1,Yeah. I used,0.4900000000000091,0.6599999999999966,0,False,False,3
51,5f469dcf5fcb5d0355771013,201.84,202.15,well,-0.2599999999999909,0.3100000000000023,0,False,True,1
52,5f55b2de5c3cb118507479f5,202.1,202.18,to,-0.05000000000001137,0.0800000000000125,0,False,True,1
53,5f469dcf5fcb5d0355771013,202.15,202.51,Mr,-0.030000000000001137,0.3599999999999852,0,False,True,1
54,5f55b2de5c3cb118507479f5,202.18,202.74,"be,",-0.3299999999999841,0.5600000000000023,0,False,True,1
55,5f469dcf5fcb5d0355771013,202.51,203.06,Hogan,-0.2300000000000182,0.5500000000000114,0,False,True,1
56,5f55b2de5c3cb118507479f5,202.75,229.36,"I I still am sort of a college fan too, but it's more like this season is just so weird that I might just like chalk it up is like a loss because you know what, the big 10 are playing until next month and the only playing conference and one conference is only playing six games. And it's like, it doesn't really seem to be like, what? I don't really consider that a true college season basically.",-0.3100000000000023,26.610000000000014,1,False,True,82
57,5f469dcf5fcb5d0355771013,228.84,237.77,a true season. Exactly. So it's like you should either play all the way or not,-0.5200000000000102,8.930000000000007,0,False,True,17
58,5f55b2de5c3cb118507479f5,237.54,237.86,"Oh,",-0.2300000000000182,0.3200000000000216,0,False,True,1
59,5f469dcf5fcb5d0355771013,237.77,247.05,"playing. I'm a I'm a baseball fan too, and they had a shortened season in baseball and it just didn't feel the same way.",-0.09000000000000341,9.280000000000001,0,False,True,27
60,5f55b2de5c3cb118507479f5,247.44,248.53,"it didn't really,",0.38999999999998636,1.0900000000000034,0,False,False,4
61,5f469dcf5fcb5d0355771013,248.41,249.1,No.,-0.12000000000000455,0.6899999999999977,0,False,True,1
62,5f55b2de5c3cb118507479f5,248.53,250.05,but my um I,-0.5699999999999932,1.5200000000000102,0,False,True,4
63,5f469dcf5fcb5d0355771013,249.84,250.04,Yeah.,-0.21000000000000796,0.19999999999998863,0,False,True,1
64,5f55b2de5c3cb118507479f5,250.06,272.46,"probably I'm still gonna watch some of like the uh the baseball, I don't know why it doesn't work for me for college, but it runs for baseball when they're both kind of like weird seasons or anything, you know? But I'm going to watch some of the the the championship series, you know? Not unfortunately. Uh my well my family's white sox, they got they lost the Oakland.",0.020000000000010232,22.399999999999977,2,False,False,76
65,5f469dcf5fcb5d0355771013,272.84,300.76,"Yeah. Yeah. Well my Cardinals were beaten by the Padres, so we were we were in the one game we were in the wild card series and our bullpen just blew the Game two, we were up by four runs and then we lost game two. Um So our bulb in really blew it for us",0.37999999999999545,27.920000000000016,0,False,False,56
66,5f55b2de5c3cb118507479f5,301.24,301.82,"Yeah,",0.4800000000000182,0.5799999999999841,0,False,False,1
67,5f469dcf5fcb5d0355771013,301.34,302.75,"but,",-0.4800000000000182,1.410000000000025,0,False,True,1
68,5f55b2de5c3cb118507479f5,301.82,303.34,"I think, I don't know what",-0.9300000000000068,1.5199999999999818,0,False,True,7
69,5f469dcf5fcb5d0355771013,303.14,303.35,"well,",-0.19999999999998863,0.21000000000003638,0,False,True,1
70,5f55b2de5c3cb118507479f5,303.34,309.05,"happened with the white sox, I think it's that the uh I don't know, my uh we had like",-0.010000000000047748,5.710000000000036,0,False,True,21
71,5f469dcf5fcb5d0355771013,309.04,309.25,oh,-0.009999999999990905,0.20999999999997954,0,False,True,1
72,5f55b2de5c3cb118507479f5,309.05,322.19,"a bullpen game for like game three, which didn't work like we were in all of the games and we won one, but it was I say we because I'm kind of a white Sox fan a little bit, you know, because my dad is, you know,",-0.19999999999998863,13.139999999999986,0,False,True,49
73,5f469dcf5fcb5d0355771013,322.04,322.76,okay.,-0.14999999999997726,0.7199999999999704,0,False,True,1
74,5f55b2de5c3cb118507479f5,322.19,330.08,"and he he sort of walked a little bit off on me, you know, But I'm not like I wouldn't call myself an enthusiastic like, you know, fan",-0.5699999999999932,7.889999999999986,0,False,True,30
75,5f469dcf5fcb5d0355771013,329.94,330.17,A,-0.13999999999998636,0.2300000000000182,0,False,True,1
76,5f55b2de5c3cb118507479f5,330.08,330.36,or any,-0.09000000000003183,0.28000000000002956,0,False,True,2
77,5f469dcf5fcb5d0355771013,330.18,332.24,diehard fan or anything? Huh.,-0.18000000000000682,2.0600000000000023,1,False,True,5
78,5f55b2de5c3cb118507479f5,332.24,336.05,"no, my dad and his aunt, you know?",0.0,3.8100000000000023,1,True,False,8
79,5f469dcf5fcb5d0355771013,337.24,342.26,"Cool, cool. So what are the hobbies do you have?",1.1899999999999977,5.019999999999982,1,True,False,10
80,5f55b2de5c3cb118507479f5,343.04,343.61,Um,0.7800000000000296,0.5699999999999932,0,False,False,1
81,5f469dcf5fcb5d0355771013,343.44,343.73,Well,-0.17000000000001592,0.29000000000002046,0,False,True,1
82,5f55b2de5c3cb118507479f5,343.61,345.45,I like geo casting a,-0.12000000000000455,1.839999999999975,0,False,True,5
83,5f469dcf5fcb5d0355771013,345.44,346.27,you,-0.009999999999990905,0.8299999999999841,0,False,True,1
84,5f55b2de5c3cb118507479f5,345.45,345.85,lot.,-0.8199999999999932,0.4000000000000341,0,False,True,1
85,5f469dcf5fcb5d0355771013,346.27,348.15,do I've been once. I've,0.4199999999999591,1.8799999999999955,0,False,False,7
86,5f55b2de5c3cb118507479f5,348.04,348.46,Mm,-0.1099999999999568,0.4199999999999591,0,False,True,1
87,5f469dcf5fcb5d0355771013,348.15,349.76,been geo cashing once.,-0.3100000000000023,1.6100000000000136,0,False,True,4
88,5f55b2de5c3cb118507479f5,350.14,350.8,"Yeah, I",0.37999999999999545,0.660000000000025,0,False,False,2
89,5f469dcf5fcb5d0355771013,350.54,350.86,Well,-0.2599999999999909,0.3199999999999932,0,False,True,1
90,5f55b2de5c3cb118507479f5,350.8,361.96,"I enjoyed a lot. It's a good way to get out of the house, especially when the weather is, you know, putting Eastern or anything and it gives you it makes you feel accomplished, you know when you're doing stuff which I like sometimes.",-0.060000000000002274,11.159999999999968,0,False,True,46
91,5f469dcf5fcb5d0355771013,362.84,367.76,"yeah, so yeah, I went geo cashing on a blind date once,",0.8799999999999955,4.920000000000016,0,False,False,12
92,5f55b2de5c3cb118507479f5,367.94,368.26,Yeah.,0.18000000000000682,0.3199999999999932,0,False,False,1
93,5f469dcf5fcb5d0355771013,368.54,384.14,"but that was about the only time I ever did it and that was back when I was in college and um life is totally different now and there's no way in heck I would go on a blind date. But um yeah,",0.28000000000002956,15.599999999999966,0,False,False,44
94,5f55b2de5c3cb118507479f5,383.64,383.96,Mm,-0.5,0.3199999999999932,0,False,True,1
95,5f469dcf5fcb5d0355771013,384.15,384.65,so,0.18999999999999773,0.5,0,False,False,1
96,5f55b2de5c3cb118507479f5,385.74,386.06,mm,1.0900000000000318,0.3199999999999932,0,False,False,1
97,5f469dcf5fcb5d0355771013,386.64,388.01,but I did,0.5799999999999841,1.3700000000000045,0,False,False,3
98,5f55b2de5c3cb118507479f5,387.14,387.35,"Oh,",-0.8700000000000045,0.21000000000003638,0,False,True,1
99,5f469dcf5fcb5d0355771013,388.01,402.02,"I did some geo cashing so that's my only experience with that. I I like to um watch sports as I said, but I also love airplanes. So",0.6599999999999682,14.009999999999991,0,False,False,29
100,5f55b2de5c3cb118507479f5,401.54,401.96,mm,-0.47999999999996135,0.4199999999999591,0,False,True,1
101,5f469dcf5fcb5d0355771013,402.02,412.06,"I I fly, there's a new Microsoft flight simulator that's out um Microsoft flight simulator 2020",0.060000000000002274,10.04000000000002,0,False,False,18
102,5f55b2de5c3cb118507479f5,412.34,412.85,"Well,",0.2799999999999727,0.5100000000000477,0,False,False,1
103,5f469dcf5fcb5d0355771013,412.54,419.66,and it came out in august and it's a very realistic way of flying a plane.,-0.3100000000000023,7.1200000000000045,0,False,True,17
104,5f55b2de5c3cb118507479f5,421.54,423.62,mm I used to uh I used,1.8799999999999955,2.079999999999984,0,False,False,7
105,5f469dcf5fcb5d0355771013,423.34,423.76,It's gonna,-0.28000000000002956,0.4200000000000159,0,False,True,4
106,5f55b2de5c3cb118507479f5,423.62,423.76,to,-0.13999999999998636,0.13999999999998636,0,False,True,1
107,5f469dcf5fcb5d0355771013,423.76,423.82,be,0.0,0.060000000000002274,0,False,False,1
108,5f55b2de5c3cb118507479f5,423.77,424.37,um,-0.05000000000001137,0.6000000000000227,0,False,True,1
109,5f469dcf5fcb5d0355771013,423.82,424.63,"a computer,",-0.5500000000000114,0.8100000000000023,0,False,True,2
110,5f55b2de5c3cb118507479f5,424.38,424.72,what's,-0.25,0.34000000000003183,0,False,True,2
111,5f469dcf5fcb5d0355771013,424.63,425.05,so.,-0.09000000000003183,0.4200000000000159,0,False,True,1
112,5f55b2de5c3cb118507479f5,424.72,444.07,"what I'm looking for, I used to uh I think I tried that when it was what, 2000 and seven away, way back with Microsoft flight simulator back when I was a lot younger and I just crashed I crashed at everything, you know, I was I was I was never mhm I've never been good at like simulator things you know I just die in all of them.",-0.3299999999999841,19.349999999999966,0,False,True,71
113,5f469dcf5fcb5d0355771013,444.74,445.85,"Okay, cool,",0.6700000000000159,1.1100000000000136,0,False,False,2
114,5f55b2de5c3cb118507479f5,446.24,446.56,Yeah,0.38999999999998636,0.3199999999999932,0,False,False,1
115,5f469dcf5fcb5d0355771013,446.44,448.39,cool. So so you like,-0.12000000000000455,1.9499999999999886,0,False,True,5
116,5f55b2de5c3cb118507479f5,448.24,448.42,it,-0.14999999999997726,0.18000000000000682,0,False,True,1
117,5f469dcf5fcb5d0355771013,448.39,448.72,jim,-0.03000000000002956,0.3300000000000409,0,False,True,1
118,5f55b2de5c3cb118507479f5,448.42,449.09,"was fun,",-0.30000000000001137,0.6699999999999591,0,False,True,2
119,5f469dcf5fcb5d0355771013,448.72,449.26,can.,-0.3699999999999477,0.5399999999999636,0,False,True,1
120,5f55b2de5c3cb118507479f5,449.1,454.36,it was fun you know but it was I was never I was never good at it.,-0.15999999999996817,5.259999999999991,0,False,True,17
121,5f469dcf5fcb5d0355771013,454.84,461.56,"All right, well that's okay, let's agree for sure. Um Do you have any brothers and sisters?",0.47999999999996135,6.720000000000027,1,True,False,19
122,5f55b2de5c3cb118507479f5,461.94,463.26,Mhm. I do one,0.37999999999999545,1.3199999999999932,0,False,False,4
123,5f469dcf5fcb5d0355771013,464.74,465.85,Brother and sister,1.4800000000000182,1.1100000000000136,0,False,False,3
