turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d1ba5653788ac0019ced548,1.54,8.26,Mhm We'll give you,,6.72,0,False,False,5
1,5f5a3a4c829f790a5c6d1ff2,11.14,11.27,Hi,2.880000000000001,0.129999999999999,0,False,False,1
2,5d1ba5653788ac0019ced548,11.24,11.59,hello.,-0.02999999999999936,0.34999999999999964,0,False,True,1
3,5f5a3a4c829f790a5c6d1ff2,11.27,11.65,there.,-0.3200000000000003,0.3800000000000008,0,False,True,1
4,5d1ba5653788ac0019ced548,13.04,16.29,"Yeah, can",1.3899999999999988,3.25,0,False,False,2
5,5f5a3a4c829f790a5c6d1ff2,16.04,16.66,Cool.,-0.25,0.620000000000001,0,False,True,1
6,5d1ba5653788ac0019ced548,16.29,16.76,you hear me?,-0.370000000000001,0.4700000000000024,1,True,True,3
7,5f5a3a4c829f790a5c6d1ff2,17.24,17.86,"Yeah, I can hear you.",0.4799999999999969,0.620000000000001,0,False,False,5
8,5d1ba5653788ac0019ced548,18.04,25.36,Wonderful. I was trying to figure out this is my first time doing one of these. It's like I don't know if she could see me.,0.17999999999999972,7.32,0,False,False,28
9,5f5a3a4c829f790a5c6d1ff2,25.14,29.39,You know? I had no idea. Kind of. I didn't know what the setup would be or anything like when I,-0.21999999999999886,4.25,1,False,True,22
10,5d1ba5653788ac0019ced548,29.24,29.56,Mhm.,-0.15000000000000213,0.3200000000000003,0,False,True,1
11,5f5a3a4c829f790a5c6d1ff2,29.4,30.59,"turned this on, you",-0.16000000000000014,1.1900000000000013,0,False,True,4
12,5d1ba5653788ac0019ced548,30.54,32.23,So,-0.05000000000000071,1.6899999999999977,0,False,True,1
13,5f5a3a4c829f790a5c6d1ff2,30.59,31.95,know?,-1.639999999999997,1.3599999999999994,1,True,True,1
14,5d1ba5653788ac0019ced548,32.23,36.29,"it didn't tell us what we had to talk about for 25 minutes, as long as it was 25",0.2799999999999976,4.060000000000002,0,False,False,20
15,5f5a3a4c829f790a5c6d1ff2,36.14,36.85,Yeah.,-0.14999999999999858,0.7100000000000009,0,False,True,1
16,5d1ba5653788ac0019ced548,36.29,46.02,"minutes. All right, very cool. Well here I could tell you about my day, I had to take my five year old to get his yearly checkup done. Um",-0.5600000000000023,9.730000000000004,0,False,True,29
17,5f5a3a4c829f790a5c6d1ff2,45.64,46.06,Okay.,-0.38000000000000256,0.4200000000000017,0,False,True,1
