turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e8b50db95c6e00171fc6151,2.05,138.96,"uh huh You get the money anyway dont well not all of it but some of it how you much first. I'm still proud of him. You hear your name? Never Maybe not consent you every day. Okay. Okay. I'm can you credit roll on you. Damn it. Shut up. Just be happy. Mhm Use a different town. Okay. The only one before I get on the ship for 45 minutes. You know what listen I mean my putting groceries outside for you. How much are you with them? I retrained but she said you something then Hi. I'm you know, I'm gonna get smoked in before you know at least roll because I had time to they got an ashtray and a good plan grab it again. That's how it seemed boring and lasting Delgado. But at the same time I made 45. Yeah, I gotta be only for like 30 minutes. Yeah. Wasn't there on my amazon. They really see shit. I wish you were them. She passed away completely. My mom used to go to use your own pressure. Yeah. Uh Uh huh. I made it. I know it was fine. I know what you meant was fine. Yeah. While Michael um and I made a single bullet. It does not make double eggs by cooking too long. And eggs just weren't a show and come out and do it. You couldn't get him perfect factory in half. You know? Ladies on lashes half.",,136.91,3,False,False,258
1,5c6c90bcf4dc2c0001e8d6d1,138.84,139.35,going?,-0.12000000000000455,0.5099999999999909,1,True,True,1
2,5e8b50db95c6e00171fc6151,140.07,143.52,"Oh, do something. Hi.",0.7199999999999989,3.450000000000017,0,False,False,4
3,5c6c90bcf4dc2c0001e8d6d1,142.54,142.96,"Hi,",-0.9800000000000182,0.4200000000000159,0,False,True,1
4,5e8b50db95c6e00171fc6151,143.53,144.98,Hello.,0.5699999999999932,1.4499999999999886,0,False,False,1
5,5c6c90bcf4dc2c0001e8d6d1,144.34,144.96,how are you?,-0.6399999999999864,0.6200000000000045,1,True,True,3
6,5e8b50db95c6e00171fc6151,144.99,146.36,I'm,0.030000000000001137,1.3700000000000045,0,False,False,2
7,5c6c90bcf4dc2c0001e8d6d1,145.44,146.06,"Hello,",-0.9200000000000159,0.6200000000000045,0,False,True,1
8,5e8b50db95c6e00171fc6151,146.36,148.57,all right. What's,0.30000000000001137,2.2099999999999795,0,False,False,4
9,5c6c90bcf4dc2c0001e8d6d1,148.24,148.69,I can just,-0.3299999999999841,0.44999999999998863,0,False,True,3
10,5e8b50db95c6e00171fc6151,148.57,148.95,going,-0.12000000000000455,0.37999999999999545,0,False,True,1
11,5c6c90bcf4dc2c0001e8d6d1,148.69,148.95,see your,-0.2599999999999909,0.2599999999999909,0,False,True,2
12,5e8b50db95c6e00171fc6151,148.95,149.67,on?,0.0,0.7199999999999989,1,True,False,1
13,5c6c90bcf4dc2c0001e8d6d1,148.95,149.35,chin.,-0.7199999999999989,0.4000000000000057,0,False,True,1
14,5e8b50db95c6e00171fc6151,150.74,152.18,I'm trying to get it. You can,1.3900000000000148,1.4399999999999977,0,False,False,8
15,5c6c90bcf4dc2c0001e8d6d1,152.14,152.3,There,-0.040000000000020464,0.160000000000025,0,False,True,1
16,5e8b50db95c6e00171fc6151,152.18,152.66,see.,-0.12000000000000455,0.47999999999998977,0,False,True,1
17,5c6c90bcf4dc2c0001e8d6d1,152.3,152.86,you are. Hi.,-0.3599999999999852,0.5600000000000023,0,False,True,3
18,5e8b50db95c6e00171fc6151,153.34,155.45,"All right. So,",0.47999999999998977,2.109999999999985,0,False,False,3
19,5c6c90bcf4dc2c0001e8d6d1,154.34,154.55,Mhm,-1.1099999999999852,0.21000000000000796,0,False,True,1
20,5e8b50db95c6e00171fc6151,155.45,156.85,what's your name? Mhm.,0.8999999999999773,1.4000000000000057,1,False,False,5
21,5c6c90bcf4dc2c0001e8d6d1,156.74,158.36,"My name is Mikaela, what's your name?",-0.10999999999998522,1.6200000000000045,1,True,True,8
22,5e8b50db95c6e00171fc6151,158.74,159.76,Lorenzo.,0.37999999999999545,1.0199999999999818,0,False,False,1
23,5c6c90bcf4dc2c0001e8d6d1,160.24,161.65,"Lorenzo, Nice to meet you.",0.4800000000000182,1.4099999999999966,0,False,False,5
24,5e8b50db95c6e00171fc6151,161.74,164.56,Yeah. Nice to meet you too.,0.09000000000000341,2.819999999999993,0,False,False,6
25,5c6c90bcf4dc2c0001e8d6d1,163.24,166.46,Okay. I like your pretty plant and wind chime. Those are nice.,-1.3199999999999932,3.219999999999999,0,False,True,12
26,5e8b50db95c6e00171fc6151,166.84,168.62,My work.,0.37999999999999545,1.7800000000000011,0,False,False,2
27,5c6c90bcf4dc2c0001e8d6d1,168.34,169.86,Your plans and your one time,-0.28000000000000114,1.5200000000000102,0,False,True,6
28,5e8b50db95c6e00171fc6151,170.14,172.55,"My mama said, Oh, oh, that's that's",0.2799999999999727,2.410000000000025,0,False,False,9
29,5c6c90bcf4dc2c0001e8d6d1,172.54,172.65,uh,-0.010000000000019327,0.11000000000001364,0,False,True,1
30,5e8b50db95c6e00171fc6151,172.55,173.03,my,-0.09999999999999432,0.47999999999998977,0,False,True,1
31,5c6c90bcf4dc2c0001e8d6d1,172.65,172.86,huh,-0.37999999999999545,0.21000000000000796,0,False,True,1
32,5e8b50db95c6e00171fc6151,173.04,175.49,is it prevalent patient? That's my step mom's,0.1799999999999784,2.450000000000017,1,False,False,10
33,5c6c90bcf4dc2c0001e8d6d1,175.44,175.88,Oh,-0.05000000000001137,0.4399999999999977,0,False,True,1
34,5e8b50db95c6e00171fc6151,175.5,175.86,uh,-0.37999999999999545,0.36000000000001364,0,False,True,1
35,5c6c90bcf4dc2c0001e8d6d1,175.89,177.56,"patients, I like in patients.",0.029999999999972715,1.670000000000016,0,False,False,5
36,5e8b50db95c6e00171fc6151,178.14,184.46,"Yeah, but I'm just on this survey trying to get me some money, man.",0.5799999999999841,6.320000000000022,0,False,False,15
37,5c6c90bcf4dc2c0001e8d6d1,183.94,185.18,I,-0.5200000000000102,1.240000000000009,0,False,True,1
38,5e8b50db95c6e00171fc6151,185.04,185.36,Mhm.,-0.14000000000001478,0.3200000000000216,0,False,True,1
39,5c6c90bcf4dc2c0001e8d6d1,185.19,186.98,"feel you dude, I",-0.17000000000001592,1.789999999999992,0,False,True,4
40,5e8b50db95c6e00171fc6151,186.64,187.08,"No,",-0.3400000000000034,0.44000000000002615,0,False,True,1
41,5c6c90bcf4dc2c0001e8d6d1,186.99,187.18,feel,-0.09000000000000341,0.18999999999999773,0,False,True,1
42,5e8b50db95c6e00171fc6151,187.08,187.48,thank,-0.09999999999999432,0.39999999999997726,0,False,True,1
43,5c6c90bcf4dc2c0001e8d6d1,187.18,187.66,you.,-0.29999999999998295,0.47999999999998977,0,False,True,1
44,5e8b50db95c6e00171fc6151,187.48,197.16,"look, you know, the coronavirus got me all out of work you know I lost my work behind it you know what I'm saying?",-0.18000000000000682,9.680000000000007,1,True,True,25
45,5c6c90bcf4dc2c0001e8d6d1,194.44,198.16,"I'm so sorry. I know it's, it's just, it's really,",-2.719999999999999,3.719999999999999,0,False,True,14
46,5e8b50db95c6e00171fc6151,197.84,202.1,Yes,-0.3199999999999932,4.259999999999991,0,False,True,1
47,5c6c90bcf4dc2c0001e8d6d1,198.64,201.16,"I don't even know the word for what, what's going on in the world right now.",-3.460000000000008,2.5200000000000102,0,False,True,18
48,5e8b50db95c6e00171fc6151,202.11,204.4,it's real crazy. It was,0.950000000000017,2.289999999999992,0,False,False,6
49,5c6c90bcf4dc2c0001e8d6d1,203.84,205.96,"What did you, what work were you doing?",-0.5600000000000023,2.1200000000000045,1,True,True,8
50,5e8b50db95c6e00171fc6151,206.34,211.16,oh I was working at a manager at stake in shape,0.37999999999999545,4.819999999999993,0,False,False,11
51,5c6c90bcf4dc2c0001e8d6d1,211.34,211.96,Uh huh,0.18000000000000682,0.6200000000000045,0,False,False,2
52,5e8b50db95c6e00171fc6151,211.84,213.96,you know the restaurant steak and shake.,-0.12000000000000455,2.1200000000000045,0,False,True,7
53,5c6c90bcf4dc2c0001e8d6d1,213.74,214.46,"and there, I like",-0.21999999999999886,0.7199999999999989,0,False,True,4
54,5e8b50db95c6e00171fc6151,214.44,219.86,Yeah.,-0.020000000000010232,5.420000000000016,0,False,True,1
55,5c6c90bcf4dc2c0001e8d6d1,214.46,220.47,"it got the best fries, the string string, string fries, some shiny scott, so good, so",-5.400000000000006,6.009999999999991,0,False,True,16
56,5e8b50db95c6e00171fc6151,220.24,221.16,Yeah.,-0.22999999999998977,0.9199999999999875,0,False,True,1
57,5c6c90bcf4dc2c0001e8d6d1,220.47,222.05,good. I got craving for that,-0.6899999999999977,1.5800000000000125,0,False,True,6
58,5e8b50db95c6e00171fc6151,221.64,222.75,Yeah,-0.410000000000025,1.1100000000000136,0,False,True,1
59,5c6c90bcf4dc2c0001e8d6d1,222.54,223.0,Are,-0.21000000000000796,0.46000000000000796,0,False,True,1
60,5e8b50db95c6e00171fc6151,222.75,223.36,I love,-0.25,0.6100000000000136,0,False,True,2
61,5c6c90bcf4dc2c0001e8d6d1,223.01,227.55,taking like 25 minutes away and I'll drive over there just for some fries and some cheese dip uh huh,-0.35000000000002274,4.5400000000000205,0,False,True,21
62,5e8b50db95c6e00171fc6151,227.24,232.55,yeah I love thinking. Shake shakes. The shakes are,-0.3100000000000023,5.310000000000002,0,False,True,9
63,5c6c90bcf4dc2c0001e8d6d1,231.94,232.75,um,-0.6100000000000136,0.8100000000000023,0,False,True,1
64,5e8b50db95c6e00171fc6151,232.7,234.65,kind. Yeah.,-0.05000000000001137,1.950000000000017,0,False,True,2
65,5c6c90bcf4dc2c0001e8d6d1,233.44,234.88,they are they are,-1.210000000000008,1.4399999999999977,0,False,True,4
66,5e8b50db95c6e00171fc6151,234.66,236.14,Yeah,-0.21999999999999886,1.4799999999999898,0,False,True,1
67,5c6c90bcf4dc2c0001e8d6d1,234.89,235.86,where do you live?,-1.25,0.9700000000000273,1,True,True,4
