turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,558b7b06fdf99b21155f2c1b,8.74,10.15,Hello?,,1.4100000000000001,1,True,False,1
1,5f4d53f96aa639a0d605052e,13.34,13.75,Uh huh.,3.1899999999999995,0.41000000000000014,0,False,False,2
2,558b7b06fdf99b21155f2c1b,14.54,16.06,"Oh hi, can you hear me?",0.7899999999999991,1.5199999999999996,1,True,False,6
3,5f4d53f96aa639a0d605052e,16.64,18.46,"Yes. Yeah,",0.5800000000000018,1.8200000000000003,0,False,False,2
4,558b7b06fdf99b21155f2c1b,18.14,20.85,Are awesome. My name's Grayson.,-0.3200000000000003,2.710000000000001,0,False,True,6
5,5f4d53f96aa639a0d605052e,20.84,22.36,"I'm Emma, nice to meet you.",-0.010000000000001563,1.5199999999999996,0,False,True,7
6,558b7b06fdf99b21155f2c1b,22.74,24.75,I am a nice to meet you too.,0.379999999999999,2.0100000000000016,0,False,False,8
7,5f4d53f96aa639a0d605052e,24.54,26.14,Right. Yeah.,-0.21000000000000085,1.6000000000000014,0,False,True,2
8,558b7b06fdf99b21155f2c1b,26.54,26.77,All,0.3999999999999986,0.23000000000000043,0,False,False,1
9,5f4d53f96aa639a0d605052e,26.64,26.96,Oh,-0.129999999999999,0.3200000000000003,0,False,True,1
10,558b7b06fdf99b21155f2c1b,26.77,28.18,"right. Is this your first,",-0.19000000000000128,1.4100000000000001,0,False,True,5
11,5f4d53f96aa639a0d605052e,27.84,28.64,yeah.,-0.33999999999999986,0.8000000000000007,0,False,True,1
12,558b7b06fdf99b21155f2c1b,28.19,31.25,your first time doing this or have you done this a couple of times?,-0.4499999999999993,3.0599999999999987,1,True,True,14
13,5f4d53f96aa639a0d605052e,31.24,33.46,"Yeah, I've done this a couple rounds. What about you",-0.010000000000001563,2.2200000000000024,0,False,True,11
14,558b7b06fdf99b21155f2c1b,34.14,37.01,"Yeah, this is my I guess my sixth that",0.6799999999999997,2.8699999999999974,0,False,False,9
15,5f4d53f96aa639a0d605052e,36.54,36.96,that?,-0.46999999999999886,0.4200000000000017,1,True,True,1
16,558b7b06fdf99b21155f2c1b,37.02,39.66,actually showed up. I think there was two others that didn't,0.060000000000002274,2.6399999999999935,0,False,False,12
17,5f4d53f96aa639a0d605052e,40.14,40.56,Mhm.,0.480000000000004,0.4200000000000017,0,False,False,1
18,558b7b06fdf99b21155f2c1b,40.24,47.95,"didn't show up. Yeah. So how have these, how have these chats been going for you?",-0.3200000000000003,7.710000000000001,1,True,True,17
19,5f4d53f96aa639a0d605052e,48.34,51.66,"Pretty good. Yeah. Pretty variable. Oh, how about you?",0.39000000000000057,3.319999999999993,1,True,False,9
20,558b7b06fdf99b21155f2c1b,52.04,59.66,"Yeah, yeah. You get people from all different parts of the country. All different walks of life. Yeah, it's interesting.",0.38000000000000256,7.619999999999997,0,False,False,21
21,5f4d53f96aa639a0d605052e,59.84,64.25,Yeah. What part of the country from?,0.18000000000000682,4.409999999999997,1,True,False,7
22,558b7b06fdf99b21155f2c1b,64.54,65.95,I'm from California.,0.29000000000000625,1.4099999999999966,0,False,False,4
23,5f4d53f96aa639a0d605052e,66.04,67.92,Oh nice. Um,0.09000000000000341,1.8799999999999955,0,False,False,3
24,558b7b06fdf99b21155f2c1b,67.54,67.86,Right.,-0.37999999999999545,0.3199999999999932,0,False,True,1
25,5f4d53f96aa639a0d605052e,67.93,74.46,"I'm from Massachusetts, but I'm going to school in California one where not online.",0.07000000000000739,6.529999999999987,0,False,False,16
26,558b7b06fdf99b21155f2c1b,73.84,77.96,"No. Okay. What school,",-0.6199999999999903,4.11999999999999,0,False,True,4
27,5f4d53f96aa639a0d605052e,77.24,78.35,U. S. C.,-0.7199999999999989,1.1099999999999994,0,False,True,3
28,558b7b06fdf99b21155f2c1b,79.14,80.76,"awesome, awesome.",0.7900000000000063,1.6200000000000045,0,False,False,2
29,5f4d53f96aa639a0d605052e,80.14,80.56,Oh,-0.6200000000000045,0.4200000000000017,0,False,True,1
30,558b7b06fdf99b21155f2c1b,82.14,83.1,"Okay, what",1.5799999999999983,0.9599999999999937,0,False,False,2
31,5f4d53f96aa639a0d605052e,82.94,83.15,"what,",-0.1599999999999966,0.21000000000000796,0,False,True,1
32,558b7b06fdf99b21155f2c1b,83.1,84.56,you're what year are you?,-0.05000000000001137,1.460000000000008,1,True,True,6
33,5f4d53f96aa639a0d605052e,84.84,85.76,"I'm a junior,",0.28000000000000114,0.9200000000000017,0,False,False,4
34,558b7b06fdf99b21155f2c1b,86.14,88.57,"Okay, so at least you got some college",0.37999999999999545,2.4299999999999926,0,False,False,8
35,5f4d53f96aa639a0d605052e,88.54,88.73,mm,-0.029999999999986926,0.18999999999999773,0,False,True,1
36,558b7b06fdf99b21155f2c1b,88.57,89.41,before,-0.1600000000000108,0.8400000000000034,0,False,True,1
37,5f4d53f96aa639a0d605052e,88.73,88.96,hmm.,-0.6799999999999926,0.22999999999998977,0,False,True,1
38,558b7b06fdf99b21155f2c1b,89.42,90.85,it started online?,0.46000000000000796,1.4299999999999926,1,True,False,3
39,5f4d53f96aa639a0d605052e,90.94,91.45,Yeah.,0.09000000000000341,0.5100000000000051,0,False,False,1
40,558b7b06fdf99b21155f2c1b,91.24,91.44,Yeah.,-0.21000000000000796,0.20000000000000284,0,False,True,1
41,5f4d53f96aa639a0d605052e,91.46,91.86,Yeah.,0.01999999999999602,0.4000000000000057,0,False,False,1
42,558b7b06fdf99b21155f2c1b,93.64,97.28,"Okay, awesome. How do you like it out here? Um It must be",1.7800000000000011,3.6400000000000006,1,False,False,13
43,5f4d53f96aa639a0d605052e,97.24,97.45,Right.,-0.04000000000000625,0.21000000000000796,0,False,True,1
44,558b7b06fdf99b21155f2c1b,97.28,98.92,a little different than East,-0.1700000000000017,1.6400000000000006,0,False,True,5
45,5f4d53f96aa639a0d605052e,98.84,99.05,Mhm.,-0.0799999999999983,0.20999999999999375,0,False,True,1
46,558b7b06fdf99b21155f2c1b,98.92,99.46,coast,-0.12999999999999545,0.539999999999992,0,False,True,1
47,5f4d53f96aa639a0d605052e,99.84,103.26,"It's, the weather is great. Um I know",0.38000000000000966,3.4200000000000017,0,False,False,9
