turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f2dc72a2839110f8f256ec9,33.84,58.75,Hi. Mm hmm.,,24.909999999999997,0,False,False,3
1,5d2c54fadc093b001983dc57,62.54,64.46,I can't hear you. Can you hear me?,3.789999999999999,1.9199999999999946,1,True,False,9
2,5f2dc72a2839110f8f256ec9,64.94,65.26,Yeah.,0.480000000000004,0.3200000000000074,0,False,False,1
3,5d2c54fadc093b001983dc57,65.84,66.45,Okay? I can,0.5799999999999983,0.6099999999999994,1,False,False,3
4,5f2dc72a2839110f8f256ec9,66.44,66.65,Mm.,-0.010000000000005116,0.21000000000000796,0,False,True,1
5,5d2c54fadc093b001983dc57,66.45,67.06,hear you now.,-0.20000000000000284,0.6099999999999994,0,False,True,3
6,5f2dc72a2839110f8f256ec9,67.44,68.42,You know? Okay. Cool.,0.37999999999999545,0.980000000000004,1,False,False,4
7,5d2c54fadc093b001983dc57,68.14,68.69,All,-0.28000000000000114,0.5499999999999972,0,False,True,1
8,5f2dc72a2839110f8f256ec9,68.43,69.06,"Hi,",-0.2599999999999909,0.6299999999999955,0,False,True,1
9,5d2c54fadc093b001983dc57,68.69,70.56,right. Hello?,-0.37000000000000455,1.8700000000000045,1,True,True,2
10,5f2dc72a2839110f8f256ec9,70.74,71.85,how are you,0.1799999999999926,1.1099999999999994,0,False,False,3
11,5d2c54fadc093b001983dc57,71.54,72.56,I'm good.,-0.30999999999998806,1.019999999999996,0,False,True,3
12,5f2dc72a2839110f8f256ec9,73.54,74.26,scott?,0.980000000000004,0.7199999999999989,1,True,False,1
13,5d2c54fadc093b001983dc57,73.84,76.55,Okay. I'm Shelly,-0.4200000000000017,2.7099999999999937,0,False,True,4
14,5f2dc72a2839110f8f256ec9,75.34,78.75,So I'm Angela. Sorry.,-1.2099999999999937,3.4099999999999966,0,False,True,5
15,5d2c54fadc093b001983dc57,78.04,78.55,mhm.,-0.7099999999999937,0.5099999999999909,0,False,True,1
16,5f2dc72a2839110f8f256ec9,79.34,82.86,Mhm. Have you done these before with the video chats?,0.7900000000000063,3.519999999999996,1,True,False,10
17,5d2c54fadc093b001983dc57,82.74,87.41,"Um I've tried but my person never showed up, so this is like",-0.12000000000000455,4.670000000000002,0,False,True,14
18,5f2dc72a2839110f8f256ec9,87.24,87.86,Okay.,-0.1700000000000017,0.6200000000000045,0,False,True,1
19,5d2c54fadc093b001983dc57,87.41,89.75,my third attempt. Mm.,-0.45000000000000284,2.3400000000000034,0,False,True,4
20,5f2dc72a2839110f8f256ec9,89.44,90.44,Okay. Let's,-0.3100000000000023,1.0,0,False,True,3
21,5d2c54fadc093b001983dc57,90.14,91.46,So,-0.29999999999999716,1.3199999999999932,0,False,True,1
22,5f2dc72a2839110f8f256ec9,90.44,92.6,go. Yeah.,-1.019999999999996,2.1599999999999966,0,False,True,2
23,5d2c54fadc093b001983dc57,92.34,92.66,"yeah,",-0.2599999999999909,0.3199999999999932,0,False,True,1
24,5f2dc72a2839110f8f256ec9,92.61,95.8,Where are you located? Like what state? You know? I'm telling me like exactly,-0.04999999999999716,3.1899999999999977,3,False,True,15
25,5d2c54fadc093b001983dc57,95.54,95.8,I'm,-0.2599999999999909,0.2599999999999909,0,False,True,2
26,5f2dc72a2839110f8f256ec9,95.8,96.16,where?,0.0,0.35999999999999943,1,True,False,1
27,5d2c54fadc093b001983dc57,95.8,97.06,in north Carolina.,-0.35999999999999943,1.2600000000000051,0,False,True,3
