turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e24251b3e33586a5802206f,6.84,279.66,"Oh yeah. Yeah, tough for me. Oh. Oh you bet it's you don't shoot you there is out there. He's working but he's working with us. Mhm. Okay. Yes. Yeah. Yeah. So you thought so? Yeah. Yeah. Okay. Yeah. Mhm. Okay. Uh huh. Yeah. Okay. Mhm. Yeah. Yeah. What? Yeah. Yeah. Yeah. No. Okay. Oh okay. Yeah. Yeah. Yeah. Okay. Okay. Yes. Yeah. Right. Oh okay. Oh. Mhm. Yeah. Yeah, wow. Yeah. Uh huh. Yeah. Yeah. Yeah. Oh. Oh yeah. Mm. Fuck. What? Uh huh. Hello?",,272.82000000000005,4,True,False,90
1,5c7c1b0dda78bc0001257fa2,279.44,280.55,Hello.,-0.22000000000002728,1.1100000000000136,0,False,True,1
2,5e24251b3e33586a5802206f,280.34,282.04,Mhm. I,-0.21000000000003638,1.7000000000000455,0,False,True,2
3,5c7c1b0dda78bc0001257fa2,282.04,282.96,Sorry about that.,0.0,0.9199999999999591,0,False,False,3
4,5e24251b3e33586a5802206f,282.74,283.1,know,-0.21999999999997044,0.36000000000001364,0,False,True,1
5,5c7c1b0dda78bc0001257fa2,282.97,283.23,I had,-0.12999999999999545,0.2599999999999909,0,False,True,2
6,5e24251b3e33586a5802206f,283.1,283.24,you're,-0.12999999999999545,0.13999999999998636,0,False,True,2
7,5c7c1b0dda78bc0001257fa2,283.23,283.34,to,-0.009999999999990905,0.1099999999999568,0,False,True,1
8,5e24251b3e33586a5802206f,283.24,283.56,trying.,-0.0999999999999659,0.3199999999999932,0,False,True,1
9,5c7c1b0dda78bc0001257fa2,283.34,284.46,change in chrome.,-0.22000000000002728,1.1200000000000045,0,False,True,3
10,5e24251b3e33586a5802206f,284.54,287.56,You're good. You're good other day.,0.08000000000004093,3.019999999999982,0,False,False,8
11,5c7c1b0dda78bc0001257fa2,287.24,288.98,Good. Good. It's,-0.3199999999999932,1.740000000000009,0,False,True,4
12,5e24251b3e33586a5802206f,288.94,289.56,Yeah.,-0.040000000000020464,0.6200000000000045,0,False,True,1
13,5c7c1b0dda78bc0001257fa2,288.98,292.05,cold here. I live in The southwest.,-0.5799999999999841,3.069999999999993,0,False,True,7
14,5e24251b3e33586a5802206f,291.24,291.44,"Yeah,",-0.8100000000000023,0.19999999999998863,0,False,True,1
15,5c7c1b0dda78bc0001257fa2,292.05,293.2,So I mean cold is,0.6100000000000136,1.1499999999999773,0,False,False,5
16,5e24251b3e33586a5802206f,293.14,293.35,sure,-0.060000000000002274,0.21000000000003638,0,False,True,1
17,5c7c1b0dda78bc0001257fa2,293.2,295.36,"relative, it's about 65°",-0.1500000000000341,2.160000000000025,0,False,True,6
18,5e24251b3e33586a5802206f,295.54,295.98,it's pretty,0.18000000000000682,0.4399999999999977,0,False,False,3
19,5c7c1b0dda78bc0001257fa2,295.94,296.75,so.,-0.040000000000020464,0.8100000000000023,0,False,True,1
20,5e24251b3e33586a5802206f,295.98,297.46,cool to do it. Um,-0.7699999999999818,1.4799999999999613,0,False,True,5
21,5c7c1b0dda78bc0001257fa2,297.14,297.35,Mhm.,-0.3199999999999932,0.21000000000003638,0,False,True,1
22,5e24251b3e33586a5802206f,298.24,301.31,South 65 is colder than 65. I,0.8899999999999864,3.069999999999993,0,False,False,7
23,5c7c1b0dda78bc0001257fa2,300.84,301.41,The usual.,-0.4700000000000273,0.57000000000005,0,False,True,2
