turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e121b2b82a955890a9b3484,12.14,61.45,"mm hmm. Yeah. Yeah. Mm hmm. Mhm. Mhm. Okay. What? Mhm. Mhm. Yeah. Mhm. Uh huh. Okay. Mm. Uh huh. Mhm. Yeah. Mm hmm,",,49.31,1,False,False,24
1,5a73899f9cdd1800017786f0,64.64,65.96,Okay.,3.1899999999999977,1.3199999999999932,0,False,False,1
2,5e121b2b82a955890a9b3484,68.14,68.35,mm.,2.180000000000007,0.20999999999999375,0,False,False,1
3,5a73899f9cdd1800017786f0,68.24,68.56,Okay.,-0.10999999999999943,0.3200000000000074,0,False,True,1
4,5e121b2b82a955890a9b3484,68.84,81.86,What's the point? Mhm. Hi.,0.28000000000000114,13.019999999999996,1,False,False,6
5,5a73899f9cdd1800017786f0,81.08,83.16,Yeah. Uh huh.,-0.7800000000000011,2.0799999999999983,0,False,True,3
6,5e121b2b82a955890a9b3484,82.94,87.86,"Oh, let me get my fingers. Sorry. One suck.",-0.21999999999999886,4.920000000000002,0,False,True,9
7,5a73899f9cdd1800017786f0,86.64,87.96,No you take your time.,-1.2199999999999989,1.3199999999999932,0,False,True,5
8,5e121b2b82a955890a9b3484,88.34,91.96,Yeah.,0.38000000000000966,3.6199999999999903,0,False,False,1
9,5a73899f9cdd1800017786f0,91.24,91.56,Okay.,-0.7199999999999989,0.3200000000000074,0,False,True,1
10,5e121b2b82a955890a9b3484,93.64,96.65,Okay. Hi.,2.0799999999999983,3.010000000000005,0,False,False,2
11,5a73899f9cdd1800017786f0,97.44,98.32,Hey how's,0.789999999999992,0.8799999999999955,0,False,False,3
12,5e121b2b82a955890a9b3484,98.24,98.45,Mhm.,-0.0799999999999983,0.21000000000000796,0,False,True,1
13,5a73899f9cdd1800017786f0,98.32,99.15,it going?,-0.13000000000000966,0.8300000000000125,1,True,True,2
14,5e121b2b82a955890a9b3484,98.84,101.86,Good. Let me see your hat.,-0.3100000000000023,3.019999999999996,0,False,True,6
15,5a73899f9cdd1800017786f0,101.74,102.06,Mhm.,-0.12000000000000455,0.3200000000000074,0,False,True,1
16,5e121b2b82a955890a9b3484,102.84,104.36,I have no idea what that is.,0.7800000000000011,1.519999999999996,0,False,False,7
17,5a73899f9cdd1800017786f0,104.44,106.0,It's a football,0.0799999999999983,1.5600000000000023,0,False,False,4
18,5e121b2b82a955890a9b3484,105.84,106.08,He's,-0.1599999999999966,0.23999999999999488,0,False,True,2
19,5a73899f9cdd1800017786f0,106.0,106.26,team,-0.0799999999999983,0.2600000000000051,0,False,True,1
20,5e121b2b82a955890a9b3484,106.08,106.33,in the,-0.18000000000000682,0.25,0,False,True,2
21,5a73899f9cdd1800017786f0,106.26,106.96,logo.,-0.06999999999999318,0.6999999999999886,0,False,True,1
22,5e121b2b82a955890a9b3484,106.33,109.05,"fish. Oh my God, it's the crackers.",-0.6299999999999955,2.719999999999999,0,False,True,8
23,5a73899f9cdd1800017786f0,108.94,109.56,Yeah.,-0.10999999999999943,0.6200000000000045,0,False,True,1
24,5e121b2b82a955890a9b3484,109.44,111.95,"Okay. Well, I",-0.12000000000000455,2.510000000000005,0,False,True,3
25,5a73899f9cdd1800017786f0,110.44,111.85,Yeah. Oh.,-1.5100000000000051,1.4099999999999966,0,False,True,2
26,5e121b2b82a955890a9b3484,111.96,116.46,"was looking at the negative space inside the G, the green and I was like, what is that?",0.10999999999999943,4.5,1,True,False,18
27,5a73899f9cdd1800017786f0,116.14,116.78,Uh huh.,-0.3199999999999932,0.6400000000000006,0,False,True,2
28,5e121b2b82a955890a9b3484,116.84,119.25,"Okay. Yeah, it's a big g. Yeah.",0.060000000000002274,2.4099999999999966,0,False,False,8
29,5a73899f9cdd1800017786f0,118.24,118.56,Okay.,-1.0100000000000051,0.3200000000000074,0,False,True,1
30,5e121b2b82a955890a9b3484,119.26,122.06,Are you from Wisconsin or you just go to school there?,0.7000000000000028,2.799999999999997,1,True,False,11
31,5a73899f9cdd1800017786f0,121.74,124.65,No I'm from Scotts and I grew up here.,-0.3200000000000074,2.910000000000011,0,False,True,10
32,5e121b2b82a955890a9b3484,123.84,130.43,Okay. What's Wisconsin known for other than nice cheese?,-0.8100000000000023,6.590000000000003,1,True,True,10
33,5a73899f9cdd1800017786f0,130.44,130.76,Hello?,0.009999999999990905,0.3199999999999932,1,True,False,1
34,5e121b2b82a955890a9b3484,130.64,133.34,That's probably some of the best domestic cheese,-0.12000000000000455,2.700000000000017,0,False,True,9
35,5a73899f9cdd1800017786f0,133.24,133.43,Yeah,-0.09999999999999432,0.18999999999999773,0,False,True,1
36,5e121b2b82a955890a9b3484,133.34,135.24,"we've got. And the packers, of course,",-0.09000000000000341,1.9000000000000057,0,False,True,8
37,5a73899f9cdd1800017786f0,135.14,140.45,I would say that's about it. Packers cheese and beer is about,-0.10000000000002274,5.310000000000002,0,False,True,13
38,5e121b2b82a955890a9b3484,138.64,144.86,bear. What kind of beer in Wisconsin? Do they make it there or,-1.8100000000000023,6.220000000000027,1,False,True,13
39,5a73899f9cdd1800017786f0,144.64,145.97,yeah there's a lot of different,-0.22000000000002728,1.3300000000000125,0,False,True,7
40,5e121b2b82a955890a9b3484,145.74,146.26,just,-0.22999999999998977,0.5199999999999818,0,False,True,1
41,5a73899f9cdd1800017786f0,145.98,146.52,uh,-0.28000000000000114,0.5400000000000205,0,False,True,1
42,5e121b2b82a955890a9b3484,146.26,146.97,like drink,-0.2600000000000193,0.710000000000008,0,False,True,2
43,5a73899f9cdd1800017786f0,146.53,146.99,breweries,-0.4399999999999977,0.46000000000000796,0,False,True,1
44,5e121b2b82a955890a9b3484,146.97,147.05,a,-0.020000000000010232,0.0800000000000125,0,False,True,1
45,5a73899f9cdd1800017786f0,146.99,147.46,here.,-0.060000000000002274,0.46999999999999886,0,False,True,1
46,5e121b2b82a955890a9b3484,147.05,149.16,lot?,-0.4099999999999966,2.109999999999985,1,True,True,1
47,5a73899f9cdd1800017786f0,150.04,152.11,Yeah I like beer so I like cheese and I like,0.8799999999999955,2.0700000000000216,0,False,False,11
48,5e121b2b82a955890a9b3484,151.94,152.26,Yeah.,-0.17000000000001592,0.3199999999999932,0,False,True,1
49,5a73899f9cdd1800017786f0,152.11,154.86,the packers so Wisconsin is a pretty good fit for me.,-0.14999999999997726,2.75,0,False,True,11
50,5e121b2b82a955890a9b3484,154.54,159.26,"Mm. If you didn't. Oh, is that one of the packers behind you?",-0.3200000000000216,4.719999999999999,1,True,True,14
51,5a73899f9cdd1800017786f0,159.04,160.36,Yeah my whole,-0.21999999999999886,1.3200000000000216,0,False,True,3
52,5e121b2b82a955890a9b3484,160.14,161.47,Who's,-0.22000000000002728,1.3300000000000125,0,False,True,2
53,5a73899f9cdd1800017786f0,160.84,161.95,I'm in my basement.,-0.6299999999999955,1.1099999999999852,0,False,True,5
54,5e121b2b82a955890a9b3484,161.47,165.86,"number 4? Oh my God, that's like a football grid. They felt like a gridiron on them.",-0.47999999999998977,4.390000000000015,1,False,True,18
55,5a73899f9cdd1800017786f0,165.84,166.58,Yeah my wife,-0.020000000000010232,0.7400000000000091,0,False,True,3
56,5e121b2b82a955890a9b3484,166.34,166.76,Well.,-0.2400000000000091,0.4199999999999875,0,False,True,1
57,5a73899f9cdd1800017786f0,166.58,168.56,paying it when we moved in.,-0.1799999999999784,1.9799999999999898,0,False,True,6
58,5e121b2b82a955890a9b3484,167.64,169.74,Right that's,-0.9200000000000159,2.1000000000000227,0,False,True,3
59,5a73899f9cdd1800017786f0,169.34,169.55,No.,-0.4000000000000057,0.21000000000000796,0,False,True,1
60,5e121b2b82a955890a9b3484,169.74,172.26,"cool, good wife, that's nice.",0.18999999999999773,2.519999999999982,0,False,False,6
61,5a73899f9cdd1800017786f0,172.24,178.38,Yeah I wanted the basement and told her you do whatever you want with the rest. I was painting how you want. I just,-0.01999999999998181,6.139999999999986,0,False,True,24
62,5e121b2b82a955890a9b3484,178.3,178.75,Yeah.,-0.07999999999998408,0.44999999999998863,0,False,True,1
63,5a73899f9cdd1800017786f0,178.38,179.86,want the basement packers.,-0.37000000000000455,1.4800000000000182,0,False,True,4
64,5e121b2b82a955890a9b3484,180.74,182.06,Okay.,0.8799999999999955,1.3199999999999932,0,False,False,1
65,5a73899f9cdd1800017786f0,181.54,181.96,Mhm.,-0.5200000000000102,0.4200000000000159,0,False,True,1
66,5e121b2b82a955890a9b3484,182.44,184.75,Who are famous Packers players?,0.47999999999998977,2.3100000000000023,1,True,False,5
67,5a73899f9cdd1800017786f0,184.84,185.65,Uh,0.09000000000000341,0.8100000000000023,0,False,False,1
68,5e121b2b82a955890a9b3484,185.34,187.26,I don't know anything about football.,-0.3100000000000023,1.9199999999999875,0,False,True,7
69,5a73899f9cdd1800017786f0,186.94,188.84,I would,-0.3199999999999932,1.9000000000000057,0,False,True,2
70,5e121b2b82a955890a9b3484,188.84,189.64,Yeah.,0.0,0.799999999999983,0,False,False,1
71,5a73899f9cdd1800017786f0,188.84,194.16,say Aaron Rodgers is probably right now the most famous Brett fire was pretty famous. Uh,-0.799999999999983,5.319999999999993,0,False,True,16
72,5e121b2b82a955890a9b3484,193.84,197.56,Never heard of him. I've heard of Brett Farr but not Aaron Rodgers?,-0.3199999999999932,3.719999999999999,1,True,True,14
73,5a73899f9cdd1800017786f0,198.04,198.35,Bart,0.47999999999998977,0.3100000000000023,0,False,False,1
74,5e121b2b82a955890a9b3484,198.24,198.9,Who's,-0.10999999999998522,0.6599999999999966,0,False,True,2
75,5a73899f9cdd1800017786f0,198.35,198.95,starr with the,-0.5500000000000114,0.5999999999999943,0,False,True,3
76,5e121b2b82a955890a9b3484,198.9,199.46,Aaron?,-0.04999999999998295,0.5600000000000023,1,True,True,1
