turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e567cd58e4500024e8d096c,2.94,37.26,says well oh they're already not here yet. Come on new partner. Well big girl this time. Well maybe nobody again. Okay. Mhm. Mhm. Right. Yeah.,,34.32,0,False,False,27
1,5ea9c6541eb4f0121a911e1a,38.14,38.56,Mhm.,0.8800000000000026,0.4200000000000017,0,False,False,1
2,5e567cd58e4500024e8d096c,39.04,43.23,Hi Can You Hear Me? Hold on 1/2. I gotta do my,0.4799999999999969,4.189999999999998,1,False,False,13
3,5ea9c6541eb4f0121a911e1a,42.74,43.25,Mhm.,-0.4899999999999949,0.509999999999998,0,False,True,1
4,5e567cd58e4500024e8d096c,43.3,45.16,sound sorry about that.,0.04999999999999716,1.8599999999999994,0,False,False,4
5,5ea9c6541eb4f0121a911e1a,45.74,46.25,It's all right.,0.5800000000000054,0.509999999999998,0,False,False,4
6,5e567cd58e4500024e8d096c,46.84,51.96,I have you on my big screen. Can you hear me? All right?,0.5900000000000034,5.119999999999997,2,True,False,13
7,5ea9c6541eb4f0121a911e1a,52.24,52.65,Yeah.,0.28000000000000114,0.4099999999999966,0,False,False,1
8,5e567cd58e4500024e8d096c,53.04,55.46,All right. How are you?,0.39000000000000057,2.4200000000000017,1,True,False,5
9,5ea9c6541eb4f0121a911e1a,55.84,56.46,"Mm,",0.38000000000000256,0.6199999999999974,0,False,False,1
10,5e567cd58e4500024e8d096c,57.04,60.25,Good. Are you in the United States?,0.5799999999999983,3.210000000000001,1,True,False,7
11,5ea9c6541eb4f0121a911e1a,60.74,61.16,mm.,0.490000000000002,0.4199999999999946,0,False,False,1
12,5e567cd58e4500024e8d096c,61.64,62.66,In the city? Okay.,0.480000000000004,1.019999999999996,1,False,False,4
13,5ea9c6541eb4f0121a911e1a,62.94,63.35,Yeah.,0.28000000000000114,0.4100000000000037,0,False,False,1
14,5e567cd58e4500024e8d096c,63.64,71.06,"Sorry I just got a shower so I'm so wet dog, It's like 100 degrees here. Today",0.28999999999999915,7.420000000000002,0,False,False,19
15,5ea9c6541eb4f0121a911e1a,71.74,72.85,Where are you from?,0.6799999999999926,1.1099999999999994,1,True,False,4
16,5e567cd58e4500024e8d096c,73.44,75.96,I live in southern Oregon right now.,0.5900000000000034,2.519999999999996,0,False,False,7
17,5ea9c6541eb4f0121a911e1a,76.34,76.54,"Yeah,",0.38000000000000966,0.20000000000000284,0,False,False,1
18,5e567cd58e4500024e8d096c,76.64,88.86,"But I was born in California, raise In Pennsylvania but then went back to California for 16 years and now I'm up in southern Oregon. Where are you from?",0.09999999999999432,12.219999999999999,1,True,False,30
19,5ea9c6541eb4f0121a911e1a,89.24,90.76,I'm from the Bay Area.,0.37999999999999545,1.5200000000000102,0,False,False,6
20,5e567cd58e4500024e8d096c,91.14,92.16,The Bay Area?,0.37999999999999545,1.019999999999996,1,True,False,3
21,5ea9c6541eb4f0121a911e1a,92.44,93.06,Mhm.,0.28000000000000114,0.6200000000000045,0,False,False,1
22,5e567cd58e4500024e8d096c,92.74,94.66,That's where you grew up your whole life.,-0.3200000000000074,1.9200000000000017,0,False,True,9
23,5ea9c6541eb4f0121a911e1a,94.84,95.46,Yeah.,0.18000000000000682,0.6199999999999903,0,False,False,1
24,5e567cd58e4500024e8d096c,95.74,96.96,You're still there.,0.28000000000000114,1.2199999999999989,0,False,False,4
25,5ea9c6541eb4f0121a911e1a,97.44,98.55,Mhm.,0.480000000000004,1.1099999999999994,0,False,False,1
26,5e567cd58e4500024e8d096c,99.24,99.39,Are,0.6899999999999977,0.15000000000000568,0,False,False,1
27,5ea9c6541eb4f0121a911e1a,99.24,99.5,I'm,-0.15000000000000568,0.2600000000000051,0,False,True,2
28,5e567cd58e4500024e8d096c,99.39,99.54,you,-0.10999999999999943,0.15000000000000568,0,False,True,1
29,5ea9c6541eb4f0121a911e1a,99.5,99.62,in,-0.04000000000000625,0.12000000000000455,0,False,True,1
30,5e567cd58e4500024e8d096c,99.54,99.86,in?,-0.0799999999999983,0.3199999999999932,1,True,True,1
31,5ea9c6541eb4f0121a911e1a,99.63,100.76,college right now.,-0.23000000000000398,1.1300000000000097,0,False,True,3
32,5e567cd58e4500024e8d096c,100.94,102.86,Yeah. What what school are you are,0.1799999999999926,1.9200000000000017,0,False,False,7
33,5ea9c6541eb4f0121a911e1a,103.54,104.16,Clean,0.6800000000000068,0.6199999999999903,0,False,False,1
34,5e567cd58e4500024e8d096c,104.74,114.45,"Berkeley wow, neat. If I had money when I was a kid that was one of the places I wanted to go. What do you study him?",0.5799999999999983,9.710000000000008,1,True,False,27
35,5ea9c6541eb4f0121a911e1a,114.84,115.5,as some,0.39000000000000057,0.6599999999999966,0,False,False,2
36,5e567cd58e4500024e8d096c,115.04,115.46,You know?,-0.45999999999999375,0.4199999999999875,1,True,True,2
37,5ea9c6541eb4f0121a911e1a,115.51,116.66,of business,0.05000000000001137,1.1499999999999915,0,False,False,2
38,5e567cd58e4500024e8d096c,117.14,121.55,Yes. Is there anything in particular you want to get into in the future,0.480000000000004,4.409999999999997,0,False,False,14
39,5ea9c6541eb4f0121a911e1a,121.84,124.06,probably consoled him.,0.29000000000000625,2.219999999999999,0,False,False,3
40,5e567cd58e4500024e8d096c,124.54,126.06,consulting?,0.480000000000004,1.519999999999996,1,True,False,1
41,5ea9c6541eb4f0121a911e1a,127.24,131.05,So I feel like finance or like maybe like Wall Street kind.,1.1799999999999926,3.8100000000000165,0,False,False,12
42,5e567cd58e4500024e8d096c,131.54,136.35,Okay. Right on house.,0.4899999999999807,4.810000000000002,0,False,False,4
