turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f517ddee960a93daa69b8bb,1.54,2.05,Hello.,,0.5099999999999998,0,False,False,1
1,5f6fe97d8641835be70202bd,2.14,2.65,a,0.0900000000000003,0.5099999999999998,0,False,False,1
2,5f517ddee960a93daa69b8bb,3.14,5.45,Hi.,0.4900000000000002,2.31,0,False,False,1
3,5f6fe97d8641835be70202bd,4.74,5.36,"mm hmm,",-0.71,0.6200000000000001,0,False,True,2
4,5f517ddee960a93daa69b8bb,6.14,12.3,"I've been frantically trying to get my laptop like in everything, working for the past like a minute.",0.7799999999999994,6.160000000000001,0,False,False,19
5,5f6fe97d8641835be70202bd,11.34,12.75,wow.,-0.9600000000000009,1.4100000000000001,0,False,True,1
6,5f517ddee960a93daa69b8bb,12.31,13.57,Sorry.,-0.4399999999999995,1.2599999999999998,0,False,True,1
7,5f6fe97d8641835be70202bd,13.34,13.67,"No,",-0.23000000000000043,0.33000000000000007,0,False,True,1
8,5f517ddee960a93daa69b8bb,13.58,14.36,Uh,-0.08999999999999986,0.7799999999999994,0,False,True,1
9,5f6fe97d8641835be70202bd,13.67,15.76,it's fine. I was running late. Too,-0.6899999999999995,2.09,0,False,True,8
10,5f517ddee960a93daa69b8bb,15.44,18.76,Okay. That's good. That makes me feel alot better than. How are you doing?,-0.3200000000000003,3.320000000000002,1,True,True,15
11,5f6fe97d8641835be70202bd,19.04,20.06,good. How are you?,0.2799999999999976,1.0199999999999996,1,True,False,4
12,5f517ddee960a93daa69b8bb,20.94,23.96,"Fine, tired.",0.8800000000000026,3.0199999999999996,0,False,False,2
13,5f6fe97d8641835be70202bd,22.34,24.54,Yeah. Uh huh.,-1.620000000000001,2.1999999999999993,0,False,True,3
14,5f517ddee960a93daa69b8bb,24.44,25.25,How was your day?,-0.09999999999999787,0.8099999999999987,1,True,True,4
15,5f6fe97d8641835be70202bd,25.84,29.96,Um It was good. I didn't do much. So pretty good. Standard,0.5899999999999999,4.120000000000001,0,False,False,13
16,5f517ddee960a93daa69b8bb,29.74,30.36,Uh huh.,-0.22000000000000242,0.620000000000001,0,False,True,2
17,5f6fe97d8641835be70202bd,29.96,31.94,day. Uh huh.,-0.3999999999999986,1.9800000000000004,0,False,True,3
18,5f517ddee960a93daa69b8bb,31.64,33.16,I'm a little jealous. Then,-0.3000000000000007,1.519999999999996,0,False,True,6
19,5f6fe97d8641835be70202bd,33.34,34.56,"Yeah, What did you do today?",0.18000000000000682,1.2199999999999989,1,True,False,6
20,5f517ddee960a93daa69b8bb,34.54,38.35,I had organic chemistry pretty much all day.,-0.020000000000003126,3.8100000000000023,0,False,True,8
21,5f6fe97d8641835be70202bd,38.64,40.19,"Yeah. Well that's, I'm",0.28999999999999915,1.5499999999999972,0,False,False,6
22,5f517ddee960a93daa69b8bb,40.04,40.24,Yeah.,-0.14999999999999858,0.20000000000000284,0,False,True,1
23,5f6fe97d8641835be70202bd,40.19,42.15,taking that next year and I'm so scared.,-0.05000000000000426,1.9600000000000009,0,False,True,9
24,5f517ddee960a93daa69b8bb,42.64,48.7,Okay. So I say that but I really like organic chemistry. I liked it a lot more than general john,0.490000000000002,6.060000000000002,0,False,False,20
25,5f6fe97d8641835be70202bd,48.64,49.26,Uh huh.,-0.060000000000002274,0.6199999999999974,0,False,True,2
26,5f517ddee960a93daa69b8bb,48.7,53.56,cam. But still today was really long.,-0.5599999999999952,4.859999999999999,0,False,True,7
