turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f67c86c73bbcf40f72deeaa,4.84,5.16,Right,,0.3200000000000003,0,False,False,1
1,5e567cd58e4500024e8d096c,5.34,5.76,Hey.,0.17999999999999972,0.41999999999999993,0,False,False,1
2,5f67c86c73bbcf40f72deeaa,6.54,9.56,Oh I think the thing above you,0.7800000000000002,3.0200000000000005,0,False,False,7
3,5e567cd58e4500024e8d096c,9.84,11.16,Which thing?,0.27999999999999936,1.3200000000000003,1,True,False,2
4,5f67c86c73bbcf40f72deeaa,10.44,12.36,all the things,-0.7200000000000006,1.92,0,False,True,3
5,5e567cd58e4500024e8d096c,12.64,13.32,"Oh,",0.28000000000000114,0.6799999999999997,0,False,False,1
6,5f67c86c73bbcf40f72deeaa,12.74,12.94,yeah,-0.5800000000000001,0.1999999999999993,0,False,True,1
7,5e567cd58e4500024e8d096c,13.33,18.14,"every um, you know what? The younger people that I've talked to always comment",0.39000000000000057,4.8100000000000005,1,False,False,15
8,5f67c86c73bbcf40f72deeaa,17.84,18.04,Yeah,-0.3000000000000007,0.1999999999999993,0,False,True,1
9,5e567cd58e4500024e8d096c,18.14,18.78,on the house.,0.10000000000000142,0.6400000000000006,0,False,False,3
10,5f67c86c73bbcf40f72deeaa,18.44,18.64,yeah.,-0.33999999999999986,0.1999999999999993,0,False,True,1
11,5e567cd58e4500024e8d096c,18.78,24.21,It's like a glorified double wide. So this is like a throwback to the 80s.,0.14000000000000057,5.43,0,False,False,16
12,5f67c86c73bbcf40f72deeaa,24.04,24.45,Uh huh,-0.1700000000000017,0.41000000000000014,0,False,True,2
13,5e567cd58e4500024e8d096c,24.22,26.65,"The lake is uh,",-0.23000000000000043,2.4299999999999997,0,False,True,4
14,5f67c86c73bbcf40f72deeaa,26.54,29.86,I've been on the young people you're talking to foreign capital apartments like I am,-0.10999999999999943,3.3200000000000003,0,False,True,17
15,5e567cd58e4500024e8d096c,29.84,31.66,"uh,",-0.019999999999999574,1.8200000000000003,0,False,True,1
16,5f67c86c73bbcf40f72deeaa,30.64,32.65,things whitewashed man.,-1.0199999999999996,2.009999999999998,0,False,True,3
17,5e567cd58e4500024e8d096c,33.04,33.65,a few,0.39000000000000057,0.6099999999999994,0,False,False,2
18,5f67c86c73bbcf40f72deeaa,33.54,33.74,Yeah,-0.10999999999999943,0.20000000000000284,0,False,True,1
19,5e567cd58e4500024e8d096c,33.65,37.48,"like, well, yeah, the two younger guys that I talked to probably",-0.09000000000000341,3.8299999999999983,0,False,True,12
20,5f67c86c73bbcf40f72deeaa,37.34,37.66,what?,-0.13999999999999346,0.3199999999999932,1,True,True,1
21,5e567cd58e4500024e8d096c,37.48,43.75,as young as you. There was like nothing on the walls. One of the guys was in bed.,-0.17999999999999972,6.270000000000003,0,False,True,18
22,5f67c86c73bbcf40f72deeaa,44.54,46.96,"I did something like that, it's just not on that wall",0.7899999999999991,2.4200000000000017,0,False,False,12
23,5e567cd58e4500024e8d096c,47.34,48.96,"Oh,",0.38000000000000256,1.6199999999999974,0,False,False,1
24,5f67c86c73bbcf40f72deeaa,48.24,51.06,"to be fair, most of this Halloween decorations from.",-0.7199999999999989,2.8200000000000003,0,False,True,9
25,5e567cd58e4500024e8d096c,51.64,52.36,"Oh, nice.",0.5799999999999983,0.7199999999999989,0,False,False,2
26,5f67c86c73bbcf40f72deeaa,52.34,53.56,Yeah but,-0.01999999999999602,1.2199999999999989,0,False,True,2
27,5e567cd58e4500024e8d096c,53.04,54.99,"From last year now. I'm just,",-0.5200000000000031,1.9500000000000028,0,False,True,7
28,5f67c86c73bbcf40f72deeaa,56.74,56.97,what,1.75,0.22999999999999687,0,False,False,1
29,5e567cd58e4500024e8d096c,56.84,57.34,"yeah,",-0.12999999999999545,0.5,0,False,True,1
30,5f67c86c73bbcf40f72deeaa,56.97,58.45,I want to do with the maybe,-0.37000000000000455,1.480000000000004,0,False,True,7
31,5e567cd58e4500024e8d096c,58.74,61.0,that's,0.28999999999999915,2.259999999999998,0,False,False,2
32,5f67c86c73bbcf40f72deeaa,59.21,61.41,what? Uh,-1.7899999999999991,2.1999999999999957,1,False,True,2
33,5e567cd58e4500024e8d096c,61.0,61.56,okay.,-0.4099999999999966,0.5600000000000023,0,False,True,1
34,5f67c86c73bbcf40f72deeaa,61.41,61.74,huh.,-0.15000000000000568,0.3300000000000054,0,False,True,1
35,5e567cd58e4500024e8d096c,62.14,63.3,"I used to have,",0.3999999999999986,1.1599999999999966,0,False,False,4
36,5f67c86c73bbcf40f72deeaa,63.14,63.46,Yeah.,-0.1599999999999966,0.3200000000000003,0,False,True,1
37,5e567cd58e4500024e8d096c,63.3,67.47,"well, I still have them, but they're in my storage um, purple light",-0.1600000000000037,4.170000000000002,0,False,True,14
38,5f67c86c73bbcf40f72deeaa,67.34,67.55,Mhm.,-0.12999999999999545,0.20999999999999375,0,False,True,1
39,5e567cd58e4500024e8d096c,67.47,69.17,up bats that,-0.0799999999999983,1.7000000000000028,0,False,True,3
40,5f67c86c73bbcf40f72deeaa,69.14,69.85,Yeah,-0.030000000000001137,0.7099999999999937,0,False,True,1
41,5e567cd58e4500024e8d096c,69.17,71.56,I would just have you around like.,-0.6799999999999926,2.3900000000000006,0,False,True,7
42,5f67c86c73bbcf40f72deeaa,71.14,73.56,I have skulls there with the battery,-0.4200000000000017,2.4200000000000017,0,False,True,7
43,5e567cd58e4500024e8d096c,73.04,74.26,Yes.,-0.519999999999996,1.2199999999999989,0,False,True,1
44,5f67c86c73bbcf40f72deeaa,74.04,74.42,want,-0.21999999999999886,0.37999999999999545,0,False,True,1
45,5e567cd58e4500024e8d096c,74.27,75.37,Well,-0.15000000000000568,1.1000000000000085,0,False,True,1
46,5f67c86c73bbcf40f72deeaa,74.42,75.26,to get Oh,-0.9500000000000028,0.8400000000000034,0,False,True,3
47,5e567cd58e4500024e8d096c,75.38,77.77,"we have lots of skulls around, just",0.11999999999999034,2.3900000000000006,0,False,False,7
48,5f67c86c73bbcf40f72deeaa,77.74,78.24,yeah,-0.030000000000001137,0.5,0,False,True,1
49,5e567cd58e4500024e8d096c,77.77,81.8,"not, something's not sitting right behind me, but I, uh,",-0.46999999999999886,4.030000000000001,0,False,True,11
50,5f67c86c73bbcf40f72deeaa,81.04,81.46,I will,-0.7599999999999909,0.4199999999999875,0,False,True,2
51,5e567cd58e4500024e8d096c,81.81,82.21,collect,0.3500000000000085,0.3999999999999915,0,False,False,1
52,5f67c86c73bbcf40f72deeaa,82.04,82.24,yeah.,-0.1699999999999875,0.19999999999998863,0,False,True,1
53,5e567cd58e4500024e8d096c,82.21,83.56,a lot of crystals,-0.030000000000001137,1.3500000000000085,0,False,True,4
54,5f67c86c73bbcf40f72deeaa,83.64,84.05,Yeah.,0.0799999999999983,0.4099999999999966,0,False,False,1
55,5e567cd58e4500024e8d096c,83.94,87.15,"so you can't really see,",-0.10999999999999943,3.210000000000008,0,False,True,6
