turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e6fe3e20e34ca0aa955b116,5.34,3136.52,"I mean the first song. Right? I just missed it. The first song that the encore look at the computers for the footage. As long as we're here. If you look for evidence of drugs okay with the drawers. Okay. Got it. Yeah. Okay. So put it this afternoon. A little bit angles. We need to actually get the parents out there is clear. Is that we really? Yes, we ran over that job. There are a little thin, aren't they 19? What are you doing everything? Did you find drugs? No explosion? I'm addicted to. Right, wow. Never mind. I'll take care of this. Okay. Delete, Delete. Delete. Delete empty trash. Yes. Who? Oh, what a weight off me. I wish I could do that in my own life. Just erase things that happened at a restaurant. Junior Prom six. Great. Okay. Great. Let's get either. Wait, wait, wait. It just occurred to me if she's doing anything illegal. All of these changes in the job. I really don't like a cot. Look, I know this is dangerous and I know how we feel about josh innocent. Then they turn into a drug deal. Yeah. God only knows what's sticking in his racked up. What? So he never nothing. Yeah. I mean this woman she actually got a little boy. Okay. So why have you never seen a water? Oh my God. I'm soldiers if you're right now. Yeah. I've been trouble thing in two days and we were bob says we talked like a bonus for your bill for a solid month. We're talking about Paula. I hate her right now. Okay. Festival. Let's see. She's fucking she's fucking she fucking There is. She's handing on the books of trust class. This is insane. She's given on multiple drugs to people have brought down. It's the reason this is important work. We're going to look like you could get a peabody for this. Look, look, she's taking a powder out of the envelope and then she's putting it on the table, She's showing us how to do drugs. Oh she's gonna shoot up the drugs just like in breaking down, breaking bad, How do you live your life? I go outside. Okay, here we go. Here we go. Oh she's getting high off the road, you know? No, no, no, no, no, it's going up her nose. No, no, no, it's going on. Her eyebrows. She got her eyebrows. I said, I think what I hold on, hold on, hold on, hold on, hold on. She's saying something like, give me a second, I can breathe pretty well. My semester abroad, I took a dip for over, uh, okay, Put this on your eyebrows two times a day for a month and you will see a significant change in your eyebrow growth. You make sure extra order brilliant winning. But yeah, because that means it means that josh is dating this superfly entrepreneur who's probably just using products that that was cleared by the federal food drug consultation. Right? Look, I said I was sorry, not sorry, I heard the last note and it was beautiful. Okay, okay, a messed up and this is all my fault, you know how much the problem is going to me, but I do care, I just, I should have said in the world or something, I got caught up in something I think, oh yeah, and I, you know what it's wrong and I know that now I have been so supportive and I think what you're doing is great, but I feel left out. You're so distracted lately. I know, I know, but look, I will try to do better. That was great out there, Paula nailed up a hank's wife said. I sounded like lou Rawls telling you from shipping about six cds for her care packages for the troops, wow, fair. They're horrible time for john scott. I am so sorry. Okay. This is all. This is 100% my fault. I don't care whose fault of this. I just feel bad right now. Uh uh huh. Ah, well, I guess we should go crazy. No, wait, look at that. Oh, josh. Give her flowers, wow. That's a big flowers. Jae chan. The only time you got me flowers was prompted blue carnations from the gas station. From a bucket. He tried to think of my virginity. This was a rebound relationship. No, no, no, no, no. It it is. He just needs to end the blond out of what? What? Okay. Okay. He's saying. And you are so cool. I get served. Still put a chill every deal. But I think I speak all the time. He gets stuff as well. These people like, I just had to tell you that I've never felt this way about anyone else. Uh huh. Uh huh. Never, ever. Mhm. Like ever. Yeah. Yeah. I told you guys curiosity killed the cat. It didn't kill the cat. It just ripped off the cat's tail, which has now been reattached. But I guess you were right. We shouldn't have gone down the rabbit hole. The only thing down there is regret. They don't read. We'll start well, I'm just glad you guys are for it. He never loved us and he's obviously over us. So done. We should be done to talking a lot. Mm hmm. Yeah. Yeah. Okay. Let's see. Too tall. Too airy. Too bold to karate. We'll do way, but we're going to go binge watch something. I've been saving a friend of my wife's for something special. Sorry hon maybe another time. And I really do love all your girl bonding stuff. But right now I really need to get laid way. Are you serious about your jacket? Come on. But don't were you going? Don't leave. Please just stay the fuck this holiday. I need a minute. I need to cool off. Oh Oh. Uh huh. Uh huh. Hey Sunil, it's me. What do you Oh you're the kid Just Oh, move yourself. That was fine. I'll never mind. It was nothing. Yeah, I will talk to you tomorrow. We used to be every second and I really I tell you that I just I I wait 1st. I mean this is almost entirely what you got. It's just a time of it. This is so but still trying to have to agree. I'm so sorry. But you go. Mhm. Yeah. Uh huh. Now That'll be $300. I'll see you again tomorrow. Bye. Head on down next lunch. Yeah, It's just half of the salami scott. Hey, busy around here. I put slices of cheese in there and some loose bread. Get yourself a night when you're in a sandwich. Making business buddy. Great. Now I have to steal the keys from the teacher's lounge again. You should say thank you to your dad. Mhm. Seriously, honey. I just I couldn't do this without you. It's something and it means a lot to me. You're the best. Yes you are. You know, I was just telling someone the other day how lucky I am to have sex with Tanya. Yeah. I had sex with nancy, arrogant. Oh you're serious. It was an accident. I swear. We went drinking after work with some other people and then I had too much and she was driving home and then we got in her car and she was too drunk to drive so we decided to wait it out and it started raining. It sounds so romantic. It's just like a night that you'll remember forever happened one time. I promise it will never happen again. It was a complete accident. Right? Yeah. I have to get ready for work. Well, let's talk about this. Yeah. Okay. We'll talk about it when we get home home. What? You don't live here anymore? Way? What? Right. Oh, hi. Sorry. I really think that's okay. I'm just making my smoke. Uh Thank you. Uh huh. Uh huh. Yeah. Who did this? Who wants an empty ice cream back? What, man? Yeah, that's Mhm. Uh I'm not good at telling them. Back up. It's hard. the water splashes around. And how about yourself at the door while I'm holding a shaky train of water? Besides, somebody else always does. It hits him with me. I am someone else. You know, it's okay. Don't even eldest tray and then right after the freeze for like three hours for the kids that I get from my smoking. I don't I something Panama. No, you're right, you're right. I just need to take a breath. Oh no, I are crying. It's because of me. And I get it. I miss friendship too. So let's stop all this foolishness and just go back to the way things were okay and I'm willing to overlook all of the things on your end that you did wrong. The apology tears in your eyes. You don't have to say it. I'll say you're sorry. Didn't that feel good? And you know what I'm sorry to I'll say if you just shut up, right welcome. It's just such a selfish, whiny entitled brat. Just stop you talk. But I took all the time. You're too busy staring at the Narcissus pond of your bewitching self. Even know, wow, you're mean click okay, correct. It's not about trust. What's wrong? Mhm scott. I knew it. I knew it. I always do it. I didn't say anything for me. He had sex with tom uniform work, but at the time of his gang. God really a piece of work sister. So this is our dynamic now. Great. I'm so sorry, assistance. What? My father always don't mean that if I ever tried to make something of myself and my body and so let me just like the minute that I try to pursue my dreams, my husband accidentally falls into another woman to china. I mean I threw him out so I find myself and and she just got used to do stuff from the house city. The morning rush used to be like an olympic event and now it's just it's going to be like the 100 it's like distorting their Children. That's for third. You can tell each other. It makes you have the weekend. I need this weekend. I was supposed to go on a class trip to sacramento for the Supreme Court. But I mean you know I'm definitely not going now. Like I said I can't go, I can't I can't do this anymore. I just want to go back to work. Uh huh. So what we're going to give me some energy. Oh no, we're back to this. So what do you think? It's like he knew hang out in the city of Gabriel Valley. Is that I call this? The Inland Empire got a mistake. But now that's a sack of south based believe it took about the data to get me to go out there and visit you. Are you sick? I hope not. Big thing coming up. Those are Super Bowl audience fighters doing a party where they have all these advertisers getting a little something special. It's just involved and resolving your truck. I would, but I'm working. It's the team sports awards this weekend. So I'm gonna have a high school with 13 year old celebrity and browse okay Promise you. Oh, if you're coming down something, I probably shouldn't smoke check. Oh no. Where's my volcano? I need a live volcano today. I don't have time for that. You need to ask Brendan to help you? He laughed again. There's no tape to the man that came under the sheets off the ground. Across country. Be back when I run out of the money I took for months first. As soon as you can to school, you know how to do it with this? I volunteer his trip district nine take Tommy to the capital. How are you doing the hunger games? You said your life is going to be like the hunger games. I read the first book last night. Just for this. Okay. And your help. Yeah, sell uh, toys where you go. You go buddy, enjoy. I know that your your heart is in the right place. I just I'm sorry, coming. I'm sorry. Okay. I'll see it because I should I was going on and I was the lower number one. That's horrible grammar. Do not emulate that grammar. Look, you said to me, was that I support you. You're right. Every time we talk really just thinking about myself thinking about the next piece of buying staff and I never think about you so be it. Think about how okay I love you and I'm here to help me do something. I'll be like mr mom okay you're on the first of all keep then you can go on a field trip. Oh no no no no no I can't do that. I mean Tommy needs me and you know so it's Brendan theoretically wherever it is. Yeah. So first of all I'll tell that Brendan this guy. Yeah and second of all you can't not go on a field trip Paula. If I escaped presidential classroom in Washington D. C. I would still be a virgin who knew nothing about the Electoral College. You gotta go you can't miss something like this because someone else this time. Are you sure you know what you're standing up for? Because this is just so much harder than it looks. I mean parenting turns you into me. Uh huh. Uh Huh. You can go on your weird grown up field trips. Oh yeah. You don't understand what you're taking on. Okay. Look, it's going to be weekend and time is not going to be in school, which means he will be with you. Well, we'll try polar. It's okay. We reschedule. What are your plans for this? You'll all be fine. I swear I can do it. Okay. So emergency numbers. All right. Uh, big. All we gotta do is keep you up to 48 hours. Really? That first on the car? Yeah. 50 yes. Oh No, I got to say, I think this whole mom thing is going to be really easily. Do you even have kids? Yeah, but I do have a lot of things that are more important like smart, my seven intuition and this amazing podcast called longtime daily when I started listening to him car and we don't really on today's episode. We're talking allergies, peanuts, very eggs. How do we get kids but still keep them safe heralding demanding from that face back. I'll say that when they're not good at it, give your baby's the only hard part of it is how it is in your hands. You expect your Children. I'm gonna raise unnatural. Fantastical. Damn. I'm sorry. They're so honored to have super mom Rebecca bunch here on our podcast today. You want one of the most incredible lumps I have ever seen even though you don't have any Children and they've always been baby sitting for less than an hour. How do you do it? First of all, I want to say what an honor it is for you to have me on your podcast. You know, instinctively get how to be a mom and that's what sets me apart from other mothers grade. The other mothers are losers. Yes, I'm going to keep that home, get wholesome meal. He's a cake here. Energy. Let's bring it up before you DJ bring it up. Bring it up your Children. You're living. Bring him up to it when it's parenting is the most rewarding experience. If you follow some content guidelines, you are found. Shut up. Yeah. Yeah. Hey, so what's the electoral call? My phone? All my family. Mhm. Mhm. Hello? Hey. Mhm. Okay. What you wanna do? I woke up early to turn on the cartoons, but they slept for three more hours. So you didn't make any plans for us. Know your place. Like you don't have anything to do baseball or soccer or improv. Don't you need to start padding that resume for college? College? Who needs college? When you got this briefcase? Wow! Precocious. Uh You know what? You're so just tell me what you want to do. Anything, anything at all. Mr mom. Which means I'm a death, which means fun stuff. Great. I'd like to start smoking and peter. Oh and I'd like to see more pictures. They don't have to be yourself. Yes. You know that's legal. So why don't we just binge watch a tv show? I'm thinking toward the explorers. You really don't know how old I'm older than eight, younger than me. Hey, tell you what? Why don't we just go get a bunch of popcorn and watch whatever we want? Sounds good. Okay, someone else puts. So that's why I really just sexy like that. Not the whole session now. When does your mom keep your car seat? Mhm. Yeah, wow. Why is your federal side for the thing? My mom calls my dad. Oh, um, First tell me, you know, the dishes aren't okay? Great opportunity. Some wisdom from a lady who understands something called the patriarchy. So solutions are a product by corporation to exploit. Oh, because this is because the last time I saw him, I paid for all this stuff down. Thanks. Yeah, josh in. Who cares? But I feel nothing quick. Emotional skin. Nothing. I'm in remission. Yeah. I mean to say hi, watch. I can say hi, Hi. Hi josh. Hi, how to look up. Uh, have you been? I've seen you since you'll be on your stuff. Um Sorry. This is Paula's son, Tommy. He's my, my ward, my protege, my charge the day and maybe. Sure. Oh, cool. Hey Tommy. Why don't you go get yourself? Candy, my man. This is $100 bill. I'm sorry, kids. Um So, hey, I've been meaning to apologize to about. That's Tommy. Said the the peeing. I have no excuse other than I felt primal that day. But I hope it didn't print out any of the expensive equipment. It's fine. What happens? Listen, josh. I'm glad we ran into each other honestly, because I hope that after everything that has happened, but we can still be friends. Yeah, me too. I thought you would still be mad because of the weather broke up. No, I made mistakes. He made mistakes. He makes some other more mistakes or human. I'm glad to hear that. Yeah, I saw that. Yeah. You have a new lady in your life? Is your name? Hannah, Hannah, Hannah? All right. And I saw you posted about it online. And not all the posts. A normal amount of posts, let's say 33 posts. Anyway. She's who? She's breathtaking. Gosh. So yeah, sir. Thank you. Yeah, wow. I mean, I'm relieved we could just be normal about this. Why would I do? Yeah. Right. Exactly. Well, yeah, Thank you for me to see him. Good. Yeah. Uh Hey here I'm actually a little sick. That's these tissues are for But a little case of the sniffles. Oh, come on. Don't care for. I'm sure they were born pathogens, right? You know Tommy? You are one lucky little dude. Rebecca as a babysitter. She's not bad. Oh, she's more than not bad. She's Rebecca bunch. She's the greatest. Greatest. That's so nice of you. But this is not nice being overblown. Yes. Just a quarter chicken soup. And sorry to be clear. You do not have matzo balls, correct? No, it's ok. I've just never heard of chicken soup without them, but okay. Yes. So send to josh chan at Aloha Tech. Alright, now for the note, grab a pen. Hey, tell me, what do you think I should say? I wanted to convey, I still really care about you, but on a night anyway, just in a friend way because I'm not drink. Okay. Hi. Yes. Ready for the note. Great. Mm Dear josh chan. Actually, you know what decision? Just josh. I don't write, just josh. Just yeah. Okay. Just josh. Don't write the word just okay. Never meant. Let's start over. You ready? Yeah. Dear josh, enclosed in this humble plastic container defined an invitation to a healing slumber to sleep. Okay. Just to drink. Always in friendship Rebecca and bunch Okay. Uh yeah. Uh huh. Okay, take up but always great note. Dave do that also changed at the end to formal. I agree. Okay. Yes. Just like, you know, I would have done that for anything front not doing it because it's josh. Really sink though. Do you think I was taking care of him? Because here's this guy green at the gills, getting his own tissues while she's busy with eyebrows. Clearly there's an I in eyebrows. What I'm saying? If it away in some me up. Tell me boy. Oh my God, can you just stop talking? I'm trying to look at boobs. Uh huh thomas. No idea what your real name is. Proctor is this adult themed publication. You gave me five months allowance and no government. Okay. So Tommy, you're not in trouble. But I think it's important that, you know, pornography does not accurately reflect adult sexual behavior. Do I always make these big speeches? Yes, I do. So let's put it this way pornography is to sex as superheroes. People are so desperate to get what I'm saying. Yeah. You're saying that celebrate is going to be awesome. Hey delivery for you. Chicken and silk. So nice of you. Thank you. Uh, not for me. There's something in the bottom until when you know. No, thank you. Now it's crazy longer but noted that delivery must be a shopping list or something. Does she have an anonymous superferry? No, I know who it is. A girlfriend. Anna. She is the best. That's exactly what I love about her. Who else would take the time out of their day to take care of me? I got to get himself a super tagger. Can you take it? I mean I can't, but then it's not something the picture with myself. So it's a selfie. I'm not cheated. We're going to grow chicken too. So you're on Instagram, but I think you have to be at least 13. Oh, I hope your account is private. What my family and friends, men like birdwatching, identify drones and build basements. Okay, time. Let some, Let's have a talk. It's another little lecture. So you need to understand how preteen boys are viewed by some men with, let's take personal issues that it's not just men. Female exam teachers can also be a problem, but you have to be vigilant over that. What's wrong josh posted a selfie himself. That's not a selfie. Someone else shot that photo from elsewhere. No. Uh, sorry. He said thank you at anna. The brown berry in the best girlfriend ever from my school. He thinks. And I gave him the suit. I can't have it. I've got to find him and tell him, I mean, I mean anna take credit for my nurturing. It's big still. I got to find it. Let's see. Okay. Okay. His instagram says right now. He's inspired downtown, confusing punctuation. You know what? I have an idea. You go to the club, leave me with some more of those hon does and also ordered myself some sushi. So my neck is no no no no no you didn't. Okay not falling for that. Okay. I made a promise to your wrong but I would take care of you and I take that responsibility very seriously. So I'm not leaving them alone. Oh come on let's go. Okay. I think I need to go clubbing. What to get famous. Um What is it as for whiskey on the rocks? All they have are branded cocktails. You're so two pizza teams. What is that? It's the most popular alcoholic beverage in Korea. It won't. That is not property. Well whatever. Why not? Hey What's the big surprise? Yeah bro. Well let's just say 10. I could change everything for me. Real career. Yeah, what's he talking about? I have no idea actually. Yeah, I love it. Home to my mom. Okay, Alright, so your name is Manuel, you're 27 better on it. I don't care about this job anyway. I want to be a stunt man. Sorry about that. Did you excuse me? Don't you? Soju. Okay, I'll bitch. All right. Tommy this what's going to happen? We're going to go and find josh tells about stupidly. Oh besides your magazine, correct? Fighters. No, actually Mr Spider has been in the business with his brother. Dr Spider. So it's actually Spider says is actually that's a common misconception about how nice try okay, stuff can you do? Oh what are you doing here? I got an early, he said you were doing something special. So I am God so much that you're here. Oh, okay. All right. Rebecca and child belong in a place like this. It's fine. We're just running an errand. I'm looking for protection. Yeah. Let's girlfriend. Yeah. Thank you. Yeah. Stupid. So stupid. Okay, listen, she can't know that I'm here. Why not? Okay. I accidentally almost killed her cat and she thinks my name is matched by limits over like, so you like him? I didn't lie, assess the context and the rule of speaking. Okay. Mhm. Donnie Tommy? Can you hear me? Hi, can you see that diet? Sorry. So I'm not a doctor, so I cannot diagnose your situation. But thank you for all of your details. As I hear, ehstuhs. But that's supposed to be something. Maybe stop. Do shame. That's probably the process of what's going on down there. Whatever. I'll just take another three dish that suit. Okay? Stop it. You shouldn't drive. Okay. Okay. Okay, grab because I said, well, okay, calm down. What's happening? Why are you bringing those ironic from speakers? They're not ironic and I really need your help right now. Yeah, I lost all the sun in this club. Okay, Just take a deep breath. We will find him. This place is not that big, it's just dark and creepy. Adult crap. Let's okay, let's call me. But but he did put some instagram. Thank God. Doesn't know he has an account, bathroom, bathroom, bathroom. Huh? Die. Die. Die. She was here two minutes ago. Well, great, great paul and I are done. Yeah, because I was making it up to her then. I'll ruin it so she'll never forget me totally. I think you meant to say you're upsetting kid is let's say oh my oh come here, come here, come here, you guys Tommy! You should be the lady. Exactly. They're practically begging for us. Okay, cool. Oh yeah, no, no, no. This is not What how many times was they sent him back to the josh chan had sex with another morning? Okay. Oh yeah, I totally get it girl. Good for you. Our love is not your back in the suburbs. For starters, the parking lot is huge. You know, beatbox. It's not bad. Maybe he's a now this is going to be a big career brought to you by premium destination. That's right, europe are sex tonight? Were counted from local businesses? Oh, uh history. Uh huh. What models are going to be hilarious. I mean this is going to be the stupidest thing I've ever seen. Oh my God, look at that guy. He's so shiny. Where's josh, wow, that's good. A adult aunt routine, terrible Derek Canyon hangers. Uh, I'm talking over this room right now. Okay. Okay. That's over. That's gonna happen. Okay. He's coming here it comes. This is good. We can get a better look at my boy, looking fresh look to get, yeah. Uh, so just, you know, I saw in the club, I looked everywhere. I want to, all I have to do is keep in mind a few hours instead of no established. Wow. I will be waiting for me to disagree with you. That's how it happened there. You are. So has phillipe is sleeping with a model? Oh yeah. I'm not feeling very well. I think I'm coming down with that cold. Don't worry. It's just a couple of days of post nasal drip on a light color. I think I'm going to need from time to recover. Great. Okay. You go home and later and bring you some cough drops. Maybe we could take a hot bath together. Um, You know what? Here's the thing. I really wasn't to you. I know. Remember the bathroom you miss sexy, but now my feelings changed Since 30 minutes ago. I'm sorry. It's a thing that happens Sometimes. You really like someone and then switch gets flipped and then something you kind of feel like you want. So sorry. When did this happen? It might be when the sleeves zipped off. I'm not sure. Okan. I feel really bad. What do you say? I'm saying? We're over over, but we're a couple. If you just let me chicken soup. A big tub of chicken soup, you sent me what? No, that wasn't. That wasn't me. I didn't do that well. Um, you take care of josh. It's been fun. How did I get here? Wait, she didn't see me that suit. So someone else I don't know how will I find that we should be hits too. Yeah, I'm so wrong about Hannah, I got a nice person. She's not, she's poopers, wow, josh. Watch your mouth. Okay but embarrassed. Come on. That's your fault with my modeling. You know modeling, you know? Very good. Super. Is the thing that made me feel like she was right now. That's what I want in a person. Somebody was more ownership. Okay, pattern. I thought I wouldn't remember one supporter but apparently the person who called it in a fighting depression, Shakespeare and stuff, you know, Shakespeare Rebecca that makes perfect sense. It's her, she knew I'm sick and she called me for now I was contagious. Oh my God, it's amazing. Well uh the other issue back, of course, it's always a vacation with every turn. Everything points back to you. Thank you, wow. Oh, I never really that I could have been so wrong. Just like God, just stupid looking back on all the last times a little more time. Uh she was like that. I was still trying to see. Yeah. Yeah. I don't know what they can do something now do or say like you're sweating. Okay. I gotta thank God. Wait, I gotta go get her. I gotta get her like, right this sick, I'm coming for you. Brandon. Wait, I don't have my keys, right? Yeah. Mhm. Okay. So people on monster looks like, huh? Okay. Uh huh. Your, Hey, I thought you were supposed to be back until tomorrow. Well I wasn't, but wow. Really fond of Yeah. For all that volcano stuff. Mhm Yeah. Okay. No. Yeah. Okay. No. Yeah. And I told my mom felt that boy that destroyed our volcano right or not? We made yes. Right. And and then he sat on it and it just exploded. Right at this point. Okay. The kid is fine. The lava was just the approval basic sort of a film. But I was just at that child's house talking to his parents very friendly and so is there any further bullying would result in legal action? A TP his house. That is exactly what I would have done. The truth. Truth. It's all about context break. Exactly. Yeah. Yeah. Hey, so why did you come from with everything? Okay. It's just so bad people right now that is tall and I just started feeling kind of okay, well I'm here. So it's it's sad together. Sure, true friends. You have been so great. I am so sorry that I have retarded too. I trust you more than anyone in the world. Remember that trump good. Yeah. Happy. Thank you, josh. What you're doing here? I had confidence in you. It's you, you whore myself very. How did you find out the truth now? That's two shows, ignore the one who really cares about me. Yeah. Only how sad. Forget when you're sticking. Mm. Okay. Okay. I'm going to be good for 2nd. Uh huh. I'm an idiot. I realized how and all this time and speak with you. Uh huh. You want to spend their what your girlfriend over? She's a cruel person. Oh my God, hey you wanna go somewhere and talk. Just we can get around to see where if you go from here. I can just say, hey, I'm sorry to interrupt but I wasn't listening. I just, I just want to say you can go. I am fine. I promise. It's a big moment. So gosh, it's amazing. And you need to go, Yeah, What, What? I have to hear. My family time. Amanda and I have other priorities. Okay. Okay. Okay. I guess I'll go well, but I'm going to give up with Rebecca and I'm not gonna give up on us, but I'm going to get my car out of that parking lot closest I'm all round, which just happened or I have some truth. None of what Tanya I said earlier happened was all the way. Okay. What actually happened tonight was I went to spiders to josh to tell him that I'm the one who gave her super. And I got to be a big idea that I lost to the club. I mean, I really lost him. How I instead. So I got a shot at risk, our family at risk and I completely understand if you don't want to be friends with me anymore. I don't know this every day. You gave it to me and I look at it a lot, especially in the us has worked so good between us but I don't deserve the statutory. Did that even happen to have a clip? Did anyone interfere with him in the bathroom? Did he do any drugs? No. So he just ran with a club and took it over home? Okay. I I lost him for an entire weekend at the mall. Once he was living in the Barnes and noble happiness. I have been a really faced with my kids. I mean he's fine. Clearly. Bye. This is okay. Are you sure Rebecca you were here for me and right now you get sailed right out the door of the josh when you didn't take decades decided to stay and on up to your mistakes. Right? That is my brave little. Okay. I love you. I need to. Okay. Yeah. You can't afford the local yeah. Just to clarify, you have never given her. Oh, no, no, no. Without a good idea. Mental illness runs granted or both sides of my family. That is amazing. All right. Let's take a quick break to hear a word from our podcast sponsor truly butter when you're trying to make things right with your best friend Paula, you've been kind of a bitch to lately. We'll take a break in the butter together. Well, that is weirdly specific to my own life is short pitch length. Mr gentle. Here we go, using. I have",,3131.18,124,False,False,6351
1,5e6a418620befe00096983d2,3136.45,3136.68,Yeah.,-0.07000000000016371,0.2300000000000182,0,False,True,1
2,5e6fe3e20e34ca0aa955b116,3136.53,3153.27,"really enjoyed having a life. I totally understand, but you really have to figure out what you're thinking. Okay. Okay. Okay. Hello?",-0.1499999999996362,16.73999999999978,1,True,True,23
3,5e6a418620befe00096983d2,3153.95,3155.57,"Hello, how are you?",0.6799999999998363,1.6200000000003456,1,True,False,4
4,5e6fe3e20e34ca0aa955b116,3155.75,3157.67,Great. How are you?,0.1799999999998363,1.9200000000000728,1,True,False,4
5,5e6a418620befe00096983d2,3158.15,3160.57,So we're supposed to talk for,0.4800000000000182,2.4200000000000728,0,False,False,7
6,5e6fe3e20e34ca0aa955b116,3160.85,3162.38,25 minutes.,0.27999999999974534,1.5300000000002,0,False,False,2
7,5e6a418620befe00096983d2,3162.35,3164.87,25 minutes. Do you want me to set my timer,-0.03000000000020009,2.519999999999982,0,False,True,10
8,5e6fe3e20e34ca0aa955b116,3165.65,3170.27,"Oh, I think there's one at the bottom. Maybe. No, actually there's not",0.7800000000002001,4.619999999999891,0,False,False,15
9,5e6a418620befe00096983d2,3170.75,3177.68,is not All right. I um I set a timer. You're getting your hair done? You're doing your hair,0.4800000000000182,6.929999999999836,1,False,False,21
