turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f499b471c384e50e424e5a9,8.84,78.74,"Mhm. Sure star. It's not yet. You want. No, it's fine. Well you're going to the kitchen. Yeah. Maybe. Doesn't matter. Yeah. Yeah. Oh no. Yeah. Okay. Oh okay. Yes. Yeah. Yeah. Yeah.",,69.89999999999999,0,False,False,37
1,5f56e1d1b72358165158550d,78.74,82.96,uh,0.0,4.219999999999999,0,False,False,1
2,5f499b471c384e50e424e5a9,83.44,88.54,Okay. Mhm. Yeah.,0.480000000000004,5.1000000000000085,0,False,False,3
3,5f56e1d1b72358165158550d,88.64,90.26,Arabic,0.09999999999999432,1.6200000000000045,0,False,False,1
4,5f499b471c384e50e424e5a9,89.14,90.96,Yeah. Both,-1.1200000000000045,1.8199999999999932,0,False,True,2
5,5f56e1d1b72358165158550d,91.04,94.25,I am Mark. How you doing?,0.0800000000000125,3.2099999999999937,1,True,False,6
6,5f499b471c384e50e424e5a9,94.98,96.25,our mind. Are you?,0.730000000000004,1.269999999999996,1,True,False,4
7,5f56e1d1b72358165158550d,96.74,101.45,All right. Um Where are you?,0.4899999999999949,4.710000000000008,1,True,False,6
8,5f499b471c384e50e424e5a9,101.44,104.29,"Oh, I am in SAn Diego. Across",-0.010000000000005116,2.8500000000000085,0,False,True,7
9,5f56e1d1b72358165158550d,104.14,105.16,Okay.,-0.15000000000000568,1.019999999999996,0,False,True,1
10,5f499b471c384e50e424e5a9,104.29,104.45,the,-0.8699999999999903,0.1599999999999966,0,False,True,1
11,5f56e1d1b72358165158550d,105.94,110.16,We're on the other side of the country. We're in north Carolina over here.,1.4899999999999949,4.219999999999999,0,False,False,16
12,5f499b471c384e50e424e5a9,109.34,112.76,cool. Uh huh,-0.8199999999999932,3.4200000000000017,0,False,True,3
13,5f56e1d1b72358165158550d,112.74,114.26,What's the weather like there?,-0.020000000000010232,1.5200000000000102,1,True,True,6
14,5f499b471c384e50e424e5a9,114.54,115.35,bun.,0.28000000000000114,0.8099999999999881,0,False,False,1
15,5f56e1d1b72358165158550d,115.14,115.35,Mhm.,-0.20999999999999375,0.20999999999999375,0,False,True,1
16,5f499b471c384e50e424e5a9,117.14,125.55,Yeah. Yeah. My connection seems a little boss.,1.7900000000000063,8.409999999999997,0,False,False,8
17,5f56e1d1b72358165158550d,125.74,126.85,"Oh, okay.",0.18999999999999773,1.1099999999999994,0,False,False,2
