turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c5dba4ed86a7f000191e5d5,8.84,43.95,"Yeah. Yeah. Right. Uh huh, mm. Mhm. Mhm. Yeah. Years.",,35.11,0,False,False,10
1,5d37d2861566530016a061de,45.94,47.46,How you doing sir?,1.9899999999999949,1.5200000000000031,1,True,False,4
2,5c5dba4ed86a7f000191e5d5,47.44,47.76,Yeah.,-0.020000000000003126,0.3200000000000003,0,False,True,1
3,5d37d2861566530016a061de,47.84,48.16,More,0.0800000000000054,0.3199999999999932,0,False,False,1
4,5c5dba4ed86a7f000191e5d5,49.04,49.53,"Hey, how's",0.8800000000000026,0.490000000000002,0,False,False,3
5,5d37d2861566530016a061de,49.44,49.65,Right.,-0.09000000000000341,0.21000000000000085,0,False,True,1
6,5c5dba4ed86a7f000191e5d5,49.53,49.85,it going?,-0.11999999999999744,0.3200000000000003,1,True,True,2
7,5d37d2861566530016a061de,50.74,52.06,You're the man.,0.8900000000000006,1.3200000000000003,0,False,False,4
8,5c5dba4ed86a7f000191e5d5,52.34,56.15,"Let me, I need to fix my headset here. Uh",0.28000000000000114,3.809999999999995,0,False,False,10
9,5d37d2861566530016a061de,56.64,58.94,You were busy doing something. Huh?,0.490000000000002,2.299999999999997,1,True,False,6
10,5c5dba4ed86a7f000191e5d5,59.34,64.85,"No, I I I had my it was like not going to my head so it's going to my speaker. Yeah.",0.4000000000000057,5.509999999999991,0,False,False,22
11,5d37d2861566530016a061de,64.84,65.56,Okay.,-0.009999999999990905,0.7199999999999989,0,False,True,1
12,5c5dba4ed86a7f000191e5d5,66.04,71.86,Ready for some easy money.,0.480000000000004,5.819999999999993,0,False,False,5
13,5d37d2861566530016a061de,71.14,76.36,Yeah I mean I mean you know you got to do something while you're locked up. Right? I mean inside,-0.7199999999999989,5.219999999999999,1,False,True,21
14,5c5dba4ed86a7f000191e5d5,76.14,76.64,Uh huh.,-0.21999999999999886,0.5,0,False,True,2
15,5d37d2861566530016a061de,76.36,77.65,your house all the time,-0.28000000000000114,1.2900000000000063,0,False,True,5
16,5c5dba4ed86a7f000191e5d5,78.04,78.46,Yeah.,0.39000000000000057,0.4199999999999875,0,False,False,1
17,5d37d2861566530016a061de,78.14,78.79,you can't,-0.3199999999999932,0.6500000000000057,0,False,True,3
18,5c5dba4ed86a7f000191e5d5,78.47,79.56,Little,-0.3200000000000074,1.0900000000000034,0,False,True,1
19,5d37d2861566530016a061de,78.8,83.88,you can't really do anything more but to you know find a side hustle. Right and,-0.7600000000000051,5.079999999999998,0,False,True,17
20,5c5dba4ed86a7f000191e5d5,83.74,84.55,exactly.,-0.14000000000000057,0.8100000000000023,0,False,True,1
21,5d37d2861566530016a061de,83.89,85.56,make make a little,-0.6599999999999966,1.6700000000000017,0,False,True,4
22,5c5dba4ed86a7f000191e5d5,85.44,85.76,Yeah.,-0.12000000000000455,0.3200000000000074,0,False,True,1
23,5d37d2861566530016a061de,85.56,86.36,extra money.,-0.20000000000000284,0.7999999999999972,0,False,True,2
24,5c5dba4ed86a7f000191e5d5,86.94,89.36,Yeah. Right. Uh,0.5799999999999983,2.4200000000000017,0,False,False,3
