turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ec5a705a9b68d5f1f482ce5,5.94,460.06,"Yeah, wow. Yeah. Okay. Yeah. Yeah. Mhm. Yeah. Yeah. President. Yeah. Yeah. Yeah. Yeah. Yeah. Okay. Yeah. Just the fact that, Yeah. Thank you. Yeah. White. Yeah. Mhm. Yeah. Mm hmm. Yeah. Yeah. This, yeah. Yeah. Mhm. Uh huh. Yeah. Yeah. Yeah. Yeah. Okay. Yeah. Mm mm mm. Do you get it? Are you back here? Hi. Mm. You get really want, yeah, my stuff and I need somebody holding them money. People. Mhm. Yeah. Yeah. Not bother you. Mhm. I got jazz spelling. Yeah. Yeah. Yeah. Uh huh. Uh huh. Mhm. Yeah. Yeah. Mhm. Good place. Yeah. Yeah. Yeah. Mm. Okay. Yeah. Yeah. Right. Uh huh. Oh, my cat. Uh huh. Yeah. Yeah. Mm. Uh huh. Yeah. Yeah. Yeah. Yeah. Mm hmm. Yeah. Yeah. Mhm. Me. Mhm. Uh huh, wow, mm. Uh huh. Yeah. Okay. You're right. Yeah. Yeah. Yeah. Right. Yeah. Yeah. Yeah. Mhm. Uh huh. Much more. Mhm. Right. Mhm. Yeah. Yeah. Yeah. Mhm. Yeah. Okay. Yeah. Okay. Yes. Okay. Okay. Sure.",,454.12,2,False,False,166
1,5efbe4f0c9f37c1a3b70afaf,473.54,479.15,Oh,13.480000000000018,5.609999999999957,0,False,False,1
2,5ec5a705a9b68d5f1f482ce5,475.34,479.86,"Mhm. Hey? Yeah. Yeah. Okay,",-3.8100000000000023,4.520000000000039,1,False,True,5
3,5efbe4f0c9f37c1a3b70afaf,483.94,487.32,it's,4.079999999999984,3.3799999999999955,0,False,False,2
4,5ec5a705a9b68d5f1f482ce5,485.64,486.56,yup.,-1.6800000000000068,0.9200000000000159,0,False,True,1
5,5efbe4f0c9f37c1a3b70afaf,487.32,488.09,good.,0.7599999999999909,0.7699999999999818,0,False,False,1
6,5ec5a705a9b68d5f1f482ce5,488.04,488.66,Oh,-0.049999999999954525,0.6200000000000045,0,False,True,1
7,5efbe4f0c9f37c1a3b70afaf,488.1,490.06,Always kind of awkward at the beginning.,-0.5600000000000023,1.9599999999999795,0,False,True,7
8,5ec5a705a9b68d5f1f482ce5,490.34,491.33,yeah. Uh he,0.2799999999999727,0.9900000000000091,0,False,False,3
9,5efbe4f0c9f37c1a3b70afaf,491.24,493.36,"Yeah,",-0.08999999999997499,2.1200000000000045,0,False,True,1
10,5ec5a705a9b68d5f1f482ce5,491.33,493.46,done this before? Mhm,-2.0300000000000296,2.1299999999999955,1,False,True,4
11,5efbe4f0c9f37c1a3b70afaf,493.37,495.05,I did this once,-0.08999999999997499,1.6800000000000068,0,False,True,4
12,5ec5a705a9b68d5f1f482ce5,495.64,496.31,Me,0.589999999999975,0.6700000000000159,0,False,False,1
13,5efbe4f0c9f37c1a3b70afaf,496.14,496.38,look,-0.17000000000001592,0.2400000000000091,0,False,True,1
14,5ec5a705a9b68d5f1f482ce5,496.31,496.75,too.,-0.06999999999999318,0.4399999999999977,0,False,True,1
15,5efbe4f0c9f37c1a3b70afaf,496.38,498.46,like couple of months ago.,-0.37000000000000455,2.079999999999984,0,False,True,5
16,5ec5a705a9b68d5f1f482ce5,498.64,502.5,Yeah. Same man. How,0.18000000000000682,3.8600000000000136,0,False,False,4
17,5efbe4f0c9f37c1a3b70afaf,501.54,502.76,"Yeah,",-0.9599999999999795,1.2199999999999704,0,False,True,1
18,5ec5a705a9b68d5f1f482ce5,502.5,503.05,old are you?,-0.2599999999999909,0.5500000000000114,1,True,True,3
19,5efbe4f0c9f37c1a3b70afaf,503.84,505.46,I'm 20.,0.7899999999999636,1.6200000000000045,0,False,False,3
20,5ec5a705a9b68d5f1f482ce5,505.64,507.18,20 Thing?,0.18000000000000682,1.5400000000000205,1,True,False,2
21,5efbe4f0c9f37c1a3b70afaf,507.14,507.76,Yeah.,-0.040000000000020464,0.6200000000000045,0,False,True,1
22,5ec5a705a9b68d5f1f482ce5,507.18,508.85,I'm 40.,-0.5799999999999841,1.670000000000016,0,False,True,3
23,5efbe4f0c9f37c1a3b70afaf,508.64,510.76,Okay.,-0.21000000000003638,2.1200000000000045,0,False,True,1
24,5ec5a705a9b68d5f1f482ce5,510.74,511.76,You're in college,-0.01999999999998181,1.0199999999999818,0,False,True,4
25,5efbe4f0c9f37c1a3b70afaf,511.84,514.53,Uh sort of doing,0.07999999999998408,2.6899999999999977,0,False,False,4
26,5ec5a705a9b68d5f1f482ce5,514.34,514.96,so?,-0.18999999999994088,0.6200000000000045,1,True,True,1
