turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d3758292faa0d0016797c0f,6.04,190.34,"Mhm. Yeah, maybe. Hello? Uh I think it might it might be me. I can't hear you. I'm not sure. Mhm. Yeah, You're my con hey. Yeah, I still can't hear you. Um I know that my mic is working because it sounds like you can hear me and my audio is working. Mhm. Yeah. Yeah. No, I still can't. That's all right. Um I'll wait if you want to it might maybe you want to refresh your browser or restart a computer real quick. I'll wait a couple minutes. There's no problem. Mhm. Mhm. Uh huh. Mhm. Yeah. Mhm. Mhm. No. Okay. Mhm. Mhm. Yeah. Mhm. Okay, mm hmm. Mhm. Mhm. No. Mhm. Yeah. Mm hmm. Oh. Uh huh. Yeah. Right, Okay. Mhm. But, mm. Yeah. Mhm. Oh yeah. Yeah. Yeah. Mhm, mm. Yeah.",,184.3,1,False,False,144
1,5ce30fb4c6aade001903ed6d,197.94,199.64,Yeah. Uh huh.,7.599999999999994,1.6999999999999886,0,False,False,3
2,5d3758292faa0d0016797c0f,200.44,202.07,"Hi, now I can hear",0.8000000000000114,1.6299999999999955,0,False,False,5
3,5ce30fb4c6aade001903ed6d,202.04,202.66,Yes.,-0.030000000000001137,0.6200000000000045,0,False,True,1
4,5d3758292faa0d0016797c0f,202.07,204.26,"you. Oh yes, we're good.",-0.5900000000000034,2.1899999999999977,0,False,True,6
5,5ce30fb4c6aade001903ed6d,203.94,204.96,Nice.,-0.3199999999999932,1.0200000000000102,0,False,True,1
6,5d3758292faa0d0016797c0f,205.24,205.75,All right.,0.28000000000000114,0.5099999999999909,0,False,False,2
7,5ce30fb4c6aade001903ed6d,205.74,206.74,I,-0.009999999999990905,1.0,0,False,True,1
8,5d3758292faa0d0016797c0f,206.24,206.57,Hi.,-0.5,0.3299999999999841,0,False,True,1
9,5ce30fb4c6aade001903ed6d,206.75,208.0,think I figured out while,0.18000000000000682,1.25,0,False,False,5
10,5d3758292faa0d0016797c0f,207.84,208.05,"Mhm,",-0.1599999999999966,0.21000000000000796,0,False,True,1
11,5ce30fb4c6aade001903ed6d,208.01,209.14,I was restarted my computer but,-0.040000000000020464,1.1299999999999955,0,False,True,6
12,5d3758292faa0d0016797c0f,209.14,209.35,mm.,0.0,0.21000000000000796,0,False,False,1
13,5ce30fb4c6aade001903ed6d,209.14,210.04,I don't think that's what fixed,-0.21000000000000796,0.9000000000000057,0,False,True,8
14,5d3758292faa0d0016797c0f,209.84,210.05,"Mhm,",-0.19999999999998863,0.21000000000000796,0,False,True,1
15,5ce30fb4c6aade001903ed6d,210.04,211.05,it. I uh,-0.010000000000019327,1.0100000000000193,0,False,True,3
16,5d3758292faa0d0016797c0f,210.94,211.36,mm hmm.,-0.11000000000001364,0.4200000000000159,0,False,True,2
17,5ce30fb4c6aade001903ed6d,211.54,212.35,I have like,0.1799999999999784,0.8100000000000023,0,False,False,3
18,5d3758292faa0d0016797c0f,212.24,212.54,No,-0.10999999999998522,0.29999999999998295,0,False,True,1
19,5ce30fb4c6aade001903ed6d,212.36,212.77,two,-0.1799999999999784,0.4099999999999966,0,False,True,1
20,5d3758292faa0d0016797c0f,212.56,212.96,problem.,-0.21000000000000796,0.4000000000000057,0,False,True,1
21,5ce30fb4c6aade001903ed6d,212.77,214.59,different things I have to have,-0.18999999999999773,1.8199999999999932,0,False,True,6
22,5d3758292faa0d0016797c0f,214.34,214.76,Mm.,-0.25,0.4199999999999875,0,False,True,1
23,5ce30fb4c6aade001903ed6d,214.59,215.5,like zoom and I also,-0.1699999999999875,0.9099999999999966,0,False,True,5
24,5d3758292faa0d0016797c0f,215.34,215.54,Yeah.,-0.1599999999999966,0.19999999999998863,0,False,True,1
25,5ce30fb4c6aade001903ed6d,215.5,217.12,have Cisco Webex,-0.03999999999999204,1.6200000000000045,0,False,True,3
26,5d3758292faa0d0016797c0f,216.64,217.56,Yeah.,-0.4800000000000182,0.9200000000000159,0,False,True,1
27,5ce30fb4c6aade001903ed6d,217.13,222.85,and when every time I use webex it switches my audio to like sound flower or some shit. I don't,-0.4300000000000068,5.719999999999999,0,False,True,21
28,5d3758292faa0d0016797c0f,222.84,223.43,Okay.,-0.009999999999990905,0.5900000000000034,0,False,True,1
29,5ce30fb4c6aade001903ed6d,222.85,223.06,know.,-0.5800000000000125,0.21000000000000796,0,False,True,1
30,5d3758292faa0d0016797c0f,223.43,228.93,"So you had a lot going on. Yeah,",0.37000000000000455,5.5,0,False,False,8
31,5ce30fb4c6aade001903ed6d,225.14,228.46,Uh Yeah I figured it out now. Got there in the end.,-3.7900000000000205,3.3200000000000216,0,False,True,12
32,5d3758292faa0d0016797c0f,228.94,231.86,"that's good. Well, my name is ted, what's your name?",0.47999999999998977,2.920000000000016,1,True,False,12
33,5ce30fb4c6aade001903ed6d,231.84,233.36,Tyler.,-0.020000000000010232,1.5200000000000102,0,False,True,1
34,5d3758292faa0d0016797c0f,232.84,233.83,Tyler. Great. Where,-0.5200000000000102,0.9900000000000091,0,False,True,3
35,5ce30fb4c6aade001903ed6d,233.74,234.73,I,-0.09000000000000341,0.9899999999999807,0,False,True,1
36,5d3758292faa0d0016797c0f,233.83,234.85,you from?,-0.8999999999999773,1.0199999999999818,1,True,True,2
