turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eeaae03e1959f18cd331cd0,68.04,144.02,"Yeah. Huh? Yeah. What's up? All right. Yeah. My partner hasn't showed up yet. So I'm looking for a different kind of challenge in my day to day and I feel as if my opportunities in my current position, okay. Only sales position and I see myself being happier. What about the sentence? Are you asking like are you asking if that is a good statement like to make or like the structure itself? The 2nd 1. The 1st 1. Whether or not you should say that I okay. Like I assume you're and you're answering why you don't want to. Yeah, I mean just say you can't, your position isn't offering any um way up and you are looking for I think saying that you're looking for a challenge is good. I don't know if you should bother saying the sale, you can say the sales",,75.98,4,False,False,157
1,5f2850a9d9a5f01279e1bd16,143.84,144.04,Yeah.,-0.18000000000000682,0.19999999999998863,0,False,True,1
2,5eeaae03e1959f18cd331cd0,144.02,144.65,part I guess.,-0.01999999999998181,0.6299999999999955,0,False,True,3
3,5f2850a9d9a5f01279e1bd16,144.74,146.15,Hello?,0.09000000000000341,1.4099999999999966,1,True,False,1
4,5eeaae03e1959f18cd331cd0,146.44,147.76,"Hi. How are, you know?",0.28999999999999204,1.3199999999999932,1,True,False,5
5,5f2850a9d9a5f01279e1bd16,147.84,148.99,"I'm doing great, how are you",0.0800000000000125,1.1500000000000057,0,False,False,7
6,5eeaae03e1959f18cd331cd0,148.84,149.05,Mhm.,-0.15000000000000568,0.21000000000000796,0,False,True,1
7,5f2850a9d9a5f01279e1bd16,148.99,149.76,to see me?,-0.060000000000002274,0.7699999999999818,1,True,True,3
8,5eeaae03e1959f18cd331cd0,149.74,150.55,I'm good.,-0.01999999999998181,0.8100000000000023,0,False,True,3
9,5f2850a9d9a5f01279e1bd16,151.14,152.18,That's good.,0.589999999999975,1.0400000000000205,0,False,False,3
10,5eeaae03e1959f18cd331cd0,151.84,152.16,"Oh,",-0.3400000000000034,0.3199999999999932,0,False,True,1
11,5f2850a9d9a5f01279e1bd16,152.18,153.56,Were you on long waiting?,0.020000000000010232,1.3799999999999955,1,True,False,5
12,5eeaae03e1959f18cd331cd0,153.64,155.56,not not that long at all though.,0.07999999999998408,1.920000000000016,0,False,False,7
13,5f2850a9d9a5f01279e1bd16,155.94,156.4,Uh,0.37999999999999545,0.46000000000000796,0,False,False,1
14,5eeaae03e1959f18cd331cd0,156.14,156.56,I was,-0.2600000000000193,0.4200000000000159,0,False,True,2
15,5f2850a9d9a5f01279e1bd16,156.4,156.74,huh,-0.1599999999999966,0.3400000000000034,0,False,True,1
16,5eeaae03e1959f18cd331cd0,156.57,157.38,I was literally just,-0.17000000000001592,0.8100000000000023,0,False,True,4
17,5f2850a9d9a5f01279e1bd16,157.14,157.34,Uh huh,-0.2400000000000091,0.20000000000001705,0,False,True,2
18,5eeaae03e1959f18cd331cd0,157.39,160.66,"talking to my boyfriend, my partner showed up, so we're good.",0.04999999999998295,3.2700000000000102,0,False,False,12
19,5f2850a9d9a5f01279e1bd16,160.84,162.57,That's,0.18000000000000682,1.7299999999999898,0,False,False,2
20,5eeaae03e1959f18cd331cd0,161.44,162.7,I,-1.1299999999999955,1.259999999999991,0,False,True,1
21,5f2850a9d9a5f01279e1bd16,162.57,162.97,cool.,-0.12999999999999545,0.4000000000000057,0,False,True,1
22,5eeaae03e1959f18cd331cd0,162.71,163.04,was just,-0.2599999999999909,0.3299999999999841,0,False,True,2
23,5f2850a9d9a5f01279e1bd16,162.97,164.16,Huh.,-0.06999999999999318,1.1899999999999977,0,False,True,1
24,5eeaae03e1959f18cd331cd0,163.04,164.56,"talking with them until, you know,",-1.1200000000000045,1.5200000000000102,0,False,True,6
