turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5dd61a909ca8a35c14d8d610,2.04,2.97,what's happening,,0.9300000000000002,0,False,False,3
1,5c817d90fae0130015ce9bda,2.84,6.35,Mhm.,-0.13000000000000034,3.51,0,False,True,1
2,5dd61a909ca8a35c14d8d610,2.97,7.65,"here? Yeah. Yeah. Hey,",-3.3799999999999994,4.68,1,False,True,4
3,5c817d90fae0130015ce9bda,6.94,9.55,"Hi. Hello, how are you? Mhm",-0.71,2.6100000000000003,1,False,True,6
4,5dd61a909ca8a35c14d8d610,9.74,11.13,I'm fine. You're outside.,0.1899999999999995,1.3900000000000006,0,False,False,6
5,5c817d90fae0130015ce9bda,10.94,11.36,mm.,-0.19000000000000128,0.41999999999999993,0,False,True,1
6,5dd61a909ca8a35c14d8d610,11.13,13.55,I was thinking of doing that.,-0.22999999999999865,2.42,0,False,True,6
7,5c817d90fae0130015ce9bda,12.14,16.56,I thought I would. Well,-1.4100000000000001,4.419999999999998,0,False,True,5
8,5dd61a909ca8a35c14d8d610,15.04,15.66,What?,-1.5199999999999996,0.620000000000001,1,True,True,1
9,5c817d90fae0130015ce9bda,16.57,24.46,"well it's nice today. Yeah, definitely nice and we have blue skies and it's cool.",0.9100000000000001,7.890000000000001,0,False,False,17
10,5dd61a909ca8a35c14d8d610,24.04,24.45,Yeah.,-0.4200000000000017,0.41000000000000014,0,False,True,1
11,5c817d90fae0130015ce9bda,24.94,25.45,Those are,0.490000000000002,0.509999999999998,0,False,False,2
12,5dd61a909ca8a35c14d8d610,25.14,26.33,Beautiful day. Where,-0.3099999999999987,1.1899999999999977,0,False,True,3
13,5c817d90fae0130015ce9bda,26.24,26.65,yeah.,-0.08999999999999986,0.41000000000000014,0,False,True,1
14,5dd61a909ca8a35c14d8d610,26.33,27.15,are you located?,-0.3200000000000003,0.8200000000000003,1,True,True,3
15,5c817d90fae0130015ce9bda,27.14,30.05,Um outside of Dallas.,-0.00999999999999801,2.91,0,False,True,4
16,5dd61a909ca8a35c14d8d610,30.84,31.95,"Oh,",0.7899999999999991,1.1099999999999994,0,False,False,1
17,5c817d90fae0130015ce9bda,30.94,33.66,Mhm. Where are you?,-1.009999999999998,2.7199999999999953,1,True,True,4
18,5dd61a909ca8a35c14d8d610,34.14,34.87,I'm in south,0.480000000000004,0.7299999999999969,0,False,False,4
19,5c817d90fae0130015ce9bda,34.64,34.85,Mhm.,-0.22999999999999687,0.21000000000000085,0,False,True,1
20,5dd61a909ca8a35c14d8d610,34.87,35.66,Carolina,0.01999999999999602,0.7899999999999991,0,False,False,1
21,5c817d90fae0130015ce9bda,36.34,38.1,"So Oh man, I want to go",0.6800000000000068,1.759999999999998,0,False,False,7
22,5dd61a909ca8a35c14d8d610,37.94,38.22,so,-0.1600000000000037,0.28000000000000114,0,False,True,1
23,5c817d90fae0130015ce9bda,38.1,39.85,there.,-0.11999999999999744,1.75,0,False,True,1
24,5dd61a909ca8a35c14d8d610,38.22,41.26,himself? Not as self as you.,-1.6300000000000026,3.039999999999999,1,False,True,6
25,5c817d90fae0130015ce9bda,40.34,54.41,"Uh Yeah, we have a cool front and it's nice. It's like it's perfect. Um because it's Even two days ago, it was in the high",-0.9199999999999946,14.069999999999993,0,False,True,30
26,5dd61a909ca8a35c14d8d610,54.14,54.35,Mm.,-0.269999999999996,0.21000000000000085,0,False,True,1
27,5c817d90fae0130015ce9bda,54.42,60.15,80's And last Sunday it was in the mid 90s. So I'm sick of that.,0.07000000000000028,5.729999999999997,0,False,False,17
28,5dd61a909ca8a35c14d8d610,60.74,61.52,"Yeah,",0.5900000000000034,0.7800000000000011,0,False,False,1
29,5c817d90fae0130015ce9bda,60.84,61.74,Sick,-0.6799999999999997,0.8999999999999986,0,False,True,1
30,5dd61a909ca8a35c14d8d610,61.53,61.8,sure,-0.21000000000000085,0.269999999999996,0,False,True,1
31,5c817d90fae0130015ce9bda,61.75,62.02,of,-0.04999999999999716,0.2700000000000031,0,False,True,1
32,5dd61a909ca8a35c14d8d610,61.8,62.29,we are.,-0.22000000000000597,0.490000000000002,0,False,True,2
33,5c817d90fae0130015ce9bda,62.02,62.25,that.,-0.269999999999996,0.22999999999999687,0,False,True,1
34,5dd61a909ca8a35c14d8d610,62.29,64.66,We're still in the high 80s this week.,0.03999999999999915,2.3699999999999974,0,False,False,9
35,5c817d90fae0130015ce9bda,64.24,65.92,Are you? Well,-0.4200000000000017,1.6800000000000068,1,False,True,3
36,5dd61a909ca8a35c14d8d610,65.74,66.16,Mhm.,-0.18000000000000682,0.4200000000000017,0,False,True,1
37,5c817d90fae0130015ce9bda,65.92,74.59,maybe it'll I don't know where this one said it but I'm telling me I was so glad it's here. I'm so tired of heat.,-0.23999999999999488,8.670000000000002,0,False,True,30
38,5dd61a909ca8a35c14d8d610,74.34,74.54,Yeah.,-0.25,0.20000000000000284,0,False,True,1
