turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f1be24b23199840b6f741e0,96.44,96.86,"wow,",,0.4200000000000017,0,False,False,1
1,5ed9df4296035b58dce21946,97.14,97.86,Oh,0.28000000000000114,0.7199999999999989,0,False,False,1
2,5f1be24b23199840b6f741e0,103.34,132.26,"I can't hear you. Uh huh, No, sorry, can you hear me? I can't hear you though.",5.480000000000004,28.919999999999987,1,False,False,19
3,5ed9df4296035b58dce21946,147.94,149.05,hello.,15.680000000000007,1.1100000000000136,0,False,False,1
4,5f1be24b23199840b6f741e0,148.14,149.88,Hello? I,-0.910000000000025,1.740000000000009,1,False,True,2
5,5ed9df4296035b58dce21946,149.74,152.46,"Okay,",-0.13999999999998636,2.719999999999999,0,False,True,1
6,5f1be24b23199840b6f741e0,149.88,153.11,"I can hear you now, because how",-2.5800000000000125,3.230000000000018,0,False,True,7
7,5ed9df4296035b58dce21946,153.04,153.37,I'm,-0.0700000000000216,0.3300000000000125,0,False,True,2
8,5f1be24b23199840b6f741e0,153.11,153.75,are you?,-0.2599999999999909,0.6399999999999864,1,True,True,2
9,5ed9df4296035b58dce21946,153.37,153.85,good.,-0.37999999999999545,0.47999999999998977,0,False,True,1
10,5f1be24b23199840b6f741e0,155.14,157.45,Good this your first time doing one of these?,1.289999999999992,2.3100000000000023,1,True,False,9
11,5ed9df4296035b58dce21946,156.94,159.36,I've actually done it once before.,-0.5099999999999909,2.420000000000016,0,False,True,7
12,5f1be24b23199840b6f741e0,160.34,167.06,"Okay. Yeah, I haven't done it before. Yeah, so we have to talk for 25",0.9799999999999898,6.719999999999999,0,False,False,16
13,5ed9df4296035b58dce21946,167.04,167.72,"Yeah,",-0.020000000000010232,0.6800000000000068,0,False,True,1
14,5f1be24b23199840b6f741e0,167.06,167.88,"minutes, that's a long",-0.6599999999999966,0.8199999999999932,0,False,True,5
15,5ed9df4296035b58dce21946,167.73,167.95,that,-0.15000000000000568,0.21999999999999886,0,False,True,1
16,5f1be24b23199840b6f741e0,167.88,168.72,time.,-0.06999999999999318,0.8400000000000034,0,False,True,1
17,5ed9df4296035b58dce21946,167.95,168.26,is,-0.7700000000000102,0.3100000000000023,0,False,True,1
18,5f1be24b23199840b6f741e0,168.73,175.26,"Uh I'll introduce myself. My name is gave I live in Silver Spring Maryland,",0.46999999999999886,6.530000000000001,0,False,False,15
19,5ed9df4296035b58dce21946,175.34,175.96,Oh,0.0800000000000125,0.6200000000000045,0,False,False,1
20,5f1be24b23199840b6f741e0,177.34,177.78,do you know where that,1.3799999999999955,0.4399999999999977,0,False,False,5
21,5ed9df4296035b58dce21946,177.64,177.98,"yeah,",-0.14000000000001478,0.3400000000000034,0,False,True,1
22,5f1be24b23199840b6f741e0,177.78,178.15,is?,-0.19999999999998863,0.37000000000000455,1,True,True,1
23,5ed9df4296035b58dce21946,177.98,178.86,I love there.,-0.17000000000001592,0.8800000000000239,0,False,True,3
24,5f1be24b23199840b6f741e0,179.74,195.91,"Oh, that's funny. Okay, well I have, I'm married and have three kids uh and two dogs. Yeah, I live near Sligo Creek Parkway, I don't know,",0.8799999999999955,16.169999999999987,0,False,False,30
25,5ed9df4296035b58dce21946,195.64,195.95,"Oh,",-0.27000000000001023,0.3100000000000023,0,False,True,1
26,5f1be24b23199840b6f741e0,195.92,196.4,you,-0.030000000000001137,0.4800000000000182,0,False,True,1
27,5ed9df4296035b58dce21946,195.95,196.49,I live near,-0.45000000000001705,0.5400000000000205,0,False,True,3
28,5f1be24b23199840b6f741e0,196.4,196.85,know?,-0.09000000000000341,0.44999999999998863,1,True,True,1
29,5ed9df4296035b58dce21946,196.49,197.26,there too.,-0.3599999999999852,0.7699999999999818,0,False,True,2
30,5f1be24b23199840b6f741e0,198.24,204.15,That's funny. They must have matched people based on their zip code or something.,0.9800000000000182,5.909999999999997,0,False,False,15
31,5ed9df4296035b58dce21946,204.54,207.56,"Yeah. I don't think I remember putting in a zip code though,",0.38999999999998636,3.0200000000000102,0,False,False,13
32,5f1be24b23199840b6f741e0,208.44,210.36,"Yeah, I don't remember either,",0.8799999999999955,1.920000000000016,0,False,False,6
33,5ed9df4296035b58dce21946,210.24,211.2,I think I picked,-0.12000000000000455,0.9599999999999795,0,False,True,4
34,5f1be24b23199840b6f741e0,211.14,211.65,but,-0.060000000000002274,0.5100000000000193,0,False,True,1
35,5ed9df4296035b58dce21946,211.2,215.66,like Eastern time and last time I got paired with someone from pennsylvania.,-0.45000000000001705,4.460000000000008,0,False,True,13
36,5f1be24b23199840b6f741e0,216.84,217.8,it's fairly close,1.1800000000000068,0.960000000000008,0,False,False,4
37,5ed9df4296035b58dce21946,217.44,218.06,Yeah.,-0.36000000000001364,0.6200000000000045,0,False,True,1
38,5f1be24b23199840b6f741e0,217.8,225.56,"to Yeah. Yeah, that's funny, yeah. Uh huh. How's quarantine going for you",-0.2599999999999909,7.759999999999991,0,False,True,15
39,5ed9df4296035b58dce21946,224.94,226.6,"Um I'm just like board,",-0.6200000000000045,1.6599999999999966,0,False,True,6
40,5f1be24b23199840b6f741e0,226.04,226.66,to eat?,-0.5600000000000023,0.6200000000000045,1,True,True,2
41,5ed9df4296035b58dce21946,226.61,228.72,so like I'm in um currently in,-0.04999999999998295,2.109999999999985,0,False,True,8
42,5f1be24b23199840b6f741e0,228.64,228.85,Mhm.,-0.0800000000000125,0.21000000000000796,0,False,True,1
43,5ed9df4296035b58dce21946,228.72,232.36,"pharmacy school, so I'll be going back to school soon.",-0.12999999999999545,3.640000000000015,0,False,True,11
44,5f1be24b23199840b6f741e0,233.54,236.45,"Yeah, you're actually going to go back?",1.1799999999999784,2.9099999999999966,1,True,False,8
45,5ed9df4296035b58dce21946,236.54,237.78,"No, they actually they're",0.09000000000000341,1.240000000000009,0,False,False,5
46,5f1be24b23199840b6f741e0,237.64,238.05,Mhm.,-0.14000000000001478,0.410000000000025,0,False,True,1
47,5ed9df4296035b58dce21946,237.78,238.67,like they want us,-0.27000000000001023,0.8899999999999864,0,False,True,4
48,5f1be24b23199840b6f741e0,238.64,238.84,Yeah.,-0.030000000000001137,0.20000000000001705,0,False,True,1
49,5ed9df4296035b58dce21946,238.67,239.45,to go back.,-0.17000000000001592,0.7800000000000011,0,False,True,3
