turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c91d45264d5c100171ea8ab,2.94,37.96,if Okay. Yeah. Yeah. Yeah. Okay. Sure. Yeah. Mhm. Mhm. Mhm. Hello?,,35.02,1,True,False,12
1,5f112c3557b476490891ec16,37.44,37.76,um,-0.5200000000000031,0.3200000000000003,0,False,True,1
2,5c91d45264d5c100171ea8ab,38.54,38.74,"Yeah,",0.7800000000000011,0.20000000000000284,0,False,False,1
3,5f112c3557b476490891ec16,38.54,39.65,how are you do?,-0.20000000000000284,1.1099999999999994,1,True,True,4
4,5c91d45264d5c100171ea8ab,40.17,41.66,I'm doing good. How about you?,0.5200000000000031,1.4899999999999949,1,True,False,7
5,5f112c3557b476490891ec16,42.04,42.85,I'm good,0.38000000000000256,0.8100000000000023,0,False,False,3
6,5c91d45264d5c100171ea8ab,42.64,42.84,Yeah.,-0.21000000000000085,0.20000000000000284,0,False,True,1
7,5f112c3557b476490891ec16,43.54,46.26,um well hi my name's Caylee.,0.6999999999999957,2.719999999999999,0,False,False,7
8,5c91d45264d5c100171ea8ab,46.04,47.45,Hi Haley. I'm eric,-0.21999999999999886,1.4100000000000037,0,False,True,5
9,5f112c3557b476490891ec16,47.84,49.86,"Eric okay, right eric he said",0.39000000000000057,2.019999999999996,0,False,False,6
10,5c91d45264d5c100171ea8ab,50.34,51.52,"Yeah. Yes,",0.480000000000004,1.1799999999999997,0,False,False,2
11,5f112c3557b476490891ec16,51.24,51.66,"okay,",-0.28000000000000114,0.4199999999999946,0,False,True,1
12,5c91d45264d5c100171ea8ab,51.53,53.06,nice to meet you.,-0.12999999999999545,1.5300000000000011,0,False,True,4
13,5f112c3557b476490891ec16,52.74,53.55,nice to meet you,-0.3200000000000003,0.8099999999999952,0,False,True,4
14,5c91d45264d5c100171ea8ab,53.64,62.16,"Yeah. You know um I think this is like usually, I don't know, is this your first time trying to do the conversation or you have",0.09000000000000341,8.519999999999996,0,False,False,27
15,5f112c3557b476490891ec16,61.74,62.25,my second,-0.4199999999999946,0.509999999999998,0,False,True,2
16,5c91d45264d5c100171ea8ab,62.74,63.36,"second,",0.490000000000002,0.6199999999999974,0,False,False,1
17,5f112c3557b476490891ec16,63.54,63.96,mhm,0.17999999999999972,0.4200000000000017,0,False,False,1
18,5c91d45264d5c100171ea8ab,63.74,71.45,"have you ever always got through with someone or have you ever have to like, you know, end up waiting and then nobody shows up?",-0.21999999999999886,7.710000000000001,1,True,True,25
19,5f112c3557b476490891ec16,71.84,75.79,"I did the first time. Yeah, there's only two times and both of you have shown up so that's been",0.39000000000000057,3.950000000000003,0,False,False,22
20,5c91d45264d5c100171ea8ab,75.54,76.05,Oh,-0.25,0.5099999999999909,0,False,True,1
21,5f112c3557b476490891ec16,75.79,76.36,great.,-0.2599999999999909,0.5699999999999932,0,False,True,1
22,5c91d45264d5c100171ea8ab,76.06,77.12,"perfect. Yeah, that's",-0.29999999999999716,1.0600000000000023,0,False,True,4
23,5f112c3557b476490891ec16,77.04,77.16,Do,-0.0799999999999983,0.11999999999999034,0,False,True,1
24,5c91d45264d5c100171ea8ab,77.12,77.46,awesome.,-0.03999999999999204,0.3399999999999892,0,False,True,1
25,5f112c3557b476490891ec16,77.16,78.56,not work for you before?,-0.29999999999999716,1.4000000000000057,1,True,True,5
26,5c91d45264d5c100171ea8ab,78.64,84.76,"The last the last two attempts uh nobody shows up so which is fine, you know?",0.0799999999999983,6.1200000000000045,1,True,False,16
27,5f112c3557b476490891ec16,84.34,85.26,Oh,-0.4200000000000017,0.9200000000000017,0,False,True,1
28,5c91d45264d5c100171ea8ab,85.24,87.0,"Yeah, it's okay. So",-0.020000000000010232,1.7600000000000051,0,False,True,5
29,5f112c3557b476490891ec16,86.94,87.14,"yeah,",-0.060000000000002274,0.20000000000000284,0,False,True,1
30,5c91d45264d5c100171ea8ab,87.0,91.56,"are you are you in the somewhere in west coast, East coast?",-0.14000000000000057,4.560000000000002,1,True,True,12
31,5f112c3557b476490891ec16,92.64,94.84,"yes, so I always have to do, I'm",1.0799999999999983,2.200000000000003,0,False,False,9
32,5c91d45264d5c100171ea8ab,94.74,95.06,Uh huh.,-0.10000000000000853,0.3200000000000074,0,False,True,2
